"Cutthroat1"	"Bartuc's Cut-Throat"
"x"	"Unable to enter game. A Non-Ladder character cannot join a game created by a Ladder character."
"x"	"Unable to enter game. A Ladder character cannot join a game created by a Non-Ladder character."
"Sksyn"	"Synergies"
"Damplev"	"% Physical Damage per Base Level"
"ElemDampLev"	"Elemental Damage per Level"
"Firedplev"	"Fire Damage per Level"
"Colddplev"	"Cold Damage per Level"
"Ltngdplev"	"Lightning Damage per Level"
"Poisdplev"	"Poison Damage per Base Level"
"Magdplev"	"Magic Damage per Level"
"Rangplev"	"Yards per Level"
"RateFireplev"	"Rate of Fire per Level"
"AttRateplev"	"Attack Rating per Level"
"AttSpeedplev"	"Attack Speed per Level"
"Defplev"	"Defense per Level"
"Manacoredplev"	"Mana Cost per Level"
"Missplev1"	"Missiles per Level"
"Missplev2"	"+1 Missile per Level"
"Missplev3"	"+1 Missile per %d Levels"
"Boltplev1"	"Bolts per Level"
"Boltplev2"	"+1 Bolt per Level"
"Boltplev3"	"+1 Bolt per %d Levels"
"Shotplev1"	"Shots per Level"
"Shotplev2"	"+1 Shot per Level"
"Shotplev3"	"+1 Shot per %d Levels"
"Hpplev"	"Life per Level"
"WRSpeedplev"	"Walk/Run Speed per Level"
"Durateplev"	"Duration per Level"
"CoLenplev"	"Cold Length per Level"
"FrezLenplev"	"Freeze Length per Level"
"PoisLenplev"	"Poison Length per Level"
"Convphy2magplev"	"Converts %d%% Physical Damage to Magic per Level"
"Convphy2elemplev"	"Converts %d%% Physical Damage to Elemental per Level"
"Convphy2magalt"	"Converts %d%% Physical Damage to Elemental"
"Convphy2elemalt"	"Converts %d%% Physical Damage to Magic"
"Secplev1"	"Second per Level"
"Secplev2"	"Seconds per Level"
"Damabsplev"	"Damage Absorbed per Level"
"WeapDamsk"	"Weapon Damage"
"Hbdplev"	"Holy Bolt Damage per Level"
"Healplev"	"Life Healed per Level"
"Healplev2"	"Life Healed Every 2 Seconds"
"FanYDam"	"Your Damage: "
"PartDam"	"Party Damage: "
"AFDImm"	"Average Fire Damage per Second per Level"
"Cgslow"	"Slows Enemies: "
"Corexpdam"	"Corpse Explosion Damage: "
"ModitemAura"	"Level %d %s Aura When Equipped"
"Moditem2allattrib"	"to all Attributes"
"Moditem2ExpG"	"to Experience Gained"
"ModitemHPaK"	"Life after each Kill"
"ModitemRedVendP"	"to All Vendor Prices"
"ModitemSMRIP"	"Slain Monsters Rest in Peace"
"ModitemAttratvsM"	"to Attack Rating versus"
"Moditemdamvsm"	"to Damage versus"
"Moditemslayat"	"Slaying:"
"Moditemreanimas"	"Reanimate as:"
"Moditemenrescoldsk"	"to Enemy Cold Resistance"
"Moditemenresfiresk"	"to Enemy Fire Resistance"
"Moditemenresltngsk"	"to Enemy Lightning Resistance"
"Moditemenrespoissk"	"to Enemy Poison Resistance"
"ModitemdamFiresk"	"to Fire Spell Damage"
"ModitemdamColdsk"	"to Cold Spell Damage"
"ModitemdamLtngsk"	"to Lightning Spell Damage"
"ModitemdamPoissk"	"to Poison Spell Damage"
"Moditemskondeath"	"%d%% Chance to cast level %d %s when you Die"
"ModitemskonLevel"	"%d%% Chance to cast level %d %s when you Level-Up"
"ModitemskonKill"	"%d%% Chance to cast level %d %s on Kill"
"Skillname224"	"Werewolf"
"Skillsd224"	"transform into a werewolf"
"Skillld224"	"transform into a werewolf"
"Skillan224"	"Werewolf"
"StrSkill43a"	" skeleton mage"
"StrSkill44a"	" skeleton magi"
"StrSklTabItem9"	"+%d to Summoning Skills"
"SOJSold"	"%d Stones of Jordan Sold to Merchants"
"DiabloWalksEarth"	"Diablo Walks the Earth"
"neg"	"Hellspawn Skull"
"TrappDoor"	"Trap Door"
"uhf"	"Legendary Mallet"
"skillxld124P"	"your life and mana\nthe souls of slain enemies to give\nwhen active, aura attempts to redeem"
"7wa"	"Berserker Axe"
"skillld42"	"of all nearby enemies\ncreates an electrical field that reduces life"
"xhg"	"War Gauntlets"
"Fiendra"	"Fiend"
"Wraithra"	"Wraith"
"Fiend"	"Fiend"
"Wraith"	"Wraith"
"D2bnetHelp10"	"\blue;Blue Text\gold; represents actions that have been taken by people in the chat Channel."
"ItemStats1r"	"Chance to Block: "
"x"	"Server is Full"
"x"	"No new games can be created right now, Please Join a game or try later."
"merca239"	"Jarulf"
"StrSkill63Patch"	"over "
"x"	"You are in line to create a game. Try joining a game to avoid waiting."
"X"	"Game Queue"
"x"	"Too many games have been created. Please join one instead or await your turn in the Game Queue"
"x"	"Your position in line is: "
"x"	"In the Game Queue"
"9bl"	"Stiletto"
"eats and spits corpses"	"Eats and Spits Corpses"
"qstsa2q63f"	"Explore Tal Rasha's Tomb"
"Shocking Hit"	"Shocking Hit"
"ModStrCuck2"	"unused"
"ModStrCuck1"	"unused"
"ModStr3u"	"Hit Causes Monster to Flee"
"ModStr4c"	"Bonus to Attack Rating"
"UNUSED1036"	"Slows Target by"
"ModStr6f"	"Chance to Reanimate Target"
"ModStr6d"	"Hit Blinds Target"
"x"	"Enter Host IP Address to Join Game"
"StrSkill61"	"Multiple Hits"
"D2bnetHelp13c"	"/reply"
"D2bnethelp13d"	"Allows you to reply to a whisper without typing the account name"
"D2bnetHelp52"	"/whisper, /msg, /reply"
"D2bnetHelp10a"	"\yellow; Yellow Text\gold; represents special messages sent directly from battle.net"
"BnetnewGameTime"	"Game Time:"
"D2bnetHelp12c"	"When using advanced commands, you may also use character names for people in the same Realm, and character names @Realm for people in another Realm."
"D2bnetHelp12d"	"You must use *account names for anyone on battle.net including people in a different game such as Starcraft."
"D2bnetHelp12b"	"Wherever a command below calls for the use of <accountname>, please use either <charactername>, <charactername@Realm>, or <*accountname>."
"x"	"GATEWAY: %s"
"x"	"CHANGE PASSWORD"
"x"	"Change Password"
"x"	"Current Password"
"x"	"New Password"
"x"	"Verify New Password"
"x"	"SELECT GATEWAY"
"x"	"If the current gateway does not best represent your location, select another Battle.net gateway connection."
"x"	"CHANGE REALM"
"x"	"Current Realm"
"x"	"A character named '%s' already exists in this Realm."
"D2bnetHelp6a"	"\dgrey;Gray Text\gold; also represents actions that have been taken by people in the chat Channel."
"D2bnetHelp10aPatch"	"\blue;Blue Text\gold; represents special messages sent directly from battle.net or messages from a Blizzard Representative."
"x"	"SEND"
"x"	"PASSWORD WARNING"
"x"	"You are about to send your password to another user on Battle.net. Blizzard will never ask you for your password for any reason."
"x"	"CONNECTING..."
"x"	"REALM DOWN"
"x"	"More..."
"x"	"You have more than 8 characters on this Diablo II Realm. Only 8 characters can be displayed at a time."
"x"	"To see more characters, you must delete one of your existing characters. This deletion is permanent. You will not be able to recover the deleted character."
"X"	"Terms of Service"
"X"	"By logging on to Battle.net, you are certifying that you have read and agree to its current Terms of Service"
"x"	"%0 %1"
"GemXp1"	"Gloves, Belts, Boots:"
"GemXp2"	"Shields:"
"GemXp3"	"Weapons:"
"GemXp4"	"Armor:"
"expansionchar2x"	"EXPANSION CHARACTER"
"x"	"Missing string"
"EskillLowersResistX"	"Lowers Resistance "
"ExInsertSocketsX"	"Can be Inserted into Socketed Items"
"EskillToMeleeX"	" to melee attacks"
"eskillincasemasteryX"	"%d Percent Chance of Critical Strike"
"CfgSay7X"	"Say 'Retreat'"
"champghostlyX"	"Ghostly"
"champfanaticX"	"Fanatic"
"champpossessedX"	"Possessed"
"champberserkX"	"Berserker"
"PalMercExST1X"	"Shapeshifter"
"PalMercEXST3X"	"Fighter Mage"
"PalMercEXST4X"	"Exemplar"
"increaseswithplaylevelX"	"(Based on Character Level)"
"RankX"	"Rank"
"x"	""
"x"	"Entering your email address will enable extra features, such as the ability to recover your account should you forget your password. Visit median-xl.com for more information.\n"
"x"	"Email Address:"
"x"	"Verify Email Address:"
"x"	"REGISTER"
"x"	"DON'T REGISTER"
"x"	"Please make sure that the two email addresses match."
"x"	"Invalid Email Address"
"x"	"The email address you entered does not appear to be valid.  Please enter a valid email address."
"x"	"Without a registered email address, you will not be able to recover your account should you forget your password. You will not have another opportunity to register an email address with this account."
"x"	"If you have forgotten your password and you registered your email address with us for this account, you can request that a new password be sent to you by clicking Send.  Make sure to enter the email address that you registered for this account."
"x"	"Your request for a new password has been received. If you registered an email address for this account you will receive an email with instructions on how to complete your password change."
"x"	"CONTINUE"
"x"	"Forgot your password? Click 'Account Settings'."
"x"	"Typing is hard. You can get a new and easier password by clicking 'Account Settings'."
"x"	"ACCOUNT SETTINGS"
"x"	"Account Settings"
"x"	"If you know your password and want to change it, click here."
"x"	"If you have forgotten your password or your password doesn't work, click here."
"DAntlers (Grade 6)"	"If you need to change your registered email address, click here."
"DAntlers (Sacred)"	"GET NEW PASSWORD"
"DAspis (Grade 1)"	"Get New Password"
"DAspis (Grade 2)"	"CHANGE EMAIL"
"DAspis (Grade 3)"	"Change Email"
"DAspis (Grade 4)"	"Old Email Address:"
"DAspis (Grade 5)"	"New Email Address:"
"DAspis (Grade 6)"	"Verify New Email Address:"
"DAspis (Sacred)"	"If you registered an email address for this account then you can change it here. Note that both email addresses need to be active for you to make this change."
"DAssault Helmet (Grade 1)"	"The old and new email addresses you have entered are the same.  Please enter a different email address."
"DAssault Helmet (Grade 2)"	"Please make sure that the two new email addresses match."
"DAssault Helmet (Grade 3)"	"Battle.net News Updates"
"DAssault Helmet (Grade 4)"	"Last Difficulty Setting Completed:"
"DAssault Helmet (Grade 5)"	"None"
"DAssault Helmet (Grade 6)"	"ENTER CHAT"
"DAssault Helmet (Sacred)"	"\nwww.median-xl.com\n"
"DAthulua's Hand (Grade 1)"	"Unsafe Password"
"DAthulua's Hand (Grade 2)"	"The password you've chosen is unsafe. Please choose a new one."
"DAthulua's Hand (Grade 3)"	"CDKEY WARNING"
"DAthulua's Hand (Grade 4)"	"You cannot send your cdkey to another user on Battle.net. Blizzard will never ask you for your cdkey for any reason."
"DAthulua's Hand (Grade 5)"	"Expires Today"
"DAthulua's Hand (Grade 6)"	"Expires in %d days"
"DAthulua's Hand (Sacred)"	"RIP"
"DAvenger Guard (Grade 1)"	""
"DAvenger Guard (Grade 2)"	""
"DAvenger Guard (Grade 3)"	""
"DAvenger Guard (Grade 4)"	""
"DAvenger Guard (Grade 5)"	""
"DAvenger Guard (Grade 6)"	""
"DAvenger Guard (Sacred)"	""
"DBanded Plate (Grade 1)"	""
"DBanded Plate (Grade 2)"	"A Diablo II character must be played in a game, or it will eventually expire. It will not expire until six months from the time it was last played."
"DBanded Plate (Grade 3)"	"A character that expires is deleted from the realm."
"DBanded Plate (Grade 4)"	"Your character '%s' has not been given enough attention and has died."
"DBanded Plate (Grade 5)"	"\red;Devouring Banded Plate"
"DBanded Plate (Grade 6)"	"\red;Devouring Banded Plate"
"DBanded Plate (Sacred)"	"\red;Devouring Banded Plate"
"DBelt (Grade 1)"	"\red;Devouring Belt"
"DBelt (Grade 2)"	"\red;Devouring Belt"
"DBelt (Grade 3)"	"\red;Devouring Belt"
"DBelt (Grade 4)"	"\red;Devouring Belt"
"DBelt (Grade 5)"	"\red;Devouring Belt"
"DBelt (Grade 6)"	"\red;Devouring Belt"
"DBelt (Sacred)"	"\red;Devouring Belt"
"DBlackguard Helm (Grade 1)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 2)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 3)"	"to Assassin Skills"
"DBlackguard Helm (Grade 4)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 5)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 6)"	"The CD-Key you are currently using is disabled from playing realm games. You may continue playing the game in Single Player and Open Battle.net."
"DBlackguard Helm (Sacred)"	"Your connection has been temporarily restricted from this realm. Please try to log in at another time."
"toa"	"\orange;Belladonna Extract"
"DBladed Shield (Grade 2)"	"Twisted Essence of Suffering"
"DBladed Shield (Grade 3)"	"Charged Essence of Hatred"
"DBladed Shield (Grade 4)"	"Burning Essence of Terror"
"DBladed Shield (Grade 5)"	"Item Level"
"DBladed Shield (Grade 6)"	"Reset Stat/Skill Points"
"DBladed Shield (Sacred)"	"\red;Devouring Bladed Shield"
"x"	"-- BEGIN SIGMA CORE --"
"x"	"The following lines are hardcoded -- Marco"
"x"	"Preferences"
"x"	"Save & Exit"
"x"	"Resume Game"
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	"-- END 1.1 --"
"x"	"%d seconds to level lock\nA new quest has started"
"Rusted"	"Rusted"
"x"	"(Required Level: %d)"
"Used"	"Used"
"x"	"%s: Entrance is now sealed."
"x"	"%s: %s has joined the quest."
"x"	"Exit Quest"
"LegionX"	"Legion"
"EternalVigil"	"Eternal Vigil"
"TerrQ"	"Terror"
"Leviath"	"Leviathan"
"Peace"	"Peace"
"Mana"	"Mana"
"ZakQ"	"Zakarum"
"DrQ"	"Dragon"
"boxX"	"Box"
"barrelX"	"Barrel"
"spines"	"Spines"
"slammer"	"Slammer"
"prophetX"	"Prophet"
"charmX"	"Charm"
"strBodyLocItemHead"	"Helmet"
"strBodyLocItemNeck"	"Necklace"
"strBodyLocItemTorso"	"Body Armor"
"strBodyLocItemRArm"	"Right Hand Item"
"strBodyLocItemLArm"	"Left Hand Item"
"strBodyLocItemRRin"	"Right Hand Ring"
"strBodyLocItemLRin"	"Left Hand Ring"
"strBodyLocItemBelt"	"Belt"
"strBodyLocItemBoots"	"Boots"
"strBodyLocItemGloves"	"Gloves"
"strBodyLocItemRArmSwitch"	"Secondary Right Hand Item"
"strBodylocItemLArmSwitch"	"Secondary Left Hand Item"
"strDurabilityWarningBroken"	" now Broken"
"strDurabilityWarningCritical"	" now Severely Damaged"
"strDurabilityWarningDamaged"	" now Damaged"
"strRaidNotif"	"this quest\nnamed \orange;%S\gold; to join in\nactivated, join the game\nA new raid quest has been"
"strRaidNotifOwnGame"	"activated in this game.\nA new raid quest has been"
"StrAmmoWarningOutOfAmmo"	"You're out of ammunitions"
"StrAmmoWarningCritical"	"Ammunitions are running really low"
"StrAmmoWarningWarn"	"Ammunitions are running low"
"StrLevelUpNotif"	"Level up"
"StrStatPointsNotif"	"New stat points"
"StrSkillPointsNotif"	"New skill points"
"StrQuestUpdateNotif"	"You've made new progress in a quest"
"StrCfgTabHotkey"	"Settings\nHotkey"
"StrCfgTabNotif"	"Settings\nNotification"
"StrCfgTabDisplay"	"Settings\nInterface"
"StrCfgTabVideoSound"	"Settings\nVideo & Sound"
"StrDisplayAlvl"	"Area Level: "
"x"	"Warp Blade"
"CfgNoPickup"	"Toggle item pickup"
"CfpMapReveal"	"Reveal map"
"CfgNotifNewArea"	"Entering new area"
"CfgNotifDurability"	"Gear durability decay"
"CfgNotifAmmo"	"Ammunitions running low"
"CfgNotifGold"	"Gold gains and loss"
"CfgNotifLevelUp"	"Level up"
"CfgNotifNewStats"	"New stat points"
"CfgNotifNewSkills"	"New skill points"
"CfgNotifActiveBuffs"	"Active buffs and debuffs"
"CfgNotifRealmWhispers"	"Friends activity whispers"
"CfgDisplayHp"	"Always show hitpoints"
"CfgDisplayMp"	"Always show mana"
"CfgDisplayGameTime"	"Time spent in game when using automap"
"CfgDisplayIlvl"	"Display item's level"
"CfgDisplayGameName"	"Game's name when using automap"
"CfgDisplayGamePwd"	"Game's password when using automap"
"CfgDisplayAlvl"	"Area's level when using automap"
"CfgVolume"	"Gameplay volume"
"CfgMusicVolume"	"Music Volume"
"CfgContrast"	"Contrast"
"CfgGamma"	"Gamma"
"x"	"+20% Damage Reduction to Mana Shield"
"x"	"Self-Immolation damage per cast unchanged\n+3 seconds to Balefire Buff Duration"
"x"	"Pagan Rites also Restores Mana"
"x"	"Superbeast adds Deadly Strike Instead of Spell Damage"
"x"	"+30% Pierce Chance to Mind Flay"
"x"	"50% less Storm Crow Knives Lost When Hit"
"x"	"Lion Stance Does not Reduce Your Physical Resistance"
"x"	"+40% Pierce Chance to Stormeye Totem"
"x"	"+400% Fire Damage to Colosseum"
"x"	"+2 Additional Projectiles to Graveyard"
"x"	"Ragh nar Rook"
"x"	"Dragonform Attribute Bonus is Halved"
"x"	"Mana Shield: 33% less Mana Drained when Hit"
"x"	"Mana Shield: 95% less Mana Drained when Hit"
"x"	"Moonbeam Buff Duration is Doubled"
"x"	"50% of your Fire and Poison spell damage added as Defense Bonus"
"x"	"+1000% Damage to Lightning Arena"
"StrCfgAssignHotkey"	"Or press any key to assign\nPress DEL to unassign key\nPress ESC to cancel"
"x"	"Deal no Fire, Lightning, Poison or Magic Damage\n200% of Vitality Added as Cold Damage to Weapon"
"x"	"Remorseless Winter"
"x"	"If You Have at Least 1000 Strength, Knockback Enemies"
"x"	"''Knowledge is Power''"
"x"	"+1.5% Spell Damage per 1% Additional Experience Gain"
"x"	"\dgrey;+100% Bonus Magic Damage to Shower of Rocks\n+400% Bonus Magic Damage to Thunder Slam\n+300% Bonus Magic Damage to Earthquake\n\orange;If You Have no Points in the Stance Tree:"
"x"	"Parasite Gains 12 Additional Targets"
"x"	"Flamefront has Twice as Many Firebolts"
"x"	"Firedance Grants 1% Deadly Strike Per Base Level"
"x"	"Idol of Scosglen has no Cooldown"
"1288"	"+15% Total Damage to Elemental"
"1289"	"+10% Total Damage to Elemental"
"x"	"Mana Sweep: +30% Total Damage, Leeches no Mana"
"x"	"+40% Pierce Chance to Fortress"
"x"	"+60% Pierce Chance to Fortress"
"x"	"Celeri Caelesti Iustitia"
"x"	"16% of Lightning Resistance Added as Lightning Spell Damage"
"x"	"After Level 120, Physical Resist +15%\nUntil Level 120, +25% to Experience Gained"
"x"	"Treewarden Morph"
"x"	"+100% Bonus Lightning Damage to Thundercrack"
"x"	"\dgrey;+10% to Physical/Magic Spell Damage\n+25 Strength Factor to Spell Damage\n+25 Energy Factor to Spell Damage\n+25% Total Character Defense\n+20 Life after each Kill\n+1 to All Skills\n\orange;Gematria"
"x"	"+300% Damage to The Zakarum"
"x"	"\dgrey;+20% to Elemental Resists\n+0.75% Base Block Chance\n+1 to All Skills\n\orange;Gematria"
"x"	"Worship the Crack Monkeys!"
"x"	"Cannot be Unsocketed"
"x"	"Drains 2% Life per Second"
"x"	"+1 Hunting Banshee/Elemental Projectile\nDrains 2% Life per Second"
"x"	"+1 Hunting Banshee/Elemental Projectile"
"x"	"+2 Hunting Banshee Projectiles\n\orange;Elemental Nullified"
"x"	"+2 Elemental Projectiles\n\orange;Hunting Banshee Nullified"
"x"	"Random Elemental Resistance Bonus"
"x"	"Random Movement Speed Bonus"
"x"	"+3 Tempest Projectiles"
"x"	"+150% Total Familiar Damage"
"x"	"+20 to Maximum Familiar Skill Level"
"x"	"Level 6 Nephalem Spirit Aura"
"x"	"+300% Bonus Magic Damage to Spiral Dance"
"x"	"+1% Physical Resist per 18% Mana Regeneration"
"x"	"+1% Physical/Magic Spell Damage per 15 Vitality\n+1% Total Character Defense per 15 Dexterity"
"x"	"Cube with Rune to Open Time Rift\n"
"x"	"-5% Deadly Strike per 1% Attack Speed\n+500% Deadly Strike"
"x"	"+150% Bonus Fire Damage to Fairy Ring"
"11320"	"Cannot be Upgraded"
"11321"	"+50% Pierce Chance to Mind Flay"
"11322"	"+50% Bonus Magic Damage to Maelstrom MkI"
"11323"	"-1% Cold Spell Damage per 1 Light Radius\n+3% Fire Spell Damage per 1 Light Radius\n+4 Energy Factor per 1 Light Radius"
"11324"	"Level 20 Eagle Stance\n+2 Projectiles to Mind Flay"
"11325"	"Level 10 Wolf Stance"
"11326"	"Adds 100% of Your Physical/Magic Spell Damage as Bonus Weapon Physical Damage\nAdds 100% of Your Fire Spell Damage as Bonus Weapon Physical Damage"
"11327"	"-1% to Enemy Poison Resistance per 20 Strength\n-200% to Poison Spell Damage"
"11328"	"\dgrey;Adds 150-300 Fire Damage\n+30% Attack Speed\n\orange;Gematria"
"11329"	"+50% Increased Mana Pulse Duration"
"11330"	"150% of Crushing Blow added as Fire and Cold Spell Damage"
"11331"	"+100% Bonus Lightning Damage to Iron Spiral"
"11332"	"Lightning Shield adds 15 - 25 Lightning Damage to Weapon per Skill Level\nThundergod Nova Deals 5000 Lightning Damage\n+1 Projectile to Stormblast"
"11333"	"0.3% Singularity Damage Leeched as Life\n+3 Targets to Vessel of Justice"
"11334"	"+1% Deadly Strike per 6% Fire Spell Damage\nTotal Defense Reduced by 25%"
"11335"	"+100% Bonus Magic Damage to Widowmaker\n+10% Life Leech to Death Shards"
"11336"	"+5 Projectiles to Magic Missiles"
"11337"	"Level 1 Demon Blood Aura"
"11338"	"Skills Cost Life Instead of Mana"
"11339"	"\dgrey;-10% to Enemy Poison Resistance\n+30 Life After Each Kill\n+2.5% Physical Resist\n+1 to All Skills\n\orange;Gematria"
"11340"	"0.4% Vessel of Retribution Damage Leeched as Life"
"11341"	"+750 Fire Damage to Main Queen of Blades Projectiles"
"11342"	"-15% Weapon Physical Damage per 1% Crushing Blow"
"11343"	"+2% Kraken Stance Damage per Base Level in the Honor Tree"
"11344"	"Deal No Elemental or Magic Damage"
"11345"	"Fear No Evil"
"11346"	"50% of Your Total Character Defense Added as Vitality"
"11347"	"\dgrey;+600 Strength Factor to Spell Damage\n+600 Energy Factor to Spell Damage\n+25% Physical Resist\n+33% Deadly Strike\n+100% Magic Find\n+50% Cast Speed\n\orange;If you have No Devotion Skills:"
"11348"	"Stormcall Deals No Lightning Damage\nStormcall Deals Double Damage"
"11349"	"+14% Magic Damage to Crucify per Base Level"
"11350"	"-1% to Enemy Fire and Poison Resists per Shadow Refuge Base Level"
"11351"	"+100% Duration to Solar Flare Buff"
"11352"	"Stampede Cooldown Cannot be Reduced Below 0.8 seconds"
"11353"	"You may Only use Melee, Summon and Support Skills"
"11354"	"Fire Pierce Reduces Cold Pierce\nFire Spell Damage Reduces Cold Spell Damage\nGlacial Nova no Longer Freezes Enemies\nGlacial Nova Deals +150% Total Damage"
"11355"	"\dgrey; 20 Second Cooldown to All Lightning Tree Spells\n\orange;If You Have any Points in the Fire, Cold or Poison Trees:"
"11356"	"60% of Weapon Damage Added to Magnetic Field as Bonus Physical Damage\n100% of Magnetic Field Bonus Lightning Damage Converted to Physical"
"11357"	"Otherwise, +20% Deadly Strike\nIf Wielded by a Mercenary, +100% Magic find"
"11358"	"Summon Two Necromancer Minions With Each Cast"
"11359"	"Otherwise, -10% Total Mind Flay Damage\nIf You Have Not Been Hit Recently, +30% Total Mind Flay Damage"
"11360"	"-1.5% Enemy Poison Resist per Snake Stance Base Level\nSnake Stance Only Affects You"
"11361"	"\dgrey;-1% to Enemy Fire and Lightning Resists per 50 Attributes\n+200% to Fire and Lightning Spell Damage\nAdds 3 - 5 Lightning Damage per 10 Attributes\nAdds 3 - 5 Fire Damage per 10 Attributes\n\orange;While Using Whirlwind:"
"11362"	"Minion Damage Also Increases Your Spell Damage at 50% Efficiency"
"11363"	"+1% Attack Speed per 20 Strength"
"11364"	"\dgrey;+0.5% to Maximum Elemental Resistances\n+250 to Life\n\orange;Gematria"
"11365"	"Deal No Lightning Damage"
"x"	""
"x"	""
"11368"	"Congratulations!"
"11369"	"Cube after Killing Dark Star Dragon in Under 2 Minutes"
"11370"	"+8 to Maximum Forked Lightning Projectiles"
"11371"	"Deal No Crushing Blows\nYour Attacks Ignore the Physical Resistance of the Undead\n50% of Minion Life Increases Added as Total Character Defense\n10% of Minion Damage Increases Added as Deadly Strike"
"11372"	"(Max: 1 minute from each other)\nCube after Killing Imperius and Malthael"
"11373"	"Cube with Essence to Roll Stat"
"11374"	"Cube with Mystic Shard to Upgrade"
"11375"	"Total Chance to Avoid Damage = 0%"
"11376"	"Fire Elementals Gain 100% of Their Physical Damage as Fire"
"11377"	"Adds 1 - 3 Fire, Cold and Lightning Damage to Weapon per 1 Strength Factor"
"11378"	"+300% Weapon Physical Damage if Wielding a Scepter"
"11379"	"\dgrey;+1 Projectile to Iceburst\n\orange;While Dual Wielding This Weapon:"
"11380"	"\dgrey; +200% Bonus Magic Damage to Noctule\n\orange;While Dual Wielding This Weapon:"
"11381"	"+20 second Cooldown to Ice Elementals"
"11382"	"+20 second Cooldown to Blade Spirits"
"11383"	"+30 Second Cooldown to Jinn"
"11384"	"+1 Projectile to Boneyard\n+100% Duration to Bane"
"11385"	"+50% Poison Damage to Windform"
"11386"	"Arrow Swarm Shoots Twice as Many Projectiles"
"11387"	"Hymn Regenerates 4% of Maximum Life per Second"
"11388"	"Dragonlore: Ecstatic Frenzy Does Not Reduce Your Defense"
"11389"	"+3 Projectiles to Scorpion Blade"
"11390"	"Guardian Spirits Inherit 100% of Your Deadly Strike"
"11391"	"Veil King Inherits Your Dragonfire Oil Fire Damage"
"11392"	"Deathlord Makes You Significantly More Vulnerable to All Damage"
"11393"	"\dgrey;+0.5% Crushing Blow per Tantrum Skill Level\n+0.5% Deadly Strike per Tantrum Skill Level\n\orange;While Tantrum is Active:"
"11394"	"+50% Total Damage to Symphony of Destruction\n+2 Projectiles to Graveyard\nDeal No Fire, Lightning or Cold Damage"
"11395"	"+1.5% Cold Spell Damage For Each Skill Level of Your Ways Passives\n-1 Projectile to Limpet Laser"
"11396"	"This Fire Damage Increases by 10% For Each Base Level in the Crossbow Tree\n+500 Fire Damage to Flametail Shot"
"11397"	"+18% Bonus Fire Damage to Sun Strike per Base Level in the Bow Tree\nSun Strike Shoots 1 Projectile"
"11398"	"+125% Bonus Magic Damage to Parasite"
"11399"	"-1% to Enemy Elemental Resistances per Carnage Base Level"
"11400"	"This Fire Damage is Increased by 15% per Wildfire Base Level\nAdds 750 Fire Damage to Idol of Scosglen"
"11401"	"+9% Bonus Magic Damage to Laughing Ghost per Base Level in the Bow Tree"
"11402"	"\dgrey;Adds 200 - 400 Cold Damage\n-10% to Enemy Cold Resist\n\orange;Gematria"
"11403"	"Adds 50 - 100% of Dexerity as Magic Damage to Weapon"
"11404"	"Three's a Company''\n''Cross the Wide, Somber Seas I Will Sail"
"11405"	"''Cross the Wide, Somber Seas I Will Sail''"
"11406"	"\dgrey;+25% Total Character Defense\n-5% Elemental Resists\n+5% Physical Resist\n\orange;Gematria"
"11407"	"+1 Projectile to Hunting Banshee"
"11408"	"+2 Projectiles to Hunting Banshee"
"11409"	"-2% to Enemy Elemental Resistances per Nephalem Spirit Base Level"
"11410"	"+3% Lightning Spell Damage per Spirit of Vengeance Skill Level"
"11411"	"+50% Total Exorcism Damage"
"11412"	"You Have Bloodbath"
"11413"	"(Max: 1 minute from each other)\nCube after Killing Rathma and Mendeln"
"StrCfgAutomapMode"	"Small automap"
"StrCfgTextOnlyNotif"	"Text only notifications"
"StrCfgDebugUi"	"Enable Debug Interface"
