!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Cube Reagent (Secret)\n\orange;Emblem of Suffering
#X2	Cube Reagent (Secret)\n\orange;Emblem of Pain
#X3	Cube Reagent (Secret)\n\orange;Emblem of Hatred
#X4	Cube Reagent (Secret)\n\orange;Emblem of Terror
#X5	Cube Reagent (Secret)\n\orange;Emblem of Destruction
#X6	Cube Reagent (Secret)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Cube Reagent\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
A5Q3FoundAnyaLarzuk	80\nPoor Anya! I should've known Nihlathak \nwas a traitor...\n \nIf you find him alive, kill him for me!\n
A5Q3FoundAnyaMalah	56\nSo! That snake Nihlathak was behind \nAnya's disappearance...and he trapped \nher with a freezing curse.\n \nHere. Take this potion to Anya and give \nit to her. That should release her.\n
A5Q3FoundAnyaQualKehk	70\nThe snake has slipped our grasp! While \nyou were gone, Nihlathak disappeared.\n \nI'll bet Anya knows how to track him \ndown.\n
A5Q3InitMalah	43\nThere is a matter which I hesitate to \nshare, but I believe you are the only \none who can help me now.\n \nAnya, the young alchemist and \ndaughter to one of our slain Elders, \nhas been missing for some time. She is \na strong, crafty woman with a spirit \nlike no other.\n \nOne night, just before your arrival, I \noverheard her and Nihlathak arguing \nabout her father's death. The next \nmorning she was gone.\n \nNihlathak has his own tale as to where \nshe went and why. Don't believe him! I \nfear he is at the root of her \ndisappearance.\n \nPlease, if you can, search for Anya and \nbring her back to us. She'll know what \nto do about Nihlathak.\n
A5Q3SuccessfulAnya	80\nThank you, hero, for rescuing me.\n \nTo show my personal gratitude, I give \nyou this. I had it custom-made for you \nby Larzuk.\n
A5Q3SuccessfulCain	62\nFor one so young, Anya commands \ngreat respect. Now that she is here, I \nwill make it a point to talk to her about \nMount Arreat.\n \nYou should do the same.\n
A5Q3SuccessfulLarzuk	67\nI never liked Nihlathak, but I never \nsuspected that he'd betray us! I just \ncan't understand how an Elder could do \nsuch a thing.\n
A5Q3SuccessfulMalah	48\nThank you so much for bringing Anya \nback to us. I have devised this spell to \nincrease your resistances as a token of \nmy thanks. I know it isn't much, but I \nhope you find it helpful.\n \nPlease go talk to Anya. She has urgent \nnews concerning Nihlathak.\n
A5Q3SuccessfulQualKehk	140\nYour rescue of Anya was quite an \naccomplishment.\n
A5Q4AfterInitAnya	90\nAs noble as Nihlathak's intentions are, \nnothing can excuse his actions.\n
A5Q4AfterInitCain	50\nRegretfully, I know very little about this \nRelic. However, if what the others say \nis true, then Baal must not gain \npossession of it.\n \nStop Nihlathak...before all is lost.\n
A5Q4AfterInitLarzuk	56\nNow, rescuing Anya -- that's good. \nTalking to me while Nihlathak hands \nover the Relic to Baal -- uh...that's bad!\n
A5Q4AfterInitMalah	65\nMy worst fear has come true. Nihlathak \nhas gone mad.\n \nYou must stop him, before he gives the \nRelic to the Lord of Destruction!\n
A5Q4AfterInitQualKehk	60\nI saw Nihlathak leave town just before \nyou found Anya. He must be held \naccountable for his criminal deeds.\n \nFind him and bring him back, if you can. \nLikely, he won't come willingly, and \nyou'll be forced to kill him.\n \nSo be it.\n
A5Q4EarlyReturnAnya	55\nNihlathak is a traitor! If Baal gets the \nRelic, he shall enter the mountain and \nwreak havoc there!\n \nI cannot believe that Nihlathak would \ngive the Relic to Baal in any kind of \ntrade. He's truly insane if he believes \nthat he can deal with the Lord of \nDestruction.\n
A5Q4EarlyReturnCain	58\nOhh...This is a truly horrible turn of \nevents.\n \nI know it seems you have always been \none step behind, my friend. But look at \nit this way...You have evil on the run.\n
A5Q4EarlyReturnLarzuk	160\n...What's there to talk about?\n \nKill Nihlathak!\n
A5Q4EarlyReturnMalah	63\nNihlathak was never the kindest man. \nBut for him to betray the whole world...\n \nAhh...Where shall his soul finally rest?\n
A5Q4EarlyReturnQualKehk	65\nMy advice is to go in quick and hit hard. \nNihlathak can't be half as tough as the \nbeasts you've faced out there.\n
A5Q4InitAnya	43\nNihlathak told me he struck a deal with \nBaal to protect Harrogath. In exchange \nfor the demon's mercy, the misguided \nfool plans to give Baal the Relic of the \nAncients, our most holy totem!\n \nDoing so will allow Baal to enter Mount \nArreat unchallenged by the Ancients. I \ntried to stop Nihlathak, but he \nimprisoned me in that icy tomb.\n \nNihlathak must be stopped before he \ndooms the whole world. As much as I \nwould love to strangle the life out of \nhim, I'm afraid I haven't the strength.\n \nYou must go to his lair through this \nportal I've opened, kill him, and then \nbring back the Relic of the Ancients.\n \nStop Nihlathak from destroying what we \nhave striven for eons to protect.\n
A5Q4SuccessfulAnya	55\nYou have stopped Nihlathak, but he \ndidn't have the Relic! He must have \nalready given it to Baal. Now, Baal will \nnot be tested when he reaches Arreat's \nsummit.\n \n...Damn Nihlathak!\n \nI do thank you for trying, though. \nPlease, allow me to honor your courage \nby magically inscribing your name onto \nan item of your choosing. It's the least \nI can do.\n
A5Q4SuccessfulCain	90\nBeware! Baal grows stronger with every \npassing moment.\n
A5Q4SuccessfulLarzuk	93\nHmmm...What does Baal plan to do \ninside Mount Arreat?\n
A5Q4SuccessfulMalah	65\nSo, the Relic is lost. Do not dwell on \nfailures past. It is your future that \nmatters more.\n
A5Q4SuccessfulQualKehk	57\nNihlathak was a vile demon that shall \nfind his home among the tortured \nminions of Hell!\n \nYou battled the Darkness without fear. I \nlaud your skill and courage.\n
A5Q5AfterInitAnya	72\nYou wouldn't have to test yourself \nagainst the Ancients if it weren't for \nNihlathak's treachery. He was a fool \nand deserves to suffer for eternity.\n
A5Q5AfterInitCain	90\nA test of mettle is a fitting rite of \npassage for a Barbarian hero.\n
A5Q5AfterInitLarzuk	75\nEvery night, I've prayed to the Ancients \nto bring us peace...and now you must \nfight them.\n \nHuh...Who shall I pray to now, warrior?\n
A5Q5AfterInitMalah	65\nBy reaching the summit, you cease \nbeing just a simple warrior. When you \ncome back, you will be far more.\n
A5Q5AfterInitQualKehk	63\nThe Ancients are not our enemies. \nRemember that! They are our \nancestors -- our gods.\n
A5Q5EarlyReturnAnya	71\nLook. I must apologize.\n \nI feel responsible for your current \nstruggle. If I had only stopped \nNihlathak from giving Baal the Relic, \nyou would not have to fight those \nghosts.\n
A5Q5EarlyReturnCain	52\nWe have come too far to be defeated \nnow, my friend. I have seen you \ncomplete many difficult quests. Though \nthis may be your greatest trial, it is not \nbeyond your reach.\n
A5Q5EarlyReturnLarzuk	70\nYou've walked on the burial grounds of \nour greatest ancestors. I'm not sure \nwhether I should bow before you or \nrevile you for committing sacrilege.\n \nTread lightly when you walk with gods.\n
A5Q5EarlyReturnMalah	68\nDo not doubt yourself. I believe you are \nworthy to pass through the Ancients' \ngates, but you must believe, as well.\n
A5Q5EarlyReturnQualKehk	114\nI warned you!\n \nThe Ancients are not like the demons \nyou're accustomed to fighting.\n
A5Q5InitQualKehk	37\nEvery time I hear of you, warrior, your \ndeeds become more legendary.\n \nBut take heed. You are approaching the \nvery summit of Mount Arreat. I have \nnever dared venture there. It is sacred \n-- our most holy place. The legends say \nit is guarded by the Ancient Ones, who \nblock the path of all who are unworthy.\n \nYour reputation here does not \nmatter...It will be the Ancients who \ndetermine your worthiness.\n \nGood luck.\n
A5Q5SuccessfulAnya	82\nYou stand before me a worthy hero -- \nand on you rests the last hope of our \npeople.\n \nBear it well, warrior.\n
A5Q5SuccessfulCain	67\nYou have proven yourself to these \npeople. They look to you as their \nwarrior, their champion.\n
A5Q5SuccessfulLarzuk	82\nThe Ancients have honored you, and in \nturn, so do we. I have no remaining \ndoubts about you, now.\n
A5Q5SuccessfulMalah	60\nI knew the Ancients would find you \nworthy of Mount Arreat's secrets. Now, \nstop Baal before he destroys all that is \nsacred.\n
A5Q5SuccessfulQualKehk	75\nBesting the Ancients in battle is a \nmighty feat indeed. I hope this means \nyou're ready to battle Baal.\n
A5Q6EarlyReturnAnya	60\nBaal has blocked Tyrael from entering \nthe Worldstone Chamber? This truly \nhas become a battle against Hell.\n \nWhether or not it was the Heavens' \ndecree, this is your fight now -- your \ndestiny.\n
A5Q6EarlyReturnCain	51\nRemember this. Baal once possessed Tal \nRasha, one of the most powerful of the \nancient Horadrim.\n \nYour battles with Mephisto and Diablo \nwill pale in comparison to your battle \nwith Baal.\n \nThe Lord of Destruction aided by Tal \nRasha's knowledge...The mountain \nitself will tremble when you clash.\n
A5Q6EarlyReturnLarzuk	59\nI may be just an armorer, but I know \nthis...Baal plans to destroy the world \nwith the secrets contained in that \nmountain. It doesn't take a genius to \nknow he has to be stopped.\n
A5Q6EarlyReturnMalah	70\nYou knew it would eventually come down \nto this. Kill Baal! Finish the game!\n
A5Q6EarlyReturnQualKehk	63\nYou have ventured to a place beyond \nlegend. You rush to face an evil few \ncan even imagine.\n \nBe careful, my friend, and may the Light \nwatch over you.\n
A5Q6InitAncients	31\nYou are a worthy hero! We augment \nyour skill and grant you entry to the \ninterior of Mount Arreat, wherein lies \nthe Worldstone.\n \nBeware. You will not be alone. Baal the \nLord of Destruction is already inside. \n \nThe Archangel Tyrael has always been \nour benefactor, but even he cannot \nhelp us now. For Baal blocks Tyrael's \nspiritual presence from entering the \nchamber of the Worldstone. Only you, \nmortal, have the power to defeat Baal \nnow.\n \nBaal threatens the Worldstone -- and \nthrough it, the mortal realm, itself. You \nmust stop him before he gains full \ncontrol of the sacred stone. With it \nunder his control, Baal could shatter \nthe boundaries between this world and \nthe Burning Hells, thus allowing the \nhordes of the Prime Evils to pour forth \ninto the mortal realm like an \nunstoppable tide!\n \nIf you are weak, the world as you know \nit could be lost forever. You must NOT \nfail!\n
A5Q6SuccessfulAnya	53\nYou have done the impossible, hero. \nYour defeat of the last of the three \nPrime Evils is a great victory for the \nLight. \n \nStrange that you say that the \nWorldstone must be destroyed. The \nprophecies said nothing about that.\n \nPerhaps all we have fought for will be \nlost...or perhaps we'll never need fight \nagain!\n
A5Q6SuccessfulCain	40\nI knew in time you would defeat Baal. \nYou have done everything you set out \nto do, my friend.\n \nEver since you rescued me from \nTristram, I have believed in you. It has \nbeen a supreme honor to aid you along \nthe way. \n \nSo...The Worldstone was corrupted by \nBaal. And now Tyrael must destroy it. \nWorry not. Through whatever lies \nahead I have faith that the Light will \nguide us both.\n \nGo, now, back to the Worldstone \nchamber, and enter the portal Tyrael \nhas opened for you.\n
A5Q6SuccessfulLarzuk	74\nThe Ancients themselves will envy our \nsongs about you.\n \nPlease, don't forget about us! Farewell, \nmy friend.\n
A5Q6SuccessfulMalah	48\nIf Tyrael says the Worldstone must be \ndestroyed, then it must. We cannot let \nBaal's corruption prevail!\n \nThe world will change, true -- but who is \nto say it isn't for the better?\n
A5Q6SuccessfulQualKehk	60\nThe destruction of the Worldstone does \nnot bode well for our world. But I'll try \nnot to worry...\n \nAfter all, we have warriors like you \nfighting for us and for the Light.\n \nFarewell!\n
A5Q6SuccessfulTyrael	40\nI am impressed, mortal. You have \novercome the greatest challenge this \nworld has ever faced and defeated the \nlast of the Prime Evils. However, we are \ntoo late to save the Worldstone. Baal's \ndestructive touch has corrupted it \ncompletely.\n \nGiven enough time, the Worldstone's \nenergies will drain away and the \nbarriers between the worlds will \nshatter -- the powers of Hell will flood \ninto this...Sanctuary...and eradicate \nyour people and everything you've \nlabored to build.\n \nTherefore, I must destroy the corrupted \nWorldstone before the powers of Hell \ntake root. This act will change your \nworld forever -- with consequences \neven I cannot foresee. However, it is \nthe only way to ensure mankind's \nsurvival.\n \nGo now, mortal. I have opened a portal \nthat will lead you to safety.\n \nMay the Eternal Light shine upon you \nand your descendants for what you've \ndone this day. The continued survival \nof mankind is your legacy! Above all \nelse, you have earned a rest from this \nendless battle.\n
A6+	\orange;Creepy Shrine (4)
A7+	\orange;Creepy Shrine (3)
A8+	\orange;Creepy Shrine (2)
A9+	\orange;Creepy Shrine (1)
AC	Def
AFDImm	Average Fire Damage per Second per Level
Abomination	Abomination
AbsoluteZero	Absolute Zero
AbyssKnight	Abyss Knight
Accept	ACCEPT
Accursed	Cursing
AcidBeast	Acid Beast
AcidDevil	Acid Fiend
AcidPrince	Acid Prince
Acidblood	Acidblood
Acidburn	Acidburn
Acrobat's	Acrobatic
Act 5 Combatant	Combatant
Act 5 Townguard	Guard
AdamantineGuard	Adamantine Guard
AdderZ	Adder
Addertongue	Addertongue
Addsocketsui	add sockets
Addsocketsui2	to add sockets.\nChoose the item to which you wish
Adjudicator	Adjudicator
Adramelech	Adramelech
AdrenalineRush	Adrenaline Rush
Adroit	Adroit
AdventofHatred	Advent of Hatred
Aegina	Aegina
Aegipan	Aegipan
Aerin Nexus	Aerin Nexus
Aerin Orbiter9	Aerin Orbiter
Aes Dana	Aes Dana
Aeterna	Aeterna
Aether	Aether
Afflicted	Afflicted
Afrit	Afrit
Ahriman	Ahriman
AidansLament	Aidan's Lament
Aiwass	Aiwass
Akara	Akara
AkaraGossip1	42\nThe Sisterhood of the Sightless Eye has \na long and distinguished history. Over \nthe generations our Order has become \na deadly fighting force as well as a \nbastion for women who sought to forge \ntheir own destiny.\n \nYet beware, young one, the lure of \npower and knowledge can lead to \ndisaster. I have seen ambition foul the \nbravest of hearts and recklessness dull \nhard-won wisdom.\n \nYou would do well to tread lightly upon \nthe dark path you have chosen to \nexplore.\n
AkaraGossip10	59\nBeware that you do not suffer the fate \nof the corrupted Rogues. To lose one's \nlife is a tragedy, but to lose one's soul \nis even worse.\n
AkaraGossip11	41\nEven though the corrupted ones were \nonce of our Order, you need not shy \nfrom slaying them, for they stand \nbetween you and Andariel.\n \nPerhaps, when the Demon Queen is \ndead, our Sisters will return to life, but \nmore likely they will be forever bound \nto their unholy pact.\n
AkaraGossip2	49\nI understand that Cain is the last \ndescendant of the ancient Horadrim \nand that his knowledge of their lore is \nvast. He could prove to be very useful \nin discerning the nature of our current \ncrisis.\n
AkaraGossip3	49\nKashya has always been fiercely loyal, \nbut I fear her anger and frustration \nover these recent events will lead her \ninto harm's way. She is highly \nprotective of the few Rogues remaining \nunder her command and will not send \nthem into combat unless there is dire \nneed.\n
AkaraGossip4	46\nCharsi is young and innocent. However, \nI believe her Barbarian blood thrills to \nthe prospect of adventure and danger. \nShe takes great pride in her work and \nfinds comfort in the fact that her \nweapons and armor are helping to end \nthis evil plague.\n
AkaraGossip5	48\nThough he has only been our guest for \na short time, I sense that Warriv has \nfaced many harrowing trials. Though \nhe knows, as I do, that a terrible evil \nhas blanketed the land, his only real \nconcern is to reach the eastern trading \nports with his caravan.\n
AkaraGossip6	53\nTo be honest, I have done my best to \nstay clear of Gheed. He wears \ndishonesty about himself like a cloak \nand seeks only to better his situation \nby preying on the misfortunes of \nothers.\n
AkaraGossip7	55\nThe wilderness is overrun with Evil and \nthe minions of Hell have taken our \nrightful home. We must purge all Evil \nfrom the Monastery and restore order \nto the world.\n
AkaraGossip8	53\nI often dream of the day we reclaim our \nown. The Sightless Eye sees through \nthe mist of time a great glory ahead, \nbut how far ahead the Eye cannot \ndiscern.\n
AkaraGossip9	67\nOur mental discipline is matched only by \nour skill in archery... I only hope these \nare enough to withstand this awful \ntrial.\n
AkaraIntroGossip1	35\nI am Akara, High Priestess of the \nSisterhood of the Sightless Eye. I \nwelcome you, traveler, to our camp, \nbut I'm afraid I can offer you but poor \nshelter within these rickety walls.\n \nYou see, our ancient Sisterhood has \nfallen under a strange curse. The \nmighty Citadel from which we have \nguarded the gates to the East for \ngenerations, has been corrupted by the \nevil Demoness, Andariel.\n \nI still can't believe it... but she turned \nmany of our sister Rogues against us \nand drove us from our ancestral home. \nNow the last defenders of the \nSisterhood are either dead or scattered \nthroughout the wilderness.\n \nI implore you, stranger. Please help us. \nFind a way to lift this terrible curse and \nwe will pledge our loyalty to you for all \ntime.\n
AkaraIntroSorGossip1	34\nGreetings, young Sorceress. It is good \nto see more of your kind at work in the \nworld these dark days. In my opinion, \nthe world needs more women to fight \nagainst the great shadow. But I am \nforgetting my manners... \n \nI am Akara, High Priestess of the \nSisterhood of the Sightless Eye. I \nwelcome you, traveler, to our camp, \nbut I'm afraid I can offer you but poor \nshelter within these rickety walls.\n \nYou see, our ancient Sisterhood has \nfallen under a strange curse. The \nmighty Citadel from which we have \nguarded the gates to the East for \ngenerations, has been corrupted by the \nevil Demoness, Andariel.\n \nI still can't believe it... but she turned \nmany of our sister Rogues against us \nand drove us from our ancestral home. \nNow the last defenders of the \nSisterhood are either dead or scattered \nthroughout the wilderness.\n \nI implore you, stranger: please help us. \nFind a way to lift this terrible curse and \nwe will pledge our loyalty to you for all \ntime.\n
Akarat	Akarat
Akarat's Crucifix	Akarat's Crucifix
Akarat's Protector	Akarat's Protector
Akarat's Trek	Akarat's Trek
AkaratsNails	Akarat's Nails
Akhenaten	Akhenaten
Al Dhih	Al Dhih
Al Nath2	Al Nath
Aladdin's Eviserator	Aladdin's Eviscerator
AlbinoRoach	Bone Scarab
Albrecht's Heirloom	Albrecht's Heirloom
Albrecht's Revenge	Albrecht's Revenge
AlchemistApron	Alchemist Apron
Alchemy	Alchemy
Aldur's Advance	Aldur's Advance
Aldur's Deception	Aldur's Deception
Aldur's Gauntlet	Aldur's Rhythm
Aldur's Guantlet	Aldur's Gauntlet
Aldur's Stony Gaze	Aldur's Stony Gaze
Aldur's Watchtower	Aldur's Watchtower
Algiz	Algiz
AlkorGossip1	55\nEven I can tell that the evil in the jungle \nis growing. I hope you survive out \nthere, my pasty friend. I'd still like to \ndiscuss what components are best \nused in necromantic potions.\n
AlkorGossip10	88\nOh, Ormus has been talking in riddles \nfor years. I think he does it to cover up \nthe fact that he's got nothing \nintelligent to say.\n
AlkorGossip11	52\nYes, Natalya is a cute girl. However, I \nthink she could use a special potion.\n \nLet me see here, 'Radiant Beauty'... No. \n'Ray of Sunshine'... No, that's not it.\n \nAh, here it is: 'Relax Frosty Bitch'. This \nshould help her out.\n
AlkorGossip2	151\nCare to take a gander at my Grimoire?\n
AlkorGossip3	90\nI've never claimed that you'd live forever \nafter trying one of my potions! Merely \nthat you might look as though you had.\n
AlkorGossip4	105\nI keep a library of tomes - heretical, \nexegetical, hermeneutical and \npharmaceutical.\n
AlkorGossip5	50\nThere was a very fat man here recently \nasking after the Golden Bird of Ku \nY'Leh. Have you heard of it? He kept \nmuttering about ashes. I would imagine \none Golden Bird's ash-hole to be about \nthe same as another, wouldn't you?\n
AlkorGossip6	150\nI hope you don't object to my badgering \nthe witless.\n
AlkorGossip7	115\nYou came here with Meshif? That old \n'tour-guide to the stupid'!\n \nI'm surprised you made it here in one \npiece.\n
AlkorGossip8	98\nOh, Asheara's a good customer. She \nbuys a potion of manliness from me \nevery week.\n
AlkorGossip9	82\nHratli's only good for making his silly \nmagic weapons. It's not like he's got \nthe stones to actually go out and use \nthem on anything.\n
AlkorIntroGossip1	61\nDamn it, I wish you people would just \nleave me alone! I...\n \nOh, you're new here, aren't you?\n \nI am Alkor, the Alchemist. I dabble in \npotions and salves, and I can sell you \nsome if you really need them.\n \nBut don't make a habit of coming here. I \ndon't like to be disturbed while I'm \nstudying!\n
AlkorIntroNecGossip1	48\nDamn it, I wish you people would just \nleave me alone! I...\n \nOh, you're a Necromancer, aren't you? \nI've heard that your kind use powerful \npotions and such to wake the dead and \ncontrol spirits. I'd love to discuss what \ncomponents you use some time.\n \nI am Alkor, the Alchemist. I dabble in \npotions and salves, myself, and I can \nsell you some if you really need them.\n \n...Feel free to drop by anytime.\n
Alma Negra	Alma Negra
Alma's Reflection	Alma's Reflection
Alnair	Alnair
AlphaBoss	Alpha
Altar	Altar
AltarofFate	Yaerius' Simulacrum
AltarofInk	Yaerius' Mediation
AltarofMercy	Yaerius' Untruth
AltarofScripture	Yaerius' Alembic
AltarofUnseeing	Yaerius' Xyston
AmaOnly	(Amazon Only)
Amanita	Amanita
Amaterasu	Amaterasu
Amaymon	Amaymon
Amazon	Amazon
Amazonite	Amazon Warrior
Amber	Amber
Ambergris	Ambergris
AmbientSound	Ambient Sound
Ambush	Ambush
Amodeus's Manipulator	Amodeus' Manipulator
Amok	Amok
Amphibian	Amphibian
Amulet of the Viper	Amulet of the Viper
Anak	Anak
Anarchy	Anarchy
Ancient Barbarian 1	Talic
Ancient Barbarian 2	Madawc
Ancient Barbarian 3	Korlic
Ancient Eye	Ancient Eye
Ancient Kaa the Soulless	Ancient Kaa the Soulless
Ancient Statue 1	Talic the Defender
Ancient Statue 2	Madawc the Guardian
Ancient Statue 3	Korlic the Protector
Ancient Tunnels	Ancient Tunnels
AncientArmorSU3	Mercenary Bomb
AncientGiant	Ancient Giant
AncientRepositories	The Ancient Repositories
AncientsAct5IntroGossip1	35\nWe are the spirits of the Nephalem, the \nAncient Ones. We have been chosen to \nguard sacred Mount Arreat, wherein \nthe Worldstone rests. Few are worthy \nto stand in its presence; fewer still can \ncomprehend its true purpose.\n \nBefore you enter, you must defeat us.\n
AncientsLegacy	The Ancients' Legacy
AndItGetsWorse	Corpse Totems: 
Andariel	Andariel
Andariel's Visage	Andariel's Visage
AndarielMNX	Andariel
Angel's	Angel's
Angel's Song	Angel's Song
AngelHeart	Angel Heart
Angelhost	Angelhost
Angelic Halo	Angelic Halo
Angelic Mantle	Angelic Mantle
Angelic Sickle	Angelic Sickle
Angelic Wings	Angelic Wings
Angelical	Angelic
Angelical Raiment	Angelic Raiment
AngelsWrath	Angel's Wrath
Angler's Hook	Angler's Hook
AnnihilatorZ	Annihilator
Annihilus	Annihilus
Anodized Elite	Hell's Belle
Anthem De Frost9	Anthem De Frost
Antimagic	Antimagic
AnyaAct5IntroGossip1	54\nYou have proven yourself a true hero to \nme and my people.\n \nThese are dark times, warrior. I hope \nyou can bring an end to Baal's reign of \ndestruction. \n \nOur Council of Elders is gone -- my \nfather, Aust, among them. The one \nthing that keeps us from total despair \nis the promise of vengeance against \nBaal.\n
AnyaGossip1	45\nNow that the Elders are all dead, I don't \nknow who will guide our people through \nthis dark time. I was to be next in line \nafter my father, but this burden is too \ngreat for me to shoulder alone. \n \nWe are a people of strong blood. I shall \ndo what I can and let fate do the rest.\n
AnyaGossip10	60\nOur people believe that the Ancients \nprotecting Mount Arreat have the \npower to stop Baal. Unfortunately, the \nLord of Destruction has shown great \npower to undermine our faith.\n
AnyaGossip2	82\nBaal's minions are not to be trifled with. \nIn their bloodlust they will sacrifice \nthemselves to destroy you.\n
AnyaGossip3	60\nMany outsiders believe that the \nfantastic stories about our ancestors, \nthe Ancients, are but fables. However, I \nbelieve that the Ancients were more \nthan human -- that mankind has fallen \nfrom what it once was.\n
AnyaGossip4	58\nWhen I was a child, the Elders told us \nstories about the mountain and its \npower...and how the Barbarian people \nare bound to it as protectors.\n \nBaal is not just taking our land -- with \nevery step he takes up the mountain, \nhe takes a part of who we are as a \npeople.\n
AnyaGossip5	72\nI am truly glad you are here, warrior. \nPerhaps things would be different now \nif we had asked for assistance from \nthe neighboring kingdoms.\n \nOur foolish, foolish pride...\n
AnyaGossip6	54\nMy father, Aust, was among those \nElders wise enough to see that we \nwould need outside help to deal with \nBaal's legions. He believed that this \nconflict would affect the entire world, \nnot just our homeland. He said that \nMount Arreat is as necessary to the \nworld's survival as food and water is to \nour own.\n \nI believe this to be true.\n
AnyaGossip7	50\nQual-Kehk's confidence in his abilities \nonce bordered on arrogance, but in the \nearly days of the siege, he was \nhumbled by Baal. While he saved us \nfrom immediate destruction, a third of \nour warriors were lost.\n \nNone felt those losses more than he. \nThough he may not admit it, your \npresence gives him hope, warrior.\n
AnyaGossip8	78\nIf Larzuk could sing or dance half as \nwell as he smiths, he'd be married by \nnow.\n \n...Just look at those shoulders.\n
AnyaGossip9	57\nNihlathak was the last of our Elders, \nwhose charge it was to safeguard the \nmountain. He alone tried to guide us \nthrough the most desperate time in our \nhistory -- but he was just as helpless as \nthe rest of us.\n \nI cannot forgive his betrayal, but I can \nlearn from it.\n
Apocrypha	Apocrypha
Apostasy	Apostasy
Apothecary's Tote	Apothecary's Tote
Apparition	Apparition
ArSh	\orange;Arcane Cluster
Araboth	Araboth
Arach	Arach
Arachnid Mesh	Arachnid Mesh
Arachnophilia	Arachnophilia
Aragon's Icy Stare	Aragon's Icy Stare
Aragon's Masterpiece	Aragon's Masterpiece
Aragon's Storm Cloud	Aragon's Storm Cloud
Aragon's Sunfire	Aragon's Sunfire
Arcadian	Arcadian
Arcane Sanctuary	Arcane Sanctuary
ArcaneToad	Arcane Toad
Arcanna's	Arcanna's
Arcanna's Deathwand	Arcanna's Deathwand
Arcanna's Flesh	Arcanna's Flesh
Arcanna's Head	Arcanna's Head
