#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	type	sockettype	class
5@6	Ida (1)		2	3	1		3	68	0			10	12					invbsdu	0	bswd,tier	1	4
5@7	Bronze Sword (2)		2	3	1		13	124	0			20	24					invlsdu	0	bswd,tier	1	4
5@8	Kriegsmesser (3)		2	3	1		25	276	0			34	40					inv9lsu	0	bswd,tier	1	4
5@9	Bonebreaker (Sacred)		1	3	1		30	544	0			51	52					invspcu	0	spcb	1	3
5@C	Hand of God (4)		2	3	1		28	466	0		1			60	82			inv9gmu		pham,tier	1	3
5@D	Dart Thrower (1)		2	3	1		3	46	0		1			12	16			inv8lxu		nxbw,tier	1	2
5@E	Stinger Crossbow (2)		2	3	1		14	93	0		1			43	52			invmxbu		nxbw,tier	1	2
5@F	Trebuchet (3)		2	3	1		24	202	0		1			67	84			inv8mxu		nxbw,tier	1	2
60@	Halberd (Sacred)		2	4	1		30	496	86		1			53	81			invhal	0	qpol	1	-1
61@	Short Bow (Sacred)		2	3	1		30	0	402		1			53	55			invsbw	0	qbow	1	-1
62@	Hunter's Bow (Sacred)		2	3	1		30	0	425		1			56	59			invhbw	0	qbow	1	-1
63@	Long Bow (Sacred)		2	4	1		30	0	447		1			59	62			invlbw	0	qbow	1	-1
64@	Composite Bow (Sacred)		2	3	1		30	0	470		1			61	66			invcbw	0	qbow	1	-1
65@	Short Battle Bow (Sacred)		2	3	1		30	0	492		1			63	70			invsbb	0	qbow	1	-1
66@	Long Battle Bow (Sacred)		2	4	1		30	0	544		1			66	74			invlbb	0	qbow	1	-1
67@	Short War Bow (Sacred)		2	3	1		30	0	590		1			68	77			invswb	0	qbow	1	-1
68@	Long War Bow (Sacred)		2	4	1		30	0	650		1			70	79			invlwb	0	qbow	1	-1
69@	Wand (Sacred)		1	2	1		30	0	166			35	36					invwnd		qwnd	1	2
6@1	Compound Bow (4)		2	3	1		25	370	0		1			40	49			invcbwu	0	dbow,tier	1	5
6@2	Maple Bow (1)		2	3	1		3	84	0		1			11	16			inv8s8u	0	dbow,tier	1	5
6@3	Viper Bow (2)		2	3	1		14	144	0		1			28	38			invsbbu	0	dbow,tier	1	5
6@4	Recurve Bow (3)		2	3	1		24	312	0		1			50	66			invswbu	0	dbow,tier	1	5
6@5	Spatha (Sacred)		1	3	1		30	500	0			46	48					invscmu	0	sbsd	1	4
6@8	Kriegsmesser (4)		2	3	1		29	543	0			40	48					inv9lsu	0	bswd,tier	1	4
6@9	Goedendag (1)		1	3	1		3	46	0			8	11					inv7mas	0	pmac,tier	1	3
6@A	Angel Star (2)		1	3	1		13	101	0			17	25					invmstu	0	pmac,tier	1	3
6@C	Hand of God (Sacred)		2	3	1		30	832	0		1			104	105			inv9gmu		sphm	1	3
6@F	Trebuchet (4)		2	3	1		29	399	0		1			81	101			inv8mxu		nxbw,tier	1	2
70@	Yew Wand (Sacred)		1	2	1		30	0	168			36	38					invywn		qwnd	1	2
71@	Bone Wand (Sacred)		1	2	1		30	0	170			37	40					invbwn		qwnd	1	2
72@	Grim Wand (Sacred)		1	2	1		30	0	172			39	44					invgwn		qwnd	1	2
73@	War Hammer (Sacred)		2	3	1		30	470	0			42	47					invwhm		qham,ct1w	1	-1
74@	Maul (Sacred)		2	4	1		30	630	0		1			74	82			invmau		qham,ct2w	1	-1
75@	Great Maul (Sacred)		2	3	1		30	736	0		1			76	89			invgma		qham,ct2w	1	-1
76@	Light Crossbow (Sacred)		2	3	1		30	400	0		1			74	80			invlxb		qxbw	1	-1
77@	Crossbow (Sacred)		2	3	1		30	502	0		1			78	86			invmxb		qxbw	1	-1
78@	Heavy Crossbow (Sacred)		2	4	1		30	614	0		1			91	101			invhxb		qxbw	1	-1
79@	Repeating Crossbow (Sacred)		2	3	1		30	670	0		1			88	105			invrxb		qxbw	1	-1
7@1	Compound Bow (Sacred)		2	3	1		30	530	0		1			69	71			invcbwu	0	sdbw	1	5
7@4	Recurve Bow (4)		2	3	1		29	613	0		1			60	79			invswbu	0	dbow,tier	1	5
7@5	Backsword (1)		1	3	1		3	55	0			8	10					inv9sbu	0	bswd,tier	1	4
7@6	Ida (2)		2	3	1		13	106	0			18	21					invbsdu	0	bswd,tier	1	4
7@7	Bronze Sword (3)		2	3	1		23	244	0			31	37					invlsdu	0	bswd,tier	1	4
7@8	Kriegsmesser (Sacred)		2	3	1		30	642	0			53	57					inv9lsu	0	sbsd	1	4
7@C	Needle Crossbow (1)		2	3	1		2	28	0		1			7	10			invlxbu		nxbw,tier	1	2
7@D	Dart Thrower (2)		2	3	1		12	70	0		1			28	35			inv8lxu		nxbw,tier	1	2
7@E	Stinger Crossbow (3)		2	3	1		24	182	0		1			70	83			invmxbu		nxbw,tier	1	2
7@F	Trebuchet (Sacred)		2	3	1		30	500	0		1			96	101			inv8mxu		snxb	1	2
80@	Eagle Orb (Sacred)		1	2	1		30	0	171			35	36					invob1		qorb	1	1
81@	Sacred Globe (Sacred)		1	2	1		30	0	177			36	37					invob2		qorb	1	1
82@	Smoked Sphere (Sacred)		1	2	1		30	0	183			37	39					invob3		qorb	1	1
83@	Clasped Orb (Sacred)		1	2	1		30	0	188			39	41					invob4		qorb	1	1
84@	Jared's Stone (Sacred)		1	3	1		30	0	242			40	43					invob5		qorb	1	1
85@	Stag Bow (Sacred)		2	4	1		30	0	557		1			63	70			invam1		qabw	1	0
86@	Reflex Bow (Sacred)		2	4	1		30	0	680		1			67	75			invam2		qabw	1	0
87@	Maiden Spear (Sacred)		2	4	1		30	346	500		1			60	70			invam3		qasp	1	0
88@	Maiden Pike (Sacred)		2	4	1		30	350	590		1			52	93			invam4		qasp	1	0
89@	Maiden Javelin (Sacred)		1	3	1	1	30	350	600			46	54			71	88	invam5		qajv	1	0
8@1	Serpent Bow (1)		2	4	1		3	71	0		1			10	13			inv8lbu	0	dbow,tier	1	5
8@2	Maple Bow (2)		2	3	1		13	126	0		1			25	34			inv8s8u	0	dbow,tier	1	5
8@3	Viper Bow (3)		2	3	1		24	281	0		1			46	60			invsbbu	0	dbow,tier	1	5
8@4	Recurve Bow (Sacred)		2	3	1		30	725	0		1			78	85			invswbu	0	sdbw	1	5
8@7	Bronze Sword (4)		2	3	1		27	482	0			37	45					invlsdu	0	bswd,tier	1	4
8@8	Bonebreaker (1)		1	3	1		2	31	0			6	8					invspcu	0	pclb,tier	1	3
8@9	Goedendag (2)		1	3	1		12	81	0			15	21					inv7mas	0	pmac,tier	1	3
8@A	Angel Star (3)		1	3	1		22	205	0			29	39					invmstu	0	pmac,tier	1	3
8@E	Stinger Crossbow (4)		2	3	1		27	359	0		1			86	101			invmxbu		nxbw,tier	1	2
90@	Katar (Sacred)		1	3	1		30	0	333			36	37					invktr		qh2h	1	6
91@	Wrist Blade (Sacred)		1	3	1		30	0	341			38	39					invktr		qh2h	1	6
92@	Hatchet Hands (Sacred)		1	3	1		30	0	345			39	41					invaxf		qh2h	1	6
93@	Cestus (Sacred)		1	3	1		30	0	349			41	43					invaxf		qh2h	1	6
94@	Claws (Sacred)		1	3	1		30	0	400			42	44					invclw		qh2h	1	6
95@	Blade Talons (Sacred)		1	3	1		30	0	562			46	49					invclw		qh2h	1	6
96@	Scissors Katar (Sacred)		1	3	1		30	0	485			45	47					invskr		qh2h	1	6
9@3	Viper Bow (4)		2	3	1		27	553	0		1			57	74			invsbbu	0	dbow,tier	1	5
9@4	Spatha (1)		1	3	1		2	41	0			7	8					invscmu	0	bswd,tier	1	4
9@5	Backsword (2)		1	3	1		12	89	0			16	19					inv9sbu	0	bswd,tier	1	4
9@6	Ida (3)		2	3	1		22	212	0			29	33					invbsdu	0	bswd,tier	1	4
9@7	Bronze Sword (Sacred)		2	3	1		30	576	0			52	55					invlsdu	0	sbsd	1	4
9@A	Angel Star (4)		1	3	1		27	409	0			33	46					invmstu	0	pmac,tier	1	3
9@B	Hand of God (1)		2	3	1		6	76	0		1			19	23			inv9gmu		pham,tier	1	3
9@C	Needle Crossbow (2)		2	3	1		11	48	0		1			21	26			invlxbu		nxbw,tier	1	2
9@D	Dart Thrower (3)		2	3	1		21	141	0		1			49	58			inv8lxu		nxbw,tier	1	2
9@E	Stinger Crossbow (Sacred)		2	3	1		30	460	0		1			99	101			invmxbu		snxb	1	2
SM1	Tyrannical Blade		2	3	1		121	0	0			133	150					Ssword	0	xxx1	1	-1
SM2	Voidsworn Bow		2	4	1		121	0	0		1			70	79			Sbow	0	xxx2	1	-1
SM3	Voidforged Staff		1	4	1		121	0	0		1			13	16			Sstaff	0	xxx3	1	-1
Ysh3	Mystical Blade		1	4	1		120	500	500			25	38					lab_sword	0	####	1	-1
bsd	палаш		2	3	1		0	48	0			11	16					invbsd		swor	1	-1
d33	Гидбинн приманка		1	2	1		0	15	20			1	2					invd33	18	knif	1	-1
g33	Гидбинн		1	2	1		0	15	25			9	11					invg33	18	knif	1	-1
gpl	удушающий газ		1	1	1	1	6	0	0				1					invgps	0	tpot	1	-1
gpm	Душащий газ		1	1	1	1	16	0	0				1					invgpm	0	tpot	1	-1
gps	Тошнотворный газ		1	1	1	1	24	0	0				1					invgpl	0	tpot	1	-1
hdm	Хорадрический Малус		1	2	1		0	15	15			10	16					invhmr	4	horm	1	-1
hfh	Адский Кузнечный Молот		2	3	1		20	0	0			13	39					invhfh	25	hamm	1	-1
hst	Horadric Staff		1	4	1		15	15	0		1			14	20			invhst	10	staf	1	-1
j10	Eagle Orb (1)		1	2	1		0	0	0			4	5					invob1		orb,tier	1	1
j11	Sacred Globe (1)		1	2	1		1	0	8			5	5					invob2		orb,tier	1	1
j12	Smoked Sphere (1)		1	2	1		2	0	15			5	7					invob3		orb,tier	1	1
j13	Clasped Orb (1)		1	2	1		3	0	9			6	8					invob4		orb,tier	1	1
j14	Jared's Stone (1)		1	3	1		5	0	25			7	9					invob5		orb,tier	1	1
j15	Stag Bow (1)		2	4	1		3	0	78		1			9	13			invam1		abow,tier	1	0
j16	Reflex Bow (1)		2	4	1		5	0	103		1			11	17			invam2		abow,tier	1	0
j17	Maiden Spear (1)		2	4	1		3	33	67		1			6	16			invam3		aspe,tier	1	0
j18	Maiden Pike (1)		2	4	1		5	43	87		1			7	19			invam4		aspe,tier	1	0
j19	Maiden Javelin (1)		1	3	1	1	5	43	87			8	13			8	19	invam5		ajav,tier	1	0
j20	Katar (1)		1	3	1		0	0	0			4	6					invktr		h2h,tier	1	6
j21	Wrist Blade (1)		1	3	1		1	0	20			5	6					invktr		h2h,tier	1	6
j22	Hatchet Hands (1)		1	3	1		2	0	29			6	7					invaxf		h2h,tier	1	6
j23	Cestus (1)		1	3	1		2	0	39			7	8					invaxf		h2h,tier	1	6
j24	Claws (1)		1	3	1		3	0	48			8	10					invclw		h2h,tier	1	6
j25	Blade Talons (1)		1	3	1		5	0	84			11	13					invclw		h2h,tier	1	6
j26	Scissors Katar (1)		1	3	1		6	0	68			10	12					invskr		h2h,tier	1	6
j44	Eagle Orb (2)		1	2	1		8	0	18			7	7					invob1		orb,tier	1	1
j45	Sacred Globe (2)		1	2	1		10	0	19			8	9					invob2		orb,tier	1	1
j46	Smoked Sphere (2)		1	2	1		11	0	36			10	12					invob3		orb,tier	1	1
j47	Clasped Orb (2)		1	2	1		12	0	15			11	14					invob4		orb,tier	1	1
j48	Jared's Stone (2)		1	3	1		14	0	48			13	16					invob5		orb,tier	1	1
j49	Stag Bow (2)		2	4	1		12	0	118		1			19	27			invam1		abow,tier	1	0
j50	Reflex Bow (2)		2	4	1		15	0	150		1			24	34			invam2		abow,tier	1	0
j51	Maiden Spear (2)		2	4	1		12	50	102		1			13	29			invam3		aspe,tier	1	0
j52	Maiden Pike (2)		2	4	1		14	63	126		1			14	34			invam4		aspe,tier	1	0
j53	Maiden Javelin (2)		1	3	1	1	14	64	128			13	22			19	37	invam5		ajav,tier	1	0
j54	Katar (2)		1	3	1		9	0	14			8	9					invktr		h2h,tier	1	6
j55	Wrist Blade (2)		1	3	1		10	0	39			9	11					invktr		h2h,tier	1	6
j56	Hatchet Hands (2)		1	3	1		11	0	50			11	13					invaxf		h2h,tier	1	6
j57	Cestus (2)		1	3	1		12	0	63			13	15					invaxf		h2h,tier	1	6
j58	Claws (2)		1	3	1		12	0	76			14	17					invclw		h2h,tier	1	6
j59	Blade Talons (2)		1	3	1		14	0	120			19	23					invclw		h2h,tier	1	6
j60	Scissors Katar (2)		1	3	1		15	0	99			17	21					invskr		h2h,tier	1	6
j78	Eagle Orb (3)		1	2	1		18	0	49			11	12					invob1		orb,tier	1	1
j79	Sacred Globe (3)		1	2	1		20	0	43			13	14					invob2		orb,tier	1	1
j80	Smoked Sphere (3)		1	2	1		21	0	81			15	18					invob3		orb,tier	1	1
j81	Clasped Orb (3)		1	2	1		21	0	32			17	21					invob4		orb,tier	1	1
j82	Jared's Stone (3)		1	3	1		23	0	104			19	23					invob5		orb,tier	1	1
j83	Stag Bow (3)		2	4	1		21	0	231		1			33	44			invam1		abow,tier	1	0
j84	Reflex Bow (3)		2	4	1		24	0	290		1			39	54			invam2		abow,tier	1	0
j85	Maiden Spear (3)		2	4	1		22	102	203		1			21	45			invam3		aspe,tier	1	0
j86	Maiden Pike (3)		2	4	1		23	123	246		1			22	53			invam4		aspe,tier	1	0
j87	Maiden Javelin (3)		1	3	1	1	23	125	251			20	33			33	60	invam5		ajav,tier	1	0
j88	Katar (3)		1	3	1		18	0	39			13	14					invktr		h2h,tier	1	6
j89	Wrist Blade (3)		1	3	1		19	0	83			15	17					invktr		h2h,tier	1	6
j90	Hatchet Hands (3)		1	3	1		20	0	106			18	20					invaxf		h2h,tier	1	6
j91	Cestus (3)		1	3	1		21	0	128			20	23					invaxf		h2h,tier	1	6
j92	Claws (3)		1	3	1		22	0	151			22	26					invclw		h2h,tier	1	6
j93	Blade Talons (3)		1	3	1		24	0	232			29	35					invclw		h2h,tier	1	6
j94	Scissors Katar (3)		1	3	1		24	0	195			26	31					invskr		h2h,tier	1	6
j95	Eagle Orb (4)		1	2	1		22	0	104			13	14					invob1		orb,tier	1	1
j96	Sacred Globe (4)		1	2	1		24	0	88			15	18					invob2		orb,tier	1	1
j97	Smoked Sphere (4)		1	2	1		25	0	167			18	21					invob3		orb,tier	1	1
j98	Clasped Orb (4)		1	2	1		26	0	65			20	25					invob4		orb,tier	1	1
j99	Jared's Stone (4)		1	3	1		27	0	212			22	28					invob5		orb,tier	1	1
l10	Wand (1)		1	2	1		0	0	0			1	3					invwnd		wand,tier	1	2
l11	Yew Wand (1)		1	2	1		1	0	6			5	6					invywn		wand,tier	1	2
l12	Bone Wand (1)		1	2	1		2	0	9			5	7					invbwn		wand,tier	1	2
l13	Grim Wand (1)		1	2	1		5	0	15			7	10					invgwn		wand,tier	1	2
l18	Wand (2)		1	2	1		9	0	4			6	8					invwnd		wand,tier	1	2
l19	Yew Wand (2)		1	2	1		10	0	11			8	10					invywn		wand,tier	1	2
l20	Bone Wand (2)		1	2	1		11	0	15			9	13					invbwn		wand,tier	1	2
l21	Grim Wand (2)		1	2	1		14	0	23			11	18					invgwn		wand,tier	1	2
l26	Wand (3)		1	2	1		18	0	12			10	12					invwnd		wand,tier	1	2
l27	Yew Wand (3)		1	2	1		20	0	25			12	15					invywn		wand,tier	1	2
l28	Bone Wand (3)		1	2	1		21	0	32			13	19					invbwn		wand,tier	1	2
l29	Grim Wand (3)		1	2	1		23	0	46			17	26					invgwn		wand,tier	1	2
l30	Wand (4)		1	2	1		23	0	26			12	14					invwnd		wand,tier	1	2
l31	Yew Wand (4)		1	2	1		24	0	51			14	18					invywn		wand,tier	1	2
l32	Bone Wand (4)		1	2	1		25	0	65			16	23					invbwn		wand,tier	1	2
l33	Grim Wand (4)		1	2	1		27	0	92			20	31					invgwn		wand,tier	1	2
l34	War Hammer (1)		2	3	1		2	56	0			7	10					invwhm		hamm,tier	1	-1
l35	Maul (1)		2	4	1		3	93	0		1			14	18			invmau		hamm,tier	1	-1
l36	Great Maul (1)		2	3	1		5	117	0		1			16	22			invgma		hamm,tier	1	-1
l40	War Hammer (2)		2	3	1		12	90	0			12	18					invwhm		hamm,tier	1	-1
l41	Maul (2)		2	4	1		12	137	0		1			26	34			invmau		hamm,tier	1	-1
l42	Great Maul (2)		2	3	1		14	168	0		1			30	39			invgma		hamm,tier	1	-1
l46	War Hammer (3)		2	3	1		21	184	0			19	26					invwhm		hamm,tier	1	-1
l47	Maul (3)		2	4	1		22	270	0		1			40	52			invmau		hamm,tier	1	-1
l48	Great Maul (3)		2	3	1		24	326	0		1			46	60			invgma		hamm,tier	1	-1
l49	War Hammer (4)		2	3	1		25	366	0			22	31					invwhm		hamm,tier	1	-1
l50	Maul (4)		2	4	1		26	532	0		1			47	61			invmau		hamm,tier	1	-1
l51	Great Maul (4)		2	3	1		27	640	0		1			49	75			invgma		hamm,tier	1	-1
l52	Light Crossbow (1)		2	3	1		0	14	0		1			7	10			invlxb		xbow,tier	1	-1
l53	Crossbow (1)		2	3	1		2	66	0		1			11	16			invmxb		xbow,tier	1	-1
l54	Heavy Crossbow (1)		2	4	1		4	91	0		1			18	26			invhxb		xbow,tier	1	-1
l55	Repeating Crossbow (1)		2	3	1		5	103	0		1			17	28			invrxb		xbow,tier	1	-1
l60	Light Crossbow (2)		2	3	1		11	69	0		1			19	26			invlxb		xbow,tier	1	-1
l61	Crossbow (2)		2	3	1		12	101	0		1			26	35			invmxb		xbow,tier	1	-1
l62	Heavy Crossbow (2)		2	4	1		14	134	0		1			39	53			invhxb		xbow,tier	1	-1
l63	Repeating Crossbow (2)		2	3	1		15	150	0		1			37	55			invrxb		xbow,tier	1	-1
l68	Light Crossbow (3)		2	3	1		20	144	0		1			36	46			invlxb		xbow,tier	1	-1
l69	Crossbow (3)		2	3	1		21	202	0		1			44	59			invmxb		xbow,tier	1	-1
l70	Heavy Crossbow (3)		2	4	1		23	260	0		1			64	83			invhxb		xbow,tier	1	-1
l71	Repeating Crossbow (3)		2	3	1		24	290	0		1			61	87			invrxb		xbow,tier	1	-1
l72	Light Crossbow (4)		2	3	1		25	287	0		1			44	56			invlxb		xbow,tier	1	-1
l73	Crossbow (4)		2	3	1		26	401	0		1			52	70			invmxb		xbow,tier	1	-1
l74	Heavy Crossbow (4)		2	4	1		27	514	0		1			78	101			invhxb		xbow,tier	1	-1
l75	Repeating Crossbow (4)		2	3	1		28	570	0		1			74	102			invrxb		xbow,tier	1	-1
leg	Wirt's Leg		1	3	1		0	0	0			8	12					invleg		wrtl	1	-1
msf	Staff of Kings		1	3	1		0	12	0		1			13	16			invmsf	10	staf	1	-1
o10	Stag Bow (4)		2	4	1		26	0	457		1			39	53			invam1		abow,tier	1	0
o11	Reflex Bow (4)		2	4	1		28	0	570		1			47	64			invam2		abow,tier	1	0
o12	Maiden Spear (4)		2	4	1		26	201	402		1			25	54			invam3		aspe,tier	1	0
o13	Maiden Pike (4)		2	4	1		27	241	483		1			19	71			invam4		aspe,tier	1	0
o14	Maiden Javelin (4)		1	3	1	1	27	247	495			23	39			41	73	invam5		ajav,tier	1	0
o15	Katar (4)		1	3	1		23	0	83			15	16					invktr		h2h,tier	1	6
o16	Wrist Blade (4)		1	3	1		24	0	169			18	20					invktr		h2h,tier	1	6
o17	Hatchet Hands (4)		1	3	1		25	0	212			21	23					invaxf		h2h,tier	1	6
o18	Cestus (4)		1	3	1		26	0	255			23	27					invaxf		h2h,tier	1	6
o19	Claws (4)		1	3	1		26	0	298			26	30					invclw		h2h,tier	1	6
o20	Blade Talons (4)		1	3	1		28	0	456			34	41					invclw		h2h,tier	1	6
o21	Scissors Katar (4)		1	3	1		28	0	384			31	37					invskr		h2h,tier	1	6
opl	Гремучее зелье		1	1	1	1	0	0	0				1					invops	0	tpot	1	-1
opm	Взрывающееся зелье		1	1	1	1	12	0	0				1					invopm	0	tpot	1	-1
ops	Масляное зелье		1	1	1	1	20	0	0				1					invopl	0	tpot	1	-1
qf1	Khalim's Flail		2	3	1		15	41	35			8	13					invqf1	17	mace	1	-1
qf2	Khalim's Will		2	3	1		20	0	0			8	13					invqf2	17	mace	1	-1
tax	метательный топор		1	2	1	1	0	0	40			10	11			6	8	invtax		taxe	1	-1
v#X	\red;Sacred Bow		2	3	1		120	666	666		1			38	45			newathuluabow	0	#bow	1	-1
vou	вулг		2	4	1		0	50	0		1			10	20			invvou		pole	1	-1
wol	Wirt's Other Leg		1	3	1		0	0	0			13	18					invwol		wrtl	1	-1
!@1	\dgreen;Evil Eye of the Clawstorm	\blue;+20% к Получаемому Опыту\n+1 к Навыкам Класса\n\grey;Смешайте все 5 Глаз с Классовым Талисманом для Добавления Бонуса\n\nЗнак Монстра	1	1	2		0	0	0									evileye		thng		-1
!@2	\dgreen;Evil Eye of the Landmass	\blue;+20% к Получаемому Опыту\n+1 к Навыкам Класса\n\grey;Смешайте все 5 Глаз с Классовым Талисманом для Добавления Бонуса\n\nЗнак Монстра	1	1	2		0	0	0									evileye		thng		-1
!@3	\dgreen;Evil Eye of the Glowing Blob	\blue;+20% к Получаемому Опыту\n+1 к Навыкам Класса\n\grey;Смешайте все 5 Глаз с Классовым Талисманом для Добавления Бонуса\n\nЗнак Монстра	1	1	2		0	0	0									evileye		thng		-1
!@4	\dgreen;Evil Eye of the Fairy Witch	\blue;+20% к Получаемому Опыту\n+1 к Навыкам Класса\n\grey;Смешайте все 5 Глаз с Классовым Талисманом для Добавления Бонуса\n\nЗнак Монстра	1	1	2		0	0	0									evileye		thng		-1
!@5	\dgreen;Evil Eye of the Bane Hunter	\blue;+20% к Получаемому Опыту\n+1 к Навыкам Класса\n\grey;Смешайте все 5 Глаз с Классовым Талисманом для Добавления Бонуса\n\nЗнак Монстра	1	1	2		0	0	0									evileye		thng		-1
!@B	\dgreen;Signet of Skill	Нажмите ПКМ: Доступных Очков Навыка: %d	1	1	2		0	0	0									sigil4B		poti		-1
##.	\gold;Neutrality Pact		1	1	2		0	0	0									scroll05		grtz		-1
#X1	Реагент Куба (Секретный)\n\orange;Emblem of Suffering		1	1	2		0	0	0									newsignet1		thng		-1
#X2	Реагент Куба (Секретный)\n\orange;Emblem of Pain		1	1	2		0	0	0									newsignet2		thng		-1
#X3	Реагент Куба (Секретный)\n\orange;Emblem of Hatred		1	1	2		0	0	0									newsignet3		thng		-1
#X4	Реагент Куба (Секретный)\n\orange;Emblem of Terror		1	1	2		0	0	0									newtokenofter		thng		-1
#X5	Реагент Куба (Секретный)\n\orange;Emblem of Destruction		1	1	2		0	0	0									newsignet5		thng		-1
#X6	Реагент Куба (Секретный)\n\orange;Emblem of Lies		1	1	2		0	0	0									newsignet6		thng		-1
#X9	Реагент Куба\n\orange;Griswold's Treasure	\yellow;Различные вещи для каждого Класса Персонажа\n\grey;Смешайте с Зельем Крафта для Открытия Коробки\n	2	2	2		0	0	0									reagentreward		thng		-1
&66	\orange;Mystic Orb\nKara's Trinket	\blue;+10 Требуемый Уровень\n+5% к Жизни Призываемых Существ\n+5% к Рейтингу Атаки Призываемых Существ\n+10% к Урону Призываемых Существ\n+3% к Скорости Сотворения Заклинаний\n\grey;Смешайте с Кольцом/Амулетом/Колчаном для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_misc		asaa,asa#		-1
&67	\orange;Mystic Orb\nMonsterball	\blue;+10 Требуемый Уровень\n+5 к Призыву Шокового Зверя\n+2% к Сопротивлениям Призываемых Существ\n+10% к Жизни Призываемых Существ\n+5% к Урону Призываемых Существ\n\grey;Смешайте с Кольцом/Амулетом/Колчаном для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_misc		asaa,asa#		-1
&68	\orange;Mystic Orb\nHeart of Frost	\blue;+10 Требуемый Уровень\n+5% к Урону Заклинаний Холода\n+5% к Урону Призываемых Существ\nОбщий Физический Урон Оружия +15%\n\grey;Смешайте с Кольцом/Амулетом/Колчаном для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_misc		asaa,asa#		-1
&69	\orange;Mystic Orb\nRelic of Yaerius	\blue;+10 Требуемый Уровень\n+10 к Жизни после каждого Убийства\nВосстановление Жизни +50\n+5 к Максимальному Урону\n+25% Урон Нежити\n\grey;Смешайте с Кольцом/Амулетом/Колчаном для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_misc		asaa,asa#		-1
&70	\orange;Mystic Orb\nThe Endless Light	\blue;+10 Требуемый Уровень\n+100 к Защите\nОбщая Защита Персонажа Плюс 3%\n-2% ко Всем Сопротивлениям у Врага\n\grey;Смешайте с Кольцом/Амулетом/Колчаном для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_misc		asaa,asa#		-1
&71	\orange;Mystic Orb\nMarksman's Eye	\blue;+10 Требуемый Уровень\n2% к Ловкости\n10% к Рейтингу Атаки\n+3 к Минимальному Урону\n5% к Скорости Атаки\n\grey;Смешайте с Вещью для Добавления Бонуса\n	1	1	2		0	0	0									orb_any		asaa,asa#		-1
&72	\orange;Mystic Orb\nFarnham's Lost Marble	\blue;+10 Требуемый Уровень\nСлучайная Скорость Бега/Ходьбы\n+75 к Мане при Рукопашной Атаке\n+75 к Жизни при Рукопашной Атаке\n\grey;Смешайте с Вещью для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_any		asaa,asa#		-1
&73	\orange;Mystic Orb\nZayl's Soul Orb	\blue;+10 Требуемый Уровень\nДлительность Заморозки Вдвое Меньше\n+200 к Мане\n2% Возродить Как: Летающий Ятаган\n\grey;Смешайте с Вещью для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_any		asaa,asa#		-1
&74	\orange;Mystic Orb\nEye of Malic	\blue;+10 Требуемый Уровень\n+10-20 Урона Холодом\n+10-20 Урона Огнем\n1% Шанс использовать Замерзшую Душу уровня 47 при Рукопашной Атаке\n1% Шанс использовать Кровавую Звезду уровня 47 при Рукопашной Атаке\n\grey;Смешайте с Вещью для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_any		asaa,asa#		-1
&75	\orange;Mystic Orb\nApple of Discord	\blue;+10 Требуемый Уровень\n+60 к Мане\n+60 к Жизни\n\grey;Смешайте с Вещью для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_any		asaa,asa#		-1
&76	\orange;Mystic Orb\nIdol of Stars	\blue;+10 Требуемый Уровень\n+8 к Энергии\n+8 к Живучести\n+10 к Ловкости\n+10 к Силе\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_armo		asaa,asa#		-1
&77	\orange;Mystic Orb\nNagapearl	\blue;+10 Требуемый Уровень\n15% к Шансу Нахождения Магических Предметов\n50% Больше Золота от Монстров\nОглушение на 0.2 секунды\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_armo		asaa,asa#		-1
&78	\orange;Mystic Orb\nThe Moon Crystal	\blue;+10 Требуемый Уровень\nВосстановление Маны +10%\nСопротивление Молнии +15%\nСопротивление Холоду +15%\n+10% к Скорости Сотворения Заклинаний\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_armo		asaa,asa#		-1
&79	\orange;Mystic Orb\nAuriel's Focus	\blue;+10 Требуемый Уровень\nВремя Отравления Уменьшается на 5%\n+20 к Энергии\n+25% Повышенная защита\n+2% к Фактору Энергии\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n\nРеагент Куба	1	1	2		0	0	0									orb_armo		asaa,asa#		-1
