name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Fal Rune Super	FaXis	15	rx19	2	dex		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	dex		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	dex		10	10	ac/runemaster	32	32	32	item-nounsock		1	1
Lem Rune Super	LeXis	15	rx20	2	addxp		2	2	ac/runemaster	32	32	32	item-nounsock		1	1	addxp		1	1	ac/runemaster	32	32	32	item-nounsock		1	1	addxp		1	1	ac/runemaster	32	32	32	item-nounsock		1	1
Pul Rune Super	PuXis	15	rx21	2	res-fire		30	30	ac/runemaster	32	32	32	item-nounsock		1	1	res-fire		20	20	ac/runemaster	32	32	32	item-nounsock		1	1	res-fire		20	20	ac/runemaster	32	32	32	item-nounsock		1	1
Um Rune Super	UmXis	15	rx22	2	enr%		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	enr%		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	enr%		5	5	ac/runemaster	32	32	32	item-nounsock		1	1
Mal Rune Super	MaXis	15	rx23	2	res-pois		30	30	ac/runemaster	32	32	32	item-nounsock		1	1	res-pois		20	20	ac/runemaster	32	32	32	item-nounsock		1	1	res-pois		20	20	ac/runemaster	32	32	32	item-nounsock		1	1
Ist Rune Super	IsXis	15	rx24	2	enr		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	enr		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	enr		10	10	ac/runemaster	32	32	32	item-nounsock		1	1
Gul Rune Super	GuXis	15	rx25	2	res-cold		30	30	ac/runemaster	32	32	32	item-nounsock		1	1	res-cold		20	20	ac/runemaster	32	32	32	item-nounsock		1	1	res-cold		20	20	ac/runemaster	32	32	32	item-nounsock		1	1
Vex Rune Super	VeXis	15	rx26	2	half-freeze		1	1	ac/runemaster	32	32	32	item-nounsock		1	1	half-freeze		1	1	ac/runemaster	32	32	32	item-nounsock		1	1	half-freeze		1	1	ac/runemaster	32	32	32	item-nounsock		1	1
Ohm Rune Super	OhXis	15	rx27	2	vit%		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	vit%		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	vit%		5	5	ac/runemaster	32	32	32	item-nounsock		1	1
Lo Rune Super	LoXis	15	rx28	2	res-ltng		30	30	ac/runemaster	32	32	32	item-nounsock		1	1	res-ltng		20	20	ac/runemaster	32	32	32	item-nounsock		1	1	res-ltng		20	20	ac/runemaster	32	32	32	item-nounsock		1	1
Sur Rune Super	SuXis	15	rx29	2	regen-mana		15	15	ac/runemaster	32	32	32	item-nounsock		1	1	regen-mana		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	regen-mana		5	5	ac/runemaster	32	32	32	item-nounsock		1	1
Ber Rune Super	BeXis	15	rx30	2	uninterrupt		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	uninterrupt		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	uninterrupt		5	5	ac/runemaster	32	32	32	item-nounsock		1	1
Jah Rune Super	JaXis	15	rx31	2	dmg%		15	15	ac/runemaster	32	32	32	item-nounsock		1	1	ac%		15	15	ac/runemaster	32	32	32	item-nounsock		1	1	ac%		15	15	ac/runemaster	32	32	32	item-nounsock		1	1
Cham Rune Super	ChXis	15	rx32	2	vit		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	vit		10	10	ac/runemaster	32	32	32	item-nounsock		1	1	vit		10	10	ac/runemaster	32	32	32	item-nounsock		1	1
Zod Rune Super	ZoXis	15	rx33	2	slow-melee		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	slow-thorns		5	5	ac/runemaster	32	32	32	item-nounsock		1	1	slow-thorns		5	5	ac/runemaster	32	32	32	item-nounsock		1	1
