index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	*uber	*TXTtoHTML_ordering	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
KiteShieldSU3		1		1	1	120	100	@25				157	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		251	300	reanimate	1855	1	1	block3		25	25	dmg-norm		25	50	ac-global		25	50	res-all-max		0	2	cheap		10	10	swing3		25	25	light		-1	-5	red-dmg		100	100					0
TowerShieldSU3		1		1	1	120	100	@26				158	ACTIVE					5	5000	dred	dred						sock		4	4	ac%		301	350	hit-skill	874	2	8	dmg-norm		25	75	lifesteal		21	25	ac		500	500	allskills		1	2	dur%		25	25	crush		15	15	att%		50	100									0
GothicShieldSU3		1		1	1	120	100	@27				159	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350					dmg-norm		100	150	regen		250	250	move3		30	30	att		250	250	str%		25	25	heal-kill		30	60	ac		300	300									0
BoneShieldSU3		1		1	1	120	100	@43				160	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		101	150	oskill	968	16	23	pierce-all		15	15	heal-hit		1	1	dmg-ltng		222	333	dmg-fire		222	333	dmg-cold		222	333	res-all		10	15	dex		50	75	allskills		1	1					0
SpikedShieldSU3		1		1	1	120	100	@44				161	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		151	200	block		1	1	swing3		25	25	red-dmg%		5	10	dmg-max		100	100	stam		1	1	hp%		10	10	all-stats%		20	25	heal-kill		25	75									0
SashSU3		1		1	1	120	100	@28				162	ACTIVE					5	5000	dyel	dyel						sock		2	2	gethit-skill	38	100	1	balance3		50	50	red-dmg		100	100	res-ltng-max		10	10	abs-ltng		20	20	str		25	50	enr		25	50	heal-kill		20	30	ease		-50	-50	light		5	5					0
LightBeltSU3		1		1	1	120	100	@29				163	ACTIVE					5	5000	blac	blac						sock		2	2	ac%		151	200	allskills		1	2	extra-all		21	30	res-all		21	25	balance3		30	30	light		1	5	enr		40	50	enr-factor		51	60	cast3		25	25	hp		100	100					0
BeltSU3		1		1	1	120	100	@30				164	ACTIVE					5	5000	dgrn	dgrn						sock		2	2	ac%		201	250	oskill	889	13	23	res-all-max		3	3	red-dmg%		5	5	pierce-all		10	25	ac		500	500	hp%		5	5	all-stats		20	25	ease		20	20	dmg-norm		25	50	slow		5	5	0
HeavyBeltSU3		1		1	1	120	100	@31				165	ACTIVE					5	5000	dgld	dgld						sock		2	2	ac%		251	300	slow		10	10	dmg-norm		25	50	lifesteal		10	15	swing3		20	20	str%		10	10	dex%		10	10	mag%		100	100	att-damage		25	50									0
PlatedBeltSU3		1		1	1	120	100	@32				166	ACTIVE					5	5000	blac	blac						sock		2	2	ac%		301	350	gold%		500	750	reanimate	1859	1	1	heal-kill		50	100	red-dmg%		10	10	allskills		1	1	move3		50	50	res-all		20	20	ease		50	50	all-stats%		5	5					0
LeatherGlovesSU3		1		1	1	120	100	@33				167	ACTIVE					5	5000	whit	whit						sock		4	4	reanimate	1863	1	1	hit-skill	699	1	16	ac		666	666	res-all		15	20	red-dmg%		10	10	ease		-50	-50	dmg-norm		25	50	move3		30	30													0
HeavyGlovesSU3		1		1	1	120	100	@34		U		168	ACTIVE					5	5000	dpur	dpur						sock		4	4	ac%		151	200	kill-skill	784	2	13	deadly		5	5	hp/lvl		40	40	mag%		50	50	swing3		25	25	vit%		15	15																	0
ChainGlovesSU3		1		1	1	120	100	@35		L		169	ACTIVE					5	5000	dblu	dblu						sock		4	4	ac%		201	250	balance3		30	40	allskills		1	2	gold%		250	250	move3		25	25	cheap		10	15	addxp		20	20	regen		100	100	red-dmg		50	100	res-all		21	30	res-pois-len		50	50	0
LightGauntletsSU3		1		1	1	120	100	@36		T		170	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		251	300	att-skill	327	20	13	crush		11	15	res-all-max		2	2	all-stats%		11	15	allskills		0	1																					0
GauntletsSU3		1		1	1	120	100	@37		I		171	ACTIVE					5	5000	blac	blac		gauntletsuu				sock		4	4	ac%		301	350	ac-global		41	50	allskills		1	1	reanimate	1569	20	20	all-stats		21	25	str%		10	15	dex%		10	15	swing3		25	25	dmg-min		50	50									0
BootsSU3		1		1	1	120	100	@38		M		172	ACTIVE					5	5000	lyel	lyel						sock		4	4	oskill	58	6	10	extra-all		15	20	allskills		1	1	move3		30	30	cast3		25	25	enr		41	50	mana%		10	10																	0
HeavyBootsSU3		1		1	1	120	100	@39		A		173	ACTIVE					5	5000	dred	dred						sock		4	4	ac%		151	200	crush		10	15	dmg-to-mana		10	10	res-all		21	25	hp		200	200	dmg-fire		150	200	dmg-cold		150	200	dmg-ltng		150	200	dmg-mag		150	200	thorns		300	500	heal-kill		25	50	0
ChainBootsSU3		1		1	1	120	100	@40		T		174	ACTIVE					5	5000	oran	oran						sock		4	4	ac%		201	250	ass		0	2	ama		0	2	bar		0	2	dru		0	2	nec		0	2	sor		0	2	pal		0	2	move3		50	50	hp%		10	10	red-dmg%		10	10	0
LightPlatedBootsSU3		1		1	1	120	100	@41		I		175	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		251	300	death-skill	486	100	23	kill-skill	950	3	13	dmg-max		100	150	lifesteal		10	10	manasteal		10	10	all-stats%		10	10	ease		-20	-20	move3		30	30									0
GreavesSU3		1		1	1	120	100	@42		V		176	ACTIVE					5	5000	blac	blac		greavessu3				sock		4	4	ac%		301	350	uninterrupt		10	10	dmg-norm		35	65	ease		20	20	swing3		25	25	hit-skill	492	3	35	red-dmg%		5	5	all-stats		21	25	allskills		1	1									0
MorionSU3		1		1	1	120	100	6@K	Moron (Sacred)	E		177	ACTIVE					5	5000	oran	oran						sock		4	4	ac%		150	200	hp-minion		50	50	dmg-minion		50	50	res-all-minion		15	15	ama		2	3	hp%		5	5	mana%		15	15	all-stats		21	25	cast3		25	25									0
CervelliereSU3		1		1	1	120	100	4@L				178	ACTIVE					5	5000	dgld	dgld						sock		4	4	no-ac		-100	-100	pierce-fcl		22	22	dmg-fire		222	555	dmg-cold		222	555	dmg-ltng		222	555	ama		1	2	res-all-max		5	5	red-dmg%		5	5	avoidance		5	5	lifesteal		10	15					0
EinherjarHelmSU3		1		1	1	120	100	2@M				179	ACTIVE					5	5000	dblu	dblu						sock		4	4	extra-pm		25	50	extra-fire		25	50	ama		1	2	ac%		251	300	red-dmg%		5	5	cast3		25	25	enr%		15	15	mana%		20	20	hp		-100	-100	ease		20	20	heal-kill		25	25	0
SpangenhelmSU3		1		1	1	120	100	9@M	Spangenhelm (Sacred)	F		180	ACTIVE					5	5000	blac	blac						sock		4	4	oskill	604	12	18	ac%		301	350	crush		10	15	dmg-norm		25	50	heal-kill		66	66	ac-global		30	50	str%		15	15	dex%		15	15	att%		150	150	swing3		25	25					0
AthuluasHandSU3		1		1	1	120	100	07!		U		181	ACTIVE					5	5000	dgrn	dgrn						sock		4	4	ac%		200	250	extra-fire		25	50	extra-pm		25	50	pierce-fire		25	25	ama		2	3	cast3		25	25	gold%		100	100	enr%		25	50	enr-factor		50	75	regen		100	100					0
PhoenixShieldSU3		1		1	1	120	100	14!				182	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		251	300	oskill	609	3	8	red-dmg%		-15	-15	ac		500	500	cast3		25	25	ama		1	2	res-all		15	15	light		3	3	enr%		15	20	ease		50	50					0
SetzschildSU3		1		1	1	120	100	21!	Setzschild (Sacred)	C		183	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		301	350	ac		2000	2000	oskill	428	3	8	red-dmg%		10	10	pierce-pois		50	50	ama		1	1	crush		10	15	slow		10	10	move3		25	25	hp%		5	5	heal-kill		25	50	0
ParmaSU3		1		1	1	120	100	7@N		K		184	ACTIVE					5	5000	dblu	dblu						sock		4	4	ac%		251	300	oskill	375	1	1	heal-hit		1	1	crush		15	15	move3		20	25	swing3		25	25	allskills		1	1	res-all		10	15	str%		20	20	block		1	1	ease		25	25	0
AspisSU3		1		1	1	120	100	5@O		I		185	ACTIVE					5	5000	whit	whit						sock		4	4	ac%		251	300	charged	603	33	14	ass		2	2	hp-minion		40	50	dmg-minion		40	50	att%-minion		100	100	res-all-minion		10	10	move3		30	30	red-dmg%		10	10									0
TotemShieldSU3		1		1	1	120	100	3@P		N		186	ACTIVE					5	5000	dgld	dgld						sock		6	6	ac%		251	300	extra-all		30	40	pierce-fire		25	25	pierce-ltng		25	25	ass		1	2	block		1	1	block3		25	25	cast3		30	30	avoidance		5	5	enr%		20	20	dex%		20	20	0
BladedShieldSU3		1		1	1	120	100	1@Q		G		187	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		251	300					reanimate	1860	1	1	slow		15	15	lifesteal		15	20	ass		1	1	pierce-fire		25	25	pierce-ltng		25	25	pierce-pois		25	25	dex%		35	35					0
BullShieldSU3		1		1	1	120	100	28!	Bull Shit (Sacred)			188	ACTIVE					5	5000	dgry	dgry						sock		4	4	ac%		251	300	pierce-fcl		20	25	allskills		1	2	oskill	343	1	3	res-all-max		-5	-5	move3		-20	-20	red-dmg%		5	5	ac		200	200	swing3		10	10	att%		50	50					0
BronzeShieldSU3		1		1	1	120	100	35!				189	ACTIVE					5	5000	dred	dred						sock		4	4	ac%		201	250	hp-minion		40	50	dmg-minion		30	40	att%-minion		100	100	bar		2	3	maxspirits		1	1	block3		50	50	vit%		15	15	dmg-norm		150	200	ease		20	20	res-all		10	15	0
GildedShieldSU3		1		1	1	120	100	42!		R		190	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350	block		3	3	kill-skill	108	5	50	red-dmg%		-5	-5	hp%		10	10	bar		0	1	pierce-pois		25	25	str		100	100	dex		100	100	move3		30	30					0
JawboneCapSU3		1		1	1	120	100	@52		U		191	ACTIVE					5	5000	oran	oran						sock		4	4	ac%		151	200	att-skill	314	30	26	swing3		50	50	res-all		20	25	hp		150	150	dmg-minion		50	60	ac-global		30	50	slow		10	10	extra-pm		25	30	ease		-20	-20					0
FangedHelmSU3		1		1	1	120	100	@53		L		192	ACTIVE					5	5000	cred	cred						sock		4	4	ac%		201	250	dmg-norm		50	100	avoidance		5	5	lifesteal		15	20	ac-global		20	20	dmg-fire		333	666	vit		50	50	str		50	100	thorns		150	150	ac		500	500	balance3		20	20	0
HornedHelmSU3		1		1	1	120	100	@54		E		193	ACTIVE					5	5000	dgrn	dgrn						sock		4	4	ac%		251	300	oskill	757	16	23	res-all-minion		15	15	att%-minion		50	50	dmg-minion		-30	-30	hp-minion		100	100	allskills		1	2	move3		30	30	regen		50	50	light		2	3					0
AssaultHelmetSU3		1		1	1	120	100	@55		S		194	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		251	300	ignore-ac		1	1	reanimate	1180	10	10	dmg-norm		50	150	heal-kill		100	100	swing3		33	33	crush		15	15	all-stats%		10	10	light		-5	-5									0
AvengerGuardSU3		1		1	1	120	100	@56				195	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		301	350	bar		1	2	reanimate	1225	2	3	reanimate	1226	1	1	red-dmg%		10	10	gold%		750	950	mag%		150	150	ac		300	300	att%		150	150	str%		20	20	vit%		10	10	0
WolfHeadSU3		1		1	1	120	100	@47				196	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		201	250	crush		10	10	dmg-norm		100	150	ease		100	100	str%		15	15	dex%		15	15	lifesteal		10	15	dru		2	3	res-all		25	30	swing3		25	25					0
HawkHelmSU3		1		1	1	120	100	@48				197	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		201	250	hp-minion		40	50	dmg-minion		40	50	cast3		40	40	enr%		25	25	att%-minion		100	150	res-all-minion		15	15	dru		2	3	pierce-pois		40	50	extra-pois		30	40					0
AntlersSU3		1		1	1	120	100	@49				198	ACTIVE					5	5000	cred	cred						sock		4	4	ac%		251	300	cast3		25	25	enr-factor%		20	20	enr%		30	30	extra-fire		40	50	extra-cold		40	50	mana%		15	15	heal-kill		25	50	avoidance		5	5	pierce-fire		21	25	pierce-cold		21	25	0
FalconMaskSU3		1		1	1	120	100	@50	Falcon Punch (Sacred)	**FALCON KICK!**		199	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		251	300	hit-skill	463	5	32	extra-ltng		40	50	pierce-ltng		40	50	dmg-ltng		333	666	heal-hit		1	1	att%		150	150	move3		50	50	light		4	5	swing3		25	25	red-dmg%		10	10	0
SpiritMaskSU3		1		1	1	120	100	@51				200	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350	oskill	350	1	2	res-all-max		-10	-10	red-dmg%		-15	-15	heal-kill		25	40	dmg-norm		25	50	dru		1	2	hp%		5	5	str%		15	15	ac		300	300					0
PreservedHeadSU3		1		1	1	120	100	@62				201	ACTIVE					5	5000	dblu	dblu						sock		4	4	ac%		200	250	nec		0	3	extra-totems		0	1	extra-cold		0	40	mana%		0	15	pierce-cold		0	25	enr%		0	20	cast3		0	25	res-cold-max		0	10	ac		0	1000					0
ZombieHeadSU3		1		1	1	120	100	@63				202	ACTIVE					5	5000	dred	dred						sock		4	4	ac%		200	250	nec		0	3	extra-totems		0	1	extra-fire		0	40	mana%		0	15	pierce-fire		0	25	enr%		0	20	cast3		0	25	res-fire-max		0	10	ac		0	1000					0
UnravellerHeadSU3		1		1	1	120	100	@64				203	ACTIVE					5	5000	dyel	dyel						sock		4	4	ac%		200	250	nec		0	3	extra-totems		0	1	extra-ltng		0	40	mana%		0	15	pierce-ltng		0	25	enr%		0	20	cast3		0	25	res-ltng-max		0	10	ac		0	1000					0
GargoyleHeadSU3		1		1	1	120	100	@65				204	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		250	300	dmg-minion		25	25	res-all-minion		15	15	hp-minion		40	50	att%-minion		100	150	maxminions		3	4	move3		30	30	res-all		21	25	dur%		-25	-25	ease		-20	-20					0
DemonHeadSU3		1		1	1	120	100	@66				205	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350	gethit-skill	439	10	24	dmg-norm		25	75	heal-hit		1	2	nec		1	2	ac-global		25	25	swing3		25	25	mag%		50	50	dex%		15	20	dex		1	75					0
HundsgugelSU3		1		1	1	120	100	49!				206	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		250	300	extra-all		21	30	pal		2	3	cast3		25	30	enr%		20	30	mana%		11	15	heal-kill		30	50	red-dmg%		5	5	light		2	3	ac-global		40	50	enr-factor		50	75	0
BlackguardHelmSU3		1		1	1	120	100	56!				207	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350	dmg-norm		25	75	reanimate	1248	2	2	gethit-skill	345	5	26	slow		10	10	lifesteal		1	15	swing3		25	25	res-all		21	25	str%		15	20	dex		15	20					0
TargeSU3		1		1	1	120	100	@57				208	ACTIVE					5	5000	dgry	dgry						sock		4	4	ac%		251	300	extra-pm		40	50	reanimate	1119	5	5	skill	448	13	21	move3		50	50	pal		1	2	cast3		-30	-30	avoidance		5	5	slow-thorns		20	20	enr%		15	15	hp%		5	5	0
RondacheSU3		1		1	1	120	100	@58				209	ACTIVE					5	5000	oran	oran						sock		4	4	ac%		251	300	extra-pm		20	30	extra-fire		20	30	pierce-fire		15	15	cast3		30	30	block		1	1	ac		666	666	light		4	5	regen		100	150	enr-factor		40	50					0
HeraldicShieldSU3		1		1	1	120	100	@59				210	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350	extra-all		30	40	oskill	338	11	21	oskill	339	11	21	pal		0	1	red-dmg%		5	5	pierce-fire		21	25	pierce-ltng		21	25	cast3		30	30	ac-global		20	30	mana%		10	10	0
AerinShieldSU3		1		1	1	120	100	@60				211	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		301	350	block		2	3	oskill	475	22	27	swing3		25	25	block3		30	30	heal-hit		1	2	pal		1	2	red-dmg%		5	5	dmg-norm		25	30									0
CrownShieldSU3		1		1	1	120	100	@61				212	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		301	350	heal-kill		25	30	charged	611	50	8	hit-skill	691	15	15	balance		25	25	ac		1000	1000	res-all		21	25	swing3		30	30	pierce-pois		50	50	str%		20	20	dex%		20	20	0
GambesonSU3		1		1	1	120	100	7@G				213	ACTIVE					5	5000	dgry	dgry						sock		6	6	ac%		201	250	mana		1500	1500	mana%		30	30	dmg-to-mana		20	20	sor		2	3	mana-kill		100	150	regen		150	200	deadly		25	25	red-dmg		50	50	enr-factor%		20	20					0
KazarghandSU3		1		1	1	120	100	3@I				214	ACTIVE					5	5000	dgrn	dgrn						sock		6	6	ac%		201	250	pierce-pois		50	50	skill	464	11	16	sor		3	4	extra-pois		50	75	ac		1500	1500	cast3		30	30	kill-skill	702	8	36	pois-len		50	75	enr%		15	20					0
BandedPlateSU3		1		1	1	120	100	1@J				215	ACTIVE					5	5000	dred	dred						sock		6	6	ac%		251	300	extra-fire		40	50	extra-ltng		40	50	pierce-fire		25	25	pierce-ltng		25	25	red-dmg%		5	5	balance3		30	30	heal-kill		25	50	regen		25	50	mana%		10	10					0
LamellarArmorSU3		1		1	1	120	100	5@H	Lame Armor (Sacred)			215	ACTIVE					5	5000	dblu	dblu						sock		6	6	ac%		251	300	hp-minion		20	30	oskill	424	13	21	dmg-minion		20	30	res-all-minion		15	15	att%-minion		75	75	sor		1	2	cast3		20	20	pierce-cold		30	30	extra-cold		40	50					0
CeremonialArmorSU3		1		1	1	120	100	8@J				216	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		301	350	kill-skill	687	5	16	reanimate	1071	10	10	lifesteal		15	20	dmg-norm		25	50	sor		1	2	avoidance		5	5	extra-all		40	50	dex%		20	30	ease		100	100					0
3AmmySU3		1		1	1	120	100	amu				217	ACTIVE					5	5000								extra-all		30	35	allskills		1	3	mana%		10	10	enr%		15	20	heal-kill		25	50																													0
2AmmySU3		1		1	1	120	100	amu				218	ACTIVE					5	5000								hit-skill	691	5	5	dmg-norm		25	50	lifesteal		5	5	allskills		2	3	res-all		10	10	red-dmg%		5	5																									0
4AmmySU3		1		1	1	120	100	amu				219	ACTIVE					5	5000								move3		50	50	ama		0	4	ass		0	4	bar		0	4	dru		0	4	nec		0	4	sor		0	4	pal		0	4	allskills		0	1	swing3		0	50	cast3		0	50	balance3		0	50	0
1AmmySU32		1		1	1	120	120	amu				220	ACTIVE					5	5000				superammy				pierce-all		35	35																																													0
4RingSU3		1		1	1	120	100	rin				221	ACTIVE					5	5000								dmg-norm		25	50	lifesteal		5	12	swing3		15	15	red-dmg%		5	5	regen		25	25	res-all-minion		10	10	str		1	15	dex		1	15																	0
1RingSU3		1		1	1	120	100	rin				222	ACTIVE					5	5000								oskill	447	15	17	allskills		1	1	skill-dur		200	200	red-dmg%		5	5																																	0
2RingSU3		1		1	1	120	100	rin				223	ACTIVE					5	5000								oskill	470	1	2	oskill	236	1	2	oskill	465	1	2	oskill	983	1	2	extra-all		15	20																													0
3RingSU3		1		1	1	120	100	rin				224	ACTIVE					5	5000								allskills		1	1	extra-all		20	30	move3		25	25	cast3		25	25	ac-global		15	20	mana%		5	5																									0
ArrowSU3		1		1	1	120	100	aqv				225	ACTIVE					5	5000								kill-skill	931	1	17	allskills		1	1	dmg-norm		25	50	pierce-all		10	10	swing3		25	25																													0
BoltSU3		1		1	1	120	100	cqv				226	ACTIVE					5	5000								nec		1	2	ama		4	5	dru		4	5	swing3		50	50	hit-skill	826	10	36	pierce-ltng		25	25																									0
2JewelSU3		1		200	1	120	100	jew				227	ACTIVE					5	5000								extra-all		5	6	cast3		5	5	item-duped		1	1	res-fire-max		0	1	res-ltng-max		0	1	res-cold-max		0	1	res-pois-max		0	1																					0
3JewelSU3		1		150	1	120	100	jew				228	ACTIVE					5	5000								hit-skill	691	1	13	dmg-norm		5	10	move3		10	10	swing3		10	10	lifesteal		1	1	item-duped		1	1																									0
1JewelSU3		1		100	1	120	100	jew				229	ACTIVE					5	5000								levelreq		10	10	allskills		1	1	res-all		5	5	ac		100	100	item-duped		1	1																													0
