index	code	enabled	rarity	lvl	lvl req	type	category	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	(S)StrName	chrtransform	invtransform	carry1	nolimit	cost mult	cost add	flippyfile	invfile	dropsound	dropsfxframe	usesound	(S)legacy	(S)updateitem	version	ladder	*eol
Anthem De Frost9	456	1	10	81	51	Double Axe (Grade 6)	Tiered Unique	sock		6	6	str-add		51	51	dmg%		75	86	dmg-min		16	18	dmg-max		43	50	cold-min		161	320	cold-max		241	480	cold-len		36	40	extra-cold		18	20	kill-skill	571	50	23	att-skill	781	3	25	uninterrupt		18	20		cblu	cblu		1	5	5000										0
Moonbender's Wing	17@	1	20	120	100	Double Axe (Sacred(1))	Sacred(1) Unique	sock		6	6	str-add		51	51	dmg%		115	143	dmg-norm		13	38	hit-skill	54	40	1	gethit-skill	54	40	1	enr%		21	25	dex%		21	25	ac-miss		1000	1000														dblu	dblu		1	5	5000										0
NewDoublecross	17@	1	8	120	100	Double Axe (Sacred(2))	Sacred(2) Unique	sock		6	6	str-add		51	51	dmg%		144	171	dmg-norm		50	100	att-skill	763	25	15	swing3		100	100	ease		-50	-50	cheap		15	15																		blac	blac		1	5	5000										0
DoubleAxeSU3	17@	1	1	120	100	Double Axe (Sacred(3))	Sacred(3) Unique	sock		6	6	str-add		51	51	dmg%		115	143	reanimate	1838	1	1	move3		25	25	balance3		50	50	slow		15	15	dmg-max		50	100	att-skill	52	10	21	light		-5	-5	str		50	75	dex		50	75		dblu	dblu		1	5	5000										0
Dragonstone	j14	1	10	16	10	Dragon Stone (Grade 1)	Tiered Unique	sock		1	1	dex-add	51	51	51	sor		1	1	extra-fire/lvl	3	3	3	abs-fire%		4	5	mag%		11	13	heal-kill		6	15	getatt-skill	564	1	2	enr-factor		21	30	cast3		15	15										cred	cred		1	5	5000										0
Dragonstone	j31	1	10	30	19	Dragon Stone (Grade 2)	Tiered Unique	sock		2	2	dex-add	51	51	51	sor		1	2	extra-fire/lvl	4	4	4	abs-fire%		6	7	mag%		13	15	heal-kill		16	25	getatt-skill	564	1	5	enr-factor		31	40	cast3		20	20										cred	cred		1	5	5000										0
Dragonstone	j48	1	10	45	29	Dragon Stone (Grade 3)	Tiered Unique	sock		2	2	dex-add	51	51	51	sor		1	2	extra-fire/lvl	5	5	5	abs-fire%		8	9	mag%		16	18	heal-kill		26	35	getatt-skill	564	1	8	enr-factor		41	50	cast3		25	25										cred	cred		1	5	5000										0
Dragonstone	j65	1	10	60	38	Dragon Stone (Grade 4)	Tiered Unique	sock		2	2	dex-add	51	51	51	sor		1	3	extra-fire/lvl	6	6	6	abs-fire%		10	11	mag%		18	20	heal-kill		36	45	getatt-skill	564	1	11	enr-factor		51	60	cast3		30	30										cred	cred		1	5	5000										0
Dragonstone	j82	1	10	74	47	Dragon Stone (Grade 5)	Tiered Unique	sock		2	2	dex-add	51	51	51	sor		2	3	extra-fire/lvl	7	7	7	abs-fire%		12	13	mag%		21	23	heal-kill		46	55	getatt-skill	564	1	14	enr-factor		61	70	cast3		35	35										cred	cred		1	5	5000										0
Dragonstone	j99	1	10	86	54	Dragon Stone (Grade 6)	Tiered Unique	sock		3	3	dex-add	51	51	51	sor		2	4	extra-fire/lvl	8	8	8	abs-fire%		14	15	mag%		23	25	heal-kill		56	65	getatt-skill	564	1	17	enr-factor		71	80	cast3		40	40										cred	cred		1	5	5000										0
Stone of the Skatsim	84@	1	20	120	100	Dragon Stone (Sacred(1))	Sacred(1) Unique	sock		3	3	dex-add	51	51	51	sor		2	4	oskill	29	1	6	extra-ltng		21	30	extra-pois		21	30	dex		51	75	enr		51	75	gold%		125	125	oskill	403	17	25	ease		-40	-40	heal-kill		151	200		dgld	dgld		1	5	5000										0
NewAtannasKey	84@	1	8	120	100	Dragon Stone (Sacred(2))	Sacred(2) Unique	sock		3	3	dex-add	51	51	51	reanimate-rand	5	1336	1566	sor		2	2	mana%		15	15	reanimate-rand	5	1336	1566	oskill	314	9	12	light		5	5	str-factor		-50	-50	cast3		60	60	extra-all		11	13	heal-kill		101	150		dgrn	dgrn		1	5	5000										0
JaredsStoneSU3	84@	1	1	120	100	Dragon Stone (Sacred(3))	Sacred(3) Unique	sock		3	3	dex-add	51	51	51	oskill	1031	30	35	sor		3	4	pierce-pois		28	35	extra-pois		25	30	reanimate	2257	10	10	enr%		20	20	heal-kill		80	100	pierce-fire		28	35	kill-skill	145	30	28	cast3		50	50		cgrn	cgrn		1	5	5000										0
The Watcher	j10	1	10	1	1	Eagle Orb (Grade 1)	Tiered Unique	sock		1	1	dex-add	51	51	51	allskills		1	1	move3		5	5	cast3		5	5	gold%		21	35	light		1	1																						lyel	lyel		1	5	5000										0
The Watcher	j27	1	10	13	8	Eagle Orb (Grade 2)	Tiered Unique	sock		2	2	dex-add	51	51	51	allskills		1	1	move3		10	10	cast3		10	10	gold%		36	50	light		1	1																						lyel	lyel		1	5	5000										0
The Watcher	j44	1	10	27	17	Eagle Orb (Grade 3)	Tiered Unique	sock		2	2	dex-add	51	51	51	allskills		1	2	move3		15	15	cast3		15	15	gold%		51	65	light		2	2																						lyel	lyel		1	5	5000										0
The Watcher	j61	1	10	42	27	Eagle Orb (Grade 4)	Tiered Unique	sock		2	2	dex-add	51	51	51	allskills		1	2	move3		20	20	cast3		20	20	gold%		66	80	light		2	2																						lyel	lyel		1	5	5000										0
The Watcher	j78	1	10	56	36	Eagle Orb (Grade 5)	Tiered Unique	sock		2	2	dex-add	51	51	51	allskills		1	3	move3		25	25	cast3		25	25	gold%		81	95	light		3	3																						lyel	lyel		1	5	5000										0
The Watcher	j95	1	10	71	45	Eagle Orb (Grade 6)	Tiered Unique	sock		2	2	dex-add	51	51	51	allskills		2	3	move3		30	30	cast3		30	30	gold%		96	110	light		3	3																						lyel	lyel		1	5	5000										0
Habacalva's Firestar	80@	1	20	120	100	Eagle Orb (Sacred(1))	Sacred(1) Unique	sock		2	2	dex-add	51	51	51	sor		2	3	pierce-fire		22	35	enr		31	50	enr-factor		61	100	ease		-50	-50	res-fire		100	100	red-dmg%		10	10														lred	lred		1	5	5000										0
NewLeahsVision	80@	1	8	120	100	Eagle Orb (Sacred(2))	Sacred(2) Unique	sock		5	5	dex-add	51	51	51	sor		3	3	oskill	824	21	25	extra-fire		21	25	extra-ltng		21	25	demon-heal		101	150	cast3		40	40	enr-factor		50	50	reanimate	2263	3	3	reanimate	2264	3	3	red-mag		10	10		cred	cred		1	5	5000										0
EagleOrbSU3	80@	1	1	120	100	Eagle Orb (Sacred(3))	Sacred(3) Unique	sock		2	2	dex-add	51	51	51	reanimate	2243	0	0	reanimate	1853	1	3	sor		3	4	heal-kill		50	50	enr-factor		100	150	extra-all		15	30	enr		100	150	cast3		50	50	block		1	1						oran	oran		1	5	5000										0
Wildhunt	5@L	1	10	10	7	Einherjar Helm (Grade 1)	Tiered Unique	sock		1	1	ac%		24	40	extra-fire		6	8	ac-global		4	5	heal-kill		3	10	reanimate	2328	2	3	oskill	569	2	4	extra-pm		6	8																		blac	blac		1	5	5000										0
Wildhunt	6@L	1	10	25	15	Einherjar Helm (Grade 2)	Tiered Unique	sock		2	2	ac%		41	57	extra-fire		8	10	ac-global		6	7	heal-kill		11	18	reanimate	2328	3	4	oskill	569	5	7	extra-pm		8	10																		blac	blac		1	5	5000										0
Wildhunt	7@L	1	10	40	24	Einherjar Helm (Grade 3)	Tiered Unique	sock		3	3	ac%		58	75	extra-fire		11	13	ac-global		8	9	heal-kill		19	26	reanimate	2328	4	5	oskill	569	8	10	extra-pm		11	13																		blac	blac		1	5	5000										0
Wildhunt	8@L	1	10	54	33	Einherjar Helm (Grade 4)	Tiered Unique	sock		3	3	ac%		75	92	extra-fire		13	15	ac-global		10	11	heal-kill		27	34	reanimate	2328	5	6	oskill	569	11	13	extra-pm		13	15																		blac	blac		1	5	5000										0
Wildhunt	9@L	1	10	69	42	Einherjar Helm (Grade 5)	Tiered Unique	sock		4	4	ac%		92	109	extra-fire		16	18	ac-global		12	13	heal-kill		35	42	reanimate	2328	6	7	oskill	569	14	16	extra-pm		16	18																		blac	blac		1	5	5000										0
Wildhunt	1@M	1	10	83	50	Einherjar Helm (Grade 6)	Tiered Unique	sock		4	4	ac%		109	126	extra-fire		18	20	ac-global		14	15	heal-kill		43	50	reanimate	2328	7	8	oskill	569	17	19	extra-pm		18	20																		blac	blac		1	5	5000										0
Kethryes' Warband	2@M	1	20	120	100	Einherjar Helm (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		115	143	allskills		2	3	extra-pm		11	15	enr		41	50	cast3		40	40	oskill	362	22	25	oskill	363	19	23	res-mag		6	8	dex		41	50	dmg-to-mana		15	15	oskill	468	4	8		oran	oran		1	5	5000										0
New5SidheCrest	2@M	1	8	120	100	Einherjar Helm (Sacred(2))	Sacred(2) Unique	sock		4	4	ac%		144	171	dmg-norm		38	63	dex%		21	25	enr%		11	15	ignore-ac		1	1	heal-hit		5	5	oskill	384	4	9	oskill	468	12	29	cheap		10	10										lyel	lyel		1	5	5000										0
EinherjarHelmSU3	2@M	1	1	120	100	Einherjar Helm (Sacred(3))	Sacred(3) Unique	sock		4	4	extra-pm		13	25	extra-fire		13	25	ama		1	2	ac%		144	171	red-dmg%		5	5	cast3		25	25	enr%		15	15	mana%		20	20	hp		-100	-100	ease		20	20	heal-kill		25	25		dblu	dblu		1	5	5000										0
Finis Terra	103	1	10	8	5	Falchion (Grade 1)	Tiered Unique	sock		1	1	str-add		51	51	dmg%		24	40	att-skill	595	3	2	kill-skill	824	1	5	pierce-fire		2	3	pierce-pois		2	3	res-fire		11	15	res-pois		11	15														lred	lred		1	5	5000										0
Finis Terra	171	1	10	23	15	Falchion (Grade 2)	Tiered Unique	sock		2	2	str-add		51	51	dmg%		41	57	att-skill	595	5	4	kill-skill	824	1	9	pierce-fire		3	4	pierce-pois		3	4	res-fire		16	20	res-pois		16	20														lred	lred		1	5	5000										0
Finis Terra	239	1	10	38	24	Falchion (Grade 3)	Tiered Unique	sock		2	2	str-add		51	51	dmg%		58	75	att-skill	595	7	6	kill-skill	824	1	13	pierce-fire		5	6	pierce-pois		5	6	res-fire		21	25	res-pois		21	25														lred	lred		1	5	5000										0
Finis Terra	307	1	10	52	33	Falchion (Grade 4)	Tiered Unique	sock		2	2	str-add		51	51	dmg%		75	92	att-skill	595	9	8	kill-skill	824	1	17	pierce-fire		6	7	pierce-pois		6	7	res-fire		26	30	res-pois		26	30														lred	lred		1	5	5000										0
Finis Terra	375	1	10	67	42	Falchion (Grade 5)	Tiered Unique	sock		3	3	str-add		51	51	dmg%		92	109	att-skill	595	11	10	kill-skill	824	1	21	pierce-fire		8	9	pierce-pois		8	9	res-fire		31	35	res-pois		31	35														lred	lred		1	5	5000										0
Finis Terra	443	1	10	82	52	Falchion (Grade 6)	Tiered Unique	sock		3	3	str-add		51	51	dmg%		109	126	att-skill	595	13	12	kill-skill	824	1	24	pierce-fire		9	10	pierce-pois		9	10	res-fire		36	40	res-pois		36	40														lred	lred		1	5	5000										0
Bone Gasher	04@	1	20	120	100	Falchion (Sacred(1))	Sacred(1) Unique	sock		3	3	str-add		51	51	dmg%		115	143	dmg-norm		25	38	dmg-undead		250	250	att-skill	500	15	6	str		31	50	pal		2	3																		lgry	dgry		1	5	5000										0
NewFalxChthon	04@	1	8	120	100	Falchion (Sacred(2))	Sacred(2) Unique	sock		3	3	str-add		51	51	dmg%		144	171	dmg-norm		38	75	att-skill	964	25	5	regen		500	500	hp		500	500	red-dmg		50	50	indestruct		1	1	charged	612	10	14	allskills		1	1						dgld	dgld		1	5	5000										0
FalchionSU3	04@	1	1	120	100	Falchion (Sacred(3))	Sacred(3) Unique	sock		3	3	str-add		51	51	att-skill	75	10	33	att-skill	79	10	33	pierce-fire		16	24	pierce-ltng		16	24	enr%		15	15	swing3		20	25	mag%		20	25	allskills		0	1	dmg%		115	143	dmg-max		13	25		dred	dred		1	5	5000										0
Skyguard	w13	1	10	13	8	Falcon Mask (Grade 1)	Tiered Unique	sock		2	2	ac%		30	46	move3		15	15	red-dmg%		5	5	pierce-cold		4	5	mana-kill		7	10	oskill	461	1	4	res-ltng		26	30	res-cold		26	30	pierce-ltng		4	5										lblu	lblu		1	5	5000										0
Skyguard	w33	1	10	27	16	Falcon Mask (Grade 2)	Tiered Unique	sock		2	2	ac%		47	63	move3		15	15	red-dmg%		6	6	pierce-cold		6	7	mana-kill		11	14	oskill	461	5	8	res-ltng		31	35	res-cold		31	35	pierce-ltng		6	7										lblu	lblu		1	5	5000										0
Skyguard	w53	1	10	41	25	Falcon Mask (Grade 3)	Tiered Unique	sock		2	2	ac%		64	80	move3		20	20	red-dmg%		7	7	pierce-cold		8	9	mana-kill		15	18	oskill	461	9	12	res-ltng		36	40	res-cold		36	40	pierce-ltng		8	9										lblu	lblu		1	5	5000										0
Skyguard	w73	1	10	56	34	Falcon Mask (Grade 4)	Tiered Unique	sock		3	3	ac%		81	97	move3		20	20	red-dmg%		8	8	pierce-cold		10	11	mana-kill		19	22	oskill	461	13	16	res-ltng		41	45	res-cold		41	45	pierce-ltng		10	11										lblu	lblu		1	5	5000										0
Skyguard	w93	1	10	71	43	Falcon Mask (Grade 5)	Tiered Unique	sock		3	3	ac%		98	114	move3		25	25	red-dmg%		9	9	pierce-cold		12	13	mana-kill		23	26	oskill	461	17	20	res-ltng		46	50	res-cold		46	50	pierce-ltng		12	13										lblu	lblu		1	5	5000										0
Skyguard	e23	1	10	85	51	Falcon Mask (Grade 6)	Tiered Unique	sock		4	4	ac%		115	132	move3		25	25	red-dmg%		10	10	pierce-cold		14	15	mana-kill		27	30	oskill	461	21	24	res-ltng		51	55	res-cold		51	55	pierce-ltng		14	15										lblu	lblu		1	5	5000										0
Skythrone	@50	1	20	120	100	Falcon Mask (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		144	171	avoidance		10	10	dru		2	3	cast3		25	25	extra-cold		21	25	oskill	999	17	22	extra-ltng		11	13	move3		40	40	res-cold		51	60	res-ltng		51	60	red-dmg		50	50		dgry	lgry		1	5	5000										0
NewWindsinger	@50	1	8	120	100	Falcon Mask (Sacred(2))	Sacred(2) Unique	sock		4	4	ac		501	700	move3		40	40	dex%		31	40	avoidance		15	15	dmg-norm		13	38	crush		5	5	swing3		60	60	uninterrupt		10	10	block3		40	40										lgry	lgry		1	5	5000										0
FalconMaskSU3	@50	1	1	120	100	Falcon Mask (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		144	171	hit-skill	463	2	32	extra-ltng		20	25	pierce-ltng		28	35	dmg-ltng		84	167	heal-hit		1	1	att%		150	150	move3		50	50	light		4	5	swing3		25	25	red-dmg%		10	10		dgld	dgld		1	5	5000										0
Bonechewer	w16	1	10	7	4	Fanged Helm (Grade 1)	Tiered Unique	sock		2	2	ac%		18	35	oskill	689	2	4	str		7	10	swing3		5	5	reanimate	2219	2	3																										dgry	dgry		1	5	5000										0
Bonechewer	w36	1	10	21	13	Fanged Helm (Grade 2)	Tiered Unique	sock		2	2	ac%		35	52	oskill	689	5	7	str		11	14	swing3		5	5	reanimate	2219	3	4																										dgry	dgry		1	5	5000										0
Bonechewer	w56	1	10	36	22	Fanged Helm (Grade 3)	Tiered Unique	sock		2	2	ac%		52	69	oskill	689	8	10	str		15	18	swing3		10	10	reanimate	2219	4	5																										dgry	dgry		1	5	5000										0
Bonechewer	w76	1	10	51	30	Fanged Helm (Grade 4)	Tiered Unique	sock		3	3	ac%		69	86	oskill	689	11	13	str		19	22	swing3		10	10	reanimate	2219	5	6																										dgry	dgry		1	5	5000										0
Bonechewer	w96	1	10	65	39	Fanged Helm (Grade 5)	Tiered Unique	sock		3	3	ac%		87	103	oskill	689	14	16	str		23	26	swing3		15	15	reanimate	2219	6	7																										dgry	dgry		1	5	5000										0
Bonechewer	e26	1	10	81	48	Fanged Helm (Grade 6)	Tiered Unique	sock		4	4	ac%		104	120	oskill	689	17	19	str		27	30	swing3		15	15	reanimate	2219	7	8																										dgry	dgry		1	5	5000										0
Hellmaw	@53	1	20	120	100	Fanged Helm (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		115	143	dmg-fire		84	167	dmg-ltng		84	167	dmg-pois	333	128	256	res-fire		41	50	res-ltng		41	50	res-pois		41	50	dmg-norm		13	38	ease		-15	-15	att-skill	453	20	34	att-skill	680	20	27		dred	dred		1	5	5000										0
NewShadowtwin	@53	1	8	120	100	Fanged Helm (Sacred(2))	Sacred(2) Unique	sock		4	4	ac%		172	200	oskill	404	49	55	fade		1	1	hp-minion		41	50	res-all-minion		31	40	bar		2	2	res-cold		100	100	mana		500	500	mana-kill		250	250										dpur	dpur		1	5	5000										0
FangedHelmSU3	@53	1	1	120	100	Fanged Helm (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		115	143	dmg-norm		13	25	avoidance		5	5	lifesteal		15	20	ac-global		20	20	dmg-fire		84	167	vit		50	50	str		50	100	thorns		150	150	ac		500	500	balance3		20	20		cred	cred		1	5	5000										0
Fauztin's Visage	610	1	10	11	7	Field Plate (Grade 1)	Tiered Unique	sock		2	2	ac%		18	35	dmg-minion		11	15	hp-minion		7	10	res-pois		21	25	cast3		10	10	fade		1	1	res-cold		21	25	charged	416	15	1														cgrn	lgrn		1	5	5000										0
Fauztin's Visage	656	1	10	26	15	Field Plate (Grade 2)	Tiered Unique	sock		3	3	ac%		35	52	dmg-minion		16	20	hp-minion		11	14	res-pois		26	30	cast3		15	15	fade		1	1	res-cold		26	30	charged	416	20	2														cgrn	lgrn		1	5	5000										0
Fauztin's Visage	702	1	10	42	25	Field Plate (Grade 3)	Tiered Unique	sock		4	4	ac%		52	69	dmg-minion		21	25	hp-minion		15	18	res-pois		31	35	cast3		20	20	fade		1	1	res-cold		31	35	charged	416	25	3														cgrn	lgrn		1	5	5000										0
Fauztin's Visage	748	1	10	55	33	Field Plate (Grade 4)	Tiered Unique	sock		4	4	ac%		69	86	dmg-minion		26	30	hp-minion		19	22	res-pois		36	40	cast3		25	25	fade		1	1	res-cold		36	40	charged	416	30	4														cgrn	lgrn		1	5	5000										0
Fauztin's Visage	794	1	10	69	42	Field Plate (Grade 5)	Tiered Unique	sock		5	5	ac%		87	103	dmg-minion		31	35	hp-minion		23	26	res-pois		41	45	cast3		30	30	fade		1	1	res-cold		41	45	charged	416	35	5														cgrn	lgrn		1	5	5000										0
Fauztin's Visage	840	1	10	86	51	Field Plate (Grade 6)	Tiered Unique	sock		6	6	ac%		104	120	dmg-minion		36	40	hp-minion		27	30	res-pois		46	50	cast3		35	35	fade		1	1	res-cold		46	50	charged	416	40	6														cgrn	lgrn		1	5	5000										0
Icetomb	@11	1	20	120	100	Field Plate (Sacred(1))	Sacred(1) Unique	sock		6	6	ac%		115	143	att-skill	104	50	33	reanimate	2256	6	8	extra-cold		16	20	enr-factor		41	50	allskills		1	2	ease		-20	-20	damage-skill	805	5	7	all-stats		31	40	light		2	2	cold-thorns	125	500	500		cblu	cblu		1	5	5000										0
New2ItheraelsSplendor	@11	1	8	120	100	Field Plate (Sacred(2))	Sacred(2) Unique	sock		6	6	ac%		172	200	red-dmg%		10	10	ease		-100	-100	allskills		2	2	res-all		-100	-100	indestruct		1	1	fade		1	1	charged	616	5	3														lgld	lyel		1	5	5000			heartless_angel		heartless_angel					0
RavenFlockZ	128	1	10	17	11	Flail (Grade 1)	Tiered Unique	sock		2	2	str-add	51	51	51	dmg%		24	40	dur%		-21	-25	all-stats		11	15	openwounds		11	15	swing3		15	15	att-skill	330	3	5																		blac	blac		1	5	5000										0
RavenFlockZ	196	1	10	31	20	Flail (Grade 2)	Tiered Unique	sock		3	3	str-add	51	51	51	dmg%		41	57	dur%		-26	-30	all-stats		16	20	openwounds		16	20	swing3		20	20	att-skill	330	4	10																		blac	blac		1	5	5000										0
RavenFlockZ	264	1	10	46	29	Flail (Grade 3)	Tiered Unique	sock		4	4	str-add	51	51	51	dmg%		58	75	dur%		-31	-35	all-stats		21	25	openwounds		21	25	swing3		25	25	att-skill	330	5	15																		blac	blac		1	5	5000										0
RavenFlockZ	332	1	10	61	38	Flail (Grade 4)	Tiered Unique	sock		4	4	str-add	51	51	51	dmg%		75	92	dur%		-36	-40	all-stats		26	30	openwounds		26	30	swing3		30	30	att-skill	330	6	20																		blac	blac		1	5	5000										0
RavenFlockZ	400	1	10	75	47	Flail (Grade 5)	Tiered Unique	sock		5	5	str-add	51	51	51	dmg%		92	109	dur%		-41	-45	all-stats		31	35	openwounds		31	35	swing3		35	35	att-skill	330	7	25																		blac	blac		1	5	5000										0
RavenFlockZ	468	1	10	87	55	Flail (Grade 6)	Tiered Unique	sock		6	6	str-add	51	51	51	dmg%		109	126	dur%		-46	-50	all-stats		36	40	openwounds		36	40	swing3		40	40	att-skill	330	8	30																		blac	blac		1	5	5000										0
Lash of the Titans	29@	1	20	120	100	Flail (Sacred(1))	Sacred(1) Unique	sock		6	6	str-add	51	51	51	dmg%		115	143	dmg-norm		13	32	swing3		20	20	slow		11	15	allskills		2	2	str		101	150	ac-global		11	15	reanimate	2233	6	8	reanimate	2223	6	8	reanimate	2234	6	8		lred	lred		1	5	5000										0
NewKhalimsPunisher	29@	1	8	120	100	Flail (Sacred(2))	Sacred(2) Unique	sock		6	6	str-add	51	51	51	dmg%		172	200	heal-kill		100	100	swing3		40	40	att%		250	250	hp%-mp%		20	20	att-skill	311	2	59	vit%		21	30	enr%		21	30	dmg-max		76	100	dmg-demon		201	250		lgld	lgld		1	5	5000										0
FlailSU3	29@	1	1	120	100	Flail (Sacred(3))	Sacred(3) Unique	sock		6	6	str-add		51	51	dmg%		115	143	oskill	370	13	16	allskills		1	2	gethit-skill	209	15	20	dmg-norm		50	125	rip	1	1	1	slow-thorns		25	25	swing3		25	25	all-stats%		10	15	dmg-global		31	50		dgld	dgld		1	5	5000										0
Frostbringer	111	1	10	11	7	Flamberge (Grade 1)	Tiered Unique	sock		2	2	str-add		76	76	dmg%		18	35	dmg-max		8	13	att-skill	104	25	5	extra-cold		6	8	res-cold		21	25	uninterrupt		3	5	allskills		1	1														cblu	cblu		1	5	5000										0
Frostbringer	179	1	10	26	17	Flamberge (Grade 2)	Tiered Unique	sock		3	3	str-add		76	76	dmg%		35	52	dmg-max		13	18	att-skill	104	30	10	extra-cold		8	10	res-cold		26	30	uninterrupt		6	8	allskills		1	1														cblu	cblu		1	5	5000										0
Frostbringer	247	1	10	41	26	Flamberge (Grade 3)	Tiered Unique	sock		4	4	str-add		76	76	dmg%		52	69	dmg-max		18	23	att-skill	104	35	15	extra-cold		11	13	res-cold		31	35	uninterrupt		9	11	allskills		1	2														cblu	cblu		1	5	5000										0
Frostbringer	315	1	10	56	35	Flamberge (Grade 4)	Tiered Unique	sock		4	4	str-add		76	76	dmg%		69	86	dmg-max		23	28	att-skill	104	40	20	extra-cold		13	15	res-cold		36	40	uninterrupt		12	14	allskills		1	2														cblu	cblu		1	5	5000										0
Frostbringer	383	1	10	70	45	Flamberge (Grade 5)	Tiered Unique	sock		5	5	str-add		76	76	dmg%		87	103	dmg-max		28	33	att-skill	104	45	25	extra-cold		16	18	res-cold		41	45	uninterrupt		15	17	allskills		1	3														cblu	cblu		1	5	5000										0
Frostbringer	451	1	10	85	54	Flamberge (Grade 6)	Tiered Unique	sock		6	6	str-add		76	76	dmg%		104	120	dmg-max		33	38	att-skill	104	50	30	extra-cold		18	20	res-cold		46	50	uninterrupt		18	20	allskills		2	3														cblu	cblu		1	5	5000										0
Fogo Da Sombra	12@	1	20	120	100	Flamberge (Sacred(1))	Sacred(1) Unique	sock		6	6	str-add		76	76	dmg%		144	171	dmg-norm		25	75	att-skill	533	25	36	swing3		60	60	reanimate	2246	11	13	reanimate	2247	11	13	allskills		1	2	ac-hth		500	500	gold%		75	75	att-skill	712	5	16		dblu	dblu		1	5	5000										0
NewDoomswath	12@	1	8	120	100	Flamberge (Sacred(2))	Sacred(2) Unique	sock		6	6	str-add		76	76	innate-blue	760	100	1	dmg%		58	86	dex		21	30	str		21	30	light		-2	-2	lifesteal		9	11																		blac	blac		1	5	5000										0
FlambergeSU3	12@	1	1	120	100	Flamberge (Sacred(3))	Sacred(3) Unique	sock		6	6	str-add		76	76	dmg%		172	200	reanimate	2244	1	2	dmg-norm		100	175	heal-kill		250	250	kill-skill	595	25	13	att%		100	100	swing3		50	50	vit		40	50	str		40	50	red-dmg%		10	10		dgld	dgld		1	5	5000										0
Naiad King	!56	1	10	7	4	Flamen Staff (Grade 1)	Tiered Unique	sock		2	2	str-add		25	25	pierce-fico		6	8	dru		1	1	motw-elem		6	8	motw-dur		21	30	res-fire		11	20	res-ltng		11	20	res-pois		11	20	oskill	1018	1	4										lblu	lblu		1	5	5000										0
Naiad King	!57	1	10	24	15	Flamen Staff (Grade 2)	Tiered Unique	sock		2	2	str-add		25	25	pierce-fico		8	10	dru		1	2	motw-elem		8	10	motw-dur		31	40	res-fire		21	30	res-ltng		21	30	res-pois		21	30	oskill	1018	5	8										lblu	lblu		1	5	5000										0
Naiad King	!58	1	10	39	25	Flamen Staff (Grade 3)	Tiered Unique	sock		3	3	str-add		25	25	pierce-fico		11	13	dru		1	3	motw-elem		11	13	motw-dur		41	50	res-fire		31	40	res-ltng		31	40	res-pois		31	40	oskill	1018	9	12										lblu	lblu		1	5	5000										0
Naiad King	!59	1	10	56	35	Flamen Staff (Grade 4)	Tiered Unique	sock		3	3	str-add		25	25	pierce-fico		13	15	dru		2	4	motw-elem		13	15	motw-dur		51	60	res-fire		41	50	res-ltng		41	50	res-pois		41	50	oskill	1018	13	16										lblu	lblu		1	5	5000										0
Naiad King	!60	1	10	72	46	Flamen Staff (Grade 5)	Tiered Unique	sock		4	4	str-add		25	25	pierce-fico		16	18	dru		2	5	motw-elem		16	18	motw-dur		61	70	res-fire		51	60	res-ltng		51	60	res-pois		51	60	oskill	1018	17	20										lblu	lblu		1	5	5000										0
Naiad King	!61	1	10	86	55	Flamen Staff (Grade 6)	Tiered Unique	sock		4	4	str-add		25	25	pierce-fico		18	20	dru		3	6	motw-elem		18	20	motw-dur		71	80	res-fire		61	70	res-ltng		61	70	res-pois		61	70	oskill	1018	21	24										lblu	lblu		1	5	5000										0
Scourge of Aranoch	!62	1	20	120	100	Flamen Staff (Sacred(1))	Sacred(1) Unique	sock		4	4	str-add		25	25	dru		8	12	extra-pois		31	40	pierce-pois		22	35	dmg-minion		100	100	str		250	250	res-all		51	75	ease		-60	-60	howl-thorns		33	33	charged	470	50	16	druid-enhanced		1	1		dyel	dyel		1	5	5000										0
Bryn Celli Ddu	!62	1	8	120	100	Flamen Staff (Sacred(2))	Sacred(2) Unique	sock		6	6	str-add		25	25	dru		10	14	extra-all		21	25	enr		50	50	str		250	250	ease		25	25	cast3		50	50	ac-global		21	25	red-dmg%		5	5										dgry	dgry		1	5	5000										0
FlamenStaffSU3	!62	1	1	120	100	Flamen Staff (Sacred(3))	Sacred(3) Unique	sock		4	4	str-add	25	25	25	druid-enhanced		2	2	pierce-cold		14	21	pierce-fire		14	21	dru		8	10	cast3		50	50	str-factor		100	150	str%		30	30	extra-all		10	25	heal-kill		100	150	reanimate	1145	5	5		cblu	cblu		1	5	5000		flammeen								0
Icebird	147	1	10	6	4	Flying Knife (Grade 1)	Tiered Unique	sock		1	1	dex-add	51	51	51	dmg%		18	40	cold-min		6	7	cold-max		9	17	cold-len		21	25	abs-cold%		4	5	mag%		8	8	hit-skill	571	1	2	pierce-cold		2	3										cblu	cblu		1	5	5000										0
