code	* count	* where	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
extra-pois/lvl	1	items			17	passive_pois_mastery_perlevel																									Laz / Mastery per level	(32nds)			none	0
hp-edyrem	1	items			1	skill_edyrem_hp_percent																									Laz / Interacts with skills.txt		min	max	none	0
lh-stupidity	1	items			1	passive_lionheart_addstupidth																									Laz / Interacts with skills.txt		min	max	none	0
life-manasteal	1	items			1	lifedrainmindam			3	manadrainmindam																					Laz / Combination affix		min	max	none	0
lohengrin	1	items			1	item_fasterattackrate			3	item_undeaddamage_percent			3	fireresist			3	lightresist			3	coldresist			3	strength			3	dexterity	Laz / Combination affix		min	max	none	0
mag%/lvl	1	items			17	item_find_magic_perlevel																									+% Magical per Player Lvl	(32nds)			none	0
pierce-flp	1	items			1	passive_fire_pierce			3	passive_ltng_pierce			3	passive_pois_pierce																	Laz / Combination affix		min	max	none	0
pierce-lipo	1	items			1	passive_ltng_pierce			3	passive_pois_pierce																					Laz / Combination affix		min	max	none	0
poison-set	1	items			1	item_poison_set																									Laz / Interacts with skills.txt		min	max	none	0
res-all-group	1	items			1	minion_resist_all			3	fireresist			3	lightresist			3	coldresist			3	poisonresist									Laz / Combination affix		min	max	none	0
res-fireltng	1	items			1	fireresist			3	lightresist																					Laz / Combination affix		min	max	none	0
stamdrain	1	items			1	item_staminadrainpct																													none	0
stamsteal	1	items			1	stamdrainmindam																									Laz / Stamina leech		min	max	none	0
str-vit-regen	1	items			1	strength			3	vitality			3	hpregen																	Laz / Combination affix		min	max	none	0
swingbalance3	1	items			1	item_fasterattackrate			3	item_fastergethitrate																									none	0
trololololol	1	items			1	item_absorbfire				item_absorblight				item_absorbmagic				item_absorbcold																	none	0
vessel-mod	1	items			1	vessel_mod																											-1	3	x2	0
vessel-tgt	1	items			1	skill_shadow_mastery																														0
upgrade1		cube			1	cube_upgrade_1																														0
upgrade2		cube			1	cube_upgrade_2																														0
upgrade3		cube			1	cube_upgrade_3																														0
upgrade4		cube			1	cube_upgrade_4																														0
eq-grw	12	gems / runes			1	eq_grw																													For each equipped Great Rune in Weapon	0
pierce-phys		items			1	passive_phys_pierce																									Negates % of Enemy Physical Resistance		min	max	none	0
weapon-count		item automagic			1	weapon_count																													For weps which can be dual wielded	0
lab-combo1		monster			15	damagepercent			16	item_absorbfire_percent			16	item_absorblight_percent			16	item_absorbcold_percent			17	item_fastermovevelocity													"Min = dmg%, Max = FCL absorb, Layer = FRW"	0
lab-combo2		monster			15	damage_divisor			16	passive_fire_pierce			16	passive_ltng_pierce			16	passive_cold_pierce			16	passive_pois_pierce			17	curse_resistance									"Min = dmg-div, Max = pierce-all, Layer = Curse Resist"	0
syn3		items			24	special_syn3																														0
syn4		items			24	special_syn4																														0
abs-all%		monster			1	item_absorbfire_percent			3	item_absorblight_percent			3	item_absorbcold_percent			3	item_absorbmagic_percent			3	item_poisonlengthresist													omega	0
heal-pkill		monster			1	item_healafterplayerkill																									life gained after each player kill					0
extra-fipo		items			1	passive_fire_mastery			3	passive_pois_mastery																					Laz / Combination affix		min	max	none	0
trophy-counter		items			1	trophy_counter																									Laz / MC counter		min	max	none	0
dye		cube			1	item_dyes_color																														0
anydeath-skill		mon / items			11	item_skillonanydeath																									Proc Skill on getting killed	Skill #	% Chance	Level		0
samael1		monster			15	item_fasterattackrate			15	item_fastermovevelocity			16	item_absorbfire_percent			16	item_absorblight_percent			16	item_absorbcold_percent			17	item_poisonlengthresist									"min = FRW&IAS, max = abs FCL, layer = plr"	0
hpmp-melee		items			1	skill_healonstrikingmelee			3	item_manaonstrikingmelee																							min	max	none	0
hpmp-kill		items			1	item_healafterkill			3	item_manaafterkill																							min	max	none	0
fragmentate		items			1	trophy_fragmentation																														0
att%/lvl		items			17	item_tohitpercent_perlevel																									AR% per Player Level	(32nds)			none	0
enable-coth		monster			1	greathunt_buff																														0
rwmake		items			1	runeword_level																														0
deimoss1		monster			15	item_healafterkill			16	item_absorbfire_percent			16	item_absorblight_percent			16	item_absorbcold_percent			17	curse_resistance													"min = heal kill, max = abs FCL, layer = curse res"	0
deimoss2		monster			15	damage_divisor			16	passive_fire_pierce			17	passive_dodge			17	passive_avoid			17	passive_evade													"Min = dmg-div, Max = pierce-fire, Layer = avoid"	0
dmg-IED		items			1	IED																													none	0
taxe-sacred-ltng		items			15	lightmindam			16	lightmaxdam			17	weapon_count																					none	0
dexbonusblue		items			17	dexterity_bonus_wpn																									AC per Player Level	(32nds)			none	0
crsd-sacred-cold		items			15	coldmindam			16	coldmaxdam			17	weapon_count																					none	0
h2h-sacred-ltng		items			15	lightmindam			16	lightmaxdam			17	weapon_count																					none	0
samael2		monster			15	curse_resistance			16	item_healafterkill			17	damage_divisor																					"min = curse res, max = heal kill, layer=dmg-div"	0
