index	set	item	*item	rarity	lvl	* Laz / comments	lvl req	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	*eol
MRHunter's Skin	MSBig Game Hunter	@02	Leather Armor (Sacred)	30	1		90	ac%		100	150	move3		5	6	bar		1	2	dex		31	50	res-cold		31	40	str		31	50	red-mag		41	50																																																	dgrn	dgrn						5	5000		0
MRHunter's Camouflage	MSBig Game Hunter	35!	Bronze Shield (Sacred)	30	1		90	ac%		100	150	block		1	1	lifesteal		11	13	str		31	50	avoidance		5	5	ac-hth		500	500	vit		31	50																																																	dgrn	dgrn						5	5000		0
MRHunter's Claw Fist	MSBig Game Hunter	51@	Balanced Axe (Sacred)	30	1		90	dmg%		140	170	dmg-norm		38	100	kill-skill	531	5	23	str		51	75	crush		5	5	slow		11	15																																																					dgrn	dgrn						5	5000		0
MRThe Defender	MSUnusedLol	xx					666																																																																													oran	oran						5	5000		0
MRThe Protector	MSSpirits of the Nephalem	@53	Fanged Helm (Sacred)	30	1		100	ac%		140	170	dmg-minion		41	50	att%-minion		31	50	vit%		21	25	res-cold		41	50	ac-global		21	25	bar		3	4																																																	oran	oran						5	5000		0
MRThe Guardian	MSSpirits of the Nephalem	@05	Ring Mail (Sacred)	30	1		100	ac%		140	170	dmg-minion		31	40	maxspirits		1	1	str%		21	25	res-fire		41	50	res-pois		41	50	bar		2	2																																																	oran	oran						5	5000		0
MRDestiny	MSSpirits of the Nephalem	42!	Gilded Shield (Sacred)	30	1		100	ac%		140	170	hp-minion		41	50	mana%		15	15	regen-mana		31	50	res-all-minion		11	15	runemaster		2	2	bar		3	3	pagan2		2	2																																													oran	oran						5	5000		0
MRSacred Charge	MSSpirits of the Nephalem	!34	Hammerhead Axe (Sacred)	30	1		100	dmg%		140	170	dmg-norm		63	100	str%		11	15	swing3		40	40	block3		60	60	vit%		11	15																																																					oran	oran						5	5000		0
MRNature's Grasp	MSUnusedLol	xx					666																																																																													dgrn	dgrn						5	5000		0
MRNature's Embrace	MSCaoi Dulra	@29	Light Belt (Sacred)	30	1		90	ac%		100	150	res-ltng		31	50	res-cold		31	50	dru		1	1	hp%		10	10																																																									dgrn	dgrn						5	5000		0
MRNature's Vigil	MSCaoi Dulra	@49	Antlers (Sacred)	30	1		90	ac%		100	150	dru		2	3	lifesteal		11	14	str%		21	25	vit%		21	25	res-fire		31	50	res-pois		31	50																																																	dgrn	dgrn						5	5000		0
MRNature's Will	MSCaoi Dulra	@12	Light Plate (Sacred)	30	1		90	ac%		100	150	dmg-norm		13	19	swing3		25	25	dru		1	1	balance3		25	25	crush		3	3																																																					dgrn	dgrn						5	5000		0
MRNature's Wrath	MSCaoi Dulra	3@3	Maple Bow (Sacred)	30	1		90	dmg%		140	170	dmg-max		150	150	swing3		50	50	dmg-fire		250	250	dmg-cold	25	250	250	strbonusblue	16	16	16	str		31	50																																																	dgrn	dgrn						5	5000		0
MRLone Wolf's Track	MSLone Wolf's Path	@40	Chain Boots (Sacred)	30	1		100	ac%		100	150	ease		-20	-20	cast3		20	20	vit		21	40	res-fire		31	50	res-cold		31	50	pierce-fico		5	6																																																	oran	oran						5	5000		0
MRLone Wolf's Claws	MSLone Wolf's Path	@34	Heavy Gloves (Sacred)	30	1		100	ac%		100	150	balance3		20	20	enr%		11	15	res-fire		21	25	res-cold		21	25	extra-fico		6	10	ease		-20	-20																																																	oran	oran						5	5000		0
MRLone Wolf's Gaze	MSUnusedLol	xx					666																																																																													oran	oran						5	5000		0
MRLone Wolf's Fur	MSLone Wolf's Path	@04	Studded Leather (Sacred)	30	1		100	ac%		100	150	ease		-40	-40	str		31	50	balance3		20	20	vit		31	50	extra-fico		11	13	fire-thorns		150	150																																																	oran	oran						5	5000		0
MRLone Wolf's Maul	MSLone Wolf's Path	!62	Flamen Staff (Sacred)	30	1		100	enr-factor		101	150	dru		8	10	extra-fico		16	25	cast3		50	50	enr		66	66	red-dmg		51	60																																																					oran	oran						5	5000		0
MRRathma's Chase	MSRathma's Empire	@40	Chain Boots (Sacred)	30	1		90	ac%		100	150	res-cold		31	50	crush		3	3	ac-global		11	15	charged	346	10	1																																																									blac	blac						5	5000		0
MRRathma's Trap	MSUnusedLol	xx					666																																																																													blac	blac						5	5000		0
MRRathma's Death Gaze	MSRathma's Empire	@21	Crown (Sacred)	30	1		90	ac		500	500	str		31	50	nec		1	2	dmg-max		8	13	balance3		20	20	res-all		11	15																																																					blac	blac						5	5000		0
MRRathma's Skeleton	MSRathma's Empire	@15	Ancient Armor (Sacred)	30	1		90	ac%		100	150	ease		-20	-20	nec		1	2	balance3		40	40	red-dmg%		5	5	res-ltng		31	50																																																					blac	blac						5	5000		0
MRRathma's Tyranny	MSRathma's Empire	!14	Raptor Scythe (Sacred)	30	1		90	dmg%		140	170	dmg-norm		63	88	swing3		40	40	kill-skill	817	25	9	slow		21	25	str		51	70																																																					blac	blac						5	5000		0
MRAchilios' Stealth	MSAchilios' Wake	@39	Heavy Boots (Sacred)	30	1		90	ac%		100	150	dmg-global		11	15	dmg-max		11	13	howl-thorns		5	5	ease		-20	-20	str		31	40																																																					dgrn	dgrn						5	5000		0
MRAchilios' Knuckledusters	MSUnusedLol	xx					666																																																																													dgrn	dgrn						5	5000		0
MRAchilios' Eagle Eye	MSAchilios' Wake	@18	Helm (Sacred)	30	1		90	ac%		100	150	ease		-20	-20	swing3		20	20	vit%		21	40	balance3		10	10	red-dmg		11	20	reanimate	2346	3	3																																																	dgrn	dgrn						5	5000		0
MRAchilios' Refuge	MSAchilios' Wake	@04	Studded Leather (Sacred)	30	1		90	ac%		100	150	str		31	50	dex		31	50	att%		51	100	dmg-global		21	30	nec		1	2																																																					dgrn	dgrn						5	5000		0
MRAchilios' Sledgehammer	MSAchilios' Wake	4@D	Needle Crossbow (Sacred)	30	1		90	dmg%		140	170	oskill	385	12	12	crush		5	5	dmg-norm		50	100	slow		21	25	str%		21	25	heal-hit		10	10																																																	dgrn	dgrn						5	5000		0
MRHeaven In Sight	MSSatanic Mantra	@41	Light Plated Boots (Sacred)	30	1		80	ac%		100	150	all-stats%		10	10	cast3		25	25	dmg-minion		41	80	str-enr		40	40	ease		-40	-40																																																					dred	dred						5	5000		0
MRTill We Have	MSUnusedLol	xx					666																																																																													dred	dred						5	5000		0
MRThrough Death's Veil	MSSatanic Mantra	@18	Helm (Sacred)	30	1		80	ac%		100	150	ease		-45	-45	nec		1	2	mana%		20	20	gold%		13	25	str-enr		75	75	ease		-21	-25																																																	dred	dred						5	5000		0
MRLend Me Thy Light	MSSatanic Mantra	@06	Scale Mail (Sacred)	30	1		80	ac%		100	150	nec		1	3	all-stats		31	50	maxminions		0	1	mana		500	500	light		2	2	str-enr		50	50																																																	dred	dred						5	5000		0
MRArchangel Dark Angel	MSSatanic Mantra	!14	Raptor Scythe (Sacred)	30	1		80	nec		8	10	dmg-minion		21	50	cast3		50	50	res-all		31	40	ac/lvl	320	320	320	res-all-minion		11	25																																																					dred	dred						5	5000		0
MRCinadide's Bender	MSCinadide's Craft	@37	Gauntlets (Sacred)	30	1		100	ac%		140	170	swing3		20	20	att-skill	311	5	34	mag%		16	25	str		31	50	balance3		40	40	dmg-mag		63	125																																																	dgld	dgld						5	5000		0
MRCinadide's Anvil	MSCinadide's Craft	@32	Plated Belt (Sacred)	30	1		100	ac%		140	170	ease		-50	-50	str%		21	25	pal		1	1	dmg-norm		13	25	uninterrupt		11	15	dmg-mag		63	125																																																	dgld	dgld						5	5000		0
MRCinadide's Bellows	MSCinadide's Craft	49!	Hundsgugel (Sacred)	30	1		100	ac%		140	170	str		41	60	dmg-global		31	50	swing3		40	40	balance3		20	20	att-skill	79	8	44	dmg-norm		25	50																																																	blac	dgld						5	5000		0
MRCinadide's Forge	MSUnusedLol	xx					666																																																																													dgld	dgld						5	5000		0
MRCinadide's Malus	MSCinadide's Craft	6@C	Hand of God (Sacred)	30	1		100	dmg%		140	170	dmg-norm		75	125	res-all		31	40	crush		6	10																																																													dgld	dgld						5	5000		0
MRHadriel's Presence	MSHadriel's Lore	@42	Greaves (Sacred)	30	1		90	ac%		100	150	res-all		21	25	ease		-20	-20	extra-fire		6	8	extra-pm		6	8	block3		10	10	ease		-25	-25	extra-cold		6	8																																													lgld	lgld						5	5000		0
MRHadriel's Courage	MSUnusedLol	xx					666																																																																													lgld	lgld						5	5000		0
MRHadriel's Wings	MSHadriel's Lore	@05	Ring Mail (Sacred)	30	1		90	ac%		100	150	extra-fire		11	20	cast3		30	30	enr-factor		31	50	pal		1	2	ease		-20	-20	extra-cold		11	20																																																	lgld	lgld						5	5000		0
MRHadriel's Pure Heart	MSHadriel's Lore	@61	Crown Shield (Sacred)	30	1		90	ac%		100	150	pal		2	3	cast3		20	20	block3		20	20	extra-pm		16	20	str		31	50	ease		-20	-20	extra-cold		16	20																																													lgld	lgld						5	5000		0
MRHadriel's Avenger	MSHadriel's Lore	3@A	Goedendag (Sacred)	30	1		90	ease		-50	-50	cast3		20	20	extra-fire		16	25	extra-pm		16	25	pal		2	4	heal-kill		31	50	mana-kill		31	50																																																	lgld	lgld						5	5000		0
MRMalthael's Stride	MSUnusedLol	xx					666																																																																													dblu	dblu						5	5000		0
MRMalthael's Ward	MSMalthael's Sanctuary	@28	Sash (Sacred)	30	1		80	dmg-minion		51	75	ac-global		11	20	pal		1	1	uninterrupt		10	10	vit		21	40	ease		-20	-20	extra-cold		11	15	arc-synergy		1	1																																													dblu	dblu						5	5000		0
MRMalthael's Crown	MSMalthael's Sanctuary	56!	Blackguard Helm (Sacred)	30	1		80	ac%		140	170	pal		1	3	heal-melee		21	40	extra-fire		8	9	extra-cold		8	9	str%		16	20	vit%		16	20	att%		201	250																																													dblu	dblu						5	5000		0
MRMalthael's Halo	MSMalthael's Sanctuary	@11	Field Plate (Sacred)	30	1		80	ac%		140	170	pal		2	3	extra-fire		11	20	extra-cold		11	20	res-fire		31	50	res-cold		31	50	ease		-40	-40																																																	dblu	dblu						5	5000		0
MRMalthael's Wrath	MSMalthael's Sanctuary	!90	Holy Lance (Sacred)	30	1		80	extra-fico		21	40	vit		76	125	pal		3	6	swing3		75	75	move3		10	10																																																									dblu	dblu						5	5000		0
MRImperius' Winged Feet	MSImperius' Edict	@38	Boots (Sacred)	30	1		90	move3		10	10	cast3		20	20	pal		1	1	enr-factor		21	25	ease		-40	-40																																																									dpur	dpur						5	5000		0
MRImperius' Crusade	MSUnusedLol	xx					666																																																																													dpur	dpur						5	5000		0
MRImperius' Aura	MSImperius' Edict	@08	Breast Plate (Sacred)	30	1		90	res-all		31	50	pal		1	2	extra-ltng		11	13	extra-pois		11	13	cast3		25	25	ease		-40	-40	res-ltng		21	30																																																	dpur	dpur						5	5000		0
MRImperius' Radiance	MSImperius' Edict	@57	Targe (Sacred)	30	1		90	cast3		30	30	extra-ltng		11	15	extra-pois		11	15	block		1	1	block3		15	15	all-stats%		16	20	ease		-40	-40																																																	dpur	dpur						5	5000		0
MRImperius' Sky Hammer	MSImperius' Edict	25@	Club (Sacred)	30	1		90	enr-factor		41	50	pal		3	5	extra-ltng		16	20	extra-pm		16	20	extra-pois		16	20	ease		-50	-50	reanimate	2347	2	2																																																	dpur	dpur						5	5000		0
MRZann Esu's Rune Loop	MSZann Esu's Secrets	@30	Belt (Sacred)	30	1		80	ac%		100	150	ease		-50	-50	dex%		11	15	res-all-minion		6	10	sor		1	2	ac		300	300	mana-thorns		150	150																																																	lblu	lblu						5	5000		0
MRZann Esu's Mysteries	MSUnusedLol	xx					666																																																																													lblu	lblu						5	5000		0
MRZann Esu's Robes	MSZann Esu's Secrets	5@H	Lamellar Armor (Sacred)	30	1		80	ac%		100	150	freeze-thorns		2	2	sor		2	2	extra-cold/lvl	12	12	12	abs-cold%		5	5	dmg-minion		51	70	red-dmg		41	50	cast3		50	50																																													dgrn	lblu						5	5000		0
MRZann Esu's Binding Circle	MSZann Esu's Secrets	@22	Buckler (Sacred)	30	1		80	ac%		100	150	ease		-50	-50	dex%		21	30	dmg-minion		11	20	sor		1	2	cast3		15	15	gethit-skill	1008	1	12																																																	lblu	lblu						5	5000		0
MRZann Esu's Charm	MSZann Esu's Secrets	84@	Dragon Stone (Sacred)	30	1		80	sor		3	4	pierce-cold		20	24	cast3		30	30	str		31	40	hp-minion		41	60	mana		315	315	res-cold-max		2	2																																																	lblu	lblu						5	5000		0
MRElemental Trance	MSUnusedLol	xx					666																																																																													dgry	dgry						5	5000		0
MRElemental Spirit	MSEdyrem's Children	@33	Leather Gloves (Sacred)	30	1		90	ac%		58	86	enr-factor		31	40	extra-ltng		6	10	mana%		15	25	str		31	40	vit		31	40	ease		-50	-50																																																	dgry	dgry						5	5000		0
MRElemental Clash	MSEdyrem's Children	@67	Circlet (Sacred)	30	1		90	ac%		58	86	light-thorns		250	250	enr-factor		31	40	cast3		20	20	sor		1	2	str		51	75	enr		51	75	res-ltng		31	50																																													dgry	dgry						5	5000		0
MRElemental Fury	MSEdyrem's Children	3@I	Kazarghand (Sacred)	30	1		90	ac%		58	86	oskill	999	17	17	enr%		21	30	sor		4	5	ease		-15	-15	res-all		21	30	extra-ltng		16	25	avoidance		10	10																																													blac	dgry						5	5000		0
MRElemental Storm	MSEdyrem's Children	54@	Gnarled Staff (Sacred)	30	1		90	enr-factor		151	200	allskills		8	10	mana%		15	20	castgethit3		40	40	all-stats		41	50	ease		-50	-50	class-restrict	2	2	2																																																	dgry	dgry						5	5000		0
MRPentad	MSUnusedLol	xx					666																																																																													lgrn	lgrn						5	5000		0
MRTetrad	MSAdria's Circle	@35	Chain Gloves (Sacred)	30	1		90	ac%		100	150	enr		31	40	balance3		30	30	ac-global		31	40	enr-factor		21	25	str		31	40	ease		-40	-40																																																	lgrn	lgrn						5	5000		0
MRTriad	MSAdria's Circle	@69	Tiara (Sacred)	30	1		90	ac%		100	150	poison-dur		61	80	enr%		11	15	str%		11	15	balance3		25	25	heal-thorns		41	50	cheap		5	5																																																	lgrn	lgrn						5	5000		0
MRDyad	MSAdria's Circle	8@J	Ceremonial Armor (Sacred)	30	1		90	ac%		100	150	ease		-40	-40	sor		4	5	extra-pois		41	50	enr-factor		101	150	enr		200	200																																																					lgrn	lgrn						5	5000		0
MRMonad	MSAdria's Circle	56@	War Staff (Sacred)	30	1		90	sor		8	10	extra-pois		26	30	pierce-pois		20	24	ease		-40	-40	enr-factor		101	150	red-dmg%		11	15																																																					lgrn	lgrn						5	5000		0
MREmerald Growth	MSUnusedLol	xx					666																																																																													cgrn	cgrn						5	5000		0
MREmerald Sky	MSRainbow Warrior2	@48	Hawk Helm (Sacred)	30	1		100	ac%		100	150	balance3		25	25	str		41	50	dmg-cold	25	25	125	dru		2	2	hp%		15	15	ease		-25	-25																																																	cgrn	cgrn						5	5000		0
MREmerald Cloud	MSRainbow Warrior2	@06	Scale Mail (Sacred)	30	1		100	ac%		100	150	block3		40	40	str		41	50	dmg-ltng		25	125	crush		3	3	uninterrupt		21	25	ease		-25	-25																																																	cgrn	cgrn						5	5000		0
MREmerald Earth	MSRainbow Warrior2	@43	Bone Shield (Sacred)	30	1		100	ac%		100	150	balance3		40	40	dex		51	75	dmg-fire		25	125	block		1	1	uninterrupt		21	25	ease		-25	-25																																																	cgrn	cgrn						5	5000		0
MREmerald Flower	MSRainbow Warrior2	44@	Dirk (Sacred)	30	1		100	dmg%		140	170	dmg-norm		38	50	swing3		40	40	dru		2	2	dmg-fire		100	150	dmg-cold	25	100	150	dmg-ltng		100	150																																																	cgrn	cgrn						5	5000		0
MRScosglen's Legends	MSLastKing	@36	Light Gauntlets (Sacred)	30	1		80	ac%		100	150	str		31	50	res-all		11	15	extra-fire		11	13	enr		31	50	res-pois-len		50	50																																																					lblu	lblu						5	5000		0
MRScosglen's History	MSLastKing	@31	Heavy Belt (Sacred)	30	1		80	ac%		100	150	str		31	50	move3		5	10	dmg-norm		7	13	dru		1	1	regen		200	200																																																					lblu	lblu						5	5000		0
MRScosglen's Tales	MSLastKing	@50	Falcon Mask (Sacred)	30	1		80	ac%		100	150	dmg-norm		13	25	str%		21	25	extra-fire		11	13	motw-elem		8	8	res-pois		21	25																																																					lblu	lblu						5	5000		0
MRScosglen's Fables	MSUnusedLol	xx					666																																																																													lblu	lblu						5	5000		0
MRScosglen's Myths	MSLastKing	20@	Large Axe (Sacred)	30	1		80	dmg%		144	200	dmg-norm		50	150	swing3		50	50	crush		6	10	att%		201	250	ac-global		50	50	ac		1000	1000	hit-skill	813	2	20																																													lblu	lblu						5	5000		0
Tower's Denial	MSUnusedLol	xx					666																																																																													dgry	lgry						5	5000		0
Tower's Push	MSTowerlord	@45	Mask (Sacred)	30	1		80	ac%		100	150	extra-ltng		11	13	dex		31	40	cast3		20	20	nec		1	1																																																									dgry	lgry						5	5000		0
Tower's Wall	MSTowerlord	@09	Splint Mail (Sacred)	30	1		80	ac%		100	150	ease		-25	-25	str%		11	15	nec		2	3	res-all		11	20	extra-fire		11	13																																																					dgry	lgry						5	5000		0
Tower's Defense	MSTowerlord	@64	Unraveller Head (Sacred)	30	1		80	ac%		100	150	pierce-fire		14	20	pierce-cold		14	20	pierce-ltng		14	20	ease		-50	-50	dex%		21	25																																																					dgry	lgry						5	5000		0
Tower's Rush	MSTowerlord	44@	Dirk (Sacred)	30	1		80	extra-fire		16	30	extra-cold		16	30	extra-ltng		16	30	nec		2	4	class-restrict	3	3	3																																																									dgry	lgry						5	5000		0
MRWarmage's Wake	MSWarmage2	@42	Greaves (Sacred)	30	1		90	ac%		100	150	dex		50	50	ease		-40	-40	sor		1	1	extra-fire		16	20	enr		50	50																																																					lred	lred						5	5000		0
MRWarmage's Conjuration	MSUnusedLol	xx					666																																																																													lred	lred						5	5000		0
MRWarmage's Breath	MSWarmage2	@19	Full Helm (Sacred)	30	1		90	ac%		100	150	enr		100	100	ease		-40	-40	pierce-fire		14	15	sor		2	2	cast3		40	40																																																					lred	lred						5	5000		0
MRWarmage's Flameshroud	MSWarmage2	1@J	Banded Plate (Sacred)	30	1		90	ac%		100	150	abs-fire%		5	5	ease		-20	-20	red-dmg%		10	10	str		100	100	oskill	388	2	2	hp		500	500																																																	dgld	lred						5	5000		0
MRWarmage's Fireblade	MSWarmage2	20@	Large Axe (Sacred)	30	1		90	extra-fire		26	30	sor		8	10	pierce-fire		20	24	ease		-50	-50	reanimate	1535	3	4	enr		150	150	avoidance		5	5																																																	lred	lred						5	5000		0
MRChargeoftheGoddess	MSUnusedLol	xx					666																																																																													dgld	dpur						5	5000		0
MRSacredCircle	MSThe Mysteries	@68	Coronet (Sacred)	30	1		100	ac%		140	170	all-stats		31	50	res-all		31	40	sor		2	2	block3		25	25	balance3		25	25	hp%-mp%		11	15																																																	dgld	dpur						5	5000		0
MRPentacle	MSThe Mysteries	7@G	Gambeson (Sacred)	30	1		100	ac%		140	170	all-stats		31	50	sor		3	3	dmg-norm		25	50	crush		5	5	ac-global		21	25	red-dmg%		10	10																																																	dgld	dpur						5	5000		0
MRCauldron	MSThe Mysteries	@24	Large Shield (Sacred)	30	1		100	ac%		100	150	ease		-20	-20	block3		35	35	block		1	1	sor		1	1	getatt-skill	779	10	25	hexdmg-syn		101	150																																																	dgld	dpur						5	5000		0
MRWitchblade	MSThe Mysteries	!5!	Warp Blade (Sacred)	30	1		100	dmg%		172	200	dmg-norm		50	100	regen		1000	1000	att-skill	450	1	25	dmg-stun		50	50	heal-melee		51	100																																																					dgld	dpur						5	5000		0
MSApeshoot	MSTestament of the Apes	79@	Repeating Crossbow (Sacred)	15	120		100	dmg%		172	200	heal-kill		151	200	hit-skill	492	20	9	reanimate	1321	2	2	reanimate	1297	2	2	ease		-25	-25	swing3		75	75	dmg-norm		50	100																																													dred	dred						5	5000		0
MSApeskin	MSTestament of the Apes	@02	Leather Armor (Sacred)	15	120		100	res-all		21	25	swing3		40	40	ease		-25	-25	ac%		144	171	att-damage		201	250	red-dmg%		5	5																																																					dgld	dgld						5	5000		0
MSApeskull	MSTestament of the Apes	@46	Bone Helm (Sacred)	15	120		100	ac%		140	170	allskills		2	2	ease		-25	-25	pierce-all		14	15	dmg-cold	75	150	200	dmg-fire		150	200	dmg-ltng		150	200																																																	dgld	dgld						5	5000		0
MSApehand	MSTestament of the Apes	@33	Leather Gloves (Sacred)	15	120		100	ac%		100	150	ease		-25	-25	res-fire		41	50	res-pois		41	50	kill-skill	882	2	37	red-dmg		41	50	hp-mana		101	150																																																	dgld	dgld						5	5000		0
MSApefoot	MSTestament of the Apes	@38	Boots (Sacred)	15	120		100	ac%		100	150	ease		-25	-25	res-cold		41	50	res-ltng		41	50	balance3		30	30	red-dmg%		5	5	kill-skill	999	2	37																																																	dgld	dgld						5	5000		0
Set_Lazbro1	Set_Lazbro	@12	Light Plate (Sacred)	5	110		100	ac%		200	200	res-all-max		2	2	red-dmg%		5	5	ac		666	666	hp-minion		101	150	dmg-minion		101	150	res-all-minion		25	25	nec		1	2																																													dgld	dgld						5	5000		0
Set_Lazbro2	Set_Lazbro	@16	Cap (Sacred)	5	110		100	ac%		200	200	nec		1	3	hp-minion		51	75	dmg-minion		51	75	res-all		35	35																																																									dgld	dgld						5	5000		0
Set_Lazbro3	Set_Lazbro	72@	Grim Wand (Sacred)	5	110		100	nec		3	5	ac-global		50	60	pierce-fcl		20	20	balance3		50	50	enr%		16	20	block		1	1																																																					dgld	dgld						5	5000		0
Set_xaru1	MSUnusedLol	xx					666																																																																													dred	dred						5	5000		0
Set_xaru3	Set_xaru	@31	Heavy Belt (Sacred)	10	115		100	ac%		200	200	gethit-skill	697	2	12	oskill	480	10	15	extra-fire		25	25	res-fire-max		2	2	swing3		10	10	enr%		10	10																																																	dred	dred						5	5000		0
Set_PewPew1	Set_PewPew	@13	Gothic Plate (Sacred)	3	120		100	ac%		200	200	desc-honorific		1	1	ease		-50	-50	block3		50	50	swing3		50	50	cast3		50	50	balance3		50	50	deadly		5	5	move3		10	10	red-dmg%		10	10					deadly		5	5					ac		1500	1500																					blac	blac	set_pewpew1					5	5000	2	0
Set_PewPew2	Set_PewPew	@21	Crown (Sacred)	3	120		100	ac%		200	200	desc-honorific		1	1	ease		-50	-50	str		50	50	str%		15	15	pierce-fire		15	15	extra-fire		25	25	res-fire-max		2	2					res-fire		30	30					dmg-fire		200	300					abs-fire		5	5																					blac	blac	set_pewpew2					5	5000	2	0
Set_PewPew3	Set_PewPew	@32	Plated Belt (Sacred)	3	120		100	ac%		200	200	desc-honorific		1	1	ease		-50	-50	vit		50	50	vit%		15	15	pierce-ltng		15	15	extra-ltng		25	25	res-ltng-max		2	2					res-ltng		30	30					dmg-ltng		200	300					abs-ltng		5	5																					blac	blac	set_pewpew3					5	5000	2	0
Set_PewPew4	Set_PewPew	@37	Gauntlets (Sacred)	3	120		100	ac%		200	200	desc-honorific		1	1	ease		-50	-50	dex		50	50	dex%		15	15	pierce-cold		15	15	extra-cold		25	25	res-cold-max		2	2					res-cold		30	30					dmg-cold		200	300					abs-cold		5	5																					blac	blac	set_pewpew4					5	5000	2	0
Set_PewPew5	Set_PewPew	@42	Greaves (Sacred)	3	120		100	ac%		200	200	desc-honorific		1	1	ease		-50	-50	enr		50	50	enr%		15	15	pierce-pois		15	15	extra-pois		25	25	res-pois-max		2	2					res-pois		30	30					dmg-mag		200	300					abs-mag		5	5																					blac	blac	set_pewpew5					5	5000	2	0
Set_Lazbro4	Set_Lazbro	@32	Plated Belt (Sacred)	5	110		100	nec		2	3	extra-all		10	15	lifesteal		15	20	ac-global		50	50	hp-minion		51	75																																																									dgld	dgld						5	5000		0
Set_xaru5	Set_xaru	@41	Light Plated Boots (Sacred)	10	115		100	kill-skill	645	2	13	allskills		1	1	res-all		20	30	dmg-norm		3	5	att%		50	50	swing3		25	25	heal-kill		20	20	oskill	366	18	18																																													dred	dred						5	5000		0
Set_xaru2	Set_xaru	@18	Helm (Sacred)	10	115		100	ac%		200	200	heal-kill		25	100	allskills		0	2	res-fire		50	50	ease		100	100	charged	885	20	5	hp%		10	10																																																	dred	dred						5	5000		0
set_lab1	Set_labrynth	Ysh4	Yshari Armor	0	100		120	ease		-100	-100																																																																									dgld	dgld	lab_armor					5	5000		0
set_lab2	Set_labrynth	Ysh3	Mystic Sword	0	100		120	ease		-100	-100																																																																									dgld	dgld						5	5000		0
set_lab3	Set_labrynth	Ysh5	Yshari Shield	0	100		120	ease		-100	-100																																																																									dgld	dgld	lab_shield					5	5000		0
set_lab4	Set_labrynth	Ysh6	Yshari Crown	0	100		120	ease		-100	-100																																																																									dgld	dgld	lab_helm					5	5000		0
set_lab5	Set_labrynth	Ysh7	Yshari Belt	0	100		120	ease		-100	-100																																																																									dgld	dgld	lab_belt					5	5000		0
set_lab6	Set_labrynth2	Ysh8	Yshari Gloves	0	100		120	ease		-100	-100																																																																									dgld	dgld	lab_gloves					5	5000		0
set_lab7	Set_labrynth2	Ysh9	Yshari Greaves	0	100		120	ease		-100	-100	move3		20	20																																																																					dgld	dgld	lab_boots					5	5000		0
set_lab8	Set_labrynth2	Ysh1		0	100		120																																																																													dgld	dgld	lab_rn1					5	5000		0
set_lab9	Set_labrynth2	Ysh1		0	100		120																																																																													dgld	dgld	lab_rn2					5	5000		0
set_lab10	Set_labrynth2	Ysh2		0	100		120																																																																													dgld	dgld	lab_amu					5	5000		0
Set_xaru4	Set_xaru	@36	Light Gauntlets (Sacred)	10	115		100	ac%		200	200	oskill	454	23	31	pierce-fire		15	15	allskills		1	1	red-dmg%		5	5	abs-fire		5	5	anykill-skill	111	1	37																																																	dred	dred						5	5000		0
AltarofInk	MSSelathiel Archives	@36	Light Gauntlets (Sacred)	30	1		100	ac		-200	-200	extra-all		16	20	heal-hit		1	1	pal		0	1	str%		16	20	dmg-mag		75	75																																																					dpur	dpur						5	5000		0
AltarofScripture	MSSelathiel Archives	@29	Light Belt (Sacred)	30	1		100	ac%		100	150	extra-pm		21	25	vessel-dmg		15	15	enr%		31	40	enr-factor		41	50	ease		150	150	oskill	449	3	7	oskill	1274	3	7																																													dpur	dpur						5	5000		0
AltarofMercy	MSSelathiel Archives	@20	Great Helm (Sacred)	30	1		100	ac%		140	170	pal		1	3	mana%		10	10	ease		50	50	lifesteal		11	20	dmg-global		15	15	dmg-fire		100	150	dmg-cold		50	75																																													dpur	dpur						5	5000		0
AltarofFate	MSSelathiel Archives	@08	Breast Plate (Sacred)	30	1		100	ac%		172	200	heal-kill		50	100	pierce-lipo		10	15	swingcast3		20	20	red-dmg%		5	10	ac		500	500	ac-global		51	75																																																	dpur	dpur						5	5000		0
AltarofUnseeing	MSUnusedLol	xx					666																																																																													dpur	dpur						5	5000		0
ZeraesBlessing	MSUnusedLol	xx					666																																																																													lyel	lyel						5	5000		0
ZeraesRefinement	MSZeraes Divinity	2@M	Einherjar Helm (Sacred)	30	1		90	ac%		140	170	enr-factor		51	75	dex		100	100	swing3		21	25	dmg-max		11	13	ama		0	1	dmg-global		51	60																																																	lyel	lyel						5	5000		0
