code	name	type	type2	alternateGfx	namestr	spelldesc	spelldescstr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
j58	Claws (Grade 2)	h2h	tier	clw	j58			100		4	1	14	17							14	1	-20	0	25	0	76	90		39	12		1200		402	clw	j58	j58	j58	ht1	ht1	5	1hsl	1	3	0	0	0	0	flpclw	invclw			1	2	0	0	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j92	Claws (Grade 3)	h2h	tier	clw	j92			100		4	1	22	26							14	1	-20	0	25	0	151	90		70	22		4800		402	clw	j92	j92	j92	ht1	ht1	5	1hsl	1	3	0	0	0	0	flpclw	invclw			1	2	0	0	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
o19	Claws (Grade 4)	h2h	tier	clw	o19			100		4	1	26	30							14	1	-20	0	25	0	298	90		84	26		9600		403	clw	o19	o19	o19	ht1	ht1	5	1hsl	1	3	0	0	0	0	flpclw	invclw			1	3	0	0	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
94@	Claws (Sacred)	qh2h		clw	94@			100		1	1	42	44							14	1	-20	0	25	0	400	90		84	30		9600		403	clw	94@	94@	94@	ht1	ht1	5	1hsl	1	3	0	0	0	0	flpclw	invclw			1	3	0	0	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
108	Claymore (Grade 1)	2hsd	tier	clm	108					20	1	6	7	1	1	9	10				2	5	30	0	41	0	80		4	1		292		402	clm	108	108	108	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	2	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255		1		1	1					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
244	Claymore (Grade 2)	2hsd	tier	clm	244					20	1	12	13	1	1	18	19				2	5	30	0	69	0	80		33	10		1168		403	clm	244	244	244	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
380	Claymore (Grade 3)	2hsd	tier	clm	380					20	1	18	21	1	1	29	32				2	5	30	0	142	0	80		62	19		4672		404	clm	380	380	380	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
448	Claymore (Grade 4)	2hsd	tier	clm	448					20	1	21	25	1	1	36	37				2	5	30	0	283	0	80		78	25		9344		404	clm	448	448	448	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
09@	Claymore (Sacred)	s2hd		clm	09@					2	1	40	41	1	1	60	61				2	5	30	0	450	0	80		78	30		9344		404	clm	09@	09@	09@	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
124	Club (Grade 1)	mace	tier	clb	124					20	1	4	6									0	20	0	0	0	40		1	0		202		401	clb	124	124	124	1hs	1hs	5	club	1	3					flpclb	invclb			1	1	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1		1		1	1		1		1	1					255					255					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
260	Club (Grade 2)	mace	tier	clb	260					20	1	9	11									0	20	0	18	0	40		29	9		808		402	clb	260	260	260	1hs	1hs	5	club	1	3					flpclb	invclb			1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
396	Club (Grade 3)	mace	tier	clb	396					20	1	14	17									0	20	0	49	0	40		55	18		3232		403	clb	396	396	396	1hs	1hs	5	club	1	3					flpclb	invclb			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
464	Club (Grade 4)	mace	tier	clb	464					20	1	17	21									0	20	0	104	0	40		73	23		6464		403	clb	464	464	464	1hs	1hs	5	club	1	3					flpclb	invclb			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
25@	Club (Sacred)	qmac		clb	25@					2	1	41	42									0	20	0	376	0	40		73	30		6464		403	clb	25@	25@	25@	1hs	1hs	5	club	1	3					flpclb	invclb			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
163	Composite Bow (Grade 1)	bow	tier	lbw	163					20	1				1	7	10					5	0	20	0	51		1	7	2		198		402	sbw	163	163	163	bow	bow	6	bow	2	3					flpcbw	invcbw			1	2	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255		1		1	1					255					255					255					255					255		1		1	1		1		1	1		1		1	1					255					255					255					255					255			5	8	0	xxx	xxx	1	0
299	Composite Bow (Grade 2)	bow	tier	lbw	299					20	1				1	16	23					5	0	20	0	81		1	36	11		792		404	sbw	299	299	299	bow	bow	6	bow	2	3					flpcbw	invcbw			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
435	Composite Bow (Grade 3)	bow	tier	lbw	435					20	1				1	29	38					5	0	20	0	165		1	65	20		3168		405	sbw	435	435	435	bow	bow	6	bow	2	3					flpcbw	invcbw			1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
503	Composite Bow (Grade 4)	bow	tier	lbw	503					20	1				1	35	46					5	0	20	0	328		1	79	25		6336		406	sbw	503	503	503	bow	bow	6	bow	2	3					flpcbw	invcbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
64@	Composite Bow (Sacred)	qbow		lbw	64@					2	1				1	61	66					5	0	20	0	470		1	79	30		6336		406	sbw	64@	64@	64@	bow	bow	6	bow	2	3					flpcbw	invcbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
1@1	Compound Bow (Grade 1)	dbow	tier	lbw	1@1					10	1				1	7	11					10	30	0	57	0		1	8	2		297		402	sbw	1@1	1@1	1@1	bow	bow	6	bow	2	3					flpcbw	invcbwu			1	2	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
3@1	Compound Bow (Grade 2)	dbow	tier	lbw	3@1					10	1				1	18	24					10	30	0	92	0		1	37	12		1188		404	sbw	3@1	3@1	3@1	bow	bow	6	bow	2	3					flpcbw	invcbwu			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
5@1	Compound Bow (Grade 3)	dbow	tier	lbw	5@1					10	1				1	33	41					10	30	0	186	0		1	66	21		4752		405	sbw	5@1	5@1	5@1	bow	bow	6	bow	2	3					flpcbw	invcbwu			1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
6@1	Compound Bow (Grade 4)	dbow	tier	lbw	6@1					10	1				1	40	49					10	30	0	370	0		1	80	25		9504		406	sbw	6@1	6@1	6@1	bow	bow	6	bow	2	3					flpcbw	invcbwu			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
7@1	Compound Bow (Sacred)	sdbw		lbw	7@1					1	1				1	69	71					10	30	0	530	0		1	80	30		9504		406	sbw	7@1	7@1	7@1	bow	bow	6	bow	2	3					flpcbw	invcbwu			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
l53	Crossbow (Grade 1)	xbow	tier	lxb	l53					20	1				1	11	16				2	20	20	0	66	0		1	8	2		228		402	lxb	l53	l53	l53	xbw	xbw	5	xbow	2	3					flpmxb	invmxb			1	2	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	xxx	xxx	1	0
l61	Crossbow (Grade 2)	xbow	tier	lxb	l61					20	1				1	26	35				2	20	20	0	101	0		1	38	12		912		404	lxb	l61	l61	l61	xbw	xbw	5	xbow	2	3					flpmxb	invmxb			1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
l69	Crossbow (Grade 3)	xbow	tier	lxb	l69					20	1				1	44	59				2	20	20	0	202	0		1	66	21		3648		405	lxb	l69	l69	l69	xbw	xbw	5	xbow	2	3					flpmxb	invmxb			1	5	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
l73	Crossbow (Grade 4)	xbow	tier	lxb	l73					20	1				1	52	70				2	20	20	0	401	0		1	81	26		7296		406	lxb	l73	l73	l73	xbw	xbw	5	xbow	2	3					flpmxb	invmxb			1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
77@	Crossbow (Sacred)	qxbw		lxb	77@					2	1				1	78	86				2	20	20	0	502	0		1	81	30		7296		406	lxb	77@	77@	77@	xbw	xbw	5	xbow	2	3					flpmxb	invmxb			1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
113	Crystal Sword (Grade 1)	crsd	tier	crs	113					20	1	7	8								1	-20	0	20	0	73	80		18	5		368		402	ssd	113	113	113	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs			1	2	0		0	item_sword	12	item_sword	0	0	5	0	5	0	0		0	7	0	0	1					255					255					255		1		1	1					255					255					255					255					255					255		1			255		1			255		1		1	1					255		1		1	1					255					255			1	8	0	xxx	xxx	1	0
249	Crystal Sword (Grade 2)	crsd	tier	crs	249					20	1	13	14								1	-20	0	20	0	110	80		47	15		1472		404	ssd	249	249	249	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs			1	4	0		0	item_sword	12	item_sword	0	0	5	0	5	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
385	Crystal Sword (Grade 3)	crsd	tier	crs	385					20	1	19	22								1	-20	0	20	0	216	80		73	24		5888		405	ssd	385	385	385	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs			1	5	0		0	item_sword	12	item_sword	0	0	5	0	5	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
453	Crystal Sword (Grade 4)	crsd	tier	crs	453					20	1	23	26								1	-20	0	20	0	427	80		90	28		11776		406	ssd	453	453	453	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs			1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
14@	Crystal Sword (Sacred)	qcrs		crs	14@					2	1	40	42								1	-20	0	20	0	510	80		90	30		11776		406	ssd	14@	14@	14@	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs			1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0	0		0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
142	Dagger (Grade 1)	knif	tier	dgr	142					20	1	4	5									-25	0	20	0	0	40		1	0		202		401	dgr	142	142	142	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3		1		1	1		1		1	1					255					255					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
278	Dagger (Grade 2)	knif	tier	dgr	278					20	1	8	9									-25	0	20	0	18	40		28	9		808		402	dgr	278	278	278	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
414	Dagger (Grade 3)	knif	tier	dgr	414					20	1	13	14									-25	0	20	0	49	40		57	18		3232		402	dgr	414	414	414	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
482	Dagger (Grade 4)	knif	tier	dgr	482					20	1	16	17									-25	0	20	0	104	40		72	22		6464		402	dgr	482	482	482	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
43@	Dagger (Sacred)	qknf		dgr	43@					2	1	37	37									-25	0	20	0	376	40		72	30		6464		402	dgr	43@	43@	43@	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
5@D	Dart Thrower (Grade 1)	nxbw	tier	lxb	5@D					10	1				1	12	16				2	25	30	0	46	0		1	9	3		382		402	lxb	5@D	5@D	5@D	xbw	xbw	5	xbow	2	3					flpmxb	inv8lxu			1	2	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
7@D	Dart Thrower (Grade 2)	nxbw	tier	lxb	7@D					10	1				1	28	35				2	25	30	0	70	0		1	39	12		1528		404	lxb	7@D	7@D	7@D	xbw	xbw	5	xbow	2	3					flpmxb	inv8lxu			1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
9@D	Dart Thrower (Grade 3)	nxbw	tier	lxb	9@D					10	1				1	49	58				2	25	30	0	141	0		1	67	21		6112		405	lxb	9@D	9@D	9@D	xbw	xbw	5	xbow	2	3					flpmxb	inv8lxu			1	5	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
1@E	Dart Thrower (Grade 4)	nxbw	tier	lxb	1@E					10	1				1	58	70				2	25	30	0	280	0		1	83	26		12224		406	lxb	1@E	1@E	1@E	xbw	xbw	5	xbow	2	3					flpmxb	inv8lxu			1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
2@E	Dart Thrower (Sacred)	snxb		lxb	2@E					1	1				1	85	86				2	25	30	0	395	0		1	83	30		12224		406	lxb	2@E	2@E	2@E	xbw	xbw	5	xbow	2	3					flpmxb	inv8lxu			1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
143	Dirk (Grade 1)	knif	tier	dir	143					20	1	5	5									-25	0	20	0	25	50		6	2		272		401	dgr	143	143	143	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3		1		1	1					255					255		1		1	1					255					255					255					255					255		1		1	1		1		1	1		1		1	1					255					255					255					255					255			1	2	0	xxx	xxx	1	0
279	Dirk (Grade 2)	knif	tier	dir	279					20	1	9	10									-25	0	20	0	48	50		35	11		1088		402	dgr	279	279	279	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
415	Dirk (Grade 3)	knif	tier	dir	415					20	1	15	16									-25	0	20	0	104	50		64	20		4352		402	dgr	415	415	415	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
483	Dirk (Grade 4)	knif	tier	dir	483					20	1	18	20									-25	0	20	0	212	50		75	25		8704		402	dgr	483	483	483	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
44@	Dirk (Sacred)	qknf		dir	44@					2	1	38	39									-25	0	20	0	421	50		75	30		8704		402	dgr	44@	44@	44@	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
116	Double Axe (Grade 1)	axe	tier	axe	116					20	1	7	11								1		20	0	49	0	90		8	2		328		402	axe	116	116	116	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255		1		1	1					255					255					255					255					255					255		1		1	1		1		1	1					255					255					255					255					255			2	2	0	xxx	xxx	1	0
252	Double Axe (Grade 2)	axe	tier	axe	252					20	1	14	20								1		20	0	79	0	90		37	12		1312		404	axe	252	252	252	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
388	Double Axe (Grade 3)	axe	tier	axe	388					20	1	22	31								1		20	0	160	0	90		67	21		5248		405	axe	388	388	388	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
456	Double Axe (Grade 4)	axe	tier	axe	456					20	1	26	37								1		20	0	319	0	90		78	25		10496		406	axe	456	456	456	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
17@	Double Axe (Sacred)	qaxe		axe	17@					2	1	42	47								1		20	0	466	0	90		78	30		10496		406	axe	17@	17@	17@	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j14	Dragon Stone (Grade 1)	orb	tier	ob4	j14			100		4	1	7	9							14		-20	0	20	0	25	78		16	5		372		401	bst	j14	j14	j14	1hs	1hs	5	1hss	1	3	0	0	0	0	flpob5	invob5			1	1	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
j48	Dragon Stone (Grade 2)	orb	tier	ob4	j48			100		4	1	13	16							14		-20	0	20	0	48	78		45	14		1488		402	bst	j48	j48	j48	1hs	1hs	5	1hss	1	3	0	0	0	0	flpob5	invob5			1	2	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j82	Dragon Stone (Grade 3)	orb	tier	ob4	j82			100		4	1	19	23							14		-20	0	20	0	104	78		74	23		5952		402	bst	j82	j82	j82	1hs	1hs	5	1hss	1	3	0	0	0	0	flpob5	invob5			1	2	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j99	Dragon Stone (Grade 4)	orb	tier	ob4	j99			100		4	1	22	28							14		-20	0	20	0	212	78		86	27		11904		403	bst	j99	j99	j99	1hs	1hs	5	1hss	1	3	0	0	0	0	flpob5	invob5			1	3	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
84@	Dragon Stone (Sacred)	qorb		ob4	84@			100		1	1	40	43							14		-20	0	20	0	242	78		86	30		11904		403	bst	84@	84@	84@	1hs	1hs	5	1hss	1	3	0	0	0	0	flpob5	invob5			1	3	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j10	Eagle Orb (Grade 1)	orb	tier	ob1	j10			100		4	1	4	5							14		-25	0	20	0	0	50		1	0		202		401	bst	j10	j10	j10	1hs	1hs	5	1hss	1	2	0	0	0	0	flpob1	invob1			1	1	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	1	0
j44	Eagle Orb (Grade 2)	orb	tier	ob1	j44			100		4	1	7	7							14		-25	0	20	0	18	50		27	8		808		402	bst	j44	j44	j44	1hs	1hs	5	1hss	1	2	0	0	0	0	flpob1	invob1			1	2	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j78	Eagle Orb (Grade 3)	orb	tier	ob1	j78			100		4	1	11	12							14		-25	0	20	0	49	50		56	18		3232		402	bst	j78	j78	j78	1hs	1hs	5	1hss	1	2	0	0	0	0	flpob1	invob1			1	2	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
j95	Eagle Orb (Grade 4)	orb	tier	ob1	j95			100		4	1	13	14							14		-25	0	20	0	104	50		71	22		6464		402	bst	j95	j95	j95	1hs	1hs	5	1hss	1	2	0	0	0	0	flpob1	invob1			1	2	0	0	0	item_orb	12	item_orb	0	0	5	0	1	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
