skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	AuraStatParam1	aurastatcalc1	aurastat2	AuraStatParam2	aurastatcalc2	aurastat3	AuraStatParam3	aurastatcalc3	aurastat4	AuraStatParam4	aurastatcalc4	aurastat5	AuraStatParam5	aurastatcalc5	aurastat6	AuraStatParam6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	StaticDamage	BaseSynergy	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	DelayGroup	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	PassiveStatParam1	passivecalc1	passivestat2	PassiveStatParam2	passivecalc2	passivestat3	PassiveStatParam3	passivecalc3	passivestat4	PassiveStatParam4	passivecalc4	passivestat5	PassiveStatParam5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Veil King Instakill	92		veilkingultimate	NEC - Subskill			pwnpwnspawner									pwnpwnspawner																																																					6	64	1															pois	5000						5000						syn1	50						0		call_yourmine	call_yourmine																																								none								SC	SC	xx			2	7	80	0		1	99		1	1		6									1			100												1																																																								6											1					0
Kabraxis Falls	93			UQ - Kabraxis		8				braxisdeath_starter				17			braxisdeath_starter	braxisdeath_starter																												1	# missiles	0	activation frame																				4																																					0																																											none								SC	SC	xx			0	0	0	0		1	99			1		1									1															1																																																																			1					0
Totemic Aura Guardian C	94			NEC - Subskill		65															1	73729	totemicguardian	totemicguardian		120	50	item_totembound		5																																							8																																					0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
Revive	95		revive	Classic	21	58							24				revivemedium	revivesmall	revivelarge									damagepercent		skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)																par1+skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)	hp % adjustment	ln34	duration				200	additional hp percent			4500	Duration	0	additional duration/level	50	Velocity bonus for revived							8																																					0	1	necromancer_revive_cast	necromancer_revive_cast						velocitypercent		par5																	revive	lvl	NU													none								SC	SC	xx			2	7	180	0		30	20	Raise Skeletal Mage		1		6															4	1		3	1					1																				necromancer_revive_target													IronGolem																							30											1					0
Bloodlust	96		bloodlust	oSkill		68				femmebloodlustnova				25			femmebloodlustnova						bloodlusted	bloodlusted	(ln78*(100+stat('profession_duration_mod'.accr)))/100			damagepercent		(((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1)+stat('passive_bloodlust_dmgpct'.accr)	passive_fire_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+stat('passive_bloodlust_elempct'.accr)	passive_ltng_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+stat('passive_bloodlust_elempct'.accr)	passive_cold_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+stat('passive_bloodlust_elempct'.accr)	passive_pois_mastery		(((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3)+stat('passive_bloodlust_elempct'.accr)	passive_pm_mastery		((220*lvl) * (par4-par3))/(100 * (lvl+50)) + par3								2	dmg % bonus min	130	dmg % bonus max	4	dmg % elem bonus min	25	dmg % elem bonus max			10	damage synergy	1500	duration	50	duration per level	8																																					0				amazon_impale_1	bloodlustcast	bloodlustcast																																					none								SC	SC	xx			0	0	0	0		6	99		1	1		9	1				1				1															1																																																																			1					0
Smite	97		smite	Classic		150																																								ln34	damage %	"min(250,ln12)"	stunlen				15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									8																																					0		weapon_2hs_large_1	weapon_2hs_large_1																																								h2h	4	shld						S1	S1	xx			2	7	8	0		1	20		1			9		1							1															1																																				8																				1				1							1	1	1	1		0
No Timer Spellbind	98		spellbind	oSkill		17				spellbindmissile	spellbindmissile	spellbindmissile		23			spellbindmissile					73731	gargoyle	gargoyle	(edmx*(100+stat('profession_duration_mod'.accr)))/100			skill_armor_percent		-50	item_fastermovevelocity		-30	damagepercent		-40	damageresist		-25							20	number of missiles																		0		200		8																								100	10	10	10	10	10								3		amazon_jab_1	amazon_jab_1																																								none								SC	SC	SC			20	7	250	-10		1	99		1	1		0					1				1															1																																																																			1					0
Innate Bloodlust	99		innatebloodlust	AMA - Special		68				innatebloodlustnova				25			innatebloodlustnova						aura_46	aura_46	(skill('Bacchanalia'.blvl)>0)?(500):(((par7+(ulvl*50))*(100+stat('profession_duration_mod'.accr)))/100)			damagepercent		25+stat('passive_bloodlust_dmgpct'.accr)	passive_fire_mastery		10+stat('passive_bloodlust_elempct'.accr)	passive_ltng_mastery		10+stat('passive_bloodlust_elempct'.accr)	passive_cold_mastery		10+stat('passive_bloodlust_elempct'.accr)	baccha_on		skill('Bacchanalia'.blvl)*6	passive_pm_mastery		10																		10	damage synergy	500	duration			8																																				(skill('Bacchanalia'.blvl)>0)?(750):(0)	7		amazon_impale_1	amazon_impale_1		bloodlustcast	bloodlustcast																																					none								SC	SC	xx			0	0	0	0		-10	99		1	1		9	1				1				1															1																																																																			1					0
Resist Fire	100		resist fire	Classic		65															1	73731	resistfire	resistfire		ln12	50	fireresist		dm34																							16	radius	2	additional radius per level	35	min % resist	150	max % resist									8																																					0																																											none										xx			0	7	0	0		1	20			1	1	8	1																							1																																																								1											1					0
Parasite Item	101		parasite	Proc Only		8				purgestrike				17			purgestrike	purgestrike								15																				1	number of missiles						15	jump radius															8	90	1																																			0		paladin_aura_resistfire																																									none								A1	A1	xx				8	50	5		1	99		1	1		4					1				1															1																																																																			1					0
Mon Barrier Strike	102		barrierstrike	Monster	6	11				monbarrierspawner	monbarrierspawner	monbarrierspawner		19			monbarrierspawner	monbarrierspawner	monbarrierspawner																											1	spawn shockwave ?																						8	96																																				0	1			assassin_bladefury_throw_1																																							h2h								A1	A1	A1			0	7	100	0		1	99		1	1		5		1			1				1															1																																																												1							1	1	1	1		0
Thorns	103		thorns	Classic		65															1	73731	thorns	thorns		ln12	50	thorns_percent		ln34																							16	radius	2	additional radius per level	250	% damage bounced back	40	% additional bounce back/level									8																																					0																																											none										xx			0	7	0	0		6	20			1		9	1																							1																																																								6											1					0
Ice Lance	104		icelance	oSkill		8				icelance				17			icelance	icelance																												1	number of missiles												1	synergy									3			1														cold	32	16	8	8	8	8	48	24	12	12	12	12		50				stat('profession_duration_mod'.accr)		0		sorceress_cast_cold	sorceress_cast_cold		ice_cast_1																																						none								SC	SC	xx			0	8	6	7		1	99		1	1		2									1															1																																																																			1					0
Resist Cold	105		resist cold	Classic		65															1	73731	resistcold	resistcold		ln12	50	coldresist		dm34																							16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	?	0	?					8																																					0																																											none										xx			0	7	0	0		6	20			1	1	6	1																							1																																																								6											1					0
Wraithverge Attack	106			Monster		8				wraithvergeprojectile				17			wraithvergeprojectile	wraithvergeprojectile				42371	wraithverged	wraithverged	(par7*(100+stat('profession_duration_mod'.accr)))/100			fireresist		-50	coldresist		-50	lightresist		-50	poisonresist		-50							1	number of missiles																		50	duration			8	16																mag																				0		druid_firecast_a			holycast																																						none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1			1		0
Charge	107		charge	Classic	31	67							25	37																																ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	damage %						150	percent increase in velocity	0	?	25	plus % damage	0	plus % dam per level	0	?	0	?			8	damage synergy	8	128																																				0																																											none		mele						SQ	A1	xx	4		2	7	36	0		12	20	Smite	1			2		1							1															1																																																								12	1										1	1	1			0
Hellgate	108		monsterrain	"Monster, oSkill"		8				monsterrain2416				17			monsterrain2416	monsterrain2416																												1	number of missiles																						8																																					0																																											none								SC	SC	xx				0	0	0		1	99		1	1		4					1				1															1																																																																			1					0
Innate Pain Wall	109		innatepainwall	oSkill		24				painwallmaker	painwall			26			painwallmaker						burningveiled	burningveiled	par7+(ulvl*5)	3		damagepercent		(40+ulvl)/2	passive_fire_mastery		(40+ulvl)/4	passive_ltng_mastery		(40+ulvl)/4	passive_cold_mastery		(40+ulvl)/4	passive_pois_mastery		(40+ulvl)/4	passive_pm_mastery		(40+ulvl)/4																				600	duration			8																																				100	0					psychic_hammer_curse																																						none								SC	SC	xx				0	0	0		1	99			1		4					1				1						4		1							1																																																																			1					0
Resist Lightning	110		resist lightning	Classic		65															1	73731	resistlight	resistlight		ln12	50	lightresist		dm34																							16	radius	2	additional radius per level	35	min % resist	150	max % resist	0	?	0	?					8																																					0																																											none										xx			0	7	0	0		12	20			1	1	6	1																							1																																																								12											1					0
Fire Fountain	111		firefountain	oSkill			firefountaincenter									firefountaincenter										8																																											3			1														fire	160	32	16	16	16	12	200	40	20	20	20	16								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	7	64	10		1	99		1	1		2									1															1																																																																			1					0
Unused112	112			Unused																																																																																																																																																																																																																																																																									0
Concentration	113		concentration	Classic		65															1	73731	concentration	concentration		ln12	50	damagepercent		ln34	skill_concentration		par5																				16	radius	2	additional radius per level	60	% additional damage	15	$ additional damage/level	20	percent chance that attack will not be interrupted	0	?					8																																					0																																											none										xx			0	7	0	0		18	20	Blessed Aim		1	1	6	1																							1																																																								18											1					0
No Timer Mythal	114		mythal	oSkill		28				mythalactualeffect	mythalactualeffect	mythalactualeffect		28			mythalcontrol					73731	lowerresist	lowerresist	10			fireresist		(-1)*20	coldresist		(-1)*20	lightresist		(-1)*20	poisonresist		(-1)*20														75	duration	25	duration per level													8																																					0		thornhulk_hit_1	druid_shockwave	mega_evil																																							none								SC	SC	xx			0	8	350	0		18	99			1		4					1				1						4		1							1																																																																			1					0
Unused115	115			Unused																																																																																																																																																																																																																																																																									0
Innate Detonate	116		innatedetonate	oSkill	22	33							5	3																																par1	knockback A	par2	knockback B	par3	knockback C	par3	100	knockback (basic)	25	knockback (boss)	10	knockback (super)											7				625						625																											0	1	crystaldrain			psicast																																						rng								SC	SC	SC				7	0	0		1	99					0									1						4	1								1																			crashedneonlight	shattertheflesh																																			5	256											1	1		1		0
Balefire Damage	117		balefire	AMA - Subskill		18	balefireball									balefireball							balefiredrain		25			hpregen		(-1)*(stat('hitpoints'.accr)/500)	skill_armor_percent		(blvl-1)*15	fade		2																																	1																	mag	33	8	4	4	4	4	41	10	5	5	5	5	"(((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+skill('DSK 2'.pst4)+(skill('DSK 2'.pst2)))))/100)-50"							0																																											none								SC	SC	xx			0	7	18	8	((ulvl-6)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	6	99	Magic Missiles	1	1		9									1															1																																																																			1					0
Reward Hounfor	118		hounfor	oSkill		28				hounforcontrol	hounforcontrol	hounforcontrol		28			hounforcontrol						hounfor	hounfor	20			enr_factor		200	hounfor_active		1	item_fastercastrate		150	manarecoverybonus		300	skill_minion_dmg_percent		200																											8																																					0		siegebeast_stomp_1																																									none								SC	SC	xx			0	7	666	0		1	99			1		4									1						4		1							1																																																																			1					0
Hailstorm	119		hailstorm	oSkill		80				freezestormcenter				36			freezestormcenter					42375				20																				1	fire?												1	synergy									5			1														cold	72	12	6	6	6	6	120	20	10	10	10	10		25				stat('profession_duration_mod'.accr)		0		siegebeast_stomp_1	siegebeast_stomp_1		arctic_blast_cast	arctic_blast_cast																																					none								SC	SC	xx			0	7	100	12		24	99		1	1		6									1						4	1								1																							icyhealing																																						4						1	1				0
Gamma Field	120		gammafield	oSkill			gammafieldcenterP									gammafieldcenterP																																																			40	duration synergy	1			1														pois	40	8	4	4	4	4	120	24	12	12	12	12		200	30	30	30	stat('skill_poison_dur'.accr)		0		druid_shockwave	druid_shockwave																																								none								SC	SC	xx			0	7	48	8		18	99		1	1		4									1															1																																																																			1					0
MBetter Bloodstorm	121		bloodstorm	Monster		28				bettercenter	bettercenter	bettercenter		28			bettercenter									(((stat('hitpoints'.accr)*3)>(stat('maxhp'.accr))) ? 15 : (15+(stat('passive_have_bacchanalia'.accr)*15)))																				(2+(blvl/par7))+(((stat('hitpoints'.accr)*3)>(stat('maxhp'.accr))) ? 0 : (stat('passive_have_bacchanalia'.accr)*4))	number of targets																		4	levels per extra missile			5			1														fire	48	12	6	6	6	6	64	16	8	8	8	8								0				quest_hellforge_flash_1																																							none								SC	SC	xx			0	7	36	8	((ulvl-12)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	12	99	Balefire		1		4									1						4		1							1																																																																			1					0
Fanaticism	122		fanaticism	Classic		65															1	73731	fanaticism	fanaticism		ln12	50	item_fasterattackrate		dm34	item_tohit_percent		toht	damagepercent		ln56/2																	11	radius	1	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	17	% damage bonus per level					8																																					0									damagepercent		ln56																																none										S1			0	7	0	0		30	20	Concentration		1	1	8	1											40	5											1																																																								30											1					0
Conviction	123		conviction	Classic		66															1	42371	conviction	conviction		40	50	skill_armor_percent		(-40)	fireresist		(-50)	coldresist		(-50)	lightresist		(-50)														20	radius	0	additional radius per level	30	% resist reduction	5	% resist reduction per level	40	min % AC reduction	100	max % AC reduction					8																																					0																																											none		mele								xx	5		0	7	0	0		30	20	Sanctuary		1		6	1																							1																																																								30	1										1					0
Redemption	124		redemption	Classic		82											redemption				1	4354	redemption			ln12	50																			dm34	chance to redeem	ln56	hp gain	ln56	mana gain		16	radius	0	additional radius per level	10	min % chance redeem	100	max % chance redeem	25	HP and mana gained	5	HP and mana gained/level					8																																					0																																											none										xx			0	7	0	0		30	20	Vigor		1		0	1																							1																																																								30											1					0
Salvation	125		salvation	Classic		65															1	73731	resistall	resistall		ln12	50	fireresist		dm34	coldresist		dm34	lightresist		dm34																	16	radius	2	additional radius per level	50	min % resist	120	max % resist									8																																					0																																											none										xx			0	7	0	0		30	20			1	1	8	1																							1																																																								30											1					0
Bash	126		bash	Classic	32	2																																								ln12+skill('Stun'.blvl)*par8	damage%	ln34	post dmg add		attack rate bonus		50	Damage % base	5	Damage % per level	1	Min Damage	1	Min Damager per level					5	to hit synergy	5	damage synergy	8	128																																				0				barbarian_grunt_small_1																																							h2h		mele						A1	A1	xx			2	7	8	0		1	20		1	1		7		1							1					15+lvl*5+skill('Concentrate'.blvl)*par7										1																																				8		112																		1				1							1	1	1	1		0
Twin Fang Poison	127		twinfangstrike	ASN - Subskill	6	11				twinfangspawner	twinfangspawner	twinfangspawner		19			twinfangspawner	twinfangspawner	twinfangspawner																											1	spawn shockwave ?																						0																	pois	80	34	12	12	12	12	120	51	18	18	18	18	"(((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+stat('dexterity'.accr)+10)))/(stat('energy'.accr)+stat('dexterity'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50"	25						0				assassin_kick_1																																							h2h		h2h						A1	A1	A1			0	7	72	14	((ulvl-12)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	12	99	Crucify	1	1		5		1			1				1															1																																																												1							1	1	1	1		0
Twin Fang Fire	128		twinfangstrike	ASN - Subskill	6	11				twinfangspawner	twinfangspawner	twinfangspawner		19			twinfangspawner	twinfangspawner	twinfangspawner																											1	spawn shockwave ?																						3																	fire	150	54	22	22	22	22	225	81	33	33	33	33	"(((50+(10*min(ulvl,120)))*(100+((((260*(stat('energy'.accr)+stat('dexterity'.accr)+10)))/(stat('energy'.accr)+stat('dexterity'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50"							0				assassin_kick_1																																							h2h		h2h						A1	A1	A1			0	7	72	14	((ulvl-12)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	12	99	Crucify	1	1		5		1			1				1															1																																																												1							1	1	1	1		0
Innate Force Wall	129		frogprince	Monster		24				forcewallmaker	forcewall			26			forcewallmaker																																																				8																																				"max((200-(ulvl*4)),0)"	0					psicast																																						none								SC	SC	xx				0	0	0		1	99			1		4					1				1						4		1							1																																																																			1					0
MFrog Prince	130		frogprince	Monster		8				frogburstM				17			frogburstM	frogburstM																												1	number of missiles																						5			1														cold	32	16	8	8	8	8	48	24	12	12	12	12		50						0		necromancer_corpse_cast	necromancer_corpse_cast		mooncast																																						none								SC	SC	xx				0	0	0		1	99			1		2									1															1																																																																			1					0
Hireling Vindicate	131		vindicate	Mercenary		68				battleorders				25			battleorders						vindicated	vindicated	par1			hpregen		(stat('maxhp'.accr)*2)/(3060-(ulvl*4))	damagepercent		20+((ulvl*3)/5)																				750	duration															8																																					0		necromancer_curse_cast	necromancer_curse_cast																																								none								SC	SC	S2			0	0	0	0		24	99			1		10					1				1															1																																																																			1					0
Leap	132		leap	Classic	40	77				leapknockback			29	43												dm12																				ln34	knockback radius						4	min distance	30	max distance	4	Knockback range	1	knockback range per level									8																																					0	1			barbarian_leap_1																																							none								SQ	A1	xx	13		2	7	8	0		6	20		1	1		0									1															1																																																								6	1										1					0
Double Swing	133		double swing	Classic		70							27	39																																skill('Bash'.blvl)*par8	damage%		post dmg add	par5	attack rate bonus		50	Attack rate bonus							50	Attack rate bonus					10	damage synergy	8	128																																				0																																											h2h	3	mele					mele	SQ	A1	xx	11		0	5	32	-4		6	20	Bash	1	1		5		1										15	5											1									par5	attack rate bonus					1																																									6	1										1	1	1	1		0
Seal of Fire	134		sealoffire	oSkill			firetickerspawner									firetickerspawner										"min((max(ln12,3)),par3)"																											3	activate radius	1	activate radius per level	9	activate radius max	1	synergy									3			1														fire	16	8	4	4	4	4	32	16	8	8	8	8								0		sorceress_cast_fire	sorceress_cast_fire		threeflames																																						none								SC	SC	xx			0	7	14	9		-10	99		1	1		2									1			25												1																																																																			1					0
BTT Blood Tide	135			Monster		65															1	73731	totemicheal	totemicheal		60	50	item_maxhp_percent		25																							10	hp %	5	hp % per level													8																																					0																																											none										xx				0	0	0		1	99			1	1	8	1				1																			1																																																								1											1					0
Male Witch Punisher	136			Monster		10				malewitch	malewitch			18			malewitch																													0	unknown																						8		1															mag	50000						50000													0		necromancer_bone_cast	necromancer_bone_cast																																								none								SC	SC	xx				0	0	0		1	99		1	1		7									1															1																																																													4						1					0
Taunt	137		taunt	Classic		71																34179		taunt				item_tohit_percent		-5																							-5	% to hit for target	-2	% to hit/level	-5	% damage for target	-2	% damage/level									8																																					0				barbarian_taunt_1																																							none								SC	SC	S1			2	7	12	0		6	20	Howl		1		0									1							1								1																																																								6											1			1		0
Shout	138		shout	Classic		68				shout				25			shout						shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8			skill_armor_percent		ln12																							100	% AC bonus for friendlies	10	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	8																																					0				barbarian_shout_1																																							none								SC	SC	SC			2	7	24	0		6	20	Howl		1		8									1															1																																																								6											1			1		0
Diseased Cattle	139		diseasedcattle	oSkill		43				diseased cattle in air				5			diseased cattle in air									(par1/4)+3+12																											3	cows					1	synergy									0			1														pois	20	10	5	5	5	5	32	16	8	8	8	8		25				stat('skill_poison_dur'.accr)		0		necromancer_poison_cast																																									rng								SC	SC	xx			0	7	16	10		1	99		1	1		0									1															1					par1											weapon_throw_1																																							11												1					0
Double Throw	140		double throw	Classic		74							11	42																																skill('Double Swing'.blvl)*par8	damage%						0	?	0	?											8	damage synergy	8	128																																				0																																											rng	3	thro					thro	SQ	A1	xx	15		2	7	4	0		12	20	Double Swing	1	1		5												20	10											1																																																								12	1		6								1			1		0
Beacon Visual Repeater	141			ASN - Subskill																																																																	3		1		8000						8000																											0							1																																				none								SC	SC	xx				0	0	0		1	99			1		0					1				1															1																																																																			1			1		0
Firebolt Nova	142		fireboltnova	oSkill			ffrcenter									ffrcenter																																																					3			1														fire	240	24	12	12	12	12	480	48	24	24	24	24								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	7	28	0		1	99		1	1		2									1															1																																																																			1					0
Leap Attack	143		leap attack	Classic	41	78							30	44																																ln34+skill('Leap'.blvl)*par8							4	min distance	30	max distance	100	Min % damage bonus	30	% damage bonus	4	Knockback range	2	knockback range per level			10	damage synergy	8	128																																				0	1			barbarian_leapattack_1																																							none		mele						SQ	A1	xx	14		2	7	36	0		18	20	Leap	1	1		6									1			50	15											1																							bash																																	18	1										1	1				0
Slicer Blade	144		slicerblade	oSkill		8				slicermover				17			slicermover	slicermover																												2	number of missiles																						8	64																																				0																																											none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1					0
PFirebolt Barrage	145		fireboltbarrage	oSkill			firecharspawner									firecharspawner																																																					2			1														fire	95	48	20	20	20	20	149	74	30	30	30	30								0		sorceress_cast_fire			druid_fire_cast_1																																						none								A1	A1	A1				0	0	0		1	99		1	1		0									1															1																																																																			1			1		0
Item Mega Impact	146			oSkill		30																3		amplifydamage	50	1		damageresist		-15																																							8																																					3																																											none								SC	SC	S2				0	0	0		-10	99			1		10									1						4									1																																																								1											1					0
Item Thunderfury	147			oSkill		28				thunderfurymid	thunderfurymid	thunderfurymid		28			thunderfurymid																																																				8	48																ltng																				0																																											none								SC	SC	xx				0	0	0		-10	99			1		4									1						4		1							1																																																																			1					0
Ice Spirits Whirl Aura	148			Summon Skill		65															1	73731	iamaurilbowdown	iamaurilbowdown		50	5	maxcoldresist		5	skill_minion_dmg_percent		100	coldresist		50																																	8																																					0																																											none										xx				0	0	0		1	99			1		6	1								1															1																																																																			1					0
Hounfor State	149			Summon Skill																																																																	8																																					0							1	hounforshadowspirit	passive2		1																																none								SC	SC	xx				0	0	0		1	99			1		0					1																			1																																																																			1			1		0
Mon Lotus Strike	150		blacklotusstrike	Monster	6	11				monlotus	monlotus	monlotus		19			monlotus	monlotus	monlotus																											1	proc ?												1	synergy									2			1														pois	24	6	3	3	3	3	40	10	5	5	5	5		25				stat('skill_poison_dur'.accr)		0																																											h2h		h2h		nknf	nscy			A1	A1	A1			0	7	16	0	((ulvl-12)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	12	99	Shadow Refuge	1	1		5		1	1		1				1															1																																																																			1	1	1	1		0
Whirlwind	151		whirlwind	Classic	38	76							31	45									whirlwind																							ln12	damage%						-50	Damage percent per attack	8	Damage percent per level	1	Attacks per tick											8	128																																				0	1			barbarian_whirlwind																																							none	2	mele						SQ	A1	xx	10		2	5	400	2		30	20	Leap Attack	1			3		1							1				5											1																																	Concentrate																							30	1										1	1				0
Devastation	152			Monster		8				satiinitial				17			satiinitial	satiinitial																												1	number of missiles																						8																	fire																				0																																											none								SC	SC	xx			0	0	0	0		1	99		1	1		1									1															1																																																																			1			1		0
Nova Bomb	153		novabomb	Monster		28				lightningbomb	lightningbomb	lightningbomb		28			lightningbomb																																										1	synergy									5			1														ltng	16						112	28	14	14	14	14								0		sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1																																						none								SC	SC	xx			0	7	48	10	((ulvl-12)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	12	99			1		6									1						4		1							1																																																																			1					0
Immolation Bomb	154		immolationbomb	Monster		28				immolationbomb	immolationbomb	immolationbomb		28			immolationbomb																																										1	synergy									5			1														fire	40	8	4	4	4	4	120	24	12	12	12	12								0		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2																																						none								SC	SC	xx			0	7	64	10	((ulvl-18)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	18	99			1		2									1						4		1							1																																																																			1					0
Pest Landmine	155		landmine	Monster		8				landmineunarmedM				17			landmineunarmedM																													1	missiles	1	activate frame																				4			1														fire	32	16	8	8	8	8	48	24	12	12	12	12								0																																											none								SC	SC	xx			0	7	24	0	((ulvl)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	1	99			1		9									1						4		1							1																																																																			1					0
Fire Hit	156			Classic	42	83																																															1	base damage	5	extra per level	50	duration	50	duration/level									8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1			20	10											1																																																								1											1			1		0
UnHolyBolt	157			Classic		85				unholybolt1						unholybolt1																																																					8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
SkeletonRaise	158			Classic																																																2																	8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0																1	1		1					1																																																																			1					0
MaggotEgg	159			Classic	43	84								46																																"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# to spawn																						8																																					0		sandmaggotegg_hatch_1	sandmaggotegg_hatch_1																																								none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1									 		1					0
ShamanFire	160			Classic		85				shafire1						shafire1																																																					8																																					0																																											none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
MagottUp	161			Classic	44								32				dirt pile	sand pile																																																			8																																					0		sandmaggot_emerge	sandmaggot_emerge																																								none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
MagottDown	162			Classic	45	86							33	47																																10	heal%																						8																																					0		sandmaggot_burrow	sandmaggot_burrow																																								none								SQ	SQ	xx				0	0	0		1				1		0									1															1																																																								1											1					0
