Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	*Laz/arc	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	* Laz / todo	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cathedral	33	0	0			0	28	34	28	34	28	34	-4	-34	32	1	0	0	0	1	1	1	0	1	2	9	-1	-1	-1	-1	32	34	0	0	0	0	0	0	-1	15	-1	-1	-1	-1	-1	-1		32	255	128	0	1	0	1	0	2025	19	60	120	19	70	120	3600	3900	4300							1	0	5	SHADOWCREEPER HERE	evilpriest1	rogue2h3	harlequin1	elite_rogue2hA	onyxknight1																	evilpriest1	rogue2h3	harlequin1	elite_rogue2hA	onyxknight1																evilpriest1	rogue2h3	harlequin1	onyxknight1																	rat	bat			30	30							0	9	255	Cathedral	To The Cathedral	A1L34	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0	1
Act 1 - Catacombs 1	34	0	0			21	200	200	200	200	200	200	4500	1000	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	33	35	0	0	0	0	0	0	16	18	-1	-1	-1	-1	-1	-1		32	0	128	166	0	0	1	0	2025	19	60	120	19	70	120	3600	3900	4300							1	0	8		goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	elite_rogue2hA	onyxknight1														goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	elite_rogue2hA	onyxknight1													goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	onyxknight1														rat	bat			30	30							60	10	255	Catacombs Level 1	To The Catacombs Level 1	A1L35	16	3	14	17	0	0	0	0	40	45	15	3	0	0	0	0	1
Act 1 - Catacombs 2	35	0	0			22	200	200	200	200	200	200	4500	1300	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	34	36	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1		64	0	128	166	0	0	1	0	2025	19	60	120	19	70	120	3600	3900	4300							1	0	8		goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	elite_rogue2hA	onyxknight1														goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	elite_rogue2hA	onyxknight1													goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	onyxknight1														rat	bat			30	30							60	10	8	Catacombs Level 2	To The Catacombs Level 2	A1L36	16	3	14	17	0	0	0	0	45	45	17	3	0	0	0	0	1
Act 1 - Catacombs 3	36	0	0			23	200	200	200	200	200	200	4500	1600	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	35	37	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1		96	0	128	166	1	0	1	0	2025	20	61	120	20	72	120	3600	3900	4300							1	0	9		goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	rogue1h4	elite_infernalteddyA	onyxknight1													goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	rogue1h4	elite_infernalteddyA	onyxknight1												goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	rogue1h4	onyxknight1													rat	bat			30	30							60	10	255	Catacombs Level 3	To The Catacombs Level 3	A1L37	16	3	14	17	0	0	0	0	50	45	19	3	0	0	0	0	1
Act 1 - Catacombs 4	37	0	0			24	22	31	22	31	22	31	4500	1900	0	1	0	0	0	1	1	1	0	1	2	10	-1	-1	-1	-1	36	0	0	0	0	0	0	0	17	-1	-1	-1	-1	-1	-1	-1		32	255	128	0	0	0	1	0	2025	20	61	120	20	72	120	3600	3900	4300							1	0	9		goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	rogue1h4	elite_infernalteddyA	onyxknight1													goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	rogue1h4	elite_infernalteddyA	onyxknight1												goatpriest1	roguebow3	fallenfather4	skelmagecold1	skelmagefire1	skelmageltng1	rogue1h4	onyxknight1													rat	bat			30	30							60	33	255	Catacombs Level 4	To The Catacombs Level 4	A1L38	16	3	14	17	0	0	0	0	55	45	1	3	0	0	0	0	1
Act 1 - Tristram	38	0	0			25	43	48	43	48	43	48	5000	1000	0	1	1	0	0	0	1	1	1	0	2	11	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1		32	255	128	0	0	1	1	0	4500	13	56	120	13	62	120	1900	2100	2400							0	0	6	WARLOCK AREA	roguebow2	fallenfather2	evilskel2	archskel2	elite_deadA	harlequin1																roguebow2	fallenfather2	evilskel2	archskel2	elite_deadA	harlequin1															roguebow2	fallenfather2	evilskel2	archskel2	harlequin1																												0	33	255	Tristram	To Tristram	A1L39	44	45	0	0	0	0	0	0	0	33	1	0	0	0	0	0	1
Act 1 - Moo Moo Farm	39	0	0	26	40	26	80	80	80	80	80	80	5000	1148	0	1	1	0	0	0	1	1	0	0	3	2	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1		64	212	255	224	0	0	1	0	5750	40	92	120	50	115	120	1750	1900	2200							1	0	6		steak1	steak2	steak3	steak4	steak5	cowprince																steak1	steak2	steak3	steak4	steak5	cowprince															steak1	steak2	steak3	steak4	steak5	cowprince																											0	34	255	Moo Moo Farm	To The Moo Moo Farm	A1L40	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	0
Act 2 - Town	40	1	1			27	56	56	56	56	56	56	1000	1000	0	1	0	0	0	0	1	1	1	0	2	12	-1	-1	-1	-1	0	0	47	47	50	0	0	0	-1	-1	19	20	24	-1	-1	-1		255	255	210	144	1	1	0	0	2025	0	0	0	0	0	0	0	0	0							0	0																																																																bug				30								0	12	9	Lut Gholein	To Lut Gholein	A2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 2 - Desert 1	41	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	0	7	8	55	55	55	55	0	0	0	0	33	34	35	36	-1	-1	-1	-1		255	104	84	52	0	0	1	0	4500	23	63	120	23	76	120	1100	1200	1350							1	0	12	WITCH AREA	beetle1	couatlchild2	cavetroll_elite	bigcat1	pest1	gnat2	elite_spideyA	elite_skelmageA	dragonknight1	runepriest1	koenigsegg1	null_monster										beetle1	couatlchild2	cavetroll_elite	bigcat1	pest1	gnat2	elite_spideyA	elite_skelmageA	dragonknight1	runepriest1	koenigsegg1	l4dwitch									beetle1	couatlchild2	bigcat1	pest1	gnat2	dragonknight1	runepriest1														scorpion				20								0	13	255	Rocky Waste	To The Rocky Waste	A2L2	30	24	32	37	36	0	0	0	15	30	15	40	40	0	0	0	0
Act 2 - Desert 2	42	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	1	7	8	56	56	56	56	0	0	0	0	33	34	35	36	-1	-1	-1	-1		255	96	76	44	0	0	1	0	4500	24	64	120	24	77	120	1100	1200	1350							1	0	13		cavetroll_elite	undeadbird1	hthcat1	bigcat1	javcat1	gnat2	elite_spideyA	elite_skelmageA	dragonknight1	runepriest1	koenigsegg1	troll1	cavetroll_elite									cavetroll_elite	undeadbird1	hthcat1	bigcat1	javcat1	gnat2	elite_spideyA	elite_skelmageA	dragonknight1	runepriest1	koenigsegg1	troll1	cavetroll_elite								undeadbird1	hthcat1	bigcat1	javcat1	gnat2	dragonknight1	runepriest1	troll1													scorpion				20								0	13	11	Dry Hills	To The Dry Hills	A2L3	30	24	32	37	36	0	0	0	15	30	14	40	40	0	0	0	0
Act 2 - Desert 3	43	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	2	7	8	0	0	0	0	62	0	0	0	-1	-1	-1	-1	47	-1	-1	-1		255	88	68	36	1	0	1	0	4500	25	65	120	25	79	120	1100	1200	1350							1	0	9	WARLOCK AREA	undeadbird1	couatlchild2	bigcat1	gnat2	elite_beetleA	elite_evilpriestA	dragonknight1	berserk1	koenigsegg1													undeadbird1	couatlchild2	bigcat1	gnat2	elite_beetleA	elite_evilpriestA	dragonknight1	berserk1	koenigsegg1												undeadbird1	couatlchild2	bigcat1	gnat2	dragonknight1	berserk1															scorpion				20								0	13	13	Far Oasis	To The Far Oasis	A2L4	30	24	32	37	36	0	0	0	15	30	13	40	40	0	0	0	0
Act 2 - Desert 4	44	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	3	7	8	0	0	65	0	0	0	0	0	-1	-1	50	-1	-1	-1	-1	-1		255	80	60	28	0	0	1	0	4500	26	66	120	26	80	120	1100	1200	1350							1	0	13	EX WITCH AREA	hthcat1	bigcat1	couatlchild3	spidey2	ghost2	aciddog1	toad1	elite_evilpriestA	elite_beetleA	gargoylebeast1	berserk1	koenigsegg1	deathwing1									hthcat1	bigcat1	couatlchild3	spidey2	ghost2	aciddog1	toad1	elite_evilpriestA	elite_beetleA	gargoylebeast1	berserk1	koenigsegg1	deathwing1								hthcat1	bigcat1	couatlchild3	spidey2	ghost2	aciddog1	toad1	gargoylebeast1	berserk1	deathwing1											scorpion				20								0	13	14	Lost City	To The Lost City	A2L5	30	24	32	37	36	0	0	0	15	30	12	40	40	0	0	0	0
Act 2 - Desert 5	45	1	1			27	32	32	32	32	32	32	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	-1	-1	-1	8	0	58	0	0	0	0	0	0	-1	37	-1	-1	-1	-1	-1	-1		255	72	52	20	1	0	1	0	4500	28	85	120	28	115	120	0	0	0							1	0	0		quest_talrasha																					quest_talrasha																																								scorpion				20								0	13	255	Valley of Snakes	To The Valley of Snakes	A2L6	30	24	32	37	36	0	0	0	15	30	11	40	40	0	0	0	0
Act 2 - Valley of the Kings	46	1	1	13	13	28	80	80	80	80	80	80	2500	1000	0	1	0	0	1	0	1	1	1	0	3	16	9	4	7	8	0	66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44		255	64	44	12	1	1	1	0	4500	29	67	120	29	84	120	1600	1750	2000							1	0	13	FAEWITCH + WARLOCK	elite_succubusclanA	undeadbird2	beetle2	hthcat2	bigcat2	alibaba2	elite_inflateA	elite_goatpriestA	gargoylebeast1	firewizard1	koenigsegg1	null_monster	deathwing1									elite_succubusclanA	undeadbird2	beetle2	hthcat2	bigcat2	alibaba2	elite_inflateA	elite_goatpriestA	gargoylebeast1	firewizard1	koenigsegg1	faewitchM2	deathwing1								undeadbird2	beetle2	hthcat2	bigcat2	alibaba2	gargoylebeast1	firewizard1	deathwing1													scorpion				20								0	14	17	Canyon of the Magi	To The Canyon of the Magi	A2L7	30	24	32	37	36	0	0	0	15	30	10	40	40	0	0	0	0
Act 2 - Sewer 1 A	47	1	1			29	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	40	40	48	0	0	0	0	0	22	21	23	-1	-1	-1	-1	-1		64	128	112	64	0	0	1	0	100	21	62	120	21	73	120	3300	3500	3800							1	0	12		skc1_special	skf1_special	skl1_special	hthcat1	javcat1	troll1	wingedfiend3	elite_spideyA	elite_skelmageA	fellfiend1	pest1	thepack_elite2										skc1_special	skf1_special	skl1_special	porkchop_elite2	javcat1	troll1	centaur3	elite_spideyA	elite_skelmageA	fellfiend1	pest1	thepack_elite2									skc1_special	skf1_special	skl1_special	hthcat1	javcat1	troll1	wingedfiend3	fellfiend1	pest1												rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 1	To The Sewers Level 1	A2L8	32	26	5	0	0	0	0	0	10	10	10	0	0	0	0	0	0
Act 2 - Sewer 1 B	48	1	1			30	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	47	0	49	0	0	0	0	0	22	-1	23	-1	-1	-1	-1	-1		64	128	112	64	0	0	1	0	2025	22	62	120	22	75	120	3300	3500	3800							1	0	12		skc1_special	skf1_special	skl1_special	hthcat1	javcat1	troll1	wingedfiend3	elite_spideyA	elite_skelmageA	fellfiend1	pest1	thepack_elite2										skc1_special	skf1_special	skl1_special	porkchop_elite2	javcat1	troll1	centaur3	elite_spideyA	elite_skelmageA	fellfiend1	pest1	thepack_elite2									skc1_special	skf1_special	skl1_special	hthcat1	javcat1	troll1	wingedfiend3	fellfiend1	pest1												rat	bat	scorpion		30	100	20						0	15	10	Sewers Level 2	To The Sewers Level 2	A2L9	32	26	5	0	0	0	0	0	12	12	12	0	0	0	0	0	0
Act 2 - Sewer 1 C	49	1	1			31	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	48	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1		64	128	112	64	0	0	1	0	2025	23	63	120	23	76	120	3300	3500	3800							1	0	12		skc1_special	skf1_special	skl1_special	hthcat1	javcat1	troll1	wingedfiend3	elite_spideyA	elite_skelmageA	fellfiend1	pest1	thepack_elite2										skc1_special	skf1_special	skl1_special	porkchop_elite2	javcat1	troll1	centaur3	elite_spideyA	elite_skelmageA	fellfiend1	pest1	thepack_elite2									skc1_special	skf1_special	skl1_special	hthcat1	javcat1	troll1	wingedfiend3	fellfiend1	pest1												rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 3	To The Sewers Level 3	A2L10	32	26	5	0	0	0	0	0	15	15	15	0	0	0	0	0	0
Act 2 - Harem	50	1	1	11	11	32	16	19	16	19	16	19	2000	1000	0	1	0	0	0	1	1	1	0	1	2	14	-1	-1	-1	-1	40	0	51	51	0	0	0	0	25	-1	28	29	-1	-1	-1	-1		192	255	255	255	0	0	1	0	2025	26	65	120	26	80	120	0	0	0							1	0	10		bigcat1	aciddog1	evilskel3	archskel3	dead3	alibaba1	elite_inflateA	elite_javcatA	gargoylebeast1	centaur1												bigcat1	aciddog1	evilskel3	archskel3	dead3	alibaba1	elite_inflateA	elite_javcatA	gargoylebeast1	centaur1											bigcat1	aciddog1	evilskel3	archskel3	dead3	alibaba1	gargoylebeast1	centaur1													rat	bat	scorpion		30	30	20						8	16	255	Harem Level 1	To The Harem Level 1	A2L11	56	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Act 2 - Corrupt Harem 1	51	1	1	11	11	33	100	100	100	100	100	100	2000	1119	0	1	0	0	0	1	1	1	0	1	1	14	-1	-1	-1	-1	50	50	52	52	0	0	0	0	26	27	28	29	-1	-1	-1	-1		255	255	255	255	0	0	1	0	2025	26	65	120	26	80	120	3300	3500	3800							1	0	10		bigcat1	aciddog1	evilskel3	archskel3	dead3	alibaba1	elite_inflateA	elite_javcatA	gargoylebeast1	centaur1												bigcat1	aciddog1	evilskel3	archskel3	dead3	alibaba1	elite_inflateA	elite_javcatA	gargoylebeast1	centaur1											bigcat1	aciddog1	evilskel3	archskel3	dead3	alibaba1	gargoylebeast1	centaur1													rat	bat	scorpion		30	30	20						8	17	255	Harem Level 2	To The Harem Level 2	A2L12	56	55	0	0	0	0	0	0	15	33	0	0	0	0	0	0	0
Act 2 - Basement 1	52	1	1	11	11	34	100	100	100	100	100	100	2000	1319	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	51	51	53	53	0	0	0	0	26	27	32	32	-1	-1	-1	-1		4	255	255	255	0	0	1	0	2025	26	65	120	26	80	120	3700	3900	4200							1	1	11		aciddog1	evilskel3	archskel3	dead3	alibaba1	gnat2	troll2	elite_inflateA	elite_javcatA	gargoylebeast1	centaur1											aciddog1	evilskel3	archskel3	dead3	alibaba1	gnat2	troll2	elite_inflateA	elite_goatpriestA	gargoylebeast1	centaur1										aciddog1	evilskel3	archskel3	dead3	alibaba1	gnat2	troll2	gargoylebeast1	centaur1												rat	bat	scorpion		30	30	20						60	18	15	Palace Cellar Level 1 	To The Palace Cellar Level 1 	A2L13	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Basement 2	53	1	1	11	11	35	100	100	100	100	100	100	2000	1519	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	52	52	54	54	0	0	0	0	30	31	32	32	-1	-1	-1	-1		132	192	192	255	1	0	1	0	2025	27	65	120	27	81	120	3700	3900	4200							1	1	11		aciddog1	evilskel3	archskel3	dead3	alibaba1	gnat2	troll2	elite_goatpriestA	elite_inflateA	gargoylebeast1	centaur1											aciddog1	evilskel3	archskel3	dead3	alibaba1	gnat2	troll2	elite_goatpriestA	elite_inflateA	gargoylebeast1	centaur1										aciddog1	evilskel3	archskel3	dead3	alibaba1	gnat2	troll2	gargoylebeast1	centaur1												rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	A2L14	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Basement 3	54	1	1	11	11	36	100	100	100	100	100	100	2000	1719	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	53	53	0	0	0	0	0	0	30	31	-1	-1	-1	-1	-1	-1		255	128	128	255	1	1	1	0	2025	27	65	120	27	81	120	3700	3900	4200							1	1	11		aciddog1	evilskel3	archskel3	dead3	inflate2	gnat2	troll2	elite_goatpriestA	elite_inflateA	gargoylebeast1	centaur1											aciddog1	evilskel3	archskel3	dead3	inflate2	gnat2	troll2	elite_goatpriestA	elite_inflateA	gargoylebeast1	centaur1										aciddog1	evilskel3	archskel3	dead3	inflate2	gnat2	troll2	gargoylebeast1	centaur1												rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	A2L15	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Tomb 1 A	55	1	1			37	200	200	250	250	250	250	3000	1000	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	41	0	0	0	59	0	0	0	45	-1	-1	-1	46	-1	-1	-1		64	128	64	32	0	0	1	0	1500	50	70	120	50	115	120	1200	1400	3300							1	0	20		hell_mother	hell_worm	hell_aciddog	hell_cultist	hell_croaky	hell_javcat	hell_killermoo	hell_roguebow	hell_succubusclan	hell_bane	hell_viper	hell_turtle	hell_inflate	hell_creepshow	omgitslaz	hell_magmademon	hell_firewizard	hell_gargoylebeast	hell_runepriest	hell_dragonknight		hell_mother	hell_worm	hell_aciddog	hell_cultist	hell_croaky	hell_javcat	hell_killermoo	hell_roguebow	hell_succubusclan	hell_bane	hell_viper	hell_turtle	hell_inflate	hell_creepshow	omgitslaz	hell_magmademon	hell_firewizard	hell_gargoylebeast	hell_runepriest	hell_dragonknight	hell_mother	hell_worm	hell_aciddog	hell_cultist	hell_croaky	hell_javcat	hell_killermoo	hell_roguebow	hell_succubusclan	hell_bane	hell_viper	hell_turtle	hell_inflate	hell_creepshow	hell_magmademon	hell_firewizard	hell_gargoylebeast	hell_runepriest	hell_dragonknight		rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	A2L16	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 2 A	56	1	1			38	200	200	200	200	200	200	3000	1300	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	42	0	0	0	57	0	0	0	45	-1	-1	-1	46	-1	-1	-1		64	128	64	32	0	0	1	0	1500	20	61	120	20	72	120	3300	3500	4000							1	0	8		wingedfiend3	beetle1	hthcat1	bigcat1	spidey2	elite_spideyA	elite_skelmageA	fellfiend1														wingedfiend3	beetle1	hthcat1	bigcat1	spidey2	elite_spideyA	elite_skelmageA	fellfiend1													wingedfiend3	beetle1	hthcat1	bigcat1	spidey2	fellfiend1															rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	A2L17	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 2 B	57	1	1			39	200	200	200	200	200	200	3000	1600	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	56	0	0	0	60	0	0	0	45	-1	-1	-1	46	-1	-1	-1		64	128	64	32	0	0	1	0	1500	21	62	120	21	73	120	3300	3500	4000							1	0	8		wingedfiend3	beetle1	hthcat1	bigcat1	spidey2	elite_spideyA	elite_skelmageA	fellfiend1														wingedfiend3	beetle1	hthcat1	bigcat1	spidey2	elite_spideyA	elite_skelmageA	fellfiend1													wingedfiend3	beetle1	hthcat1	bigcat1	spidey2	fellfiend1															rat	bat	scorpion		30	30	20						60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	A2L18	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 3 A	58	1	1			40	200	200	200	200	200	200	3000	1900	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	45	0	0	0	61	0	0	0	45	-1	-1	-1	46	-1	-1	-1		64	128	64	32	0	0	1	0	1500	23	63	120	23	76	120	3300	3500	4000							1	0	5		ghost2	toad1	elite_evilpriestA	elite_goatpriestA	fellfiend1																	ghost2	toad1	elite_evilpriestA	elite_goatpriestA	fellfiend1																ghost2	toad1	fellfiend1																		rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	A2L19	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 1 Treasure	59	1	1			41	127	127	127	127	127	127	3000	2200	0	1	0	0	1	1	1	1	0	1	2	17	-1	-1	-1	-1	55	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1		48	0	0	255	0	0	1	0	4500	75	80	120	80	115	120	2500	3000	4800							1	0	4		robotnik	harpylisk	neonfiend	hardliner																		robotnik	harpylisk	neonfiend	hardliner																																					rat	bat			60	60							60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	53	75	0	0	0	0	0	0	75	75	0	0	0	0	0	0	0
Act 2 - Tomb 2 Treasure	60	1	1			42	127	127	127	127	127	127	3000	2500	0	1	0	0	0	1	1	1	0	1	2	17	-1	-1	-1	-1	57	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1		48	255	255	0	0	0	1	0	1500	60	80	120	60	115	120	1800	2700	5000							1	0	2		regularamazon	junglesnake																				regularamazon	junglesnake																																							rat				100								60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	6	15	1	0	0	0	0	0	10	45	15	55	0	0	0	0	0
Act 2 - Tomb 3 Treasure	61	1	1			43	200	200	200	200	200	200	3000	2800	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	58	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1		64	128	64	32	0	0	1	0	1500	24	63	120	24	77	120	3300	3500	4000							1	0	5		spidey2	ghost2	toad1	elite_evilpriestA	elite_goatpriestA																	spidey2	ghost2	toad1	elite_evilpriestA	elite_goatpriestA																spidey2	ghost2	toad1																		rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Lair 1 A	62	1	1			44	200	200	200	200	200	200	3500	1000	0	1	1	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	43	63	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1		0	255	255	255	0	0	1	0	2025	26	66	120	26	80	120	5000	7500	10000							1	0	12		level 1 egg	level 1 worm	i will prevent your heal!																			level 1 egg	level 1 worm	i will prevent your heal!																		level 1 egg	level 1 worm	i will prevent your heal!																		rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29	0	0	0	0	0	0	50	35	0	0	0	0	0	0	0
Act 2 - Lair 1 B	63	1	1			45	200	200	200	200	200	200	3500	1300	0	1	1	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	62	64	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1		0	255	255	255	0	0	1	0	2025	26	66	120	26	80	120	5000	7500	10000							1	0	12		dontyoudare	thats it, dumb egg	the baby is born!	fucking snake																		dontyoudare	thats it, dumb egg	the baby is born!	fucking snake																	dontyoudare	thats it, dumb egg	the baby is born!	fucking snake																	rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29	0	0	0	0	0	0	65	35	0	0	0	0	0	0	0
Act 2 - Lair 1 Treasure	64	1	1			46	200	200	200	200	200	200	3500	1600	0	1	1	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	63	0	0	0	0	0	0	0	48	-1	-1	-1	-1	-1	-1	-1		0	255	255	255	0	0	1	0	2025	26	66	120	26	80	120	5000	7500	10000							1	0	12		dontyoudare	thats it, dumb egg	the baby is born!	fucking snake	level 1 egg	level 1 worm																dontyoudare	thats it, dumb egg	the baby is born!	level 1 worm	level 1 egg	fucking snake															dontyoudare	thats it, dumb egg	the baby is born!	fucking snake	level 1 egg	level 1 worm															rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29	0	0	0	0	0	0	80	55	0	0	0	0	0	0	0
Act 2 - Sewer 2 A	65	1	1			47	47	47	47	47	47	47	4000	1000	0	1	0	0	0	1	1	1	0	1	2	19	-1	-1	-1	-1	0	0	0	0	0	0	0	44	-1	-1	-1	-1	-1	-1	-1	50		48	0	0	255	0	0	1	0	2025	55	85	120	60	115	120	800	900	1000							1	0	1		horazonastralguard																					horazonastralguard																																																				8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	53	75	0	0	0	0	0	0	75	75	0	0	0	0	0	0	0
