Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	* category	* comment	* Marco / loc	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	Level	Level(N)	Level(H)	*eol
minion1	453	minion1	minion2	0	RustFury	minion1	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion2	454	minion1	minion3	2	RustFury	minion2	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion3	455	minion1	minion4	1	RustFury	minion3	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion4	456	minion1	minion5	3	RustFury	minion4	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion5	457	minion1	minion6	4	RustFury	minion5	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion6	458	minion1	minion7	5	RustFury	minion6	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion7	459	minion1	minion8	6	RustFury	minion7	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
minion8	460	minion1	minion9	7	RustFury	minion8	turtle1	minion	Baboon	mon_newrust	xx	Classic			1													3	5		11	11	1	minion	minion	10	3	2	1	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20																			1	1			1									1	1						1																											140	100	100	-20	-20	-20				100					15	100	15	5			35	100	35	20	0				50	50	50	0	120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200																																																																41	79	120	0
suicideminion1	461	suicideminion1	suicideminion2	0	FanaticMinion	suicideminion1		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1												1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	38	57	84	100	100	150								29	48	84	100	100	150								160	170	85	100	100	150																																																																				39	73	120	0
suicideminion2	462	suicideminion1	suicideminion3	1	BerserkSlayer	suicideminion2		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1												1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	39	58	84	100	100	150								29	49	84	100	100	150								160	170	85	100	100	150																																																																				41	74	120	0
suicideminion3	463	suicideminion1	suicideminion4	2	ConsumedIceBoar	suicideminion3		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1												1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	38	57	84	100	100	150								29	48	84	100	100	150								160	170	85	100	100	150																																																																				44	75	120	0
suicideminion4	464	suicideminion1	suicideminion5	3	ConsumedFireBoar	suicideminion4		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1												1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	38	57	84	100	100	150								29	48	84	100	100	150								160	170	85	100	100	150																																																																				45	76	120	0
suicideminion5	465	suicideminion1	suicideminion6	4	FrenziedHellSpawn	suicideminion5		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1							1					1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	39	57	84	100	100	150								29	48	84	100	100	150								160	170	85	100	100	150																																																																				46	78	120	0
suicideminion6	466	suicideminion1	suicideminion7	5	FrenziedIceSpawn	suicideminion6		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1												1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	38	58	84	100	100	150								29	49	84	100	100	150								160	170	85	100	100	150																																																																				50	80	120	0
suicideminion7	467	suicideminion1	suicideminion8	6	InsaneHellSpawn	suicideminion7		minion	SuicideMinion		xy	Classic			1													1	1		13	13	2	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1							1					1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	39	58	84	100	100	150								29	49	84	100	100	150								160	170	85	100	100	150																																																																				51	81	120	0
suicideminion8	468	suicideminion1		7	InsaneIceSpawn	suicideminion8		minion	SuicideMinion		xy	Classic			1													1	1		13	13	1	suicideminion	suicideminion	11	15	14	13				15	15	15	5	5	5	50	60	70	4	4	4																						1	1												1							1																											140	100	100	-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20	0				50	50	50	0	39	57	84	100	100	150								29	48	84	100	100	150								160	170	85	100	100	150																																																																				53	83	120	0
succubus1	469	succubus1	succubus2	0	Succubusexp	succubus1		succubus	Succubus		0B	Classic			1	1												2	3		13	13	1	succubus	succubus	10	15	14	13				90	91	93	50	25	10	50	50	50	15	20	20	15	13	11	15	15	15	3	3	4		50	80										1	1							1	1				1	1						1									Defense Curse	S2	1	Blood Mana	S2	1	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				42	42	42	0	96	152	107	100	46	86	155							78	121	111	100	48	88	155							180	195	115	100	50	90	155							A2	mag	100	40	75		100	40	75		100	40	75																																																40	76	120	0
succubus2	470	succubus1	succubus3	1	VileTemptress	succubus2		succubus	Succubus		0B	Classic			1	1												2	4		14	14	1	succubus	succubus	10	15	14	13				90	91	94	50	25	10	50	50	50	20	25	25	15	13	11	15	15	15	3	3	4		50	80										1	1							1	1				1	1						1									Defense Curse	S2	1	Blood Mana	S2	1	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				44	44	44	0	95	152	107	100	46	82	155							77	121	111	100	48	86	155							180	195	115	100	50	90	155							A2	mag	100	40	75		100	40	75		100	40	75																																																43	76	120	0
succubus3	471	succubus1	succubus4	2	StygianHarlot	succubus3		succubus	Succubus		0B	Classic			1	1												3	4		15	15	1	succubus	succubus	10	15	14	13				90	92	94	50	25	10	50	50	50	25	25	25	15	13	11	15	15	15	3	3	4		50	80										1	1							1	1				1	1						1									Defense Curse	S2	2	Blood Mana	S2	2	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				46	46	46	0	95	152	107	100	46	87	155							77	121	111	100	48	88	155							180	195	115	100	50	90	155							A2	mag	100	40	75		100	40	75		100	40	75																																																44	78	120	0
succubus4	472	succubus1	succubus5	3	Hell Temptress	succubus4		succubus	Succubus		0B	Classic			1	1												3	5		16	16	1	succubus	succubus	10	15	14	13				90	92	95	50	25	10	50	50	50	25	25	25	15	13	11	15	15	15	3	3	4		50	80										1	1							1	1				1	1						1									Defense Curse	S2	2	Blood Mana	S2	2	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				50	50	50	0	96	152	107	100	45	85	155							78	121	111	100	47	87	155							180	195	115	100	50	90	155							A2	mag	100	40	75		100	40	75		100	40	75																																																50	79	120	0
succubus5	473	succubus1	succubus6	4	Blood Temptress	succubus5		succubus	Succubus		0B	Classic			1	1												4	5		18	18	1	succubus	succubus	10	15	14	13				90	93	95	50	25	10	50	50	50	25	25	25	15	13	11	15	15	15	3	3	4		50	80										1	1							1	1				1	1						1									Defense Curse	S2	3	Blood Mana	S2	3	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				50	50	50	0	95	152	107	100	47	85	155							77	121	111	100	48	87	155							180	195	115	100	50	90	155							A2	mag	100	40	75		100	40	75		100	40	75																																																53	80	120	0
succubuswitch1	474	succubuswitch1	succubuswitch2	0	Dominus	succubuswitch1		succubus	SuccubusWitch		0C	Classic			1	1												2	3		9	9	1	succubus	succubus	10	15	14	13				90	90	90	25	25	25	0	0	0	0	8	12	90	90	90	15	14	13	80	80	80	66	66	66										1								1	1				1	1						1			Amplify Damage	S2	3	Weaken	S2	3	Defense Curse	S2	1	Blood Mana	S2	1	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				46	46	46	0	96	152	107	100	46	86	120							78	121	111	100	48	88	120							180	195	115	100	50	90	120							A2	mag	100	40	75		100	40	75		100	40	75																																																40	75	120	0
succubuswitch2	475	succubuswitch1	succubuswitch3	1	VileWitch	succubuswitch2		succubus	SuccubusWitch		0C	Classic			1	1												2	4		10	10	1	succubus	succubus	10	15	14	13				90	90	90	25	25	25	0	25	35	0	8	12	90	90	90	15	14	13	80	80	80	66	66	66										1								1	1				1	1						1			Amplify Damage	S2	3	Weaken	S2	3	Defense Curse	S2	1	Blood Mana	S2	1	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				49	49	49	0	95	152	107	100	46	82	120							77	121	111	100	48	86	120							180	195	115	100	50	90	120							A2	mag	100	40	75		100	40	75		100	40	75																																																43	76	120	0
succubuswitch3	476	succubuswitch1	succubuswitch4	2	StygianFury	succubuswitch3		succubus	SuccubusWitch		0C	Classic			1	1												3	4		11	11	1	succubus	succubus	10	15	14	13				90	90	90	25	25	25	0	30	40	0	8	12	90	90	90	15	14	13	80	80	80	66	66	66										1								1	1				1	1						1			Amplify Damage	S2	3	Weaken	S2	3	Defense Curse	S2	2	Blood Mana	S2	2	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				50	50	50	0	95	152	107	100	46	87	120							77	121	111	100	48	88	120							180	195	115	100	50	90	120							A2	mag	100	40	75		100	40	75		100	40	75																																																44	78	120	0
succubuswitch4	477	succubuswitch1	succubuswitch5	3	Blood Witch	succubuswitch4		succubus	SuccubusWitch		0C	Classic			1	1												3	5		13	13	1	succubus	succubus	10	15	14	13				90	90	90	25	25	25	0	30	50	0	8	12	90	90	90	15	14	13	80	80	80	66	66	66										1								1	1				1	1						1			Amplify Damage	S2	3	Weaken	S2	3	Defense Curse	S2	2	Blood Mana	S2	2	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				50	50	50	0	96	152	107	100	45	85	120							78	121	111	100	47	87	120							180	195	115	100	50	90	120							A2	mag	100	40	75		100	40	75		100	40	75																																																50	79	120	0
succubuswitch5	478	succubuswitch1	succubuswitch6	4	Hell Witch	succubuswitch5		succubus	SuccubusWitch		0C	Classic			1	1												4	5		15	15	1	succubus	succubus	10	15	14	13				90	90	90	25	25	25	0	30	50	0	8	12	90	90	90	15	14	13	80	80	80	66	66	66										1								1	1				1	1						1			Amplify Damage	S2	3	Weaken	S2	3	Defense Curse	S2	3	Blood Mana	S2	3	SuccubusBolt	S2	1										140	100	100	-20	-20	-20																			0				50	50	50	0	95	152	107	100	47	85	120							77	121	111	100	48	87	120							180	195	115	100	50	90	120							A2	mag	100	40	75		100	40	75		100	40	75																																																53	80	120	0
overseer1	479	overseer1	overseer2	0	OverSeer	overseer1	other	overseer	Overseer		os	Classic			1							archskel4		1		2	4	1	2		5	5	1	overseer	overseer	10	15	14	13				250	250	250	50	50	50	50	50	50	17	17	17	7	7	7	100	100	100	50	30	30													1								1					1	1									Cry Help	S1	1	Healing Vortex	S2	1	Overseer Whip	A2	1	Smite	seq_genericspawner	1													140	100	100	-20	-20	-20																			0				43	43	43	0	380	380	84	100	62	120	135	101	205	334				265	285	87	100	61	115	135	95	182	334				225	245	90	100	60	110	135	90	160	334																																																																41	73	120	0
overseer2	480	overseer1	overseer3	1	Lasher	overseer2	other	overseer	Overseer		os	Classic			1							archskel4		1		2	4	1	2		5	5	1	overseer	overseer	10	15	14	13				250	250	250	55	55	55	50	50	50	17	17	17	7	7	7	100	100	100	50	40	40													1								1					1	1									Cry Help	S1	1	Healing Vortex	S2	1	Overseer Whip	A2	1	Smite	seq_genericspawner	1													140	100	100	-20	-20	-20																			0				44	44	44	0	379	379	84	100	60	119	135	101	201	334				264	284	87	100	60	114	135	95	180	334				225	245	90	100	60	110	135	90	160	334																																																																43	74	120	0
overseer3	481	overseer1	overseer4	2	OverLord	overseer3	other	overseer	Overseer		os	Classic			1							archskel4		1		2	4	1	2		6	6	1	overseer	overseer	10	15	14	13				250	250	250	60	60	60	50	50	50	17	17	17	7	7	7	100	100	100	50	50	50													1								1					1	1									Cry Help	S1	1	Healing Vortex	S2	1	Overseer Whip	A2	1	Smite	seq_genericspawner	1													140	100	100	-20	-20	-20																			0				47	47	47	0	379	379	84	100	61	118	135	101	201	334				264	284	87	100	60	114	135	95	180	334				225	245	90	100	60	110	135	90	160	334																																																																45	76	120	0
overseer4	482	overseer1	overseer5	3	BloodBoss	overseer4	other	overseer	Overseer		os	Classic			1							archskel4		1		2	4	1	2		6	6	1	overseer	overseer	10	15	14	13				250	250	250	65	65	65	50	50	50	17	17	17	7	7	7	100	100	100	50	45	45													1								1					1	1									Cry Help	S1	1	Healing Vortex	S2	1	Overseer Whip	A2	1	Smite	seq_genericspawner	1													140	100	100	-20	-20	-20																			0				48	48	48	0	379	379	84	100	61	122	135	105	205	334				264	284	87	100	60	116	135	97	182	334				225	245	90	100	60	110	135	90	160	334																																																																46	78	120	0
overseer5	483	overseer1		4	HellWhip	overseer5	other	overseer	Overseer		os	Classic			1							archskel4		1		2	4	2	3		8	8	1	overseer	overseer	10	15	14	13				250	250	250	70	70	70	50	50	50	17	17	17	7	7	7	100	100	100	50	55	55													1								1					1	1									Cry Help	S1	1	Healing Vortex	S2	1	Overseer Whip	A2	1	Smite	seq_genericspawner	1													140	100	100	-20	-20	-20																			0				50	50	50	0	379	379	84	100	61	117	135	101	201	334				264	284	87	100	60	113	135	95	180	334				225	245	90	100	60	110	135	90	160	334																																																																49	75	120	0
minionspawner1	484	minionspawner1	minionspawner2	0	MinionSpawner	minionspawner1			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	151	106	84	93										100	98	79	96										175	195	75	100																																																																						18	73	120	0
minionspawner2	485	minionspawner1	minionspawner3	1	MinionSlayerSpawner	minionspawner2			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	74	120	0
minionspawner3	486	minionspawner1	minionspawner4	2	MinionIce/fireBoarSpawner	minionspawner3			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	75	120	0
minionspawner4	487	minionspawner1	minionspawner5	3	MinionIce/fireBoarSpawner	minionspawner4			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	76	120	0
minionspawner5	488	minionspawner1	minionspawner6	4	Minionice/hellSpawnSpawner	minionspawner5			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	78	120	0
minionspawner6	489	minionspawner1	minionspawner7	5	MinionIce/fireBoarSpawner	minionspawner6			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	80	120	0
minionspawner7	490	minionspawner1	minionspawner8	6	MinionIce/fireBoarSpawner	minionspawner7			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	81	120	0
minionspawner8	491	minionspawner1		7	Minionice/hellSpawnSpawner	minionspawner8			MinionSpawner		xa	Classic			1			archskel4	0	3	NU							1	1		0	0	1			11	15	15	15				100	100	100	25	25	25	100	100	100	20	22	25	25	25	25																																1										MinionSpawner	A1	1																						140	100	100	-20	-20	-20																							15	15	15	0	67	107	84	93										58	98	79	96										175	195	75	100																																																																						18	83	120	0
imp1	492	imp1	imp2	0	Imp1	imp1		imp	Imp		ip	Classic			1	1												3	4		9	9	1	imp	imp	11	15	14	13				25	25	25	14	14	14	15	15	15	12	12	12													impmiss21									1								1		1			1	1						1	1		Imp Teleport	S1	1	ImpBolt	S2	1	Imp Fireball	S2	1	Imp Fire Missile	A1	1	Imp Inferno	SC	1										140	100	100	-20	-20	-20																			0				30	30	30	0	45	65	84	113										45	65	97	116										172	182	110	120										A1	fire	100	40	70		100	80	110		100	90	140																																																39	73	120	0
imp2	493	imp1	imp3	1	Imp2	imp2		imp	Imp		ip	Classic			1	1												3	4		9	9	1	imp	imp	10	15	14	13				5	5	5	25	25	25	45	55	65	7	7	7													impmiss22									1								1		1			1	1						1	1		Imp Teleport	S1	1	ImpBolt	S2	1	Imp Fireball	S2	1	Imp Fire Missile	A1	1	Imp Inferno	SC	2										140	100	100	-20	-20	-20																			0				32	32	32	0	45	65	84	119										45	65	97	119										172	182	110	120										A1	fire	100	40	70		100	80	110		100	90	140																																																41	75	120	0
imp3	494	imp1	imp4	2	Imp3	imp3		imp	Imp		ip	Classic			1	1												3	4		9	9	1	imp	imp	10	15	14	13				10	10	10	40	40	40	22	22	22	25	30	35													impmiss23									1								1		1			1	1						1	1		Imp Teleport	S1	1	ImpBolt	S2	1	Imp Fireball	S2	2	Imp Fire Missile	A1	1	Imp Inferno	SC	3										140	100	100	-20	-20	-20																			0				33	33	33	0	45	65	84	122										45	65	97	121										172	182	110	120										A1	fire	100	40	70		100	80	110		100	90	140																																																43	74	120	0
imp4	495	imp1	imp5	3	Imp4	imp4		imp	Imp		ip	Classic			1	1												3	4		9	9	1	imp	imp	10	15	14	13										13	13	13	60	65	70													impmiss24									1								1		1			1	1						1	1		Imp Teleport	S1	1	ImpBolt	S2	1	Imp Fireball	S2	3	Imp Fire Missile	A1	1	Imp Inferno	SC	4										140	100	100	-20	-20	-20																			0				35	35	35	0	45	65	84	129										45	65	97	124										172	182	110	120										A1	fire	100	40	70		100	80	110		100	90	140																																																45	78	120	0
imp5	496	imp1	imp6	4	Imp5	imp5		imp	Imp		ip	Classic			1	1												3	4		9	9	1	imp	imp	10	15	14	13																												impmiss25									1								1		1			1	1						1	1		Imp Teleport	S1	1	ImpBolt	S2	1	Imp Fireball	S2	3	Imp Fire Missile	A1	1	Imp Inferno	SC	5										140	100	100	-20	-20	-20																			0				37	37	37	0	45	65	84	137										45	65	97	128										172	182	110	120										A1	fire	100	40	70		100	80	110		100	90	140																																																48	79	120	0
catapult1	497	catapult1	catapult2	0	CatapultS	catapult1			Catapult		65	Classic			1													1	1		0	0	0	catapult	catapult	7	15	15	15				60	80	100																						catapultchargedball on									1													1																																		0			-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20									250	300	1	40										250	300	1	40										275	300	1	40																																																																					1	43	75	120	0
catapult2	498	catapult1	catapult3	1	CatapultE	catapult2			Catapult		64	Classic			1													1	1		0	0	0	catapult	catapult	7	15	15	15				60	80	100																						catapultchargedball on									1													1																																		0			-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20									250	300	1	40										250	300	1	40										275	300	1	40																																																																					1	43	75	120	0
catapult3	499	catapult1	catapult4	2	CatapultSiege	catapult3			Catapult		64	Classic			1													1	1		0	0	0	catapult	catapult	7	15	15	15				60	80	100																						catapultchargedball on									1													1																																		0			-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20									250	300	1	40										250	300	1	40										275	300	1	40																																																																					1	40	75	120	0
catapult4	500	catapult1		3	CatapultW	catapult4			Catapult		ua	Classic			1													1	1		0	0	0	catapult	catapult	7	15	15	15				60	80	100																						catapultchargedball on									1													1																																		0			-20	-20	-20		100						100	15	15	15	5		100	35	35	35	20									250	300	1	40										250	300	1	40										275	300	1	40																																																																					1	43	75	120	0
frozenhorror1	501	frozenhorror1	frozenhorror2	0	Frozen Horror1	frozenhorror1		frozenhorror	Bighead		f0	Classic			1													2	3		4	4	1	frozenhorror	frozenhorror	10	15	14	13				50	50	50				0	0	0	100	100	100														bighead1								1													1	1						1																											140	100	100	-20	-20	-20																			0				48	48	48	0	285	379	101	242	61	96	100							237	304	100	181	60	103	100							245	265	100	120	60	110	100																																																																			46	76	120	0
frozenhorror2	502	frozenhorror1	frozenhorror3	1	Frozen Horror2	frozenhorror2		frozenhorror	Bighead		f0	Classic			1													2	3		4	4	1	frozenhorror	frozenhorror	10	15	14	13				50	50	50				0	0	0	100	100	100														bighead2								1													1	1						1	1																										140	100	100	-20	-20	-20																			0				49	49	49	0	284	379	101	249	59	96	100							237	304	100	184	59	103	100							245	265	100	120	60	110	100																																																																			48	76	120	0
frozenhorror3	503	frozenhorror1	frozenhorror4	2	Frozen Horror3	frozenhorror3		frozenhorror	Bighead		f0	Classic			1													2	3		4	4	1	frozenhorror	frozenhorror	10	15	14	13				50	50	50				0	0	0	100	100	100														bighead3								1													1	1						1	1																										140	100	100	-20	-20	-20																			0				50	50	50	0	284	379	101	256	61	93	100							237	304	100	188	60	101	100							245	265	100	120	60	110	100																																																																			49	76	120	0
