name	*name	*type	* status	szFlavorText	code	alternategfx	namestr	type	type2	compactsave	version	level	levelreq	rarity	spawnable	minac	maxac	speed	nodurability	cost	gamble cost	auto prefix	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	*eol
Flawless Rainbow Stone		Gems			yo4	glb	yo4	gemx	gem3	1	0	0	15	7	1			0	1				16	1	1	0	0	0	flpgsw	og4			0	xxx			0	0	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Perfect Rainbow Stone		Gems			yo5	gpb	yo5	gemx	gem4	1	0	0	18	8	1			0	1				16	1	1	0	0	0	flpgsw	og5			0	xxx			0	0	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
El Rune		Runes			r01	r01	r01	rune		1	100	5	11	1	1			0	1	1			16	1	1	0	0	0	flprun	invrEl			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r02	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Eld Rune		Runes			r02	r02	r02	rune		1	100	7	11	1	1			0	1	2			16	1	1	0	0	0	flprun	invrEld			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r03	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Tir Rune		Runes			r03	r03	r03	rune		1	100	8	13	2	1			0	1	3			16	1	1	0	0	0	flprun	invrTir			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r04	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Nef Rune		Runes			r04	r04	r04	rune		1	100	10	13	2	1			0	1	4			16	1	1	0	0	0	flprun	invrNef			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r05	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Eth Rune		Runes			r05	r05	r05	rune		1	100	11	15	3	1			0	1	5			16	1	1	0	0	0	flprun	invrEth			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r06	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ith Rune		Runes			r06	r06	r06	rune		1	100	13	15	3	1			0	1	6			16	1	1	0	0	0	flprun	invrIth			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r07	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Tal Rune		Runes			r07	r07	r07	rune		1	100	14	17	4	1			0	1	7			16	1	1	0	0	0	flprun	invrTal			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r08	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ral Rune		Runes			r08	r08	r08	rune		1	100	16	19	5	1			0	1	8			16	1	1	0	0	0	flprun	invrRal			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r09	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ort Rune		Runes			r09	r09	r09	rune		1	100	17	21	6	1			0	1	9			16	1	1	0	0	0	flprun	invrOrt			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r10	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Thul Rune		Runes			r10	r10	r10	rune		1	100	19	23	7	1			0	1	10			16	1	1	0	0	0	flprun	invrThul			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r11	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Amn Rune		Runes			r11	r11	r11	rune		1	100	20	25	8	1			0	1	11			16	1	1	0	0	0	flprun	invrAmn			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r12	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Sol Rune		Runes			r12	r12	r12	rune		1	100	22	27	9	1			0	1	12			16	1	1	0	0	0	flprun	invrSol			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r13	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Shael Rune		Runes			r13	r13	r13	rune		1	100	23	29	10	1			0	1	13			16	1	1	0	0	0	flprun	invrShae			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r14	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Dol Rune		Runes			r14	r14	r14	rune		1	100	25	31	11	1			0	1	14			16	1	1	0	0	0	flprun	invrDol			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	r15	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Hel Rune		Runes			r15	r15	r15	rune		1	100	26	33	12	1			0	1	15			16	1	1	0	0	0	flprun	invrHel			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Io Rune		Runes			r16	r16	r16	rune		1	100	28	35	13	1			0	1	16			16	1	1	0	0	0	flprun	invrIo			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Lum Rune		Runes			r17	r17	r17	rune		1	100	29	37	14	1			0	1	17			16	1	1	0	0	0	flprun	invrLum			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ko Rune		Runes			r18	r18	r18	rune		1	100	31	39	15	1			0	1	18			16	1	1	0	0	0	flprun	invrKo			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Fal Rune		Runes			r19	r19	r19	rune		1	100	32	41	16	1			0	1	19			16	1	1	0	0	0	flprun	invrFal			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Lem Rune		Runes			r20	r20	r20	rune		1	100	34	43	17	1			0	1	20			16	1	1	0	0	0	flprun	invrLem			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Pul Rune		Runes			r21	r21	r21	rune		1	100	35	45	18	1			0	1	21			16	1	1	0	0	0	flprun	invrPul			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Um Rune		Runes			r22	r22	r22	rune		1	100	37	47	19	1			0	1	22			16	1	1	0	0	0	flprun	invrUm			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Mal Rune		Runes			r23	r23	r23	rune		1	100	38	49	20	1			0	1	23			16	1	1	0	0	0	flprun	invrMal			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ist Rune		Runes			r24	r24	r24	rune		1	100	40	51	21	1			0	1	24			16	1	1	0	0	0	flprun	invrIst			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Gul Rune		Runes			r25	r25	r25	rune		1	100	41	53	22	1			0	1	25			16	1	1	0	0	0	flprun	invrGul			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Vex Rune		Runes			r26	r26	r26	rune		1	100	43	55	23	1			0	1	26			16	1	1	0	0	0	flprun	invrVex			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ohm Rune		Runes			r27	r27	r27	rune		1	100	44	57	24	1			0	1	27			16	1	1	0	0	0	flprun	invrOhm			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Lo Rune		Runes			r28	r28	r28	rune		1	100	46	59	25	1			0	1	28			16	1	1	0	0	0	flprun	invrLo			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Sur Rune		Runes			r29	r29	r29	rune		1	100	47	61	26	1			0	1	29			16	1	1	0	0	0	flprun	invrSur			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ber Rune		Runes			r30	r30	r30	rune		1	100	49	63	27	1			0	1	30			16	1	1	0	0	0	flprun	invrBer			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Jah Rune		Runes			r31	r31	r31	rune		1	100	50	65	28	1			0	1	31			16	1	1	0	0	0	flprun	invrJo			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Cham Rune		Runes			r32	r32	r32	rune		1	100	52	67	29	1			0	1	32			16	1	1	0	0	0	flprun	invrCham			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Zod Rune		Runes			r33	r33	r33	rune		1	100	53	69	30	1			0	1	33			16	1	1	0	0	0	flprun	invrZod			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Sha Rune		Runes			r34	r34	r34	rune		1	100	55	72	31	1			0	1	34			16	1	1	0	0	0	flprun	r-a-05			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Lah Rune		Runes			r35	r35	r35	rune		1	100	57	75	32	1			0	1	35			16	1	1	0	0	0	flprun	r-a-06			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Kur Rune		Runes			r36	r36	r36	rune		1	100	58	78	33	1			0	1	36			16	1	1	0	0	0	flprun	r-a-07			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ix Rune		Runes			r37	r37	r37	rune		1	100	60	81	34	1			0	1	37			16	1	1	0	0	0	flprun	r-a-08			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Thur Rune		Runes			r38	r38	r38	rune		1	100	61	84	35	1			0	1	38			16	1	1	0	0	0	flprun	r-a-09			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Nas Rune		Runes			r39	r39	r39	rune		1	100	63	87	36	1			0	1	39			16	1	1	0	0	0	flprun	r-a-10			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ath Rune		Runes			r40	r40	r40	rune		1	100	64	90	37	1			0	1	40			16	1	1	0	0	0	flprun	r-a-11			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Kra Rune		Runes			r41	r41	r41	rune		1	100	66	94	38	1			0	1	41			16	1	1	0	0	0	flprun	r-a-12			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Vith Rune		Runes			r42	r42	r42	rune		1	100	67	98	39	1			0	1	42			16	1	1	0	0	0	flprun	r-a-13			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
No Rune		Runes			r43	r43	r43	rune		1	100	69	100	40	1			0	1	43			16	1	1	0	0	0	flprun	r-a-14			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Yul Rune		Runes			r44	r44	r44	rune		1	100	70	100	41	1			0	1	44			16	1	1	0	0	0	flprun	r-a-15			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Thai Rune		Runes			r45	r45	r45	rune		1	100	72	100	42	1			0	1	45			16	1	1	0	0	0	flprun	r-a-16			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Rha Rune		Runes			r46	r46	r46	rune		1	100	73	100	43	1			0	1	46			16	1	1	0	0	0	flprun	r-a-17			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Xar Rune		Runes			r47	r47	r47	rune		1	100	75	100	44	1			0	1	47			16	1	1	0	0	0	flprun	r-a-18			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Nih Rune		Runes			r48	r48	r48	rune		1	100	76	100	45	1			0	1	48			16	1	1	0	0	0	flprun	r-a-01			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Lai Rune		Runes			r49	r49	r49	rune		1	100	78	100	46	1			0	1	49			16	1	1	0	0	0	flprun	r-a-02			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
On Rune		Runes			r50	r50	r50	rune		1	100	79	100	47	1			0	1	50			16	1	1	0	0	0	flprun	r-a-03			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Taha Rune		Runes			r51	r51	r51	rune		1	100	98	100	48	1			0	1	51			16	1	1	0	0	0	flprun	r-d-02			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Ghal Rune		Runes			r52	r52	r52	rune		1	100	98	100	49	1			0	1	52			16	1	1	0	0	0	flprun	r-d-05			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Qor Rune		Runes			r53	r53	r53	rune		1	100	98	100	50	1			0	1	53			16	1	1	0	0	0	flprun	r-d-11			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Krys Rune		Runes			r54	r54	r54	rune		1	100	98	100	48	1			0	1	54			16	1	1	0	0	0	flprun	r-d-07			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Auhe Rune		Runes			r55	r55	r55	rune		1	100	98	100	49	1			0	1	55			16	1	1	0	0	0	flprun	r-d-04			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Sha'ad Rune		Runes			r56	r56	r56	rune		1	100	98	100	50	1			0	1	56			16	1	1	0	0	0	flprun	r-d-12			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Fire Rune		Runes			r57	r57	r57	xrun		1	100	0	100	1	1			0	1	50			16	1	1	0	0	0	flprun	fire-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Earth Rune		Runes			r58	r58	r58	xrun		1	100	0	100	1	1			0	1	50			16	1	1	0	0	0	flprun	phys-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Magic Rune		Runes			r59	r59	r59	xrun		1	100	0	100	1	1			0	1	50			16	1	1	0	0	0	flprun	magic-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Poison Rune		Runes			r60	r60	r60	xrun		1	100	0	100	1	1			0	1	50			16	1	1	0	0	0	flprun	pois-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Lightning Rune		Runes			r61	r61	r61	xrun		1	100	0	100	1	1			0	1	50			16	1	1	0	0	0	flprun	ltng-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Cold Rune		Runes			r62	r62	r62	xrun		1	100	0	100	1	1			0	1	50			16	1	1	0	0	0	flprun	cold-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Xis Rune		Runes			r98	r98	r98	xrun		1	100	0	120	1	1			0	1	63			16	1	1	0	0	0	flprun	ultra-rune			0	xxx			0	0	item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Creepy Container		Shrines			A0+S	vip	A0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Creepy			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Abandoned Container		Shrines			B0+S	vip	B0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Abandoned			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Quiet Container		Shrines			C0+S	vip	C0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Quiet			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Eerie Container		Shrines			D0+S	vip	D0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Eerie			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Weird Container		Shrines			E0+S	vip	E0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Weird			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Gloomy Container		Shrines			F0+S	vip	F0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Gloomy			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Tainted Container		Shrines			G0+S	vip	G0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Tainted			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Fascinating Container		Shrines			H0+S	vip	H0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Fascinating			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Ornate Container		Shrines			I0+S	vip	I0+S	shco		0	100	0	0	1	1			0	1				16	1	2	0	0	0	flpwnd	#Ornate			0	xxx			0	0	shrine_boink	12	shrine_boink	0	0	5	0	0	0	0	0	0	0			0	-1												1	DescModdingHeadache		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
