Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Act 5 (N) Magic B	4	60	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (N) Magic C	4	63	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 (H) Magic A	4	66	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 (H) Magic B	4	69	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 2 (H) Magic A	4	71	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 2 (H) Magic B	4	73	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 3 (H) Magic A	4	75	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 3 (H) Magic B	4	77	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 4 (H) Magic A	4	79	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 4 (H) Magic B	4	80	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (H) Magic A	4	82	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (H) Magic B	4	83	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (H) Magic C	4	85	1						tsc	2		isc	4	N212/($I212+$K212+$N212+$Q212+$T212+$W212+$Z212+$AC212+$AF212+$AI212+$AL212)*100	mp4	2		mp5	4																							0
Act 1 Good	5	0	1						Jewelry A	10	45	Chipped Gem	10	45	Runes 1	1	9															0			0			0				0
Act 1 Good B	5	0	1						Jewelry A	10	42	Chipped Gem	10	42	Runes 2	2	17															0			0			0				0
Act 1 Good C	5	0	1						Jewelry A	10	38	Chipped Gem	10	38	Runes 3	3	23															0			0			0				0
Act 2 Good	5	12	1						Jewelry B	18	33	Chipped Gem	10	19	Flawed Gem	14	26	Runes 4	6	22												0			0			0				0
Act 3 Good	5	18	1						Jewelry C	26	39	Chipped Gem	10	15	Flawed Gem	14	21	Runes 5	8	24												0			0			0				0
Act 4 Good	5	26	1						Jewelry C	34	33	Chipped Gem	10	10	Flawed Gem	14	14	Normal Gem	18	18	Runes 6	13	25									0			0			0				0
Act 5 Good	5	32	1						Jewelry C	42	29	Chipped Gem	10	7	Flawed Gem	14	10	Normal Gem	18	13	Flawless Gem	22	15	Runes 7	19	26						0			0			0				0
Act 1 (N) Good	5	38	1						Jewelry C	50	27	Chipped Gem	10	5	Flawed Gem	14	7	Normal Gem	18	10	Flawless Gem	22	12	Perfect Gem	26	14	Runes 8	24	26			0			0			0				0
Act 2 (N) Good	5	42	1						Jewelry C	58	29	Chipped Gem	10	5	Flawed Gem	14	7	Normal Gem	18	9	Flawless Gem	22	11	Perfect Gem	26	13	Runes 9	27	27			0			0			0				0
Act 3 (N) Good	5	46	1						Jewelry C	60	29	Chipped Gem	10	5	Flawed Gem	14	7	Normal Gem	18	9	Flawless Gem	22	11	Perfect Gem	26	13	Runes 10	29	28			0			0			0				0
Act 4 (N) Good	5	51	1						Jewelry C	60	29	Chipped Gem	10	5	Flawed Gem	14	7	Normal Gem	18	9	Flawless Gem	22	10	Perfect Gem	26	12	Runes 11	30	29			0			0			0				0
Act 5 (N) Good	5	57	1						Jewelry C	60	28	Chipped Gem	10	5	Flawed Gem	14	7	Normal Gem	18	8	Flawless Gem	22	10	Perfect Gem	26	12	Runes 12	31	29			0			0			0				0
Act 1 (H) Good	5	66	1						Jewelry C	60	28	Chipped Gem	10	5	Flawed Gem	14	7	Normal Gem	18	8	Flawless Gem	22	10	Perfect Gem	26	12	Runes 13	32	30			0			0			0				0
Act 2 (H) Good	5	72	1						Jewelry C	60	28	Chipped Gem	10	5	Flawed Gem	14	6	Normal Gem	18	8	Flawless Gem	22	10	Perfect Gem	26	12	Runes 14	33	31			0			0			0				0
Act 3 (H) Good	5	78	1						Jewelry C	60	28	Chipped Gem	10	5	Flawed Gem	14	6	Normal Gem	18	8	Flawless Gem	22	10	Perfect Gem	26	12	Runes 15	34	31			0			0			0				0
Act 4 (H) Good	5	82	1						Jewelry C	60	27	Chipped Gem	10	5	Flawed Gem	14	6	Normal Gem	18	8	Flawless Gem	22	10	Perfect Gem	26	12	Runes 16	35	32			0			0			0				0
Act 5 (H) Good	5	85	1						Jewelry C	60	27	Chipped Gem	10	5	Flawed Gem	14	6	Normal Gem	18	8	Flawless Gem	22	10	Perfect Gem	26	12	Runes 17	36	32			0			0			0				0
Act 1 Chest A	6	0	6					30	gld	50		Act 1 Junk	15		Act 1 Equip A	20		Act 1 Good	5																							0
Act 1 Chest B	6	5	6					30	gld	50		Act 1 Junk	15		Act 1 Equip B	20		Act 1 Good B	5																							0
Act 1 Chest C	6	9	6					30	gld	50		Act 1 Junk	15		Act 1 Equip C	20		Act 1 Good C	5																							0
Act 2 Chest A	6	12	6					30	gld	50		Act 2 Junk	15		Act 2 Equip A	20		Act 2 Good	5																							0
Act 2 Chest B	6	15	6					30	gld	50		Act 2 Junk	15		Act 2 Equip B	20		Act 2 Good	5																							0
Act 2 Chest C	6	18	6					30	gld	50		Act 2 Junk	15		Act 2 Equip C	20		Act 2 Good	5																							0
Act 3 Chest A	6	20	6					30	gld	50		Act 3 Junk	15		Act 3 Equip A	20		Act 3 Good	5																							0
Act 3 Chest B	6	22	6					30	gld	50		Act 3 Junk	15		Act 3 Equip B	20		Act 3 Good	5																							0
Act 3 Chest C	6	24	6					30	gld	50		Act 3 Junk	15		Act 3 Equip C	20		Act 3 Good	5																							0
Act 4 Chest A	6	26	6					30	gld	50		Act 4 Junk	15		Act 4 Equip A	20		Act 4 Good	5																							0
Act 4 Chest B	6	28	6					30	gld	50		Act 4 Junk	15		Act 4 Equip B	20		Act 4 Good	5																							0
Act 4 Chest C	6	30	6					30	gld	50		Act 4 Junk	15		Act 4 Equip B	20		Act 4 Good	5																							0
Act 5 Chest A	6	32	6					30	gld	50		Act 5 Junk	15		Act 5 Equip A	20		Act 5 Good	5																							0
Act 5 Chest B	6	34	6					30	gld	50		Act 5 Junk	15		Act 5 Equip B	20		Act 5 Good	5																							0
Act 5 Chest C	6	36	6					30	gld	50		Act 5 Junk	15		Act 5 Equip B	20		Act 5 Good	5																							0
Act 1 (N) Chest A	6	38	6					30	gld	50		Act 1 (N) Junk	15		Act 1 (N) Equip A	20		Act 1 (N) Good	5																							0
Act 1 (N) Chest B	6	40	6					30	gld	50		Act 1 (N) Junk	15		Act 1 (N) Equip B	20		Act 1 (N) Good	5																							0
Act 1 (N) Chest C	6	42	6					30	gld	50		Act 1 (N) Junk	15		Act 1 (N) Equip B	20		Act 1 (N) Good	5																							0
Act 2 (N) Chest A	6	44	6					30	gld	50		Act 2 (N) Junk	15		Act 2 (N) Equip A	20		Act 2 (N) Good	5																							0
Act 2 (N) Chest B	6	46	6					30	gld	50		Act 2 (N) Junk	15		Act 2 (N) Equip B	20		Act 2 (N) Good	5																							0
Act 2 (N) Chest C	6	48	6					30	gld	50		Act 2 (N) Junk	15		Act 2 (N) Equip B	20		Act 2 (N) Good	5																							0
Act 3 (N) Chest A	6	50	6					30	gld	50		Act 3 (N) Junk	15		Act 3 (N) Equip A	20		Act 3 (N) Good	5																							0
Act 3 (N) Chest B	6	52	6					30	gld	50		Act 3 (N) Junk	15		Act 3 (N) Equip B	20		Act 3 (N) Good	5																							0
Act 3 (N) Chest C	6	54	6					30	gld	50		Act 3 (N) Junk	15		Act 3 (N) Equip B	20		Act 3 (N) Good	5																							0
Act 4 (N) Chest A	6	56	6					30	gld	50		Act 4 (N) Junk	15		Act 4 (N) Equip A	20		Act 4 (N) Good	5																							0
Act 4 (N) Chest B	6	58	6					30	gld	50		Act 4 (N) Junk	15		Act 4 (N) Equip B	20		Act 4 (N) Good	5																							0
Act 4 (N) Chest C	6	60	6					30	gld	50		Act 4 (N) Junk	15		Act 4 (N) Equip C	20		Act 4 (N) Good	5																							0
Act 5 (N) Chest A	6	62	6					30	gld	50		Act 5 (N) Junk	15		Act 5 (N) Equip A	20		Act 5 (N) Good	5																							0
Act 5 (N) Chest B	6	64	6					30	gld	50		Act 5 (N) Junk	15		Act 5 (N) Equip B	20		Act 5 (N) Good	5																							0
Act 5 (N) Chest C	6	66	6					30	gld	50		Act 5 (N) Junk	15		Act 5 (N) Equip B	20		Act 5 (N) Good	5																							0
Act 1 (H) Chest A	6	68	6					30	gld	50		Act 1 (H) Junk	15		Act 1 (H) Equip A	20		Act 1 (H) Good	5																							0
Act 1 (H) Chest B	6	70	6					30	gld	50		Act 1 (H) Junk	15		Act 1 (H) Equip B	20		Act 1 (H) Good	5																							0
Act 1 (H) Chest C	6	71	6					30	gld	50		Act 1 (H) Junk	15		Act 1 (H) Equip B	20		Act 1 (H) Good	5																							0
Act 2 (H) Chest A	6	72	6					30	gld	50		Act 2 (H) Junk	15		Act 2 (H) Equip A	20		Act 2 (H) Good	5																							0
Act 2 (H) Chest B	6	74	6					30	gld	50		Act 2 (H) Junk	15		Act 2 (H) Equip B	20		Act 2 (H) Good	5																							0
Act 2 (H) Chest C	6	75	6					30	gld	50		Act 2 (H) Junk	15		Act 2 (H) Equip B	20		Act 2 (H) Good	5																							0
Act 3 (H) Chest A	6	76	6					30	gld	50		Act 3 (H) Junk	15		Act 3 (H) Equip A	20		Act 3 (H) Good	5																							0
Act 3 (H) Chest B	6	78	6					30	gld	50		Act 3 (H) Junk	15		Act 3 (H) Equip B	20		Act 3 (H) Good	5																							0
Act 3 (H) Chest C	6	79	6					30	gld	50		Act 3 (H) Junk	15		Act 3 (H) Equip B	20		Act 3 (H) Good	5																							0
Act 4 (H) Chest A	6	80	6					30	gld	50		Act 4 (H) Junk	15		Act 4 (H) Equip A	20		Act 4 (H) Good	5																							0
Act 4 (H) Chest B	6	81	6					30	gld	50		Act 4 (H) Junk	15		Act 4 (H) Equip B	20		Act 4 (H) Good	5																							0
Act 4 (H) Chest C	6	82	6					30	gld	50		Act 4 (H) Junk	15		Act 4 (H) Equip B	20		Act 4 (H) Good	5																							0
Act 5 (H) Chest A	6	83	6					30	gld	50		Act 5 (H) Junk	15		Act 5 (H) Equip A	20		Act 5 (H) Good	5																							0
Act 5 (H) Chest B	6	84	6					30	gld	50		Act 5 (H) Junk	15		Act 5 (H) Equip B	20		Act 5 (H) Good	5																							0
Act 5 (H) Chest C	6	85	6					30	gld	50		Act 5 (H) Junk	15		Act 5 (H) Equip B	20		Act 5 (H) Good	5																							0
Act 1 H2H A	7	0	1					100	gld	21	13	Act 1 Junk	21	13	Act 1 Equip A	16	10	Act 1 Good	4																							0
Act 1 H2H B	7	5	1					100	gld	21	13	Act 1 Junk	21	13	Act 1 Equip B	16	10	Act 1 Good B	4																							0
Act 1 H2H C	7	9	1					100	gld	21	13	Act 1 Junk	21	13	Act 1 Equip C	16	10	Act 1 Good C	4																							0
Act 2 H2H A	7	12	1					100	gld	21	13	Act 2 Junk	21	13	Act 2 Equip A	16	10	Act 2 Good	4																							0
Act 2 H2H B	7	15	1					100	gld	21	13	Act 2 Junk	21	13	Act 2 Equip B	16	10	Act 2 Good	4																							0
Act 2 H2H C	7	18	1					100	gld	21	13	Act 2 Junk	21	13	Act 2 Equip C	16	10	Act 3 Good	4																							0
Act 3 H2H A	7	20	1					100	gld	21	13	Act 3 Junk	21	13	Act 3 Equip A	16	10	Act 3 Good	4																							0
Act 3 H2H B	7	22	1					100	gld	21	13	Act 3 Junk	21	13	Act 3 Equip B	16	10	Act 3 Good	4																							0
Act 3 H2H C	7	24	1					100	gld	21	13	Act 3 Junk	21	13	Act 3 Equip C	16	10	Act 3 Good	4																							0
Act 4 H2H A	7	26	1					100	gld	21	13	Act 4 Junk	21	13	Act 4 Equip A	16	10	Act 4 Good	4																							0
Act 4 H2H B	7	29	1					100	gld	21	13	Act 4 Junk	21	13	Act 4 Equip B	16	10	Act 4 Good	4																							0
Act 5 H2H A	7	32	1					100	gld	21	13	Act 5 Junk	21	13	Act 5 Equip A	16	10	Act 5 Good	4																							0
Act 5 H2H B	7	34	1					100	gld	21	13	Act 5 Junk	21	13	Act 5 Equip B	16	10	Act 5 Good	4																							0
Act 5 H2H C	7	36	1					100	gld	21	13	Act 5 Junk	21	13	Act 5 Equip C	16	10	Act 5 Good	4																							0
Act 1 (N) H2H A	7	38	1					100	gld	21	13	Act 1 (N) Junk	21	13	Act 1 (N) Equip A	16	10	Act 1 (N) Good	4																							0
Act 1 (N) H2H B	7	40	1					100	gld	21	13	Act 1 (N) Junk	21	13	Act 1 (N) Equip B	16	10	Act 1 (N) Good	4																							0
Act 1 (N) H2H C	7	41	1					100	gld	21	13	Act 1 (N) Junk	21	13	Act 1 (N) Equip B	16	10	Act 1 (N) Good	4																							0
Act 2 (N) H2H A	7	42	1					100	gld	21	13	Act 2 (N) Junk	21	13	Act 2 (N) Equip A	16	10	Act 2 (N) Good	4																							0
Act 2 (N) H2H B	7	44	1					100	gld	21	13	Act 2 (N) Junk	21	13	Act 2 (N) Equip B	16	10	Act 2 (N) Good	4																							0
Act 2 (N) H2H C	7	45	1					100	gld	21	13	Act 2 (N) Junk	21	13	Act 2 (N) Equip B	16	10	Act 2 (N) Good	4																							0
Act 3 (N) H2H A	7	46	1					100	gld	21	13	Act 3 (N) Junk	21	13	Act 3 (N) Equip A	16	10	Act 3 (N) Good	4																							0
Act 3 (N) H2H B	7	48	1					100	gld	21	13	Act 3 (N) Junk	21	13	Act 3 (N) Equip B	16	10	Act 3 (N) Good	4																							0
Act 3 (N) H2H C	7	50	1					100	gld	21	13	Act 3 (N) Junk	21	13	Act 3 (N) Equip B	16	10	Act 3 (N) Good	4																							0
Act 4 (N) H2H A	7	51	1					100	gld	21	13	Act 4 (N) Junk	21	13	Act 4 (N) Equip A	16	10	Act 4 (N) Good	4																							0
Act 4 (N) H2H B	7	54	1					100	gld	21	13	Act 4 (N) Junk	21	13	Act 4 (N) Equip B	16	10	Act 4 (N) Good	4																							0
Act 5 (N) H2H A	7	57	1					100	gld	21	13	Act 5 (N) Junk	21	13	Act 5 (N) Equip A	16	10	Act 5 (N) Good	4																							0
Act 5 (N) H2H B	7	60	1					100	gld	21	13	Act 5 (N) Junk	21	13	Act 5 (N) Equip B	16	10	Act 5 (N) Good	4																							0
Act 5 (N) H2H C	7	62	1					100	gld	21	13	Act 5 (N) Junk	21	13	Act 5 (N) Equip C	16	10	Act 5 (N) Good	4																							0
Act 1 (H) H2H A	7	63	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 1 (H) Equip A	16	10	Act 1 (H) Good	4																							0
Act 1 (H) H2H B	7	66	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 1 (H) Equip B	16	10	Act 1 (H) Good	4																							0
Act 1 (H) H2H C	7	68	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 1 (H) Equip B	16	10	Act 1 (H) Good	4																							0
Act 2 (H) H2H A	7	69	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 2 (H) Equip A	16	10	Act 2 (H) Good	4																							0
Act 2 (H) H2H B	7	71	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 2 (H) Equip B	16	10	Act 2 (H) Good	4																							0
Act 2 (H) H2H C	7	73	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 2 (H) Equip B	16	10	Act 2 (H) Good	4																							0
Act 3 (H) H2H A	7	74	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 3 (H) Equip A	16	10	Act 3 (H) Good	4																							0
Act 3 (H) H2H B	7	76	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 3 (H) Equip B	16	10	Act 3 (H) Good	4																							0
Act 3 (H) H2H C	7	77	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 3 (H) Equip B	16	10	Act 3 (H) Good	4																							0
Act 4 (H) H2H A	7	79	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 4 (H) Equip A	16	10	Act 4 (H) Good	4																							0
Act 4 (H) H2H B	7	80	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 4 (H) Equip B	16	10	Act 4 (H) Good	4																							0
Act 5 (H) H2H A	7	82	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 5 (H) Equip A	16	10	Act 5 (H) Good	4																							0
Act 5 (H) H2H B	7	83	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 5 (H) Equip B	16	10	Act 5 (H) Good	4																							0
Act 5 (H) H2H C	7	85	1					100	gld	21	13	Act 1 (H) Junk	21	13	Act 5 (H) Equip C	16	10	Act 5 (H) Good	4																							0
Act 1 Cast A	8	0	1					100	gld	21		Act 1 Junk	21		Act 1 Equip A	16		Act 1 Good	4		Act 1 Magic A	7																				0
Act 1 Cast B	8	5	1					100	gld	21		Act 1 Junk	21		Act 1 Equip B	16		Act 1 Good B	4		Act 1 Magic B	7																				0
Act 1 Cast C	8	9	1					100	gld	21		Act 1 Junk	21		Act 1 Equip C	16		Act 1 Good C	4		Act 1 Magic C	7																				0
Act 2 Cast A	8	12	1					100	gld	21		Act 2 Junk	21		Act 2 Equip A	16		Act 2 Good	4		Act 2 Magic A	7																				0
Act 2 Cast B	8	15	1					100	gld	21		Act 2 Junk	21		Act 2 Equip B	16		Act 2 Good	4		Act 2 Magic B	7																				0
Act 2 Cast C	8	18	1					100	gld	21		Act 2 Junk	21		Act 2 Equip C	16		Act 3 Good	4		Act 2 Magic C	7																				0
Act 3 Cast A	8	20	1					100	gld	21		Act 3 Junk	21		Act 3 Equip A	16		Act 3 Good	4		Act 3 Magic A	7																				0
Act 3 Cast B	8	22	1					100	gld	21		Act 3 Junk	21		Act 3 Equip B	16		Act 3 Good	4		Act 3 Magic B	7																				0
Act 3 Cast C	8	24	1					100	gld	21		Act 3 Junk	21		Act 3 Equip C	16		Act 3 Good	4		Act 3 Magic C	7																				0
Act 4 Cast A	8	26	1					100	gld	21		Act 4 Junk	21		Act 4 Equip A	16		Act 4 Good	4		Act 4 Magic A	7																				0
Act 4 Cast B	8	29	1					100	gld	21		Act 4 Junk	21		Act 4 Equip B	16		Act 4 Good	4		Act 4 Magic B	7																				0
Act 5 Cast A	8	32	1					100	gld	21		Act 5 Junk	21		Act 5 Equip A	16		Act 5 Good	4		Act 5 Magic A	7																				0
Act 5 Cast B	8	34	1					100	gld	21		Act 5 Junk	21		Act 5 Equip B	16		Act 5 Good	4		Act 5 Magic B	7																				0
Act 5 Cast C	8	36	1					100	gld	21		Act 5 Junk	21		Act 5 Equip C	16		Act 5 Good	4		Act 5 Magic C	7																				0
Act 1 (N) Cast A	8	38	1					100	gld	21		Act 1 (N) Junk	21		Act 1 (N) Equip A	16		Act 1 (N) Good	4		Act 1 (N) Magic A	7																				0
Act 1 (N) Cast B	8	40	1					100	gld	21		Act 1 (N) Junk	21		Act 1 (N) Equip B	16		Act 1 (N) Good	4		Act 1 (N) Magic B	7																				0
Act 1 (N) Cast C	8	41	1					100	gld	21		Act 1 (N) Junk	21		Act 1 (N) Equip B	16		Act 1 (N) Good	4		Act 1 (N) Magic B	7																				0
Act 2 (N) Cast A	8	42	1					100	gld	21		Act 2 (N) Junk	21		Act 2 (N) Equip A	16		Act 2 (N) Good	4		Act 2 (N) Magic A	7																				0
Act 2 (N) Cast B	8	44	1					100	gld	21		Act 2 (N) Junk	21		Act 2 (N) Equip B	16		Act 2 (N) Good	4		Act 2 (N) Magic B	7																				0
Act 2 (N) Cast C	8	45	1					100	gld	21		Act 2 (N) Junk	21		Act 2 (N) Equip B	16		Act 2 (N) Good	4		Act 2 (N) Magic B	7																				0
Act 3 (N) Cast A	8	46	1					100	gld	21		Act 3 (N) Junk	21		Act 3 (N) Equip A	16		Act 3 (N) Good	4		Act 3 (N) Magic A	7																				0
Act 3 (N) Cast B	8	48	1					100	gld	21		Act 3 (N) Junk	21		Act 3 (N) Equip B	16		Act 3 (N) Good	4		Act 3 (N) Magic B	7																				0
Act 3 (N) Cast C	8	50	1					100	gld	21		Act 3 (N) Junk	21		Act 3 (N) Equip B	16		Act 3 (N) Good	4		Act 3 (N) Magic B	7																				0
Act 4 (N) Cast A	8	51	1					100	gld	21		Act 4 (N) Junk	21		Act 4 (N) Equip A	16		Act 4 (N) Good	4		Act 4 (N) Magic A	7																				0
Act 4 (N) Cast B	8	54	1					100	gld	21		Act 4 (N) Junk	21		Act 4 (N) Equip B	16		Act 4 (N) Good	4		Act 4 (N) Magic B	7																				0
Act 5 (N) Cast A	8	57	1					100	gld	21		Act 5 (N) Junk	21		Act 5 (N) Equip A	16		Act 5 (N) Good	4		Act 5 (N) Magic A	7																				0
Act 5 (N) Cast B	8	60	1					100	gld	21		Act 5 (N) Junk	21		Act 5 (N) Equip B	16		Act 5 (N) Good	4		Act 5 (N) Magic B	7																				0
Act 5 (N) Cast C	8	62	1					100	gld	21		Act 5 (N) Junk	21		Act 5 (N) Equip C	16		Act 5 (N) Good	4		Act 5 (N) Magic B	7																				0
Act 1 (H) Cast A	8	63	1					100	gld	21		Act 1 (H) Junk	21		Act 1 (H) Equip A	16		Act 1 (H) Good	4		Act 1 (H) Magic A	7																				0
Act 1 (H) Cast B	8	66	1					100	gld	21		Act 1 (H) Junk	21		Act 1 (H) Equip B	16		Act 1 (H) Good	4		Act 1 (H) Magic B	7																				0
Act 1 (H) Cast C	8	68	1					100	gld	21		Act 1 (H) Junk	21		Act 1 (H) Equip B	16		Act 1 (H) Good	4		Act 1 (H) Magic B	7																				0
Act 2 (H) Cast A	8	69	1					100	gld	21		Act 1 (H) Junk	21		Act 2 (H) Equip A	16		Act 2 (H) Good	4		Act 2 (H) Magic A	7																				0
Act 2 (H) Cast B	8	71	1					100	gld	21		Act 1 (H) Junk	21		Act 2 (H) Equip B	16		Act 2 (H) Good	4		Act 2 (H) Magic B	7																				0
Act 2 (H) Cast C	8	72	1					100	gld	21		Act 1 (H) Junk	21		Act 2 (H) Equip B	16		Act 2 (H) Good	4		Act 2 (H) Magic B	7																				0
Act 3 (H) Cast A	8	74	1					100	gld	21		Act 1 (H) Junk	21		Act 3 (H) Equip A	16		Act 3 (H) Good	4		Act 3 (H) Magic A	7																				0
Act 3 (H) Cast B	8	75	1					100	gld	21		Act 1 (H) Junk	21		Act 3 (H) Equip B	16		Act 3 (H) Good	4		Act 3 (H) Magic B	7																				0
Act 3 (H) Cast C	8	77	1					100	gld	21		Act 1 (H) Junk	21		Act 3 (H) Equip B	16		Act 3 (H) Good	4		Act 3 (H) Magic B	7																				0
Act 4 (H) Cast A	8	78	1					100	gld	21		Act 1 (H) Junk	21		Act 4 (H) Equip A	16		Act 4 (H) Good	4		Act 4 (H) Magic A	7																				0
Act 4 (H) Cast B	8	80	1					100	gld	21		Act 1 (H) Junk	21		Act 4 (H) Equip B	16		Act 4 (H) Good	4		Act 4 (H) Magic B	7																				0
Act 5 (H) Cast A	8	81	1					100	gld	21		Act 1 (H) Junk	21		Act 5 (H) Equip A	16		Act 5 (H) Good	4		Act 5 (H) Magic A	7																				0
Act 5 (H) Cast B	8	83	1					100	gld	21		Act 1 (H) Junk	21		Act 5 (H) Equip B	16		Act 5 (H) Good	4		Act 5 (H) Magic B	7																				0
Act 5 (H) Cast C	8	85	1					100	gld	21		Act 1 (H) Junk	21		Act 5 (H) Equip C	16		Act 5 (H) Good	4		Act 5 (H) Magic B	7																				0
Act 1 Miss A	9	0	1					100	gld	21		Act 1 Junk	21		Act 1 Equip A	16		Act 1 Good	4		Act 1 Bow A	6		Ammo	3																	0
Act 1 Miss B	9	5	1					100	gld	21		Act 1 Junk	21		Act 1 Equip B	16		Act 1 Good B	4		Act 1 Bow B	6		Ammo	3																	0
Act 1 Miss C	9	9	1					100	gld	21		Act 1 Junk	21		Act 1 Equip C	16		Act 1 Good C	4		Act 1 Bow C	6		Ammo	3																	0
Act 2 Miss A	9	12	1					100	gld	21		Act 2 Junk	21		Act 2 Equip A	16		Act 2 Good	4		Act 2 Bow A	6		Ammo	3																	0
Act 2 Miss B	9	15	1					100	gld	21		Act 2 Junk	21		Act 2 Equip B	16		Act 2 Good	4		Act 2 Bow B	6		Ammo	3																	0
Act 2 Miss C	9	18	1					100	gld	21		Act 2 Junk	21		Act 2 Equip C	16		Act 3 Good	4		Act 2 Bow C	6		Ammo	3																	0
Act 3 Miss A	9	20	1					100	gld	21		Act 3 Junk	21		Act 3 Equip A	16		Act 3 Good	4		Act 3 Bow A	6		Ammo	3																	0
Act 3 Miss B	9	22	1					100	gld	21		Act 3 Junk	21		Act 3 Equip B	16		Act 3 Good	4		Act 3 Bow B	6		Ammo	3																	0
Act 3 Miss C	9	24	1					100	gld	21		Act 3 Junk	21		Act 3 Equip C	16		Act 3 Good	4		Act 3 Bow C	6		Ammo	3																	0
Act 4 Miss A	9	26	1					100	gld	21		Act 4 Junk	21		Act 4 Equip A	16		Act 4 Good	4		Act 4 Bow A	6		Ammo	3																	0
Act 4 Miss B	9	29	1					100	gld	21		Act 4 Junk	21		Act 4 Equip B	16		Act 4 Good	4		Act 4 Bow B	6		Ammo	3																	0
Act 5 Miss A	9	32	1					100	gld	21		Act 5 Junk	21		Act 5 Equip A	16		Act 5 Good	4		Act 5 Bow A	6		Ammo	3																	0
Act 5 Miss B	9	34	1					100	gld	21		Act 5 Junk	21		Act 5 Equip B	16		Act 5 Good	4		Act 5 Bow B	6		Ammo	3																	0
Act 5 Miss C	9	36	1					100	gld	21		Act 5 Junk	21		Act 5 Equip C	16		Act 5 Good	4		Act 5 Bow B	6		Ammo	3																	0
Act 1 (N) Miss A	9	38	1					100	gld	21		Act 1 (N) Junk	21		Act 1 (N) Equip A	16		Act 1 (N) Good	4		Act 1 (N) Bow A	6		Ammo	3																	0
Act 1 (N) Miss B	9	40	1					100	gld	21		Act 1 (N) Junk	21		Act 1 (N) Equip B	16		Act 1 (N) Good	4		Act 1 (N) Bow B	6		Ammo	3																	0
Act 1 (N) Miss C	9	41	1					100	gld	21		Act 1 (N) Junk	21		Act 1 (N) Equip B	16		Act 1 (N) Good	4		Act 1 (N) Bow B	6		Ammo	3																	0
Act 2 (N) Miss A	9	42	1					100	gld	21		Act 2 (N) Junk	21		Act 2 (N) Equip A	16		Act 2 (N) Good	4		Act 2 (N) Bow A	6		Ammo	3																	0
Act 2 (N) Miss B	9	44	1					100	gld	21		Act 2 (N) Junk	21		Act 2 (N) Equip B	16		Act 2 (N) Good	4		Act 2 (N) Bow B	6		Ammo	3																	0
Act 2 (N) Miss C	9	45	1					100	gld	21		Act 2 (N) Junk	21		Act 2 (N) Equip B	16		Act 2 (N) Good	4		Act 2 (N) Bow B	6		Ammo	3																	0
Act 3 (N) Miss A	9	46	1					100	gld	21		Act 3 (N) Junk	21		Act 3 (N) Equip A	16		Act 3 (N) Good	4		Act 3 (N) Bow A	6		Ammo	3																	0
Act 3 (N) Miss B	9	48	1					100	gld	21		Act 3 (N) Junk	21		Act 3 (N) Equip B	16		Act 3 (N) Good	4		Act 3 (N) Bow B	6		Ammo	3																	0
Act 3 (N) Miss C	9	50	1					100	gld	21		Act 3 (N) Junk	21		Act 3 (N) Equip B	16		Act 3 (N) Good	4		Act 3 (N) Bow B	6		Ammo	3																	0
Act 4 (N) Miss A	9	51	1					100	gld	21		Act 4 (N) Junk	21		Act 4 (N) Equip A	16		Act 4 (N) Good	4		Act 4 (N) Bow A	6		Ammo	3																	0
Act 4 (N) Miss B	9	54	1					100	gld	21		Act 4 (N) Junk	21		Act 4 (N) Equip B	16		Act 4 (N) Good	4		Act 4 (N) Bow B	6		Ammo	3																	0
