ItemType	Code	Id	*name	*order*	*status	subdivide	makepage	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Paladin Hammer (Sacred)	sphm	191	Paladin Hammers	35				pham	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Paladin Helm	pzhm	192	Paladin Helms	56				helm		1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	2		1	pal	0							armo	0
Paladin Helm (Sacred)	sphz	193	Paladin Helms	56				pzhm	ct1a	1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	2		1	pal	0							armo	0
Paladin Mace	pmac	194	Paladin Maces	34				mace		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Paladin Mace (Sacred)	spmc	195	Paladin Maces	34				pmac	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Paladin Spear	pspe	196	Paladin Spears	36				spea		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Paladin Spear (Sacred)	spsp	197	Paladin Spears	36				pspe	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Sorceress Crystal Sword	scrd	198	Sorceress Crystal Swords	38				mele	sbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0	sor	0							weap	0
Sorceress Crystal Sword (Sacred)	sscd	199	Sorceress Crystal Swords	38				scrd	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0	sor	0							weap	0
Sorceress Torso	stor	200	Sorceress Body Armors	58				tors		1	1	tors	tors			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	sor	0							armo	0
Sorceress Torso (Sacred)	sstr	201	Sorceress Body Armors	58				stor	ct2a	1	1	tors	tors			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	sor	0							armo	0
Portable Shrine Base Item	waah	202			portable shrine					0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0							misc	0
Affix Crystal	asaa	203	Mystic Orbs		cube reagent					0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Amulet (Sacred)	qamu	204	Amulets	59				amul		0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		1		3	invamu1	invamu2	invamu3				misc	0
Ring (Sacred)	qrin	205	Rings	60				ring		0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		1		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Missile (Sacred)	qmsl	206						misl		0	0					0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0								0
Bow Quiver (Sacred)	qaqv	207	Arrow Quivers	61				qmsl	riam	0	1	rarm	larm		bow	0	1	0	1	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Crossbow Quiver (Sacred)	qcqv	208	Crossbow Quivers	62				qmsl	riam	0	1	rarm	larm		xbow	0	1	0	1	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
2h barb sword	2hbs	209	Barbarian Two-Handed Swords					bswd	2hsd	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
2h barb axe	2hbx	210	Barbarian Two-Handed Axes	25				baxe	2hax	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
2h axe	2hax	211	Two-Handed Axes	5				axe		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
2h sword	2hsd	212	Two-Handed Swords	3				swor		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
2h barb sword (Sacred)	s2hb	213	Barbarian Two-Handed Swords					2hbs	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
2h barb axe (Sacred)	s2hx	214	Barbarian Two-Handed Axes	25				2hbx	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
2h axe (Sacred)	s2ha	215	Two-Handed Axes	5				2hax	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
2h sword (Sacred)	s2hd	216	Two-Handed Swords	3				2hsd	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
Onyx	gemq	217						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Bloodstone	gemp	218						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Turqoise	gemo	219						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Amber	geml	220						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Mega Ring	kill	221	Quest Rings	69				misc		0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		1		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
New Helm	helm	222	Helms	40				armo	hlm1	1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Tier (1-6)	tier	223	Tiered Items		shard shatter					0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Craft Sacred Minor (Armor)	ct1a	224	Armors (except Body Armors)		shrine craft/bless			sarm	ct1x	0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Craft Sacred Major (Armor)	ct2a	225	Body Armors		shrine craft/bless			sarm	ct2x	0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Craft Sacred Minor (Weapon)	ct1w	226	One-Handed Weapons		shrine craft/bless			swea	ct1x	0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Craft Sacred Major (Weapon)	ct2w	227	Two-Handed Weapons		shrine craft/bless			swea	ct2x	0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Craft Sacred Minor	ct1x	228	"One-Handed Weapons, Armors (except Body Armors)"		shrine craft/bless			ssgl		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Craft Sacred Major	ct2x	229	"Two-Handed Weapons, Body Armors"		shrine craft/bless			ssgl		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Sacred Bow	#bow	230	Sacred Bows	70	Sky Siege			bow		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	2		0		0							weap	0
Mass Disenchant	dcht	231			for arcane crystals/shards					0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Sacred Armor	sarm	232			tcex			ssgl		0	0					0	0	0	0			0	0	0	0	0	0	0	1	3		0		0								0
Sacred Weapon	swea	233			tcex			ssgl		0	0					0	0	0	0			0	0	0	0	0	0	0	1	3		0		0								0
Sacred Group	ssgl	234						sign		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Unique Mystic orb	asa#	235	Unique Mystic Orbs		cube reagent					0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Druid Gift Box	dbox	236						fbox		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Necro Gift Box	nbox	237						fbox		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Pala Gift Box	pbox	238						fbox		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Sorc Gift Box	sbox	239						fbox		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Elemental Rune	xrun	240						rune	gem	0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
SpecialBox	fbox	241								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
PhysicalBox	phbx	242								0	0					0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0								0
Portable Shrine	prsh	243						thng		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Active Shrine (10 Charges)	flsh	244						prsh		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Mystic Sword	####	245			quest			mele		0	1	rarm				0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0							weap	0
Yshari Ring	###1	246						ring		0	1	rrin	lrin			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		2	lab_rn1	lab_rn2						0
Yshari Amulet	###2	247						amul		0	1	neck	neck			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Yshari Shield	###4	248						qshi		0	1	rarm	larm			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Yshari Armor	###3	249						qtor		0	1	tors	tors			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Yshari Boots	###8	250						qbot		0	1	feet	feet			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Yshari Gloves	###7	251						qglv		0	1	glov	glov			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Yshari Belt	###6	252						qblt		0	1	belt	belt			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Yshari Helm	###5	253						qhlm		0	1	head	head			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Shrine Container	shco	254						thng		0	0					0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		0		0								0
Mystic Orbable	myor	255						dcht		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Rings and Amulets	riam	256						misc	myor	0	0					0	0	0	0		1	0	0	0	0	0	0	0	0	3		0		0								0
SSword	xxx1	257	Tyrannical Blades		quest			mele		0	1	rarm				0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0							weap	0
SBow	xxx2	258	Voidsworn Bows		quest			bow		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0							weap	0
SStaff	xxx3	259	Voidforged Staves		quest			mele		0	1	rarm	larm			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0							weap	0
SAmu	xxx4	260	Quest Amulets		quest			misc		0	1	neck	neck			0	0	0	0		1	0	0	0	0	0	0	0	0	0		0		0								0
Signetable	sign	261								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Wirts Leg	wrtl	262						mace		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Horadric Malus	horm	263						hamm		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Essence	esse	264								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Cycle	cycl	265								0	1					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Small Cycle	cyc1	266						cycl		0	1					0	0	0	0			0	0	0	0	0	0	0	0	3		0		3	invch1	invch4	invch7				misc	0
Medium Cycle	cyc2	267						cycl		0	1					0	0	0	0			0	0	0	0	0	0	0	0	3		0		3	invch2	invch5	invch8				misc	0
Large Cycle	cyc3	268						cycl		0	1					0	0	0	0			0	0	0	0	0	0	0	0	3		0		3	invch3	invch6	invch9				misc	0
Trophy	trph	269								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Enchanted Rune	erun	270						rune	gem	0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Elemental Weapons	elex	271	Elemental Weapons					weap		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Elemental Weapon 1H Melee	el1x	272	Elemental One-Handed Melee Weapons					elex		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Elemental Weapon 2H Melee	el2x	273	Elemental Two-Handed Melee Weapons					elex		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Elemental Ranged Weapons	elrx	274	Elemental Ranged Weapons					elex		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Trophy Fragment	trfr	275								0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
