code	name	type	type2	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable																																																			
2@L	Cervelliere (Grade 5)	azhm	tier			10	1	269	347			172	0		44		66	20	24787		2@L		404	fhl	fhl	2@L	2@L	2@L			2	2	1	4	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
3@L	Cervelliere (Grade 6)	azhm	tier			10	1	371	473			250	0		44		82	24	49159		3@L		404	fhl	fhl	3@L	3@L	3@L			2	2	1	4	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
4@L	Cervelliere (Sacred)	szhm				1	1	939	989			516	0		44		82	30	49159		4@L		404	fhl	fhl	4@L	4@L	4@L			2	2	1	4	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
639	Chain Boots (Grade 1)	boot	tier			20	1	42	61			44	0		55		7	2	143		639		401	mbt	mbt	639	639	639		16	2	2	1	1	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
685	Chain Boots (Grade 2)	boot	tier			20	1	85	117			64	0		55		22	6	983		685		402	mbt	mbt	685	685	685		16	2	2	1	2	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
731	Chain Boots (Grade 3)	boot	tier			20	1	144	190			93	0		55		36	11	3177		731		402	mbt	mbt	731	731	731		16	2	2	1	2	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
777	Chain Boots (Grade 4)	boot	tier			20	1	220	285			134	0		55		51	15	8059		777		403	mbt	mbt	777	777	777		16	2	2	1	3	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
823	Chain Boots (Grade 5)	boot	tier			20	1	317	407			195	0		55		66	19	17272		823		403	mbt	mbt	823	823	823		16	2	2	1	3	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
869	Chain Boots (Grade 6)	boot	tier			20	1	434	557			282	0		55		79	24	31392		869		404	mbt	mbt	869	869	869		16	2	2	1	4	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
@40	Chain Boots (Sacred)	qbot				2	1	739	801			527	0		55		79	30	31392		@40		404	mbt	mbt	@40	@40	@40		16	2	2	1	4	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
634	Chain Gloves (Grade 1)	glov	tier			20	1	24	42			38	0		39		8	2	148		634		401	mgl	mgl	634	634	634		16	2	2	1	1	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
680	Chain Gloves (Grade 2)	glov	tier			20	1	56	85			55	0		39		22	6	860		680		402	mgl	mgl	680	680	680		16	2	2	1	2	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
726	Chain Gloves (Grade 3)	glov	tier			20	1	106	144			80	0		39		37	11	2881		726		402	mgl	mgl	726	726	726		16	2	2	1	2	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
772	Chain Gloves (Grade 4)	glov	tier			20	1	165	220			116	0		39		51	15	6840		772		403	mgl	mgl	772	772	772		16	2	2	1	3	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
818	Chain Gloves (Grade 5)	glov	tier			20	1	240	317			168	0		39		66	20	14408		818		403	mgl	mgl	818	818	818		16	2	2	1	3	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
864	Chain Gloves (Grade 6)	glov	tier			20	1	332	434			244	0		39		80	24	26510		864		404	mgl	mgl	864	864	864		16	2	2	1	4	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
@35	Chain Gloves (Sacred)	qglv				2	1	515	565			514	0		39		80	30	26510		@35		404	mgl	mgl	@35	@35	@35		16	2	2	1	4	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
606	Chain Mail (Grade 1)	tors	tier			20	1	117	237			49	0		63		7	2	267		606		401	chn	chn	606	606	606		1	2	3	1	2	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255		1		1	1			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
652	Chain Mail (Grade 2)	tors	tier			20	1	199	378			71	0		63		22	6	1981		652		403	chn	chn	652	652	652		1	2	3	1	3	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
698	Chain Mail (Grade 3)	tors	tier			20	1	310	566			103	0		63		37	11	7180		698		404	chn	chn	698	698	698		1	2	3	1	4	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
744	Chain Mail (Grade 4)	tors	tier			20	1	452	809			149	0		63		51	15	18027		744		404	chn	chn	744	744	744		1	2	3	1	4	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
790	Chain Mail (Grade 5)	tors	tier			20	1	633	1124			217	0		63		65	19	38732		790		405	chn	chn	790	790	790		1	2	3	1	5	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
836	Chain Mail (Grade 6)	tors	tier			20	1	865	1526			314	0		63		81	24	78935		836		406	chn	chn	836	836	836		1	2	3	1	6	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
@07	Chain Mail (Sacred)	qtor				2	1	2525	2856			538	0		63		81	30	78935		@07		406	chn	chn	@07	@07	@07		1	2	3	1	6	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
k01	Circlet (Grade 1)	circ	tier	100		8	1	22	47			0	14		10		7	2	157		k01		401	lit	lit	k01	k01	k01			2	2	1	1	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k05	Circlet (Grade 2)	circ	tier	100		8	1	39	75			0	25		10		21	6	997		k05		402	lit	lit	k05	k05	k05			2	2	1	2	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k09	Circlet (Grade 3)	circ	tier	100		8	1	61	113			0	41		10		36	11	3553		k09		402	lit	lit	k09	k09	k09			2	2	1	2	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k13	Circlet (Grade 4)	circ	tier	100		8	1	89	162			0	64		10		51	15	9172		k13		403	lit	lit	k13	k13	k13			2	2	1	3	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k17	Circlet (Grade 5)	circ	tier	100		8	1	126	225			0	98		10		65	19	19067		k17		403	lit	lit	k17	k17	k17			2	2	1	3	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k21	Circlet (Grade 6)	circ	tier	100		8	1	173	304			0	147		10		81	24	37815		k21		404	lit	lit	k21	k21	k21			2	2	1	4	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
@67	Circlet (Sacred)	qcic		100		2	1	505	571			0	262		10		81	30	37815		@67		404	lit	lit	@67	@67	@67			2	2	1	4	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k02	Coronet (Grade 1)	circ	tier	100		8	1	27	56			0	17		15		9	3	236		k02		401	lit	lit	k02	k02	k02			2	2	1	1	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255		1		1	1					255					255					255					255			1	2		xxx	xxx			1																																																			
k06	Coronet (Grade 2)	circ	tier	100		8	1	46	89			0	31		15		24	7	1477		k06		402	lit	lit	k06	k06	k06			2	2	1	2	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k10	Coronet (Grade 3)	circ	tier	100		8	1	73	135			0	51		15		39	11	4933		k10		402	lit	lit	k10	k10	k10			2	2	1	2	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k14	Coronet (Grade 4)	circ	tier	100		8	1	106	194			0	80		15		53	16	11808		k14		403	lit	lit	k14	k14	k14			2	2	1	3	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k18	Coronet (Grade 5)	circ	tier	100		8	1	151	269			0	122		15		68	20	25193		k18		403	lit	lit	k18	k18	k18			2	2	1	3	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k22	Coronet (Grade 6)	circ	tier	100		8	1	206	364			0	183		15		85	24	47283		k22		404	lit	lit	k22	k22	k22			2	2	1	4	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
@68	Coronet (Sacred)	qcic		100		2	1	605	684			0	327		15		85	30	47283		@68		404	lit	lit	@68	@68	@68			2	2	1	4	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
620	Crown (Grade 1)	crow	tier			20	1	117	176			81	0		57		17	5	766		620		401	crn	crn	620	620	620			2	2	1	1	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255		1		1	1					255					255			2	8		xxx	xxx			1																																																			
666	Crown (Grade 2)	crow	tier			20	1	199	285			117	0		57		32	9	3265		666		402	crn	crn	666	666	666			2	2	1	2	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
712	Crown (Grade 3)	crow	tier			20	1	310	434			170	0		57		46	14	8902		712		403	crn	crn	712	712	712			2	2	1	3	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
758	Crown (Grade 4)	crow	tier			20	1	452	625			247	0		57		61	18	20665		758		403	crn	crn	758	758	758			2	2	1	3	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
804	Crown (Grade 5)	crow	tier			20	1	633	873			358	0		57		76	23	42297		804		404	crn	crn	804	804	804			2	2	1	4	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
850	Crown (Grade 6)	crow	tier			20	1	865	1183			519	0		57		90	27	77262		850		404	crn	crn	850	850	850			2	2	1	4	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
@21	Crown (Sacred)	qhlm				2	1	1479	1638			606	0		57		90	30	77262		@21		404	crn	crn	@21	@21	@21			2	2	1	4	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
w24	Crown Shield (Grade 1)	ashd	tier	100		4	1	142	279			0	43	1	77		17	5	1130		w24		402	pa5	spk	w24	w24	w24		7	2	2	1	2	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
w44	Crown Shield (Grade 2)	ashd	tier	100		4	1	232	437			0	63	1	77		32	9	5032		w44		402	pa5	spk	w44	w44	w44		7	2	2	1	2	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
w64	Crown Shield (Grade 3)	ashd	tier	100		4	1	352	647			0	92	1	77		46	14	14027		w64		402	pa5	spk	w64	w64	w64		7	2	2	1	2	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
w84	Crown Shield (Grade 4)	ashd	tier	100		4	1	508	923			0	133	1	77		61	18	33328		w84		403	pa5	spk	w84	w84	w84		7	2	2	1	3	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
e14	Crown Shield (Grade 5)	ashd	tier	100		4	1	709	1276			0	193	1	77		76	22	69023		e14		403	pa5	spk	e14	e14	e14		7	2	2	1	3	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
e34	Crown Shield (Grade 6)	ashd	tier	100		4	1	965	1730			0	280	1	77		90	27	128071		e34		404	pa5	spk	e34	e34	e34		7	2	2	1	4	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
@61	Crown Shield (Sacred)	qaur		100		1	1	1878	2260			0	447	1	77		90	30	128071		@61		404	pa5	spk	@61	@61	@61		7	2	2	1	4	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
w29	Demon Head (Grade 1)	head	tier	100		4	1	119	232			0	36	1	70		17	5	1032		w29		402	ne2	bhm	w29	w29	w29		10	2	2	1	2	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
w49	Demon Head (Grade 2)	head	tier	100		4	1	193	364			0	53	1	70		32	9	4594		w49		402	ne2	bhm	w49	w49	w49		10	2	2	1	2	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
w69	Demon Head (Grade 3)	head	tier	100		4	1	293	538			0	77	1	70		46	14	12807		w69		402	ne2	bhm	w69	w69	w69		10	2	2	1	2	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
w89	Demon Head (Grade 4)	head	tier	100		4	1	424	770			0	112	1	70		61	18	30430		w89		403	ne2	bhm	w89	w89	w89		10	2	2	1	3	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
e19	Demon Head (Grade 5)	head	tier	100		4	1	591	1063			0	162	1	70		76	22	63021		e19		403	ne2	bhm	e19	e19	e19		10	2	2	1	3	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
e39	Demon Head (Grade 6)	head	tier	100		4	1	804	1441			0	236	1	70		87	27	116934		e39		404	ne2	bhm	e39	e39	e39		10	2	2	1	4	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
@66	Demon Head (Sacred)	qhed		100		1	1	1448	1766			0	445	1	70		87	30	116934		@66		404	ne2	bhm	@66	@66	@66		10	2	2	1	4	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1																																																			
k04	Diadem (Grade 1)	circ	tier	100		8	1	36	80			0	28		25		17	5	766		k04		402	lit	lit	k04	k04	k04			2	2	1	2	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255		1		1	1					255					255			1	2		xxx	xxx			1																																																			
k08	Diadem (Grade 2)	circ	tier	100		8	1	64	127			0	50		25		32	9	3265		k08		402	lit	lit	k08	k08	k08			2	2	1	2	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k12	Diadem (Grade 3)	circ	tier	100		8	1	103	194			0	82		25		46	14	8902		k12		402	lit	lit	k12	k12	k12			2	2	1	2	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k16	Diadem (Grade 4)	circ	tier	100		8	1	152	278			0	128		25		61	18	20665		k16		403	lit	lit	k16	k16	k16			2	2	1	3	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k20	Diadem (Grade 5)	circ	tier	100		8	1	215	386			0	196		25		76	23	42297		k20		403	lit	lit	k20	k20	k20			2	2	1	3	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
k24	Diadem (Grade 6)	circ	tier	100		8	1	296	523			0	294		25		90	27	77262		k24		404	lit	lit	k24	k24	k24			2	2	1	4	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
@70	Diadem (Sacred)	qcic		100		2	1	870	983			0	524		25		90	30	77262		@70		404	lit	lit	@70	@70	@70			2	2	1	4	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1																																																			
5@L	Einherjar Helm (Grade 1)	azhm	tier			10	1	53	80			0	53		50		10	3	306		5@L		401	lit	lit	5@L	5@L	5@L			2	2	1	1	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
6@L	Einherjar Helm (Grade 2)	azhm	tier			10	1	98	135			0	77		50		25	7	1920		6@L		402	lit	lit	6@L	6@L	6@L			2	2	1	2	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
7@L	Einherjar Helm (Grade 3)	azhm	tier			10	1	158	215			0	111		50		40	12	6412		7@L		403	lit	lit	7@L	7@L	7@L			2	2	1	3	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
8@L	Einherjar Helm (Grade 4)	azhm	tier			10	1	233	314			0	162		50		54	16	15350		8@L		403	lit	lit	8@L	8@L	8@L			2	2	1	3	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
9@L	Einherjar Helm (Grade 5)	azhm	tier			10	1	331	441			0	234		50		69	21	32750		9@L		404	lit	lit	9@L	9@L	9@L			2	2	1	4	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
1@M	Einherjar Helm (Grade 6)	azhm	tier			10	1	453	600			0	340		50		83	25	61467		1@M		404	lit	lit	1@M	1@M	1@M			2	2	1	4	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
2@M	Einherjar Helm (Sacred)	szhm				1	1	979	1053			0	534		50		83	30	61467		2@M		404	lit	lit	2@M	2@M	2@M			2	2	1	4	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
w13	Falcon Mask (Grade 1)	pelt	tier	100		4	1	78	114			63	0		48		13	4	423		w13		402	dr4	dr4	w13	w13	w13			2	2	1	2	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
w33	Falcon Mask (Grade 2)	pelt	tier	100		4	1	134	191			92	0		48		27	8	2018		w33		402	dr4	dr4	w33	w33	w33			2	2	1	2	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
w53	Falcon Mask (Grade 3)	pelt	tier	100		4	1	211	292			134	0		48		41	12	5967		w53		402	dr4	dr4	w53	w53	w53			2	2	1	2	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
w73	Falcon Mask (Grade 4)	pelt	tier	100		4	1	308	424			194	0		48		56	17	14564		w73		403	dr4	dr4	w73	w73	w73			2	2	1	3	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
w93	Falcon Mask (Grade 5)	pelt	tier	100		4	1	437	593			281	0		48		71	21	30642		w93		403	dr4	dr4	w93	w93	w93			2	2	1	3	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
e23	Falcon Mask (Grade 6)	pelt	tier	100		4	1	597	808			408	0		48		84	25	57091		e23		404	dr4	dr4	e23	e23	e23			2	2	1	4	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
@50	Falcon Mask (Sacred)	qplt		100		1	1	996	1101			454	0		48		84	30	57091		@50		404	dr4	dr4	@50	@50	@50			2	2	1	4	1	flpdr4	invdr4														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
w16	Fanged Helm (Grade 1)	phlm	tier	100		4	1	47	71			40	0		40		7	2	164		w16		402	ba1	bhm	w16	w16	w16			2	2	1	2	1	flpba1	invba2														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
