Treasure Class	* Laz / contains	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Act 4 Bow B	Unused	3	29	1						bow6	1		bow9	2		bow12	5		bow15	7		bow18	8		bow21	7		bow24	4		bow27	2		Act 4 Bow A	6					36	216	1	0
Act 5 Bow A	Unused	3	32	1						bow9	1		bow12	3		bow15	6		bow18	8		bow21	8		bow24	6		bow27	3		bow30	1		Act 4 Bow B	9					36	306	1	0
Act 5 Bow B	Unused	3	34	1						bow9	1		bow12	2		bow15	5		bow18	7		bow21	8		bow24	7		bow27	4		bow30	2		Act 5 Bow A	12					36	416	1	0
Act 5 Bow C	Unused	3	36	1						bow9	1		bow12	2		bow15	5		bow18	7		bow21	8		bow24	7		bow27	4		bow30	2		Act 5 Bow B	14					36	536	1	0
Act 1 (N) Bow A	Unused	3	38	1						bow12	1		bow15	2		bow18	5		bow21	7		bow24	8		bow27	7		bow30	4		bow33	2		Act 5 Bow C	16					36	666	1	0
Act 1 (N) Bow B	Unused	3	40	1						bow15	1		bow18	2		bow21	5		bow24	7		bow27	8		bow30	7		bow33	4		bow36	2		Act 1 (N) Bow A	18					36	806	1	0
Act 2 (N) Bow A	Unused	3	42	1						bow18	1		bow21	2		bow24	5		bow27	7		bow30	8		bow33	7		bow36	4		bow39	2		Act 1 (N) Bow B	20					36	956	1	0
Act 2 (N) Bow B	Unused	3	44	1						bow21	1		bow24	2		bow27	5		bow30	7		bow33	8		bow36	7		bow39	4		bow42	2		Act 2 (N) Bow A	23					36	1106	1	0
Act 3 (N) Bow A	Unused	3	46	1						bow24	1		bow27	2		bow30	5		bow33	7		bow36	8		bow39	7		bow42	4		bow45	2		Act 2 (N) Bow B	25					36	1256	1	0
Act 3 (N) Bow B	Unused	3	48	1						bow27	1		bow30	2		bow33	5		bow36	7		bow39	8		bow42	7		bow45	4		bow48	2		Act 3 (N) Bow A	28					36	1406	1	0
Act 4 (N) Bow A	Unused	3	51	1						bow30	1		bow33	2		bow36	5		bow39	7		bow42	8		bow45	7		bow48	4		bow51	2		Act 3 (N) Bow B	31					36	1556	1	0
Act 4 (N) Bow B	Unused	3	54	1						bow33	1		bow36	2		bow39	5		bow42	7		bow45	8		bow48	7		bow51	4		bow54	2		Act 4 (N) Bow A	35					36	1706	1	0
Act 5 (N) Bow A	Unused	3	57	1						bow36	1		bow39	2		bow42	5		bow45	7		bow48	8		bow51	7		bow54	4		bow57	2		Act 4 (N) Bow B	39					36	1856	1	0
Act 5 (N) Bow B	Unused	3	60	1						bow39	1		bow42	2		bow45	5		bow48	7		bow51	8		bow54	7		bow57	4		bow60	2		Act 5 (N) Bow A	44					36	2006	1	0
Act 5 (N) Bow C	Unused	3	63	1						bow42	1		bow45	2		bow48	5		bow51	7		bow54	8		bow57	7		bow60	4		bow63	2		Act 5 (N) Bow B	50					36	2156	1	0
Act 1 (H) Bow A	Unused	3	66	1						bow45	1		bow48	2		bow51	5		bow54	7		bow57	8		bow60	7		bow63	4		bow66	2		Act 5 (N) Bow C	57					36	2306	1	0
Act 1 (H) Bow B	Unused	3	69	1						bow48	1		bow51	2		bow54	5		bow57	7		bow60	8		bow63	7		bow66	4		bow69	2		Act 1 (H) Bow A	65					36	2306	1	0
Act 2 (H) Bow A	Unused	3	71	1						bow51	1		bow54	2		bow57	5		bow60	7		bow63	8		bow66	7		bow69	4		bow72	2		Act 1 (H) Bow B	74					36	2306	1	0
Act 2 (H) Bow B	Unused	3	73	1						bow54	1		bow57	2		bow60	5		bow63	7		bow66	8		bow69	7		bow72	4		bow75	2		Act 2 (H) Bow A	86					36	2306	1	0
Act 3 (H) Bow A	Unused	3	75	1						bow57	1		bow60	2		bow63	5		bow66	7		bow69	8		bow72	7		bow75	4		bow78	2		Act 2 (H) Bow B	102					36	2306	1	0
Act 3 (H) Bow B	Unused	3	77	1						bow60	1		bow63	2		bow66	5		bow69	7		bow72	8		bow75	7		bow78	4		bow81	2		Act 3 (H) Bow A	121					36	2306	1	0
Act 4 (H) Bow A	Unused	3	79	1						bow63	1		bow66	2		bow69	5		bow72	7		bow75	8		bow78	7		bow81	4		bow84	2		Act 3 (H) Bow B	147					36	2306	1	0
Act 4 (H) Bow B	Unused	3	80	1						bow66	1		bow69	2		bow72	5		bow75	7		bow78	8		bow81	7		bow84	2		bow84	1		Act 4 (H) Bow A	162					33	2113	1	0
Act 5 (H) Bow A	Unused	3	82	1						bow69	1		bow72	2		bow75	5		bow78	7		bow81	8		bow84	7		bow87	2		bow87	1		Act 4 (H) Bow B	189					33	2113	1	0
Act 5 (H) Bow B	Unused	3	83	1						bow72	1		bow75	2		bow78	5		bow81	7		bow84	8		bow87	7		bow87	2		bow87	1		Act 5 (H) Bow A	214					33	2113	1	0
Act 5 (H) Bow C	Unused	3	85	1						bow75	1		bow78	2		bow81	5		bow84	7		bow87	8		bow87	1		bow90	1		bow90	1		Act 5 (H) Bow B	686					26	1681	1	0
Act 1 Magic A	Unused	4	0	1						tsc	2		isc	4		mp1	6																										0
Act 1 Magic B	Unused	4	5	1						tsc	2		isc	4		mp1	4		mp2	2																							0
Act 1 Magic C	Unused	4	9	1						tsc	2		isc	4		mp1	2		mp2	4																							0
Act 2 Magic A	Unused	4	12	1						tsc	2		isc	4		mp1	1		mp2	4		mp3	1																				0
Act 2 Magic B	Unused	4	15	1						tsc	2		isc	4		mp1	1		mp2	3		mp3	2																				0
Act 2 Magic C	Unused	4	18	1						tsc	2		isc	4		mp2	2		mp3	3		mp4	1																				0
Act 3 Magic A	Unused	4	20	1						tsc	2		isc	4		mp3	4		mp4	2																							0
Act 3 Magic B	Unused	4	22	1						tsc	2		isc	4		mp3	3		mp4	3																							0
Act 3 Magic C	Unused	4	24	1						tsc	2		isc	4		mp3	2		mp4	3		mp5	1																				0
Act 4 Magic A	Unused	4	26	1						tsc	2		isc	4		mp3	1		mp4	4		mp5	1																				0
Act 4 Magic B	Unused	4	29	1						tsc	2		isc	4		mp4	4		mp5	2																							0
Act 5 Magic A	Unused	4	32	1						tsc	2		isc	4		mp4	3		mp5	3																							0
Act 5 Magic B	Unused	4	34	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 Magic C	Unused	4	36	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 (N) Magic A	Unused	4	38	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 (N) Magic B	Unused	4	40	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 2 (N) Magic A	Unused	4	42	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 2 (N) Magic B	Unused	4	44	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 3 (N) Magic A	Unused	4	46	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 3 (N) Magic B	Unused	4	48	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 4 (N) Magic A	Unused	4	51	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 4 (N) Magic B	Unused	4	54	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (N) Magic A	Unused	4	57	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (N) Magic B	Unused	4	60	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (N) Magic C	Unused	4	63	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 (H) Magic A	Unused	4	66	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 (H) Magic B	Unused	4	69	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 2 (H) Magic A	Unused	4	71	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 2 (H) Magic B	Unused	4	73	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 3 (H) Magic A	Unused	4	75	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 3 (H) Magic B	Unused	4	77	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 4 (H) Magic A	Unused	4	79	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 4 (H) Magic B	Unused	4	80	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (H) Magic A	Unused	4	82	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (H) Magic B	Unused	4	83	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 5 (H) Magic C	Unused	4	85	1						tsc	2		isc	4		mp4	2		mp5	4																							0
Act 1 Good		5	0	1						Jewelry A	10	47%	Chipped Gem	10	47%	Runes 3	4	4%																					0				0
Act 1 Good B		5	0	1						Jewelry A	10	45%	Chipped Gem	10	45%	Runes 3	8	9%																					0				0
Act 1 Good C		5	0	1						Jewelry A	10	43%	Chipped Gem	10	43%	Runes 4	10	13%																					0				0
Act 2 Good		5	12	1						Jewelry B	18	37%	Chipped Gem	10	20%	Flawed Gem	14	29%	Runes 5	13	12%																		0				0
Act 3 Good		5	18	1						Jewelry C	26	44%	Chipped Gem	10	17%	Flawed Gem	14	24%	Runes 5	16	13%																		0				0
Act 4 Good		5	26	1						Jewelry C	34	38%	Chipped Gem	10	11%	Flawed Gem	14	15%	Normal Gem	18	20%	Runes 6	20	14%															0				0
Act 5 Good		5	32	1						Jewelry C	42	33%	Chipped Gem	10	8%	Flawed Gem	14	11%	Normal Gem	18	14%	Flawless Gem	22	17%	Runes 7	22	15%												0				0
Act 1 (N) Good		5	38	1						Jewelry C	50	30%	Chipped Gem	10	6%	Flawed Gem	14	8%	Normal Gem	18	10%	Flawless Gem	22	13%	Perfect Gem	26	15%	Runes 8	24	14%									0				0
Act 2 (N) Good		5	42	1						Jewelry C	58	33%	Chipped Gem	10	5%	Flawed Gem	14	8%	Normal Gem	18	10%	Flawless Gem	22	12%	Perfect Gem	26	14%	Runes 9	27	15%									0				0
Act 3 (N) Good		5	46	1						Jewelry C	60	33%	Chipped Gem	9	5%	Flawed Gem	14	7%	Normal Gem	18	10%	Flawless Gem	22	12%	Perfect Gem	26	14%	Runes 10	29	16%									0				0
Act 4 (N) Good		5	51	1						Jewelry C	60	33%	Chipped Gem	8	5%	Flawed Gem	14	7%	Normal Gem	18	10%	Flawless Gem	22	12%	Perfect Gem	26	14%	Runes 11	30	16%									0				0
Act 5 (N) Good		5	57	1						Jewelry C	60	33%	Chipped Gem	7	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	12%	Perfect Gem	26	14%	Runes 12	31	17%									0				0
Act 1 (H) Good		5	66	1						Jewelry C	60	32%	Chipped Gem	6	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	12%	Perfect Gem	26	14%	Runes 13	32	17%									0				0
Act 2 (H) Good		5	72	1						Jewelry C	60	32%	Chipped Gem	5	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	12%	Perfect Gem	26	14%	Runes 14	33	18%									0				0
Act 3 (H) Good		5	78	1						Jewelry C	60	32%	Chipped Gem	4	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	11%	Perfect Gem	26	13%	Runes 17	34	18%	Portable Shrines 1	4	1%						0				0
Act 4 (H) Good		5	82	1						Jewelry C	60	31%	Chipped Gem	3	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	11%	Perfect Gem	26	13%	Runes 20	35	18%	Portable Shrines 2	8	2%						0				0
Act 5 (H) Good		5	85	1						Jewelry C	60	31%	Chipped Gem	2	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	11%	Perfect Gem	26	13%	Runes 25	36	18%	Portable Shrines 4	12	3%						0				0
Act 5 (H) Good Rune Bias				1						Jewelry C	60	31%	Chipped Gem	1	5%	Flawed Gem	14	7%	Normal Gem	18	9%	Flawless Gem	22	11%	Perfect Gem	26	13%	Runes Super	36	18%	Portable Shrines 4	12	3%						0				0
Act 5 (H) Good Toraja Bias				1						Jewelry C	5	31%	Runes Toraja	36	18%	Portable Shrines 4	2	3%	NDTC	143	41%	Chipped Gem	1	5%	Flawed Gem	2	7%												0				0
Act 1 Chest A		6	0	6					30	NDTC	65	41%	Act 1 Junk	3	12%	Act 1 Equip A	5	16%	Act 1 Good	5	4%	Clue Gem 10	1	0%																			0
Act 1 Chest B		6	5	6					30	NDTC	65	41%	Act 1 Junk	3	12%	Act 1 Equip B	5	16%	Act 1 Good B	5	4%																						0
Act 1 Chest C		6	9	6					30	NDTC	65	41%	Act 1 Junk	3	12%	Act 1 Equip C	5	16%	Act 1 Good C	5	4%																						0
Act 2 Chest A		6	12	6					30	NDTC	65	41%	Act 2 Junk	3	12%	Act 2 Equip A	5	16%	Act 2 Good	5	4%																						0
Act 2 Chest B		6	15	6					30	NDTC	65	41%	Act 2 Junk	3	11%	Act 2 Equip B	5	16%	Act 2 Good	5	4%																						0
Act 2 Chest C		6	18	6					30	NDTC	65	41%	Act 2 Junk	3	11%	Act 2 Equip C	5	16%	Act 2 Good	5	4%																						0
Act 3 Chest A		6	20	6					30	NDTC	65	41%	Act 3 Junk	3	11%	Act 3 Equip A	5	16%	Act 3 Good	5	4%																						0
Act 3 Chest B		6	22	6					30	NDTC	65	41%	Act 3 Junk	3	11%	Act 3 Equip B	5	16%	Act 3 Good	5	4%																						0
Act 3 Chest C		6	24	6					30	NDTC	65	41%	Act 3 Junk	3	10%	Act 3 Equip C	5	16%	Act 3 Good	5	4%																						0
Act 4 Chest A		6	26	6					30	NDTC	65	41%	Act 4 Junk	3	10%	Act 4 Equip A	5	16%	Act 4 Good	5	4%																						0
Act 4 Chest B		6	28	6					30	NDTC	65	41%	Act 4 Junk	3	10%	Act 4 Equip B	5	16%	Act 4 Good	5	4%																						0
Act 4 Chest C		6	30	6					30	NDTC	65	41%	Act 4 Junk	3	10%	Act 4 Equip B	5	16%	Act 4 Good	5	4%																						0
Act 5 Chest A		6	32	6					30	NDTC	65	41%	Act 5 Junk	3	9%	Act 5 Equip A	5	16%	Act 5 Good	5	4%																						0
Act 5 Chest B		6	34	6					30	NDTC	65	41%	Act 5 Junk	3	9%	Act 5 Equip B	5	16%	Act 5 Good	5	4%																						0
Act 5 Chest C		6	36	6					30	NDTC	65	41%	Act 5 Junk	3	9%	Act 5 Equip B	5	16%	Act 5 Good	5	4%																						0
Act 1 (N) Chest A		6	38	6					30	NDTC	65	41%	Act 1 (N) Junk	3	9%	Act 1 (N) Equip A	5	16%	Act 1 (N) Good	5	4%																						0
Act 1 (N) Chest B		6	40	6					30	NDTC	65	41%	Act 1 (N) Junk	3	9%	Act 1 (N) Equip B	5	16%	Act 1 (N) Good	5	4%																						0
Act 1 (N) Chest C		6	42	6					30	NDTC	65	41%	Act 1 (N) Junk	3	9%	Act 1 (N) Equip B	5	16%	Act 1 (N) Good	5	4%																						0
Act 2 (N) Chest A		6	44	6					30	NDTC	65	41%	Act 2 (N) Junk	3	9%	Act 2 (N) Equip A	5	16%	Act 2 (N) Good	5	4%																						0
Act 2 (N) Chest B		6	46	6					30	NDTC	65	41%	Act 2 (N) Junk	3	9%	Act 2 (N) Equip B	5	16%	Act 2 (N) Good	5	4%																						0
Act 2 (N) Chest C		6	48	6					30	NDTC	65	41%	Act 2 (N) Junk	3	8%	Act 2 (N) Equip B	5	16%	Act 2 (N) Good	5	4%																						0
Act 3 (N) Chest A		6	50	6					30	NDTC	65	41%	Act 3 (N) Junk	3	8%	Act 3 (N) Equip A	5	16%	Act 3 (N) Good	5	4%																						0
Act 3 (N) Chest B		6	52	6					30	NDTC	65	41%	Act 3 (N) Junk	3	8%	Act 3 (N) Equip B	5	16%	Act 3 (N) Good	5	4%																						0
Act 3 (N) Chest C		6	54	6					30	NDTC	65	41%	Act 3 (N) Junk	3	8%	Act 3 (N) Equip B	5	16%	Act 3 (N) Good	5	4%																						0
Act 4 (N) Chest A		6	56	6					30	NDTC	65	41%	Act 4 (N) Junk	3	7%	Act 4 (N) Equip A	5	16%	Act 4 (N) Good	5	4%																						0
Act 4 (N) Chest B		6	58	6					30	NDTC	65	41%	Act 4 (N) Junk	3	7%	Act 4 (N) Equip B	5	16%	Act 4 (N) Good	5	4%																						0
Act 4 (N) Chest C		6	60	6					30	NDTC	65	41%	Act 4 (N) Junk	3	7%	Act 4 (N) Equip C	5	16%	Act 4 (N) Good	5	4%																						0
Act 5 (N) Chest A		6	62	6					30	NDTC	65	41%	Act 5 (N) Junk	3	7%	Act 5 (N) Equip A	5	16%	Act 5 (N) Good	5	4%																						0
Act 5 (N) Chest B		6	64	6					30	NDTC	65	41%	Act 5 (N) Junk	3	6%	Act 5 (N) Equip B	5	16%	Act 5 (N) Good	5	4%																						0
Act 5 (N) Chest C		6	66	6					30	NDTC	65	41%	Act 5 (N) Junk	3	6%	Act 5 (N) Equip B	5	16%	Act 5 (N) Good	5	4%																						0
Act 1 (H) Chest A		6	68	6					30	NDTC	65	41%	Act 1 (H) Junk	3	5%	Act 1 (H) Equip A	5	16%	Act 1 (H) Good	5	4%																						0
Act 1 (H) Chest B		6	70	6					30	NDTC	65	41%	Act 1 (H) Junk	3	5%	Act 1 (H) Equip B	5	16%	Act 1 (H) Good	5	4%																						0
Act 1 (H) Chest C		6	71	6					30	NDTC	65	41%	Act 1 (H) Junk	3	4%	Act 1 (H) Equip B	5	16%	Act 1 (H) Good	5	4%																						0
Act 2 (H) Chest A		6	72	6					30	NDTC	65	41%	Act 2 (H) Junk	3	4%	Act 2 (H) Equip A	5	16%	Act 2 (H) Good	5	4%																						0
Act 2 (H) Chest B		6	74	6					30	NDTC	65	41%	Act 2 (H) Junk	3	4%	Act 2 (H) Equip B	5	16%	Act 2 (H) Good	5	4%																						0
Act 2 (H) Chest C		6	75	6					30	NDTC	65	41%	Act 2 (H) Junk	3	4%	Act 2 (H) Equip B	5	16%	Act 2 (H) Good	5	4%																						0
Act 3 (H) Chest A		6	76	6					30	NDTC	65	41%	Act 3 (H) Junk	3	3%	Act 3 (H) Equip A	5	16%	Act 3 (H) Good	5	4%																						0
Act 3 (H) Chest B		6	78	6					30	NDTC	65	41%	Act 3 (H) Junk	3	3%	Act 3 (H) Equip B	5	16%	Act 3 (H) Good	5	4%																						0
Act 3 (H) Chest C		6	79	6					30	NDTC	65	41%	Act 3 (H) Junk	3	2%	Act 3 (H) Equip B	5	16%	Act 3 (H) Good	5	4%																						0
Act 4 (H) Chest A		6	80	6					30	NDTC	65	41%	Act 4 (H) Junk	3	2%	Act 4 (H) Equip A	5	16%	Act 4 (H) Good	5	4%																						0
Act 4 (H) Chest B		6	81	6					30	NDTC	65	41%	Act 4 (H) Junk	3	1%	Act 4 (H) Equip B	5	16%	Act 4 (H) Good	5	4%																						0
Act 4 (H) Chest C		6	82	6					30	NDTC	65	41%	Act 4 (H) Junk	3	1%	Act 4 (H) Equip B	5	16%	Act 4 (H) Good	5	4%																						0
Act 5 (H) Chest A		6	83	6					30	NDTC	65	41%	Act 5 (H) Junk	3	0%	Act 5 (H) Equip A	5	16%	Act 5 (H) Good	5	4%																						0
Act 5 (H) Chest B		6	84	6					30	NDTC	65	41%	Act 5 (H) Junk	3	0%	Act 5 (H) Equip B	5	16%	Act 5 (H) Good	5	4%																						0
Act 5 (H) Chest C		6	85	6					30	NDTC	65	40%	Act 5 (H) Junk	3	0%	Act 5 (H) Equip B	5	16%	Act 5 (H) Good	5	4%																						0
Act 1 H2H A		7	0	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip A	16	9%	Act 1 Good	4	2%	Clue Gem 10	1	0%																			0
Act 1 H2H B		7	5	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip B	16	9%	Act 1 Good B	4	2%																						0
Act 1 H2H C		7	9	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip C	16	9%	Act 1 Good C	4	2%																						0
Act 2 H2H A		7	12	1					75	NDTC	71	12%	Act 2 Junk	3	7%	Act 2 Equip A	16	9%	Act 2 Good	4	2%																						0
Act 2 H2H B		7	15	1					75	NDTC	71	12%	Act 2 Junk	3	6%	Act 2 Equip B	16	9%	Act 2 Good	4	2%																						0
Act 2 H2H C		7	18	1					75	NDTC	71	12%	Act 2 Junk	3	6%	Act 2 Equip C	16	9%	Act 3 Good	4	2%																						0
Act 3 H2H A		7	20	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip A	16	9%	Act 3 Good	4	2%																						0
Act 3 H2H B		7	22	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip B	16	9%	Act 3 Good	4	2%																						0
Act 3 H2H C		7	24	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip C	16	9%	Act 3 Good	4	2%																						0
Act 4 H2H A		7	26	1					75	NDTC	71	12%	Act 4 Junk	3	6%	Act 4 Equip A	16	9%	Act 4 Good	4	2%																						0
Act 4 H2H B		7	29	1					75	NDTC	71	12%	Act 4 Junk	3	6%	Act 4 Equip B	16	9%	Act 4 Good	4	2%																						0
Act 5 H2H A		7	32	1					75	NDTC	71	12%	Act 5 Junk	3	6%	Act 5 Equip A	16	9%	Act 5 Good	4	2%																						0
Act 5 H2H B		7	34	1					75	NDTC	71	12%	Act 5 Junk	3	5%	Act 5 Equip B	16	9%	Act 5 Good	4	2%																						0
Act 5 H2H C		7	36	1					75	NDTC	71	12%	Act 5 Junk	3	5%	Act 5 Equip C	16	9%	Act 5 Good	4	2%																						0
Act 1 (N) H2H A		7	38	1					75	NDTC	71	12%	Act 1 (N) Junk	3	5%	Act 1 (N) Equip A	16	9%	Act 1 (N) Good	4	2%																						0
Act 1 (N) H2H B		7	40	1					75	NDTC	71	12%	Act 1 (N) Junk	3	5%	Act 1 (N) Equip B	16	9%	Act 1 (N) Good	4	2%																						0
Act 1 (N) H2H C		7	41	1					75	NDTC	71	12%	Act 1 (N) Junk	3	4%	Act 1 (N) Equip B	16	9%	Act 1 (N) Good	4	2%																						0
Act 2 (N) H2H A		7	42	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip A	16	9%	Act 2 (N) Good	4	2%																						0
Act 2 (N) H2H B		7	44	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip B	16	9%	Act 2 (N) Good	4	2%																						0
Act 2 (N) H2H C		7	45	1					75	NDTC	71	12%	Act 2 (N) Junk	3	4%	Act 2 (N) Equip B	16	9%	Act 2 (N) Good	4	2%																						0
Act 3 (N) H2H A		7	46	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip A	16	9%	Act 3 (N) Good	4	2%																						0
Act 3 (N) H2H B		7	48	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip B	16	9%	Act 3 (N) Good	4	2%																						0
Act 3 (N) H2H C		7	50	1					75	NDTC	71	12%	Act 3 (N) Junk	3	4%	Act 3 (N) Equip B	16	9%	Act 3 (N) Good	4	2%																						0
Act 4 (N) H2H A		7	51	1					75	NDTC	71	12%	Act 4 (N) Junk	3	4%	Act 4 (N) Equip A	16	9%	Act 4 (N) Good	4	2%																						0
Act 4 (N) H2H B		7	54	1					75	NDTC	71	12%	Act 4 (N) Junk	3	3%	Act 4 (N) Equip B	16	9%	Act 4 (N) Good	4	2%																						0
Act 5 (N) H2H A		7	57	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip A	16	9%	Act 5 (N) Good	4	2%																						0
Act 5 (N) H2H B		7	60	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip B	16	9%	Act 5 (N) Good	4	2%																						0
Act 5 (N) H2H C		7	62	1					75	NDTC	71	12%	Act 5 (N) Junk	3	3%	Act 5 (N) Equip C	16	9%	Act 5 (N) Good	4	2%																						0
Act 1 (H) H2H A		7	63	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip A	16	9%	Act 1 (H) Good	4	2%																						0
Act 1 (H) H2H B		7	66	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip B	16	9%	Act 1 (H) Good	4	2%																						0
Act 1 (H) H2H C		7	68	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 1 (H) Equip B	16	9%	Act 1 (H) Good	4	2%																						0
Act 2 (H) H2H A		7	69	1					75	NDTC	71	12%	Act 1 (H) Junk	3	2%	Act 2 (H) Equip A	16	9%	Act 2 (H) Good	4	2%																						0
Act 2 (H) H2H B		7	71	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 2 (H) Equip B	16	9%	Act 2 (H) Good	4	2%																						0
Act 2 (H) H2H C		7	73	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 2 (H) Equip B	16	9%	Act 2 (H) Good	4	2%																						0
Act 3 (H) H2H A		7	74	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip A	16	9%	Act 3 (H) Good	4	2%																						0
Act 3 (H) H2H B		7	76	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip B	16	9%	Act 3 (H) Good	4	2%																						0
Act 3 (H) H2H C		7	77	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 3 (H) Equip B	16	9%	Act 3 (H) Good	4	2%																						0
Act 4 (H) H2H A		7	79	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 4 (H) Equip A	16	9%	Act 4 (H) Good	4	2%																						0
Act 4 (H) H2H B		7	80	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 4 (H) Equip B	16	9%	Act 4 (H) Good	4	2%																						0
Act 5 (H) H2H A		7	82	1					75	NDTC	71	12%	Act 1 (H) Junk	3	1%	Act 5 (H) Equip A	16	9%	Act 5 (H) Good	4	2%																						0
Act 5 (H) H2H B		7	83	1					75	NDTC	71	12%	Act 1 (H) Junk	3	0%	Act 5 (H) Equip B	16	9%	Act 5 (H) Good	4	2%																						0
Act 5 (H) H2H C		7	85	1					75	NDTC	71	12%	Act 1 (H) Junk	3	0%	Act 5 (H) Equip C	16	9%	Act 5 (H) Good	4	2%																						0
Act 1 Cast A		8	0	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip A	16	9%	Act 1 Good	5	3%	Clue Gem 10	1	0%																			0
Act 1 Cast B		8	5	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip B	16	9%	Act 1 Good B	5	3%																						0
Act 1 Cast C		8	9	1					75	NDTC	71	12%	Act 1 Junk	3	7%	Act 1 Equip C	16	9%	Act 1 Good C	5	3%																						0
Act 2 Cast A		8	12	1					75	NDTC	71	12%	Act 2 Junk	3	7%	Act 2 Equip A	16	9%	Act 2 Good	5	3%																						0
Act 2 Cast B		8	15	1					75	NDTC	71	12%	Act 2 Junk	3	6%	Act 2 Equip B	16	9%	Act 2 Good	5	3%																						0
Act 2 Cast C		8	18	1					75	NDTC	71	12%	Act 2 Junk	3	6%	Act 2 Equip C	16	9%	Act 3 Good	5	3%																						0
Act 3 Cast A		8	20	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip A	16	9%	Act 3 Good	5	3%																						0
Act 3 Cast B		8	22	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip B	16	9%	Act 3 Good	5	3%																						0
Act 3 Cast C		8	24	1					75	NDTC	71	12%	Act 3 Junk	3	6%	Act 3 Equip C	16	9%	Act 3 Good	5	3%																						0
