Id	hcIdx	BaseId	NextInClass	MonStatsEx	MonProp	NameStr	DescStr	* category	* comment	*PresetLevel	* Marco / loc	enabled	killable	Align	switchai	noAura	boss	primeevil	petIgnore	flying	threat	Code	TransLvl	AI	Velocity	Run	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	aidel	aidel(N)	aidel(H)	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	noRatio	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	Crit	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	DamageRegen	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	MonType	MonSound	isMelee	lUndead	hUndead	demon	TreasureClass1	TreasureClass1(N)	TreasureClass1(H)	isSpawn	MinGrp	MaxGrp	Rarity	sparsePopulate	rangedtype	minion1	minion2	PartyMin	PartyMax	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	placespawn	spawn	spawnx	spawny	spawnmode	SetBoss	BossXfer	opendoors	nomultishot	neverCount	interact	npc	inventory	inTown	deathDmg	genericSpawn	SkillDamage	UMonSound	zoo	SendSkills	Level	Level(N)	Level(H)	*eol
toad1	887	toad1	toad2	toad1	other_MA	ArcaneToad	StrAbsMag	Regulars			Levels	1	1		1						10	m5	0	DeathMauler	6	6	80	80	80	80	85	90	50	55	60	15	15	15	100	100	100													3	2	1	Mon Magic Missiles	seq_deathmaulerdig	1																						100	150	105	100	100	130	200							100	150	105	100	100	130	200							200	225	105	100	100	130	200							0		50	50	50	0									15	15	15	15	10		35	35	35	35	deathmauler	deathmauler				1	Normal	Normal	Normal	1	2	3	1							A1	stun	100			25	100			50	100			75																																						140	100	100	-20	-20	-20																												1			1		deathmauler			25	59	110	0
toad2	888	toad1	toad3	toad2	other_CO	ManaMonster	StrAbsCold	Regulars			Levels	1	1		1						10	m5	2	DeathMauler	6	6	80	80	80	85	90	95	55	60	65	15	15	15	100	100	100													3	2	1	Mon Magic Missiles	seq_deathmaulerdig	1																						100	150	105	100	100	130	200							100	150	105	100	100	130	200							200	225	105	100	100	130	200							0		50	50	50	0									15	15	15	15	10		35	35	35	35	deathmauler	deathmauler				1	Normal	Normal	Normal	1	2	3	1							A1	stun	100			25	100			50	100			75																																						140	100	100	-20	-20	-20																												1			1		deathmauler			28	65	110	0
toad3	889	toad1	toad4	toad3	other_MA	DarkToad	StrAbsMag	Regulars			Levels	1	1		1						10	m5	1	DeathMauler	6	6	80	80	80	95	100	100	65	70	75	15	15	15	100	100	100													3	2	1	Mon Magic Missiles	seq_deathmaulerdig	1																						100	150	105	100	100	130	200							100	150	105	100	100	130	200							200	225	105	100	100	130	200							0		50	50	50	0									15	15	15	15	10		35	35	35	35	deathmauler	deathmauler				1	Normal	Normal	Normal	1	2	3	1							A1	stun	100			25	100			50	100			75																																						140	100	100	-20	-20	-20																												1			1		deathmauler			33	70	110	0
toad4	890	toad1	toad5	toad4	other_LI	DemonicToad	StrAbsLtng	Regulars Removed				1	1		1						10	m5	4	DeathMauler	6	6	80	80	80	90	95	100	60	65	70	15	15	15	100	100	100													3	2	1	Mon Magic Missiles	seq_deathmaulerdig	1																						100	150	105	100	100	130	200							100	150	105	100	100	130	200							200	225	105	100	100	130	200							0		50	50	50	0									15	15	15	15	10		35	35	35	35	deathmauler	deathmauler				1	Normal	Normal	Normal	1	2	3	1							A1	stun	100			25	100			50	100			75																																						140	100	100	-20	-20	-20																												1			1		deathmauler			30	73	110	0
toad5	891	toad1	elite_toad5	toad5	other_PO	TerrorToad	StrAbsPois	Regulars			Levels	1	1		1						10	m5	3	DeathMauler	8	8	80	80	80	100	100	100	70	75	80	15	15	15	100	100	100													3	2	1	Mon Magic Missiles	seq_deathmaulerdig	1																						100	150	105	100	100	130	200							100	150	105	100	100	130	200							200	225	105	100	100	130	200							0		50	50	50	0									15	15	15	15	10		35	35	35	35	deathmauler	deathmauler				1	Normal	Normal	Normal	1	2	3	1							A1	stun	100			25	100			50	100			75																																						140	100	100	-20	-20	-20																												1			1		deathmauler			45	78	110	0
turtle1	892	turtle1	turtle2	turtle1	turtle1_CO	RustMonster	StrAbsCold	Regulars			Levels	1	1		1						10	xx	1	Baboon	9	9	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20										3	2	1																									120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200				0		50	50	50	0									15	15	15	15	10		35	35	35	35	minion	minion	1			1	Normal	Normal	Normal	1	3	5	1																																																										140	100	100	-20	-20	-20																												1			1		minion			33	73	110	0
turtle2	893	turtle1	turtle3	turtle2	turtle1_CO	RustClaw	StrAbsCold	Regulars			Levels	1	1		1						10	xx	3	Baboon	9	9	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20										3	2	1																									120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200				0		50	50	50	0									15	15	15	15	10		35	35	35	35	minion	minion	1			1	Normal	Normal	Normal	1	3	5	1																																																										140	100	100	-20	-20	-20																												1			1		minion			34	75	110	0
turtle3	894	turtle1	turtle4	turtle3	turtle1_CO	CorrosiveBeast	StrAbsCold	Regulars			Levels	1	1		1						10	xx	5	Baboon	10	10	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20										3	2	1																									120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200				0		50	50	50	0									15	15	15	15	10		35	35	35	35	minion	minion	1			1	Normal	Normal	Normal	1	3	5	1																																																										140	100	100	-20	-20	-20																												1			1		minion			35	75	110	0
turtle4	895	turtle1	turtle5	turtle4	turtle1_FI	RustCreeper	StrAbsFire	Regulars Removed				1	1		1						10	xx	4	Baboon	10	10	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20										3	2	1																									120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200				0		50	50	50	0									15	15	15	15	10		35	35	35	35	minion	minion	1			1	Normal	Normal	Normal	1	3	5	1																																																										140	100	100	-20	-20	-20																												1			1		minion			37	76	110	0
turtle5	896	turtle1	elite_turtle5	turtle5	turtle1_LI	CorrosiveTerror	StrAbsLtng	Regulars			Levels	1	1		1						10	xx	7	Baboon	10	11	80	80	80	33	33	33	25	25	25	95	95	95	50	50	50	20	20	20										3	2	1																									120	140	115	100	80	150	200	80	150	200				120	140	115	90	80	150	200	80	150	200				210	220	115	80	80	150	200	80	150	200				0		50	50	50	0									15	15	15	15	10		35	35	35	35	minion	minion	1			1	Normal	Normal	Normal	1	3	5	1																																																										140	100	100	-20	-20	-20																												1			1		minion			41	79	110	0
undeadbird1	897	undeadbird1	undeadbird2	undeadbird1	undeadbird1_PO	UndeadVulture	StrAbsPois	Regulars			Levels	1	1		1						10	VD	2	Vulture	6	6	80	80	80	80	85	90	3	2	1	50	40	30	10	10	10	30	35	40										3	2	1																									140	180	100	100	130	170	200							140	180	100	100	130	170	200							220	240	100	100	130	170	200							0		15	15	15	0									15	15	15	15	10		35	35	35	35	vulture	vulture		1			Normal	Normal	Normal	1	2	4	1																																																										140	100	100	-20	-20	-20			1	1																								1					vulture			18	54	110	0
undeadbird2	898	undeadbird1	undeadbird3	undeadbird2	undeadbird1_CO	OasisGuard	StrAbsCold	Regulars			Levels	1	1		1						10	VD	1	Vulture	8	8	80	80	80	85	90	95	3	2	1	45	35	25	5	5	5	35	40	45										3	2	1																									140	180	100	100	130	170	200							140	180	100	100	130	170	200							220	240	100	100	130	170	200							0		15	15	15	0									15	15	15	15	10		35	35	35	35	vulture	vulture		1			Normal	Normal	Normal	1	2	4	1																																																										140	100	100	-20	-20	-20			1	1																								1					vulture			25	60	110	0
undeadbird3	899	undeadbird1	undeadbird4	undeadbird3	undeadbird1_FI	BoneGasher	StrAbsFire	Regulars			Levels	1	1		1						10	VD	3	Vulture	9	9	80	80	80	90	95	100	3	2	1	40	30	20	0	0	0	40	45	50										3	2	1																									140	180	100	100	130	170	200							140	180	100	100	130	170	200							220	240	100	100	130	170	200							0		15	15	15	0									15	15	15	15	10		35	35	35	35	vulture	vulture		1			Normal	Normal	Normal	1	3	4	1																																																										140	100	100	-20	-20	-20			1	1																								1					vulture			28	63	110	0
undeadbird4	900	undeadbird1	elite_undeadbird4	undeadbird4	undeadbird1_CO	DeathWatcher	StrAbsCold	Regulars			Levels	1	1		1						10	VD	0	Vulture	9	9	80	80	80	95	100	100	3	2	1	35	25	15	0	0	0	45	50	55										3	2	1																									140	180	100	100	130	170	200							140	180	100	100	130	170	200							220	240	100	100	130	170	200							0		15	15	15	0									15	15	15	15	10		35	35	35	35	vulture	vulture		1			Normal	Normal	Normal	1	3	4	1																																																										140	100	100	-20	-20	-20			1	1																								1					vulture			35	73	110	0
undeadknight1	901	undeadknight1	undeadknight2	undeadknight1	other_LI	DarkKnight	StrAbsLtng	Regulars			Levels	1	1		1						10	UM	0	DoomKnight	6	6	80	80	80	90	95	100	3	2	1	90	95	100	3	2	1													3	2	1																									120	160	100	95	100	160	200							120	160	100	95	100	160	200							210	230	100	95	100	160	200							0		24	24	24	0									15	15	15	15	10		35	35	35	35	doomknight	doomknight	1	1			Normal	Normal	Normal	1	3	4	1																																																										140	100	100	-20	-20	-20																							1					1					doomknight	1		33	70	110	0
undeadknight2	902	undeadknight1	undeadknight3	undeadknight2	other_FI	HellKnight	StrAbsFire	Regulars				1	1		1						10	UM	0	DoomKnight	6	6	80	80	80	95	100	100	3	2	1	95	100	100	3	2	1													3	2	1																									120	160	100	95	100	160	200							120	160	100	95	100	160	200							210	230	100	95	100	160	200							0		24	24	24	0									15	15	15	15	10		35	35	35	35	doomknight	doomknight	1	1			Normal	Normal	Normal	1	3	4	1																																																										140	100	100	-20	-20	-20																							1					1					doomknight	1		33	70	110	0
undeadknight3	903	undeadknight1	undeadknight4	undeadknight3	other_MA	ChaosKnight	StrAbsMag	Regulars			Levels	1	1		1						10	UM	0	Vampire	6	6	80	80	80	90	90	90	45	55	65	50	55	60	25	25	25	4	4	4										3	2	1							Mon Zen Bolt	S1	5																120	160	100	95	100	160	200	100	160	200	100	160	200	120	160	100	95	100	160	200	100	160	200	100	160	200	210	230	100	95	100	160	200	100	160	200	100	160	200	0		27	27	27	0									15	15	15	15	10		35	35	35	35	doomknight	doomknight		1			Normal	Normal	Normal	1	1	1	1		1	undeadknight2		2	4	A1	pois	100	30	60	50	100	50	80	75	100	70	100	100																																						140	100	100	-20	-20	-20																							1					1					doomknight	1		34	71	110	0
undeadknight4	904	undeadknight1	undeadknight5	undeadknight4	fade_CO	SoulWarrior	StrAbsCold	Regulars			Levels	1	1		1						10	UM	0	Vampire	6	6	80	80	80	0	0	0	100	100	100	65	70	75	50	60	70	3	3	3										3	2	1	Mon Zen Bolt	S1	3	Mon Soulstorm	S1	2				Mon Zen Bolt	S1	4													180	200	100	150	100	160	200	100	160	200	100	160	200	180	200	100	150	100	160	200	100	160	200	100	160	200	240	250	100	150	100	160	200	100	160	200	100	160	200	0		29	29	29	0									15	15	15	15	10		35	35	35	35	doomknight	doomknight		1	1		Normal	Normal	Normal	1	3	4	1		1	undeadknight3		2	4																																																				140	100	100	-20	-20	-20																							1					1					doomknight			34	71	110	0
undeadknight5	905	undeadknight1	elite_undeadknight5	undeadknight5	fade_LI	BloodWarrior	StrAbsLtng	Regulars			Levels	1	1		1						10	UM	0	Vampire	8	8	80	80	80	0	0	0	100	100	100	65	70	75	50	60	70	3	3	3										3	2	1	Mon Zen Bolt	S1	3	Bloodstorm	S1	2				Mon Zen Bolt	S1	4													180	200	100	150	100	160	200	100	160	200	100	160	200	180	200	100	150	100	160	200	100	160	200	100	160	200	240	250	100	150	100	160	200	100	160	200	100	160	200	0		29	29	29	0									15	15	15	15	10		35	35	35	35	doomknight	doomknight		1	1		Normal	Normal	Normal	1	1	2	1		1	undeadknight3		2	4																																																				140	100	100	-20	-20	-20																							1					1					doomknight			35	73	110	0
undeadmage1	906	undeadmage1	undeadmage2	undeadmage1	fade_FI	DarkCounselor	StrAbsFire	Regulars			Levels	1	1		1						12	GY	3	AbyssKnight	6	6	80	80	80	30	40	50	90	90	90	100	100	100	3	2	1	6	6	6	1	1	1	50	45	40	60	60	60	3	2	1	Venomous Spirit	SC	5	MWrath	SC	1	MWrath	SC	1																75	120	50	100	60	120	200	60	120	200				75	120	50	100	60	120	200	60	120	200				187	210	50	100	60	120	200	60	120	200				0	1		15	33	0									15	15	15	15	10		35	35	35	35	unraveler	unraveler		1	1		Normal	Normal	Normal	1	2	3	1		1																																																								140	100	100	-20	-20	-20																							1	1				1					unraveler			33	70	110	0
undeadmage2	907	undeadmage1	undeadmage3	undeadmage2	fade_LI	DarkMagistrate	StrAbsLtng	Regulars			Levels	1	1		1						12	GY	3	AbyssKnight	6	6	80	80	80	30	40	50	90	90	90	100	100	100	3	2	1	6	6	6	1	1	1	50	45	40	60	60	60	3	2	1	Venomous Spirit	SC	5	MWrath	SC	1	MWrath	SC	1																75	120	50	100	60	120	200	60	120	200				75	120	50	100	60	120	200	60	120	200				187	210	50	100	60	120	200	60	120	200				0	1		15	33	0									15	15	15	15	10		35	35	35	35	unraveler	unraveler		1	1		Normal	Normal	Normal	1	2	4	1		1																																																								140	100	100	-20	-20	-20																							1	1				1					unraveler			34	71	110	0
undeadmage3	908	undeadmage1	undeadmage4	undeadmage3	fade_LI	DarkCabalist	StrAbsLtng	Regulars			Levels	1	1		1						12	GY	3	AbyssKnight	6	6	80	80	80	30	40	50	90	90	90	100	100	100	3	2	1	6	6	6	1	1	1	50	45	40	60	60	60	3	2	1	Venomous Spirit	SC	5	MWrath	SC	1	MWrath	SC	1																75	120	50	100	60	120	200	60	120	200				75	120	50	100	60	120	200	60	120	200				187	210	50	100	60	120	200	60	120	200				0	1		15	33	0									15	15	15	15	10		35	35	35	35	unraveler	unraveler		1	1		Normal	Normal	Normal	1	2	4	1		1																																																								140	100	100	-20	-20	-20																							1	1				1					unraveler			38	75	110	0
undeadmage4	909	undeadmage1	elite_undeadmage4	undeadmage4	fade_FI	DarkAncient	StrAbsFire	Regulars			Levels	1	1		1						12	GY	3	AbyssKnight	9	9	80	80	80	30	40	50	90	90	90	100	100	100	3	2	1	6	6	6	1	1	1	50	45	40	60	60	60	3	2	1	Venomous Spirit	SC	5	MWrath	SC	1	MWrath	SC	1																75	120	50	100	60	120	200	60	120	200				75	120	50	100	60	120	200	60	120	200				187	210	50	100	60	120	200	60	120	200				0	1		15	33	0									15	15	15	15	10		35	35	35	35	unraveler	unraveler		1	1		Normal	Normal	Normal	1	3	4	1		1																																																								140	100	100	-20	-20	-20																							1	1				1					unraveler			52	83	110	0
viper1	910	viper1	viper2	viper1	other_PO	TombSnake	StrAbsPois	Regulars			Levels	1	1		1						10	SD	3	ClawViper	8	14	80	80	80	20	20	20	8	8	8	75	80	85	50	50	50	3	2	1										3	2	1	SerpentCharge	seq_serpentcharge	1																						110	140	100	100	90	130	100	90	130	100				110	140	100	100	90	130	100	90	130	100				205	220	100	100	90	130	100	90	130	100				0		24	24	24	0									15	15	15	15	10		35	35	35	35	clawviper	clawviper	1				Normal	Normal	Normal	1	1	2	1																																																										140	100	100	-20	-20	-20																							1	1				1					clawviper	1		28	59	110	0
viper2	911	viper1	viper3	viper2	other_FI	FireDrake	StrAbsFire	Regulars			Levels	1	1		1						10	SD	2	ClawViper	8	15	80	80	80	25	25	25	10	10	10	80	85	90	50	50	50	3	2	1										3	2	1	SerpentCharge	seq_serpentcharge	1																						110	140	100	100	90	130	100	90	130	100				110	140	100	100	90	130	100	90	130	100				205	220	100	100	90	130	100	90	130	100				0		24	24	24	0									15	15	15	15	10		35	35	35	35	clawviper	clawviper	1				Normal	Normal	Normal	1	1	2	1							A1	fire	100	40	100		100	60	120		100	80	140																																							140	100	100	-20	-20	-20																							1	1				1					clawviper	1		30	68	110	0
viper3	912	viper1	viper4	viper3	other_LI	GoldViper	StrAbsLtng	Regulars			Levels	1	1		1						10	SD	1	ClawViper	9	16	80	80	80	30	30	30	12	12	12	85	90	95	50	50	50	3	2	1										3	2	1	SerpentCharge	seq_serpentcharge	1																						110	140	100	100	90	130	100	90	130	100				110	140	100	100	90	130	100	90	130	100				205	220	100	100	90	130	100	90	130	100				0		24	24	24	0									15	15	15	15	10		35	35	35	35	clawviper	clawviper	1				Normal	Normal	Normal	1	1	2	1																																																										140	100	100	-20	-20	-20																							1	1				1					clawviper	1		36	76	110	0
viper4	913	viper1	elite_viper4	viper4	other_LI	AzureDrake	StrAbsLtng	Regulars			Levels	1	1		1						10	SD	4	ClawViper	9	16	80	80	80	30	30	30	14	14	14	90	95	100	50	50	50	3	2	1										3	2	1	SerpentCharge	seq_serpentcharge	1																						110	140	100	100	90	130	100	90	130	100				110	140	100	100	90	130	100	90	130	100				205	220	100	100	90	130	100	90	130	100				0		24	24	24	0									15	15	15	15	10		35	35	35	35	clawviper	clawviper	1				Normal	Normal	Normal	1	1	2	1							A1	cold	100	40	100	75	100	60	120	100	100	80	140	125																																						140	100	100	-20	-20	-20																							1	1				1					clawviper	1		36	76	110	0
wingedfiend1	914	wingedfiend1	wingedfiend2	wingedfiend1	other_MA	Fiend	StrAbsMag	Regulars			Levels	1	1		1					1	10	BT	1	BatDemon	8	8	80	80	80	50	50	50	20	20	20	80	85	90	1	1	1	14	14	14										3	2	1																									70	80	100	90	70	100	200	70	100	200				70	80	100	160	70	100	200	70	100	200				185	190	100	160	70	100	200	70	100	200				0		27	27	27	0									15	15	15	15	10		35	35	35	35	batdemon	batdemon	1				Normal	Normal	Normal	1	3	4	1							A1	ltng	100	1	100		100	1	200		100	1	300		A2	ltng	100	1	100		100	1	200		100	1	300																									140	100	100	-20	-20	-20			1	1																								1					batdemon			1	33	110	0
wingedfiend2	915	wingedfiend1	wingedfiend3	wingedfiend2	wingedfiend2_LI	Blink	StrAbsLtng	Regulars				1	1		1					1	10	BT	2	BatDemon	9	9	80	80	80	50	50	50	20	20	20	80	85	90	1	1	1	14	14	14										3	2	1																									70	80	100	90	70	100	200	70	100	200				70	80	100	160	70	100	200	70	100	200				185	190	100	160	70	100	200	70	100	200				0		27	27	27	0									15	15	15	15	10		35	35	35	35	batdemon	batdemon	1				Normal	Normal	Normal	1	3	4	1							A1	ltng	100	1	100		100	1	200		100	1	300		A2	ltng	100	1	100		100	1	200		100	1	300																									140	100	100	-20	-20	-20			1	1																								1					batdemon			11	50	110	0
wingedfiend3	916	wingedfiend1	wingedfiend4	wingedfiend3	other_PO	Gloom	StrAbsPois	Regulars			Levels	1	1		1					1	10	BT	4	ClawViper	10	10	80	80	80	30	30	30	10	14	18	75	75	75	50	50	50	10	8	6										3	2	1	SerpentCharge	seq_batcharge	1																						70	80	100	90	70	100	200	70	100	200				70	80	100	160	70	100	200	70	100	200				185	190	100	160	70	100	200	70	100	200				0		27	27	27	0									15	15	15	15	10		35	35	35	35	batdemon	batdemon	1				Normal	Normal	Normal	1	3	4	1							A1	ltng	100	1	100		100	1	200		100	1	300		A2	ltng	100	1	100		100	1	200		100	1	300																									140	100	100	-20	-20	-20			1	1																								1					batdemon	1		16	54	110	0
wingedfiend4	917	wingedfiend1	elite_wingedfiend4	wingedfiend4	wingedfiend4_CO	Familiar	StrAbsCold	Regulars			Levels	1	1		1					1	10	BT	3	BatDemon	12	13	80	80	80	50	50	50	10	10	10	80	85	90	100	100	100	14	14	14										3	2	1																									70	80	100	90	70	100	200	70	100	200				70	80	100	160	70	100	200	70	100	200				185	190	100	160	70	100	200	70	100	200				0		27	27	27	0									15	15	15	15	10		35	35	35	35	batdemon	batdemon	1			1	Normal	Normal	Normal	1	3	4	1							A1	ltng	100	1	100		100	1	200		100	1	300		A2	ltng	100	1	100		100	1	200		100	1	300																									140	100	100	-20	-20	-20			1	1																			1					1					batdemon			29	65	110	0
wisp1	918	wisp1	wisp2	wisp1	other_PO	DancingLight	StrAbsPois	Regulars			Levels	1	1		1					1	10	WW	3	WillOWisp	13	14	80	80	80	15	15	15	70	75	80	70	70	70																3	2	1	MElectrobolt Spell	SC	1																			staticboltsbolt			80	120	70	100	40	70	200							80	120	70	100	40	70	200							190	210	70	100	40	70	200							0		21	21	21	0									15	15	15	15	10		35	35	35	35	willowisp	willowisp	1	1			Normal	Normal	Normal	1	2	4	1		1					A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																									140	100	100	-20	-20	-20			1	1																								1					willowisp			6	48	110	0
wisp2	919	wisp1	wisp3	wisp2	other_PO	GhostFlame	StrAbsPois	Regulars			Levels	1	1		1					1	10	WW	2	WillOWisp	17	19	80	80	80	15	15	15	75	80	85	60	60	60																3	2	1	MElectrobolt Spell	SC	3																			staticboltsbolt			80	120	70	100	40	70	200							80	120	70	100	40	70	200							190	210	70	100	40	70	200							0		21	21	21	0									15	15	15	15	10		35	35	35	35	willowisp	willowisp	1	1			Normal	Normal	Normal	1	2	4	1		1					A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																									140	100	100	-20	-20	-20			1	1																								1					willowisp			24	60	110	0
wisp3	920	wisp1	wisp4	wisp3	other_LI	BlackFlame	StrAbsLtng	Regulars			Levels	1	1		1					1	10	WW	0	WillOWisp	19	21	80	80	80	15	15	15	80	85	90	50	50	50																3	2	1	MElectrobolt Spell	SC	5																			staticboltsbolt			80	120	70	100	40	70	200							80	120	70	100	40	70	200							190	210	70	100	40	70	200							0		21	21	21	0									15	15	15	15	10		35	35	35	35	willowisp	willowisp	1	1			Normal	Normal	Normal	1	2	4	1		1					A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																									140	100	100	-20	-20	-20			1	1																								1					willowisp			30	66	110	0
wisp4	921	wisp1	elite_wisp4	wisp4	other_LI	TorturedSoul	StrAbsLtng	Regulars			Levels	1	1		1					1	10	WW	1	WillOWisp	19	21	80	80	80	15	15	15	85	90	95	40	40	40																3	2	1	MElectrobolt Spell	SC	6																			staticboltsbolt			80	120	70	100	40	70	200							80	120	70	100	40	70	200							190	210	70	100	40	70	200							0		21	21	21	0									15	15	15	15	10		35	35	35	35	willowisp	willowisp	1	1			Normal	Normal	Normal	1	2	4	1		1					A1	ltng	100	1	50		100	1	100		100	1	150		SC	ltng	100	1	50		100	1	100		100	1	150																									140	100	100	-20	-20	-20			1	1																								1					willowisp			33	70	110	0
zakarumcleric1	922	zakarumcleric1	zakarumcleric2	zakarumcleric1	zakarumcleric1_LI	Archon	StrAbsLtng	Regulars			Levels	1	1		1						10	ZP	3	Vampire	6	6	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7										3	2	1	Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													80	100	100	120	40	60	100							80	100	100	120	40	60	100							190	200	100	120	40	60	100							0		22	22	22	0									15	15	15	15	10		35	35	35	35	priests	cantor					Normal	Normal	Normal	1	1	1	1		1	zakarumslave1		2	4																																																				140	100	100	-20	-20	-20																					1		1					1					cantor			30	66	110	0
zakarumcleric2	923	zakarumcleric1	zakarumcleric3	zakarumcleric2	zakarumcleric1_FI	CrimsonArchon	StrAbsFire	Regulars			Levels	1	1		1						10	ZP	2	Vampire	6	6	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7										3	2	1	Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													80	100	100	120	40	60	100							80	100	100	120	40	60	100							190	200	100	120	40	60	100							0		22	22	22	0									15	15	15	15	10		35	35	35	35	priests	cantor					Normal	Normal	Normal	1	1	1	1		1	zakarumslave2		2	4																																																				140	100	100	-20	-20	-20																					1		1					1					cantor			29	66	110	0
zakarumcleric3	924	zakarumcleric1	zakarumcleric4	zakarumcleric3	zakarumcleric1_CO	DarkArchon	StrAbsCold	Regulars			Levels	1	1		1						10	ZP	3	Vampire	6	6	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7										3	2	1	Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													80	100	100	120	40	60	100							80	100	100	120	40	60	100							190	200	100	120	40	60	100							0		22	22	22	0									15	15	15	15	10		35	35	35	35	priests	cantor					Normal	Normal	Normal	1	1	1	1		1	zakarumslave3		2	4																																																				140	100	100	-20	-20	-20																					1		1					1					cantor			31	68	110	0
zakarumcleric4	925	zakarumcleric1	elite_zakarumcleric4	zakarumcleric4	zakarumcleric1_LI	TwilightArchon	StrAbsLtng	Regulars			Levels	1	1		1						10	ZP	1	Vampire	6	6	80	80	80	15	5	0	95	100	100	70	70	70	25	30	35	7	7	7										3	2	1	Mon Thunder Hammer	S1	6	Mon Thunder Wave	S1	6	Mon ND War Spirit	S1	4	Mon Thunder Hammer	S1	6													80	100	100	120	40	60	100							80	100	100	120	40	60	100							190	200	100	120	40	60	100							0		22	22	22	0									15	15	15	15	10		35	35	35	35	priests	cantor					Normal	Normal	Normal	1	1	1	1		1	zakarumslave4		2	4																																																				140	100	100	-20	-20	-20																					1		1					1					cantor			32	69	110	0
