Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
zakarumslave1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	howl				127	127	howl-thorns				127	127							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	howl			127	127	howl-thorns			127	127						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	howl			127	127	howl-thorns			127	127	0
blightfirespecial	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Shadow Demon Blood		297	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		297	1	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		297	1	1						0
lokispecial	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	4	4											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	3	3						0
howlingirespecial	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Acid Devil Acid Trance		299	1	1	death-skill	Gamma Field		120	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		299	4	4	death-skill		120	4	4						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		299	3	3	death-skill		120	3	3	0
doomlockspecial	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	kill-skill	Other Raven Heart		570	100	24	state	cold		11	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	kill-skill		570	100	28	state		11	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	kill-skill		570	100	31	state		11	1	1	0
prowlerspecial	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Acid Devil Acid Trance		299	2	2	death-skill	Mon Super Gift of Inner Fire		539	100	24							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		299	2	2	death-skill		539	100	26						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		299	2	2	death-skill		539	100	24	0
tremainspecial	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Immolation Target		518	10	1	death-skill	Immolation Bomb		154	100	14							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		518	10	4	death-skill		154	100	17						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		518	10	3	death-skill		154	100	16	0
window1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Starfire		974	100	2													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		974	100	6											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		974	100	9						0
secret1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Vanquish		447	25	1	hit-skill	Doom Serpents		458	10	5							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		447	25	1	hit-skill		458	10	8						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		447	25	1	hit-skill		458	10	7	0
ancient1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	att-skill	Stormblast Proc		980	10	5													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	att-skill		980	10	7											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	att-skill		980	10	5						0
ancient2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
ancient3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
cleric4special	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
sinwar_special	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
steak1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
steak2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
steak3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
steak4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
steak5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
hell_croaky	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Frog Prince		508	100	54	pierce-cold				50	50							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		508	100	58	pierce-cold			75	75						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		508	100	61	pierce-cold			100	100	0
hell_hthcat	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mark of the Wild		1013	15	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		1013	15	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		1013	15	8						0
hell_succubus	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Uber Disco Inferno		543	100	14	death-skill	Lower Resist		91	50	6							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		543	100	18	death-skill		91	50	9						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		543	100	21	death-skill		91	50	11	0
big_zakarumcleric4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Death of a God		501	100	12													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		501	100	16											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		501	100	19						0
elite_zakarumcleric4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	state	meslayer		16	1	1	poison-dur				50	50							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	state		16	1	1	poison-dur			100	100						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	state		16	1	1	poison-dur			150	150	0
elite_zakarumslave4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	howl-and-thorns				127	127	slow				10	10							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	howl-and-thorns			127	127	slow			15	15						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	howl-and-thorns			127	127	slow			20	20	0
elite_wisp4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	state	passive_lockout		126	1	1	pierce-fire				50	50							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	state		126	1	1	pierce-fire			100	100						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	state		126	1	1	pierce-fire			150	150	0
elite_wingedfiend4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Countdown		825	25	4	freeze				1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		825	25	28	freeze			3	3						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		825	25	31	freeze			5	5	0
elite_undeadmage4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1	slow				25	25							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1	slow			50	50						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1	slow			75	75	0
elite_undeadknight3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1	state	passive_lockout		126	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1	state		126	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1	state		126	1	1	0
elite_undeadknight5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1	state	passive_lockout		126	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1	state		126	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1	state		126	1	1	0
elite_undeadbird4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Rain of Bombs		30	25	4	fade				1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		30	25	8	fade			1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		30	25	11	fade			1	1	0
elite_turtle5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Rust Storm		531	100	9													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		531	100	13											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		531	100	16						0
elite_toad5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	att-skill	Mon Elemental Fury		747	5	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	att-skill		747	5	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	att-skill		747	5	8						0
elite_spidey4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Wave of Spiders		720	30	6	hit-skill	Spawn Broodling		721	100	5							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		720	30	10	hit-skill		721	100	7						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		720	30	13	hit-skill		721	100	5	0
elite_roguebow5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Celerity		496	20	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		496	20	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		496	20	8						0
elite_rogue2h5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Celerity		496	20	1	dmg-stun				25	25							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		496	20	5	dmg-stun			25	25						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		496	20	8	dmg-stun			25	25	0
elite_quills4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Death Metal Death		722	100	1	state	passive_lockout		126	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		722	100	5	state		126	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		722	100	8	state		126	1	1	0
elite_evilpriest5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
elite_beetle5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	att-skill	Summon Darkwarden		725	10	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	att-skill		725	10	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	att-skill		725	10	8						0
elite_succubusclan5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Uber Disco Inferno		543	100	4	death-skill	Lower Resist		91	50	6							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		543	100	8	death-skill		91	50	10						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		543	100	11	death-skill		91	50	13	0
elite_stormcaster3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	That Other VA Aura		282	1	1	state			68	1	1	stupidity				2	2	mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		282	5	5	state		68	1	1	stupidity			2	2	mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		282	8	8	state		68	1	1	0
elite_bigcat4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Pantheress Aura		727	4	6	death-skill	Glacial Nova		702	100	8							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		727	7	9	death-skill		702	100	12						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		727	6	8	death-skill		702	100	15	0
elite_hthcat4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Pantheress Aura		727	4	6	hit-skill	Mark of the Wild		1013	15	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		727	7	9	hit-skill		1013	15	5						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		727	6	8	hit-skill		1013	15	8	0
elite_javcat4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Pantheress Aura		727	4	6	hit-skill	Mark of the Wild		1013	15	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		727	7	9	hit-skill		1013	15	5						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		727	6	8	hit-skill		1013	15	8	0
elite_infernalteddy5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Thorns Aura		549	5	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		549	8	10											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		549	7	8	red-dmg%	2		100	100	0
elite_icedemon3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	state	meslayer		186	1	1	pierce-ltng				25	25							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	state		186	1	1	pierce-ltng			50	50						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	state		186	1	1	pierce-ltng			75	75	0
elite_gnat4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	openwounds				100	100													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	openwounds			100	100											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	openwounds			100	100						0
elite_gargoyle4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1	state	fullsetgeneric		175	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1	state		175	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1	state		175	1	1	0
elite_lightning4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Red Death		729	100	5													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		729	100	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		729	100	12						0
elite_balrog4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	swing3				150	150													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	swing3			150	150											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	swing3			150	150						0
elite_corpsespitter3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1	state	red		91	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1	state		91	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1	state		91	1	1	0
elite_goatpriest5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Dark Power		413	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		413	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		413	100	8						0
elite_croaky3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Fire Prince		733	100	25													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		733	100	29											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		733	100	32						0
elite_dead4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Snake Poison		53	50	1	state			2	1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		53	50	5	state		2	1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		53	50	8	state		2	1	1	0
elite_fallenhero5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	1	3	hit-skill	Black Curse		734	100	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	4	6	hit-skill		734	100	4						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	3	5	hit-skill		734	100	3	0
elite_archskel5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Plague Cloud		730	5	7													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		730	5	11											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		730	5	14						0
elite_evilskel5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Plague Cloud		730	10	7													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		730	10	11											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		730	10	14						0
elite_alibaba5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Teleport		54	100	1	hit-skill	Nova Bomb		153	100	14							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		54	100	1	hit-skill		153	100	18						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		54	100	1	hit-skill		153	100	21	0
elite_wispA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	state	necroshadowspirit		68	1	1	pierce-cold				50	50							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	state		68	1	1	pierce-cold			100	100						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	state		68	1	1	pierce-cold			150	150	0
elite_wingedfiendA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Item Lemures		708	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		708	100	6											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		708	100	9						0
elite_spideyA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Wave of Spiders		720	30	4	hit-skill	Spawn Broodswarm		749	50	5							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		720	30	8	hit-skill		749	50	7						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		720	30	11	hit-skill		749	50	5	0
elite_quillsA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Death Metal Death		722	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		722	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		722	100	8						0
elite_evilpriestA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	state	passive_lockout		126	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	state		126	1	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	state		126	1	1						0
elite_beetleA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	att-skill	Summon Darkwarden		725	5	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	att-skill		725	5	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	att-skill		725	5	8						0
elite_javcatA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Nightmare		697	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		697	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		697	100	8						0
elite_infernalteddyA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	5	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	8	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	7	8						0
elite_gnatA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	openwounds				100	100	hit-skill	Venomous Spirit		1002	10	6							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	openwounds			100	100	hit-skill		1002	10	10						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	openwounds			100	100	hit-skill		1002	10	13	0
elite_croakyA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	slow				25	25													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	slow			35	35											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	slow			45	45						0
elite_deadA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	pierce-pois				15	15	att-skill	Mon Safe Spike Nova		779	33	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	pierce-pois			30	30	att-skill		779	33	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	pierce-pois			45	45	att-skill		779	33	1	0
elite_fallenheroA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	5	8	hit-skill	Mon Super Gift of Inner Fire		539	10	2							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	9	12	hit-skill		539	15	4						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	12	15	hit-skill		539	20	2	0
elite_archskelA	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Plague Cloud		730	15	5													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		730	15	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		730	15	12						0
