code	name	type	type2	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
@38	Boots (Sacred)	qbot				2	1	651	671			458	0		29		71	30		2240	@38		407	lbt	lbt	@38	@38	@38		16	2	2	1	4	1	flplbt	invlbt														item_boots	12	item_boots			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
607	Breast Plate (Grade 1)	tors	tier			20	1	131	266			55	0		69		8	2		332	607		401	brs	brs	607	607	607		1	2	3	1	2	1	flpbrs	invbrs					2									item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255		1		1	1			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
699	Breast Plate (Grade 2)	tors	tier			20	1	343	633			81	0		69		38	11		1328	699		404	brs	brs	699	699	699		1	2	3	1	4	1	flpbrs	invbrs					2									item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
791	Breast Plate (Grade 3)	tors	tier			20	1	698	1257			170	0		69		67	20		6640	791		405	brs	brs	791	791	791		1	2	3	1	5	1	flpbrs	invbrs					2									item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
837	Breast Plate (Grade 4)	tors	tier			20	1	951	1702			353	0		69		83	25		13280	837		406	brs	brs	837	837	837		1	2	3	1	6	1	flpbrs	invbrs					2									item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@08	Breast Plate (Sacred)	qtor				2	1	2568	2943			550	0		69		83	30		13280	@08		406	brs	brs	@08	@08	@08		1	2	3	1	6	1	flpbrs	invbrs					2									item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
29!	Bronze Shield (Grade 1)	basd	tier			4	1	106	202			25	0	1	59		9	3		189	29!		401	lrg	buc	29!	29!	29!		7	2	2	1	1	2	flpsml	invbucu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
31!	Bronze Shield (Grade 2)	basd	tier			4	1	300	505			36	0	1	59		39	12		756	31!		403	lrg	buc	31!	31!	31!		7	2	2	1	3	2	flpsml	invbucu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
33!	Bronze Shield (Grade 3)	basd	tier			4	1	625	1021			78	0	1	59		68	21		3780	33!		404	lrg	buc	33!	33!	33!		7	2	2	1	4	2	flpsml	invbucu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
34!	Bronze Shield (Grade 4)	basd	tier			4	1	854	1391			162	0	1	59		83	25		7560	34!		404	lrg	buc	34!	34!	34!		7	2	2	1	4	2	flpsml	invbucu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
35!	Bronze Shield (Sacred)	saba				1	1	2171	2438			552	0	1	59		83	30		7560	35!		404	lrg	buc	35!	35!	35!		7	2	2	1	4	2	flpsml	invbucu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
621	Buckler (Grade 1)	shie	tier			20	1	24	39			6	17		32		1	0		65	621		401	buc	buc	621	621	621		7	2	2	1	1	2	flpbuc	invbuc														item_woodshield	12	item_woodshield			5						2							3		1		1	1		1		1	1					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
713	Buckler (Grade 2)	shie	tier			20	1	106	134			9	25		32		29	8		260	713		403	buc	buc	713	713	713		7	2	2	1	3	2	flpbuc	invbuc														item_woodshield	12	item_woodshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
805	Buckler (Grade 3)	shie	tier			20	1	240	299			19	53	0	32		55	17		1300	805		404	buc	buc	805	805	805		7	2	2	1	4	2	flpbuc	invbuc														item_woodshield	12	item_woodshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
851	Buckler (Grade 4)	shie	tier			20	1	332	413			38	109	0	32		72	21		2600	851		404	buc	buc	851	851	851		7	2	2	1	4	2	flpbuc	invbuc														item_woodshield	12	item_woodshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@22	Buckler (Sacred)	qshi				2	1	1561	1601			446	469	0	32		72	30		2600	@22		404	buc	buc	@22	@22	@22		7	2	2	1	4	2	flpbuc	invbuc														item_woodshield	12	item_woodshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
22!	Bull Shield (Grade 1)	basd	tier			4	1	39	75		12	10	23	1	31		5	1		115	22!		401	bsh	buc	22!	22!	22!		7	2	4	1	1	2	flpbsh	invgtsu														item_woodshield	12	item_woodshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
24!	Bull Shield (Grade 2)	basd	tier			4	1	127	201		12	15	34	1	31		34	10		460	24!		403	bsh	buc	24!	24!	24!		7	2	4	1	3	2	flpbsh	invgtsu														item_woodshield	12	item_woodshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
26!	Bull Shield (Grade 3)	basd	tier			4	1	276	417		12	32	71	1	31		63	19		2300	26!		404	bsh	buc	26!	26!	26!		7	2	4	1	4	2	flpbsh	invgtsu														item_woodshield	12	item_woodshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
27!	Bull Shield (Grade 4)	basd	tier			4	1	381	571		12	67	149	1	31		78	23		4600	27!		404	bsh	buc	27!	27!	27!		7	2	4	1	4	2	flpbsh	invgtsu														item_woodshield	12	item_woodshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
28!	Bull Shield (Sacred)	saba				1	1	1236	1331		12	347	374	1	31		78	30		4600	28!		404	bsh	buc	28!	28!	28!		7	2	4	1	4	2	flpbsh	invgtsu														item_woodshield	12	item_woodshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
615	Cap (Grade 1)	helm	tier			20	1	14	17			10	0		27		1	0		57	615		401	cap	cap	615	615	615			2	2	1	1	1	flpcap	invcap														item_cap	12	item_cap			5						2							1		1		1	1		1		1	1					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
707	Cap (Grade 2)	helm	tier			20	1	85	93			16	0		27		29	8		228	707		403	cap	cap	707	707	707			2	2	1	3	1	flpcap	invcap														item_cap	12	item_cap			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
799	Cap (Grade 3)	helm	tier			20	1	202	226			34	0		27		58	17		1140	799		404	cap	cap	799	799	799			2	2	1	4	1	flpcap	invcap														item_cap	12	item_cap			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
845	Cap (Grade 4)	helm	tier			20	1	282	310			71	0		27		72	22		2280	845		404	cap	cap	845	845	845			2	2	1	4	1	flpcap	invcap														item_cap	12	item_cap			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@16	Cap (Sacred)	qhlm				2	1	1187	1201			456	0		27		72	30		2280	@16		404	cap	cap	@16	@16	@16			2	2	1	4	1	flpcap	invcap														item_cap	12	item_cap			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
2@J	Ceremonial Armor (Grade 1)	stor	tier			10	1	261	523			0	97		116		20	6		2100	2@J		401	aar	aar	2@J	2@J	2@J		1	2	3	1	2	1	flpaar	invaaru			1	1		2	2	2						item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
4@J	Ceremonial Armor (Grade 2)	stor	tier			10	1	625	1194			0	143		116		50	15		8400	4@J		404	aar	aar	4@J	4@J	4@J		1	2	3	1	4	1	flpaar	invaaru			1	1		2	2	2						item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
6@J	Ceremonial Armor (Grade 3)	stor	tier			10	1	1247	2339			0	300		116		79	24		42000	6@J		405	aar	aar	6@J	6@J	6@J		1	2	3	1	5	1	flpaar	invaaru			1	1		2	2	2						item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
7@J	Ceremonial Armor (Grade 4)	stor	tier			10	1	1688	3168			0	622		116		90	27		84000	7@J		406	aar	aar	7@J	7@J	7@J		1	2	3	1	6	1	flpaar	invaaru			1	1		2	2	2						item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
8@J	Ceremonial Armor (Sacred)	sstr				1	1	3102	3843			0	722		116		90	30		84000	8@J		406	aar	aar	8@J	8@J	8@J		1	2	3	1	6	1	flpaar	invaaru			1	1		2	2	2						item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
7@K	Cervelliere (Grade 1)	azhm	tier			10	1	39	59			39	0		44		8	2		204	7@K		401	fhl	fhl	7@K	7@K	7@K			2	2	1	1	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
9@K	Cervelliere (Grade 2)	azhm	tier			10	1	126	165			57	0		44		37	11		816	9@K		403	fhl	fhl	9@K	9@K	9@K			2	2	1	3	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
2@L	Cervelliere (Grade 3)	azhm	tier			10	1	269	347			120	0		44		66	20		4080	2@L		404	fhl	fhl	2@L	2@L	2@L			2	2	1	4	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
3@L	Cervelliere (Grade 4)	azhm	tier			10	1	371	473			250	0		44		82	24		8160	3@L		404	fhl	fhl	3@L	3@L	3@L			2	2	1	4	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
4@L	Cervelliere (Sacred)	szhm				1	1	939	989			516	0		44		82	30		8160	4@L		404	fhl	fhl	4@L	4@L	4@L			2	2	1	4	1	flphlm	invfhlu														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
639	Chain Boots (Grade 1)	boot	tier			20	1	42	61			44	0		55		7	2		143	639		407	mbt	mbt	639	639	639		16	2	2	1	1	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
731	Chain Boots (Grade 2)	boot	tier			20	1	144	190			65	0		55		36	11		572	731		407	mbt	mbt	731	731	731		16	2	2	1	2	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
823	Chain Boots (Grade 3)	boot	tier			20	1	317	407			137	0		55		66	19		2860	823		407	mbt	mbt	823	823	823		16	2	2	1	3	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
869	Chain Boots (Grade 4)	boot	tier			20	1	434	557			282	0		55		79	24		5720	869		407	mbt	mbt	869	869	869		16	2	2	1	4	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@40	Chain Boots (Sacred)	qbot				2	1	739	801			527	0		55		79	30		5720	@40		407	mbt	mbt	@40	@40	@40		16	2	2	1	4	1	flpmbt	invmbt														item_bootschain	12	item_bootschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
634	Chain Gloves (Grade 1)	glov	tier			20	1	24	42			38	0		39		8	2		148	634		401	mgl	mgl	634	634	634		16	2	2	1	1	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
726	Chain Gloves (Grade 2)	glov	tier			20	1	106	144			56	0		39		37	11		592	726		402	mgl	mgl	726	726	726		16	2	2	1	2	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
818	Chain Gloves (Grade 3)	glov	tier			20	1	240	317			118	0		39		66	20		2960	818		403	mgl	mgl	818	818	818		16	2	2	1	3	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
864	Chain Gloves (Grade 4)	glov	tier			20	1	332	434			244	0		39		80	24		5920	864		404	mgl	mgl	864	864	864		16	2	2	1	4	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@35	Chain Gloves (Sacred)	qglv				2	1	515	565			514	0		39		80	30		5920	@35		404	mgl	mgl	@35	@35	@35		16	2	2	1	4	1	flpmgl	invmgl														item_gloveschain	12	item_gloveschain			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
606	Chain Mail (Grade 1)	tors	tier			20	1	117	237			49	0		63		7	2		267	606		401	chn	chn	606	606	606		1	2	3	1	2	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255		1		1	1			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
698	Chain Mail (Grade 2)	tors	tier			20	1	310	566			72	0		63		37	11		1068	698		404	chn	chn	698	698	698		1	2	3	1	4	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
790	Chain Mail (Grade 3)	tors	tier			20	1	633	1124			152	0		63		65	19		5340	790		405	chn	chn	790	790	790		1	2	3	1	5	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
836	Chain Mail (Grade 4)	tors	tier			20	1	865	1526			314	0		63		81	24		10680	836		406	chn	chn	836	836	836		1	2	3	1	6	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@07	Chain Mail (Sacred)	qtor				2	1	2525	2856			538	0		63		81	30		10680	@07		406	chn	chn	@07	@07	@07		1	2	3	1	6	1	flpchn	invchn			1	1	1	1	1	1						item_chainarmor	12	item_chainarmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
k01	Circlet (Grade 1)	circ	tier	100		8	1	22	47			0	14		20		7	2		157	k01		401	lit	lit	k01	k01	k01			2	2	1	1	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k09	Circlet (Grade 2)	circ	tier	100		8	1	61	113			0	29		20		36	11		628	k09		402	lit	lit	k09	k09	k09			2	2	1	2	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k17	Circlet (Grade 3)	circ	tier	100		8	1	126	225			0	69		20		65	19		3140	k17		403	lit	lit	k17	k17	k17			2	2	1	3	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k21	Circlet (Grade 4)	circ	tier	100		8	1	173	304			0	147		20		81	24		6280	k21		404	lit	lit	k21	k21	k21			2	2	1	4	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
@67	Circlet (Sacred)	qcic		100		2	1	505	571			0	262		20		81	30		6280	@67		404	lit	lit	@67	@67	@67			2	2	1	4	1	flpci0	invci0														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k02	Coronet (Grade 1)	circ	tier	100		8	1	27	56			0	17		15		9	3		236	k02		401	lit	lit	k02	k02	k02			2	2	1	1	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255		1		1	1					255					255					255					255			1	2		xxx	xxx			1
k10	Coronet (Grade 2)	circ	tier	100		8	1	73	135			0	36		15		39	11		944	k10		402	lit	lit	k10	k10	k10			2	2	1	2	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k18	Coronet (Grade 3)	circ	tier	100		8	1	151	269			0	85		15		68	20		4720	k18		403	lit	lit	k18	k18	k18			2	2	1	3	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k22	Coronet (Grade 4)	circ	tier	100		8	1	206	364			0	183		15		85	24		9440	k22		404	lit	lit	k22	k22	k22			2	2	1	4	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
@68	Coronet (Sacred)	qcic		100		2	1	605	684			0	327		15		85	30		9440	@68		404	lit	lit	@68	@68	@68			2	2	1	4	1	flpci1	invci1														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
620	Crown (Grade 1)	crow	tier			20	1	117	176			81	0		57		17	5		766	620		401	crn	crn	620	620	620			2	2	1	1	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255		1		1	1					255					255			2	8		xxx	xxx			1
712	Crown (Grade 2)	crow	tier			20	1	310	434			119	0		57		52	14		3064	712		403	crn	crn	712	712	712			2	2	1	3	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
804	Crown (Grade 3)	crow	tier			20	1	633	873			251	0		57		76	23		15320	804		404	crn	crn	804	804	804			2	2	1	4	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
850	Crown (Grade 4)	crow	tier			20	1	865	1183			519	0		57		90	27		30640	850		404	crn	crn	850	850	850			2	2	1	4	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@21	Crown (Sacred)	qhlm				2	1	1479	1638			606	0		57		90	30		30640	@21		404	crn	crn	@21	@21	@21			2	2	1	4	1	flpcrn	invcrn														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
w24	Crown Shield (Grade 1)	ashd	tier	100		4	1	142	279			0	43	1	77		17	5		1130	w24		402	pa5	spk	w24	w24	w24		7	2	2	1	2	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1
w64	Crown Shield (Grade 2)	ashd	tier	100		4	1	352	647			0	64	1	77		54	14		4520	w64		402	pa5	spk	w64	w64	w64		7	2	2	1	2	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1
e14	Crown Shield (Grade 3)	ashd	tier	100		4	1	709	1276			0	135	1	77		76	22		22600	e14		403	pa5	spk	e14	e14	e14		7	2	2	1	3	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1
e34	Crown Shield (Grade 4)	ashd	tier	100		4	1	965	1730			0	280	1	77		90	27		45200	e34		404	pa5	spk	e34	e34	e34		7	2	2	1	4	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1
@61	Crown Shield (Sacred)	qaur		100		1	1	1878	2260			0	447	1	77		90	30		45200	@61		404	pa5	spk	@61	@61	@61		7	2	2	1	4	2	flppa5	invpa5														item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1
w29	Demon Head (Grade 1)	head	tier	100		4	1	119	232			0	36	1	70		17	5		1032	w29		402	ne2	bhm	w29	w29	w29		10	2	2	1	2	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1
w69	Demon Head (Grade 2)	head	tier	100		4	1	293	538			0	54	1	70		46	14		4128	w69		402	ne2	bhm	w69	w69	w69		10	2	2	1	2	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1
e19	Demon Head (Grade 3)	head	tier	100		4	1	591	1063			0	113	1	70		76	22		20640	e19		403	ne2	bhm	e19	e19	e19		10	2	2	1	3	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1
e39	Demon Head (Grade 4)	head	tier	100		4	1	804	1441			0	236	1	70		87	27		41280	e39		404	ne2	bhm	e39	e39	e39		10	2	2	1	4	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1
@66	Demon Head (Sacred)	qhed		100		1	1	1448	1766			0	445	1	70		87	30		41280	@66		404	ne2	bhm	@66	@66	@66		10	2	2	1	4	2	flpne2	invne5														item_head	12	item_head			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1			xxx	xxx			1
k04	Diadem (Grade 1)	circ	tier	100		8	1	36	80			0	28		25		17	5		766	k04		402	lit	lit	k04	k04	k04			2	2	1	2	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255		1		1	1					255					255			1	2		xxx	xxx			1
k12	Diadem (Grade 2)	circ	tier	100		8	1	103	194			0	57		25		46	14		3064	k12		402	lit	lit	k12	k12	k12			2	2	1	2	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k20	Diadem (Grade 3)	circ	tier	100		8	1	215	386			0	137		25		76	23		15320	k20		403	lit	lit	k20	k20	k20			2	2	1	3	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
k24	Diadem (Grade 4)	circ	tier	100		8	1	296	523			0	294		25		90	27		30640	k24		404	lit	lit	k24	k24	k24			2	2	1	4	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
@70	Diadem (Sacred)	qcic		100		2	1	870	983			0	524		25		90	30		30640	@70		404	lit	lit	@70	@70	@70			2	2	1	4	1	flpci2	invci3														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			1	2		xxx	xxx			1
5@L	Einherjar Helm (Grade 1)	azhm	tier			10	1	53	80			0	53		50		10	3		306	5@L		401	lit	lit	5@L	5@L	5@L			2	2	1	1	1	flpfhl	invuhms														item_helm	12	item_helm			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
