Stat	ID	* comments	* type	*In-game	Save Bits	Save Add	Save Param Bits	*min	*max	Send Bits	Send Param Bits	Send Other	Signed	fCallback	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	damagerelated	ValShift	keepzero	direct	maxstat	itemspecific	UpdateAnimRate	Add	Multiply	Saved	CSvSigned	CSvBits	CSvParam	fMin	MinAccr	Encode	op	op param	op base	op stat1	op stat2	op stat3	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Divide	1.09-Save Bits	1.09-Save Add	*eol
skill_healonstrikingmelee	210		items	Life on Attack	9	0		0	511	15			1	1	27	1	1	ModitemHealAttM	ModitemHealAttM									33	16														domeleedamage	28										1024	9	0	0
hex_dur_syn	211	replace w/ syn	items	Miasma Effect Duration: +2 seconds	8	0		0	255	7			1		24	3	0	ModitemHexSynLd	ModitemHexSynLd									11	4																									1024	8	0	0
passivelockout	212		skills							12			1																																									1024	0	0	0
x_signet09	213		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_armor_perlevel	214		items	Defense	10	0		0	1023	6			1		77	6	1	ModStr1i	ModStr1i	increaseswithplaylevelX								22	21								4	5	level	armorclass														1024	10	0	0
item_armorpercent_perlevel	215		items	Enhanced Defense	10	0		0	1023	6			1		78	8	1	Modstr2v	Modstr2v	increaseswithplaylevelX								44	50								5	5	level	armorclass														1024	10	0	0
item_hp_perlevel	216		items	to Life	10	0		0	1023	6			1		62	6	1	ModStr1u	ModStr1u	increaseswithplaylevelX		8						46	32								2	5	level	maxhp														1024	10	0	0
item_mana_perlevel	217		items	to Mana	10	0		0	1023	6			1		58	6	1	ModStr1e	ModStr1e	increaseswithplaylevelX		8						45	64								2	5	level	maxmana														1024	10	0	0
item_maxdamage_perlevel	218		items	to Maximum Damage	10	0		0	1023	6			1		130	6	1	ModStr1f	ModStr1f	increaseswithplaylevelX	1							27	102								4	5	level	maxdamage	secondary_maxdamage	item_throw_maxdamage												1024	10	0	0
blessings_counter	219	no more trophies	cube		5	0		0	31	12			1		250	3	0	ModitemBlessed	ModitemBlessed									3	1																									1024	5	0	0
x_signet10	220		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet11	221		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet12	222		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet13	223		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet14	224		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_tohitpercent_perlevel	225		classic	Bonus to Attack Rating	10	0		0	1023	6			1		121	7	1	ModStr4c	ModStr4c	increaseswithplaylevelX	1							5	128								2	5	level	item_tohit_percent														1024	10	0	0
x_signet15	226		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet16	227		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet17	228		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet18	229		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_resist_cold_perlevel	230		classic	Cold Resist	10	0		0	1023	6			1		44	7	2	ModStr1k	ModStr1k	increaseswithplaylevelX								51	64								2	5	level	coldresist														1024	10	0	0
item_resist_fire_perlevel	231		classic	Fire Resist	10	0		0	1023	6			1		40	7	2	ModStr1j	ModStr1j	increaseswithplaylevelX								51	64								2	5	level	fireresist														1024	10	0	0
item_resist_ltng_perlevel	232		classic	Lightning Resist	10	0		0	1023	6			1		42	7	2	ModStr1l	ModStr1l	increaseswithplaylevelX								51	64								2	5	level	lightresist														1024	10	0	0
item_resist_pois_perlevel	233		classic	Poison Resist	10	0		0	1023	6			1		38	7	2	ModStr1n	ModStr1n	increaseswithplaylevelX								51	64								2	5	level	poisonresist														1024	10	0	0
x_signet19	234		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet20	235		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet21	236		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet22	237		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet23	238		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_find_gold_perlevel	239		classic	Gold Find	10	0		0	1023	6			1		14	7	1	ModStr1w	ModStr1w	increaseswithplaylevelX								21	128								2	5	level	item_goldbonus														1024	10	0	0
item_find_magic_perlevel	240		items	Magic Find	10	0		0	1023	6			1		12	7	1	ModStr1x	ModStr1x	increaseswithplaylevelX								407	512								2	5	level	item_magicbonus														1024	10	0	0
x_signet24	241		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet25	242		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet26	243		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet27	244		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
ffront_proj	245	don't replace also used in skills	skills	\orange;Flamefront Has Twice as Many Firebolts\blue;	2	1		-1	2	9			1		245	3	0	ModitemHabacalva	ModItemDefiler									1006	251																									1024	2	1	0
firedance_mod	246	don't replace also used in skills	skills	\orange;Firedance Grants 1% Deadly Strike Per Base Level\blue;	2	1		-1	2	9			1		245	3	0	ModItemGaleona	ModItemGreenwalker									1006	251																									1024	2	1	0
item_crushingblow_perlevel	247		items	Chance of Crushing Blow	10	0		0	1023	6			1		91	7	1	ModStr5c	ModStr5c	increaseswithplaylevelX	1							107	512								2	5	level	item_crushingblow														1024	10	0	0
item_openwounds_perlevel	248		classic	Chance of Open Wounds	10	0		0	1023	6			1		87	7	1	ModStr3m	ModStr3m	increaseswithplaylevelX	1							91	64								2	5	level	item_openwounds														1024	10	0	0
x_signet30	249		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_totembound	250		skills		10	0		0	1023	6			1															59	256																									1024	10	0	0
x_signet31	251		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_replenish_durability	252		items	Repairs %d Durability per Second	6	0		0	63	5			1		8	11	0	ModStre9t	ModStre9t									53	128																									1024	6	0	0
item_replenish_quantity	253		classic	Replenishes Quantity	6	0		0	63	5			1		9	3	0	ModStre9v	ModStre9v									53	128																									1024	6	0	0
item_extra_stack	254		classic	Increased Stack Size	8	0		0	255				1		10	3	0	ModStre9i	ModStre9i									50	5																									1024	8	0	0
x_signet32	255		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet33	256		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
vessel_mod	257	Pal Only	items	\orange;Neutrality: Vessel Damage Bonus from Passives is Doubled\nUnholy: Blood Thorns Deal 50% More Total Damage\nHoly: Plague Deals Tripple Damage\blue;	2	1		-1	2	9			1		245	3	0	ModItemAdjudicator	ModItemDefiler									1006	251																									1024	2	1	0
x_signet35	258		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_drain_aura	259	replace w/ desc	skills	Drains 1% Life per Second	2	0		0	3	12			1		54	3	0	ModitemDrainAura	ModitemDrainAura									4	1																									1024	2	0	0
item_thunderfury	260		items	\orange;Thunderfury\white;	7	0	17	0	127	7	17		1	1	248	3	0	ModitemThunderfury	ModitemThunderfury		1							95	128							2							domeleeattack	20	domissileattack	20								1024	7	0	0
new_totem_syn	261		items	Extra Totems	5	0		0	31	12			1		155	1	1	ModitemTotemsMax	ModitemTotemsMax									300	85																									1024	5	0	0
passiveF	262		classic							12			1																																									1024	0	0	0
x_signet36	263		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet37	264		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_healafterplayerkill	265		items	Life after each Kill	10	0		0	1023	15			1	1	21	1	1	ModitemHPaK	ModitemHPaK									15	51														kill	33										1024	10	0	0
item_warp_blue	266		items	\orange;Area Effect Attack\white;	7	0	17	0	127	7	17		1	1	248	3	0	ModitemWarpBlue	ModitemWarpBlue		1							95	128							2							domeleeattack	20	domissileattack	20								1024	7	0	0
item_stance_radius	267		items	Enhanced Stance Radius	5	0		0	31	12			1		203	1	1	ModitemStanceRadius	ModitemStanceRadius									133	512																									1024	5	0	0
baccha_on	268		skills							12			1																																									1024	0	0	0
item_edyrem_mark	269		skills							12			1																																									1024	0	0	0
item_has_edyrem	270		cube		3	0		0	7	12			1																																									1024	3	0	0
item_skillonanydeath	271		items	%d%% Chance to cast level %d %s when you Die	8	0	17	0	255	7	17		1	1	165	15		Moditemskondeath	Moditemskondeath									6	5							2							death	30										1024	8	0	0
not_used_272	272		unused							5			1																																									1024	0	0	0
item_crushthorns	273		skills		7	25		-25	102	8			1	1														28	5														damagedinmelee	16	damagedbymissile	16								1024	7	25	0
item_poison_set	274	replace w/ syn	items	Hive Adds 33% of Poison Spell Damage Items to Vitality	8	0		0	255	9			1		10	3	0	ModitemPoisonSet	ModitemPoisonSet									76	34																									1024	8	0	0
item_desc_breaker	275	replace w/ desc	items	Enhanced Damage vs. Necrobots	9	0		0	511	12			1		8	2	1	ModitemBreakerDesc	ModitemBreakerDesc									4	1																									1024	9	0	0
item_nodcht	276		cube	\dgrey;Cannot be Disenchanted\blue;	1	0		0	1	6			1		4	3	0	ModItemNoDisenchant	ModItemNoDisenchant																																			1024	1	0	0
item_warpskillonattack	277		items	\orange;Area Effect Attack\white;	7	0	17	0	127	7	17		1	1	248	3	0	ModitemWarpAttack	ModitemWarpAttack		1							95	128							2							domeleeattack	20	domissileattack	20								1024	7	0	0
str_factor	278		items	Strength Factor to Spell Damage	10	200		-200	823	12			1		203	1	1	ModitemStrFactor	ModitemStrFactor									2	1																									1024	10	200	0
lion_stance_syn	279	replace w/ syn	items	Lion Stance Damage Bonus	9	0		0	511	9			1		119	2	2	DescLionsgateSyn	DescLionsgateSyn									14	6																									1024	9	0	0
greathunt_buff	280	resonance buff	skills		10	0		0	1023	12			1															8	2																									1024	10	0	0
item_supernova_synergy	281	replace w/ syn	skills	Nova Charge Scatter Increased by	8	0		0	255	9			1		109	2	2	DescNCSyn	DescNCSyn									12	5																									1024	8	0	0
item_skillondamaged	282		items	%d%% Chance to cast level %d %s when you Take Damage	7	0	17	0	127	7	17		1	1	165	15		DescExpansiveC	DescExpansiveC									6	5							2							absorbdamage	30										1024	7	0	0
item_skillongetmeleed	283		items	%d%% Chance to cast level %d %s when Attacked	7	0	17	0	127	7	17		1	1	165	15		DescExpansiveA	DescExpansiveA		1							95	128							2							attackedinmelee	20										1024	7	0	0
item_skillongetmissilehit	284		items	%d%% Chance to cast level %d %s when Struck by a Missile	7	0	17	0	127	7	17		1	1	165	15		DescExpansiveB	DescExpansiveB		1							95	128							2							damagedbymissile	21										1024	7	0	0
x_signet38	285		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet39	286		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet40	287		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
si_1	288		items	\orange;Blood Hatred does not cost you life	2	1		-1	2	9			1		245	3	0	ModItemWmaster	ModItemNats									1006	251																									1024	2	1	0
not_used_289	289		unused							5			1																																									1024	0	0	0
not_used_290	290		unused							5			1																																									1024	0	0	0
skill_justkilledsomeone	291		skills	Retribute Fire Resist Penalty Increased by	8	0		0	255	9			1		106	2	2	ModitemRetributeSynergy	ModitemRetributeSynergy									32	11																									1024	8	0	0
item_skillonanykill	292		items	%d%% Chance to cast level %d %s on Death Blow	7	0	17	0	127	7	17		1	1	164	15		ModitemSkillAnyKill	ModitemSkillAnyKill		1							43	10							2							kill	30										1024	7	0	0
skill_arcanestrike_synergy	293	replace w/ syn	items	Doubled Terror Strike Duration	1	0		0	1	9			1		31	3	0	ModitemDoubleArc	ModitemDoubleArc									504	101																									1024	1	0	0
runeword_level	294	Allows rw up to that level on items	items		5	0		0	31	5			1															7	2																									1024	5	0	0
item_manaonstrikingmelee	295		items	Mana on Attack	9	200		-200	311	7			1	1	25	1	1	ModitemManaAttackMelee	ModitemManaAttackMelee									41	25														domeleedamage	17										1024	9	200	0
item_is_honorific	296		cube	\dgreen;Orb Effects Applied to this Item are Doubled\blue;	1	0		0	1	6			1		239	3	0	ModitemHonorific	ModitemHonorific									1	1																									1024	1	0	0
W_M	297		skills		2	1		-1	2	9			1															1006	251																									1024	2	1	0
tp_lock	298	town portal cuck	skills		5	0		0	31	12			1															7	2																									1024	5	0	0
strength_bonus_wpn	299		classic	\grey;Current Strength Damage Bonus:	10	0		0	1023	6			1		251	2	2	ModitemStrWpnAdder	ModitemStrWpnAdder									4	1								2	8	strength	weapondisplay_dummy														1024	10	0	0
dexterity_bonus_wpn	300		classic	\grey;Current Dexterity Damage Bonus:	10	0		0	1023	6			1		250	2	2	ModitemDexWpnAdder	ModitemDexWpnAdder									4	1								2	8	dexterity	weapondisplay_dummy														1024	10	0	0
item_shadows_corpsesynergy	301	UNUSED	items	Shadows Spawn Corpses on Striking 5%	1	0		0	1	9			1		138	3	0	ModitemShadowCorpse	ModitemShadowCorpse									41	22																									1024	1	0	0
skill_shadows_addcorpseonstriking	302	UNUSED	skills							9			1																																									1024	0	0	0
skill_voidarchon_fire	303	UNUSED	skills	Fire Damage to Void Archon	12	0		0	4095	13			1		53	1	1	ModitemVoidFire	ModitemVoidFire									101	122																									1024	12	0	0
statX_1	304		skills		7	24		-24	103	9			1		246													1006	251																									1024	7	24	0
item_pierce_cold	305		classic	to Enemy Cold Resistance	10	500		-500	523	9			1		93	20	1	Moditemenrescoldsk	Moditemenrescoldsk									716	257																									1024	10	500	0
item_pierce_fire	306		classic	to Enemy Fire Resistance	10	500		-500	523	9			1		93	20	1	Moditemenresfiresk	Moditemenresfiresk									620	249																									1024	10	500	0
item_pierce_ltng	307		classic	to Enemy Lightning Resistance	10	500		-500	523	9			1		93	20	1	Moditemenresltngsk	Moditemenresltngsk									594	241																									1024	10	500	0
item_pierce_pois	308		classic	to Enemy Poison Resistance	10	500		-500	523	9			1		93	20	1	Moditemenrespoissk	Moditemenrespoissk									661	253																									1024	10	500	0
skill_cooldown_reduce	309		items	%s Cooldown Reduced by %.1g	12	2048	17	-2048	2047	9	17		1		131	33	2	ModitemReduceCooldown	ModitemIncreaseCooldown									305	15																									1024	12	2048	0
x_signet46	310		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet47	311		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet48	312		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
darkportal	313		skills		10	0		0	1023	12			1															7	2																									1024	10	0	0
x_signet50	314		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
firelength	315		classic		8	0		0	255	16			1															16	1																									1024	8	0	0
burningmin	316		classic		8	0		0	255	16			1			3	0											4	1																									1024	8	0	0
burningmax	317		classic		8	0		0	255	16			1			3	0											4	1																									1024	8	0	0
progressive_damage	318		classic							3			1			3	0																																					1024	0	0	0
progressive_steal	319		classic							3			1			3	0																																					1024	0	0	0
progressive_other	320		skills							3			1																																									1024	0	0	0
progressive_fire	321		classic							3			1																																									1024	0	0	0
progressive_cold	322		classic							3			1																																									1024	0	0	0
progressive_lightning	323		classic							3			1																																									1024	0	0	0
item_extra_charges	324		classic		6	0		0	63	6			1								1					1																												1024	6	0	0
progressive_tohit	325		classic							16			1																																									1024	0	0	0
poison_count	326		classic							5			1								1																																	1024	0	0	0
damage_framerate	327		classic							8			1																																									1024	0	0	0
pierce_idx	328		classic							6			1																																									1024	0	0	0
passive_fire_mastery	329		items	to Fire Spell Damage	9	100		-100	411	12			1		93	4	1	ModitemdamFiresk	ModitemdamFiresk									81	30																		5	4	1	ModitemAllsk	ModitemAllsk			1024	9	100	0
passive_ltng_mastery	330		items	to Lightning Spell Damage	9	100		-100	411	12			1		93	4	1	ModitemdamLtngsk	ModitemdamLtngsk									81	30																		5	4	1	ModitemAllsk	ModitemAllsk			1024	9	100	0
passive_cold_mastery	331		items	to Cold Spell Damage	9	100		-100	411	12			1		93	4	1	ModitemdamColdsk	ModitemdamColdsk									81	30																		5	4	1	ModitemAllsk	ModitemAllsk			1024	9	100	0
passive_pois_mastery	332		items	to Poison Spell Damage	9	100		-100	411	12			1		93	4	1	ModitemdamPoissk	ModitemdamPoissk									81	30																		5	4	1	ModitemAllsk	ModitemAllsk			1024	9	100	0
passive_fire_pierce	333		items	to Enemy Fire Resistance	8	0		0	255	9			1		93	20	1	Moditemenresfiresk	Moditemenresfiresk										1289																		6	20	1	ModitemResallsk	ModitemResallsk			1024	8	0	0
passive_ltng_pierce	334		items	to Enemy Lightning Resistance	8	0		0	255	9			1		93	20	1	Moditemenresltngsk	Moditemenresltngsk										1247																		6	20	1	ModitemResallsk	ModitemResallsk			1024	8	0	0
passive_cold_pierce	335		items	to Enemy Cold Resistance	8	0		0	255	9			1		93	20	1	Moditemenrescoldsk	Moditemenrescoldsk										992																		6	20	1	ModitemResallsk	ModitemResallsk			1024	8	0	0
passive_pois_pierce	336		items	to Enemy Poison Resistance	8	0		0	255	9			1		93	20	1	Moditemenrespoissk	Moditemenrespoissk										1173																		6	20	1	ModitemResallsk	ModitemResallsk			1024	8	0	0
passive_critical_strike	337		classic		8	0		0	255	9			1																																									1024	8	0	0
passive_dodge	338		items	Avoid Damage	8	0		0	255	9			1		45	2	1	ModitemArrrgh	ModitemArrrgh									4	7																		8	2	1	ModitemAvoidance	ModitemAvoidance			1024	8	0	0
passive_avoid	339		items	Avoid Damage	8	0		0	255	9			1		45	2	1	ModitemArrrgh	ModitemArrrgh									4	7																		8	2	1	ModitemAvoidance	ModitemAvoidance			1024	8	0	0
passive_evade	340		items	Avoid Damage	8	0		0	255	9			1		45	2	1	ModitemArrrgh	ModitemArrrgh									4	7																		8	2	1	ModitemAvoidance	ModitemAvoidance			1024	8	0	0
passive_warmth	341		classic		8	0		0	255	9			1																																									1024	8	0	0
passive_mastery_melee_th	342		classic		8	0		0	255	11	8		1																																									1024	8	0	0
passive_mastery_melee_dmg	343		skills		8	0		0	255	11	8		1															8	104																		4	3	0	ModitemPeril	ModitemPeril			1024	8	0	0
passive_mastery_melee_crit	344		skills		8	0		0	255	9	8		1																																									1024	8	0	0
passive_mastery_throw_th	345		classic		8	0		0	255	11	8		1																																									1024	8	0	0
passive_mastery_throw_dmg	346		classic		8	0		0	255	11	8		1															8	104																									1024	8	0	0
passive_mastery_throw_crit	347		classic		8	0		0	255	9	8		1																																									1024	8	0	0
passive_weaponblock	348		classic		8	0		0	255	9	8		1																																									1024	8	0	0
passive_summon_resist	349		classic		9	0		0	511	9			1															261	90																									1024	9	0	0
modifierlist_skill	350		classic							9																																												1024	0	0	0
modifierlist_level	351		classic							8																																												1024	0	0	0
last_sent_hp_pct	352		classic							8			1																																									1024	0	0	0
source_unit_type	353		classic							5																																												1024	0	0	0
source_unit_id	354		classic							32																																												1024	0	0	0
shortparam1	355		classic							16																																												1024	0	0	0
questitemdifficulty	356		classic		2	0		0	3																																													1024	2	0	0
passive_pm_mastery	357		items	to Physical/Magic Spell Damage	9	100		-100	411	12			1		93	4	1	ModitemdamPMsk	ModitemdamPMsk									606	216																		5	4	1	ModitemAllsk	ModitemAllsk			1024	9	100	0
passive_mag_pierce	358		skills		8	0		0	255	9			1																1406																									1024	8	0	0
item_strength_percent	359		items	Bonus to Strength	9	50		-50	461	11			1		79	2	1	Modstrpercent	Modstrpercent									24	10								11			strength							3	2	1	ModitemAllpercents				1024	9	50	0
item_dexterity_percent	360		items	Bonus to Dexterity	9	50		-50	461	11			1		79	2	1	Moddexpercent	Moddexpen									24	10								11			dexterity							3	2	1	ModitemAllpercents				1024	9	50	0
item_energy_percent	361		items	Bonus to Energy	9	50		-50	461	11			1		79	2	1	Modenrpercent	Modenrpen									24	10								11			energy							3	2	1	ModitemAllpercents				1024	9	50	0
item_vitality_percent	362		items	Bonus to Vitality	9	50		-50	461	11			1		79	2	1	Modvitpercent	Modvitpen									24	10								11			vitality							3	2	1	ModitemAllpercents				1024	9	50	0
item_slowthorns	363		items	Slows Attacker by	8	50		-50	205	7			1	1	17	2	2	Moditemslowthorns	Moditemslowthorns									51	20														damagedinmelee	19										1024	8	50	0
item_howlthorns	364		items	Attacker Flees after Striking	7	25		-25	102	8			1	1	84	2	2	Moditemhowlthorns	Moditemhowlthorns									28	5														damagedinmelee	8										1024	7	25	0
item_freezethorns	365		items	Freezes attacker	5	5		-5	26	5			1	1	83	12	2	Moditembrrr	Moditembrrr		1							1402	154														damagedinmelee	14										1024	5	5	0
item_stupiditythorns	366		items	Blinds Attacker	8	50		-50	205	5			1	1	85	12	2	ModitemBlindthorns	ModitemBlindthorns		1							333	49														damagedinmelee	9										1024	8	50	0
item_attackertakescolddamage	367	may not apply cold length	items	Attacker Takes Cold Damage of	10	0		0	1023	6			1	1	19	3	2	ModitemColdThorns	ModitemColdThorns									2	51														damagedinmelee	12			14	3	2	ModitemAllThorns				1024	10	0	0
item_attackertakesfiredamage	368		items	Attacker Takes Fire Damage of	10	0		0	1023	6			1	1	19	3	2	ModitemFireThorns	ModitemFireThorns									2	51														damagedinmelee	11			14	3	2	ModitemAllThorns				1024	10	0	0
x_signet51	369		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet52	370		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_amazinggrace	371		items	\orange;Amazing Grace\white;	7	0	17	0	127	7	17		1	1	247	3	0	ModitemAmazingGrace	ModitemAmazingGrace		1							95	128							2							domeleeattack	20	domissileattack	20								1024	7	0	0
item_nounsock	372		cube	\dgrey;Cannot be Unsocketed\blue;	1	0		0	1	2			1		4	3	0	ModItemNoUnsocket	ModItemNoUnsocket																																			1024	1	0	0
passive_phys_pierce	373		skills		9	300		-300	211	9			1																1406																									1024	9	300	0
trap_chain	374		items		10	50		-50	973	12			1																																									1024	10	50	0
desc_top	375		items		15	0	15	0	32767	15	15				246	31	0											1006	251																									1024	15	0	0
item_slow_offweapon	376		items	Slows Melee Target by	8	50		-50	205	7			1	1	82	2	2	DescSlowVariantMelee	DescSlowVariantMelee		1							51	20														domeleeattack	19										1024	8	50	0
desc_bottom	377		items		15	0	15	0	32767	15	15				3	31	0											1006	251																									1024	15	0	0
statX_2	378		items		7	24		-24	103	9			1		246													1006	251																									1024	7	24	0
deathlord_penalty	379		skills		5	0		0	31	12			1			3	0											300	85																									1024	5	0	0
passive_bloodlust_dmgpct	380		items	Bonus Damage to Bloodlust	8	0		0	255	12			1		154	4	1	ModitemBloodlustDmg	ModitemBloodlustDmg									331	91																									1024	8	0	0
passive_bloodlust_elempct	381		items	Bonus Elemental Damage to Bloodlust	8	0		0	255	12			1		154	4	1	ModitemBloodlustElem	ModitemBloodlustElem									331	91																									1024	8	0	0
x_signet53	382		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
special_syn1	383		items		14	1001	12	-1001	15382	17	12		1																																									1024	14	1001	0
passive_holyarmor_addmove	384	replace w/ syn	items	Movement Speed to Sacred Armor	8	0		0	255	12			1		155	2	1	ModitemHolyArmor2	ModitemHolyArmor2																																			1024	8	0	0
not_used_385	385		unused							5			1																																									1024	0	0	0
witchberry_lifeheal	386	moon cookie	cube + skills		8	0		0	255	12			1																																									1024	8	0	0
passive_motw_dmgpct	387	replace w/ syn	items	Bonus Damage to Mark of the Wild	8	0		0	255	12			1		154	4	1	ModitemMotwDmg	ModitemMotwDmg									331	91																									1024	8	0	0
passive_motw_elempct	388		items	Bonus Elemental Damage to Mark of the Wild	8	0		0	255	12			1		154	4	1	ModitemMotwElem	ModitemMotwElem									331	91																									1024	8	0	0
passive_motw_duration	389	replace w/ syn	items	Duration Bonus to Mark of the Wild	10	0		0	1023	12			1		127	2	1	ModitemMotwDur	ModitemMotwDur									80	29																									1024	10	0	0
passive_shadows_addmax	390	UNUSED	items	Extra Flayer Minions	5	0		0	31	12			1		155	1	1	ModitemMaxSummon	ModitemMaxSummon									2	51																									1024	5	0	0
passive_hex_adddmg	391	replace w/ syn	items	Bonus to Miasma Haunt Duration	10	0		0	1023	12			1		97	2	1	ModitemHexDur	ModitemHexDur									5	61																									1024	10	0	0
not_used_392	392		unused							5			1																																									1024	0	0	0
special_syn2	393		items		14	1001	12	-1001	15382	17	12		1																																									1024	14	1001	0
passive_shadows_addelem	394	replaceable	skills		8	0		0	255	12			1																																									1024	8	0	0
weapon_count	395		items		3	0		0	7	12			1																																									1024	3	0	0
special_syn3	396		items		14	1001	12	-1001	15382	17	12		1																																									1024	14	1001	0
special_syn4	397		items		14	1001	12	-1001	15382	17	12		1																																									1024	14	1001	0
yshari_enable	398	yshari	skills		5	0		0	31	12			1															7	2																									1024	5	0	0
passive_wrath_synergy	399	replace w/ syn	items	to Searing Glow Dazzle Duration	8	0		0	255	12			1		153	4	1	ModitemSearingSyn	ModitemSearingSyn									256	67																									1024	8	0	0
not_used_400	400		unused							5			1																																									1024	0	0	0
not_used_401	401		unused							5			1																																									1024	0	0	0
not_used_402	402		unused							5			1																																									1024	0	0	0
x_signet60	403		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
passive_fire_mastery_perlevel	404		items	to Fire Spell Damage	10	0		0	1023	6			1		93	7	1	ModitemdamFiresk	ModitemdamFiresk	increaseswithplaylevelX								22	21								4	5	level	passive_fire_mastery														1024	10	0	0
passive_ltng_mastery_perlevel	405		items	to Lightning Spell Damage	10	0		0	1023	6			1		93	7	1	ModitemdamLtngsk	ModitemdamLtngsk	increaseswithplaylevelX								22	21								4	5	level	passive_ltng_mastery														1024	10	0	0
passive_cold_mastery_perlevel	406		items	to Cold Spell Damage	10	0		0	1023	6			1		93	7	1	ModitemdamColdsk	ModitemdamColdsk	increaseswithplaylevelX								22	21								4	5	level	passive_cold_mastery														1024	10	0	0
passive_pois_mastery_perlevel	407		items	to Poison Spell Damage	10	0		0	1023	6			1		93	7	1	ModitemdamPoissk	ModitemdamPoissk	increaseswithplaylevelX								22	21								4	5	level	passive_pois_mastery														1024	10	0	0
x_signet61	408		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
profession_duration_mod	409		items	Bonus to Buff/Debuff/Cold Skill Duration	8	50		-50	205	12			1		130	2	1	ModitemDurMod	ModitemDurMod									334	95																									1024	8	50	0
not_used_410	410		unused							5			1																																									1024	0	0	0
not_used_411	411		unused							5			1																																									1024	0	0	0
resonance_buff	412	resonance buff	skills		10	0		0	1023	12			1															8	2																									1024	10	0	0
skill_bloodymary_bonus	413	sorc familiar	skills	Bonus to Vitality when using an Apple	8	0		0	255	12			1		55	2	1	ModitemMary	ModitemMary									17	3																									1024	8	0	0
skill_edyrem_hp_percent	414		items	Bonus to Summoned Edyrem Life	9	50		-50	461	12			1		133	4	1	ModitemEdyremBonus	ModitemEdyremBonus									81	16																									1024	9	50	0
not_used_415	415		unused							5			1																																									1024	0	0	0
passive6	416		skills							12			1																																									1024	0	0	0
ele_divisor	417		items		16	0	5	0	65535	17	5																																											1024	16	0	0
item_needschallenged	418	brc	items	\orange;Can Be Upgraded with Black Road Challenge	2	0		0	3	12			1		230	3	0	ModitemNeedsLCed	ModitemNeedsLCed									4	1																									1024	2	0	0
not_used_419	419		unused							5			1																																									1024	0	0	0
event_hit2	420	technical - not suited for affixes	skills							12			1																																									1024	0	0	0
not_used_421	421		unused							5			1																																									1024	0	0	0
not_used_422	422		unused							5			1																																									1024	0	0	0
not_used_423	423		unused							5			1																																									1024	0	0	0
not_used_424	424		unused							5			1																																									1024	0	0	0
not_used_425	425		unused							5			1																																									1024	0	0	0
not_used_426	426		unused							5			1																																									1024	0	0	0
not_used_427	427		unused							5			1																																									1024	0	0	0
not_used_428	428		unused							5			1																																									1024	0	0	0
