!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Реагент Куба (Секретный)\n\orange;Emblem of Suffering
#X2	Реагент Куба (Секретный)\n\orange;Emblem of Pain
#X3	Реагент Куба (Секретный)\n\orange;Emblem of Hatred
#X4	Реагент Куба (Секретный)\n\orange;Emblem of Terror
#X5	Реагент Куба (Секретный)\n\orange;Emblem of Destruction
#X6	Реагент Куба (Секретный)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Реагент Куба\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
BelialHeroicBoss	Belial, Lord of Lies
Bent	Bent
Bergkaiser	Bergkaiser
Berith	Berith
Berserk	Berserk
BerserkSlayer	Berserker Slayer
Berserker's	Berserker's
Berserker's Garb	Berserker's Arsenal
Berserker's Hatchet	Berserker's Hatchet
Berserker's Hauberk	Berserker's Hauberk
Berserker's Headgear	Berserker's Headgear
Berserrker	Berserrker
Beryl	берилловый
BetaBoss	Beta
Bile	Bile
Bilefroth the Pit Master	Bilefroth the Pit Master
Binding	Binding
Binding of Baal	Canyon of the Magi
BindingTreads	Binding Treads
Bing Sz Wang	Bing Sz Wang
Bishibosh	Bishibosh
Bitter	Bitter
BitterHarvest	Bitter Harvest
Black	Black
Black Abyss	Black Abyss
Black Cat	Black Cat
Black Dwarf	Black Dwarf
Black Hades	Black Hades
Black Marsh	Black Marsh
Black Sheep Wall	Black Sheep Wall
Black Sun Spear	Black Sun Spear
BlackArcher	Black Archer
BlackBaboon	Black Baboon
BlackCatZ	Black Cat
BlackDeathZ	Black Death
BlackDog	(Secret)\nBlack Dog
BlackFlame	Black Flame
BlackHandSigil	Black Hand Sigil
BlackHeartKnight	Black Knight
BlackIceDemon	Black Ice Demon
BlackLancer	Black Lancer
BlackLocusts	Black Locusts
BlackMasquerade	Black Masquerade
BlackPantherM	Bane Hunter
BlackRaptor	Black Raptor
BlackRazor	Black Razor
BlackRogue	Black Rogue
BlackRoseCrown	Crown of the Black Rose
BlackSoul	Black Soul
BlackVoid	Black Void
BlackVulture	Black Vulture
BlackVultureNest	Black Raptor Nest
Blackash the Burning	Blackash the Burning
Blackbog's Sharp	Blackbog's Sharp
BlackguardHelmSU3	Fauztin's Shadow
Blackhand Key	Blackhand Key
Blackheart	Blackheart
Blackhorn	Blackhorn
Blackhorn's Face	Blackhorn's Face
BlackjadesLegacy	Blackjade's Legacy
Blackleach Blade	Blackleach Blade
Blackoak Shield	Blackoak Shield
Blackstorm	Blackstorm
Blacktongue	Blacktongue
Blade	Blade
Blade Creeper	Blade Sentinel
Blade of Ali Baba	Blade of Ali Baba
Blade of the Jitan	Blade of the Jitan
BladeTalonsSU3	Scream of Nature
Bladebone	Bladebone
Bladebuckle	Bladebuckle
Blademaster	Blade Master
Blanched	Бланшированный
Blank	Бездна
Blastbark	Blastbark
Blaze	Пламя
Blaze Ripper	Blaze Ripper
Blazing	Сияющий
Blessed	благословенный
BlessedWrath	Blessed Wrath
Blight	Blight
BlightWing	
Blightfire	Blightfire
Blighting	Паразитный
Blightstone the Weak	Blightstone the Weak
BlindAnger	Blind Anger
Bling Bling	Bling Bling
Blink	Blink
Blinkbats Form	Blinkbat's Form
BlockedDoor	Заблокированная дверь
Blood	Blood
Blood Chalice	Blood Chalice
Blood Comet	Blood Comet
Blood Crescent	Blood Crescent
Blood Lord1	Moon Lord
Blood Lord2	Night Lord
Blood Lord3	Blood Lord
Blood Lord4	Hell Lord
Blood Lord5	Death Lord
Blood Moor	Blood Moor
Blood Rain	Blood Rain
Blood Temptress	Blood Temptress
Blood Witch	Blood Witch
BloodBengal	Blood Bengal
BloodBoss	Blood Boss
BloodBringer	Blood Bringer
BloodClan	Blood Clan
BloodDiver	Blood Diver
BloodGolem	Blood Golem
BloodHawk	Blood Hawk
BloodHawkNest	Blood Hawk Nest
BloodHook	Blood Hook
BloodHookNest	Blood Hook Nest
BloodHunter	Blood Hunter
BloodHunterShaman	Blood Hunter Shaman
BloodKnight	Blood Knight
BloodLord	Blood Lord
BloodMarquis	Blood Marquis
BloodPrinceZ	Blood Prince
BloodRogue	Blood Rogue
BloodStinger	Blood Stinger
BloodStoneE	Blood Stone
BloodUM	Blood
BloodWarrior	Blood Warrior
BloodWing	Blood Wing
BloodWingNest	Blood Wing Nest
BloodWitch	
BloodbathDescLong	Лечит 3% максимальной жизни при убийстве врага
Bloodbond	Bloodbond
Bloodbrother	Bloodbrother
Blooddancer	Blooddancer
BloodfireRogueZ	Bloodfire Rogue
Bloodfist	Bloodfist
Bloodletter	Bloodletter
Bloodmoon	Bloodmoon
Bloodmoon Soulfire	Bloodmoon Soulfire
Bloodraven	Blood Raven
Bloodraven's Charge	Blood Raven's Charge
Bloodrise	Bloodrise
Bloodskin Darkbow	Bloodskin Darkbow
Bloodthief	Bloodthief
Bloodtree Stump	Bloodtree Stump
Bloodwitch the Wild	Bloodwitch the Wild
Bloody	Кровавый
Bloody Foothills	Bloody Foothills
Blunderbore	Blunderbore
Blur	Blur
BnetnewGameTime	Время игры:
Boarfrost	Boarfrost
Body Looted	Тело разграблено
BodyPartsFormat	%0 %1
Bog Creature	Bog Creature
Boltplev1	к стрелам за уровень
Boltplev2	+1 стрела за уровень
Boltplev3	+1 стрела за %d уровня(ей)
BonaDea	Bona Dea
Bone	Bone
Bone Gasher	Bone Gasher
BoneArcher	Bone Archer
BoneArcherZ	Bone Archer
BoneChest	Костяной Сундук
BoneGasher	Bone Gasher
BoneHelmSU3	Creator's Folly
BoneMage	Bone Mage
BoneScalpel	Bone Scalpel
BoneSorcerer	Bone Sorcerer
BoneSorcererZ	Bone Sorcerer
BoneUM	Bone
BoneWarlock	Bone Warlock
BoneWarrior	Bone Warrior
BoneWarriorZ	Bone Warrior
Boneash	Bone Ash
Bonebreak	Bonebreaker
Bonechewer	Bonechewer
Bonefiend	Bonefiend
Boneflame	Boneflame
Boneflesh	Boneflesh
BonegrinderZ	Bonegrinder
Bonehew	Bonehew
Bonerattler	Bonerattler
Bonesaw Breaker	Bonesaw Breaker
Bonescapel	Bonescalpel
Boneshade	Boneshade
Boneslayer Blade	Boneslayer Blade
Bonesob	Bonesnap
BonusInarius	Inarius
BookFormat	%0 %1
BookOfAkarat	Visions of Akarat
BookOfLaz	The Glorious Book of Median
BookOfTriune2	\grey;Quest Item\n\gold;Tome of Possession
BootsSU3	Wizard's Path
Boreal	Арктический
BorginsVigil	Borgin's Vigil
BossKillerRing	Ring of the Five
BossRathma	Rathma
BossSummonerRing	\gold;Ring of Pride
BosssMendeln	Mendeln
BottledWilloWisp	Bottled Will-o-Wisp
BoundSpirit	Bound Spirit
Bowyer's	Лучника
BrachyceranReward	Xazax's Illusion
Brahman	Brahman
Brainburst	Brainburst
Brainhack	Brainhack
Brainhew	Brainhew
Bramble	Bramble
BrambleHulk	Bramble Hulk
Bramwell	Bramwell
Branch of AM Splinters	Branch of a Million Splinters
BrandistockSU3	Sky Scorcher
Brawl	Brawl
BreastPlateSU3	Kerrigan's Chest
Bremm Sparkfist	Bremm Sparkfist
Bremmtown	Bremmtown
Bright	сияющий
Brilliant	восхитительный
Brimstone	Brimstone
Brisk	проворный
BroadAxeSU3	Greil's Urvan
BroadSwordSU3	Holy Avenger
Brocken	Brocken
Brogues	Brogues
Broken	Broken
Broken Spaces	Edge of Nothingness
BrokenSoul	Broken Soul
Brokenstorm	Brokenstorm
Bronze	бронзовый
BronzeShamanZ	Warforged Shaman
BronzeShieldSU3	Shaman's Grace
BronzeTitan	Bronze Titan
BroodMutha	Brood Mother
Broodswarm	Brood Swarm
Brown	Бурый
Brutal	жестокий
Brute	Brute
BucketX	Bucket
BucklerSU3	Polar Breath
Bul Katho's Wedding Band	Bul-Kathos' Wedding Band
Bul Kathos' Teaching	Bul Kathos' Teaching
Bul Kathos' Temper	Bul Kathos' Temper
Bul-Kathos	Bul-Kathos
Bul-Kathos' Children	Bul-Kathos' Children
Bul-Kathos' Custodian	Bul-Kathos' Custodian
Bul-Kathos' Might	Bul-Kathos' Might
Bul-Kathos' Sacred Charge	Bul-Kathos' Sacred Charge
Bul-Kathos' Tribal Guardian	Bul-Kathos' Tribal Guardian
Bul-Kathos' Warden	Bul-Kathos' Warden
BullPrince	Bull Prince
BullPrinceRodeoMNX	Bull Prince Rodeo
Bullseye	Bullseye
Burgundy	красноватый
Burial Grounds	Burial Grounds
Buried Hawk	The Buried Hawk
Buriza-Do Kyanon	Buriza-Do Kyanon
Buriza-Do Tsuru	Buriza-Do Tsuru
Burlesque	Burlesque
Burly	Дюжий
Burning	Горящий
BurningDead	Burning Dead
BurningDeadArcher	Burning Dead Archer
BurningDeadArcherZ	Burning Dead Archer
BurningDeadMage	Burning Dead Mage
BurningDeadSorc	Burning Dead Sorcerer
BurningDeadSorcZ	Burning Dead Sorcerer
BurningDeadWarlock	Burning Dead Warlock
BurningDeadZ	Burning Dead
BurningSoul	Burning Soul
Bush Wacker	Bush Wacker
Butcher's Lair	Butcher's Lair
Butcher's Pupil	Butcher's Pupil
Butchers Cleaver	Butcher's Cleaver
ButchersTooth	The Butcher's Tooth
Buyard Cholik	Buyard Cholik
Buzzbomb	Buzzbomb
Buzzing	Жужжащий
Buzzsaw	Buzzsaw
Bverrit Keep	Bverrit Keep
C0+	\orange;Quiet Shrine (10)
C0+S	\orange;Quiet Vessel
C1+	\orange;Quiet Shrine (9)
C2+	\orange;Quiet Shrine (8)
C3+	\orange;Quiet Shrine (7)
C4+	\orange;Quiet Shrine (6)
C5+	\orange;Quiet Shrine (5)
C6+	\orange;Quiet Shrine (4)
C7+	\orange;Quiet Shrine (3)
C8+	\orange;Quiet Shrine (2)
C9+	\orange;Quiet Shrine (1)
CWEnforcerWithHammer	AC-1 Hammer Bot
CWEnforcerWithLaser	AC-2 Rivet Bot
Cabinet	Шкаф
Cadaver	Cadaver
CainAct2Gossip1	36\nПриветствую, мой друг. Джерин уже\nговорил с тобой? Он довольно\nхороший лидер для своих лет. Что ни\nговори, а благородная кровь до сих\nпор не угасла в здешних местах.\n
CainAct2Gossip2	50\nВ этой Фаре меня что-то смущает. У\nнее странное поведение для одинокой\nпустынницы.\n
CainAct2Gossip3	89\nЭлзикс тот еще тип, но он мне\nнравится.\n
CainAct2Gossip4	39\nЯ много беседовал с Варривом, когда\nмы шли через пустыню из Кхандураса.\nОн знает много поразительных сказок\nоб опасностях пустыни. Его опыт\nможет быть полезен тебе.\n
CainAct2Gossip5	46\nМесхиф - интересный человек. Часть\nего тоскует по свободе открытого\nморя... Хотя его сердце принадлежит\nродине.\n
CainAct3Gossip1	45\nВидеть родную землю в таком\nсостоянии ужасно для Месхифа.\nСтранно, что он остался помогать\nтебе.\n
CainAct3Gossip2	63\nПохоже, у Ашеары крутой характер. На\nтвоем месте я бы был с ней\nпоосторожнее.\n
CainAct3Gossip3	37\nДрогнан говорил мне о Хратли, когда\nмы были в Лут Голейне. Он сказал,\nчто Хратли вплетает магию в\nкузнечное ремесло и создает\nчудесное оружие и доспехи. \n\nЕго умения могут быть для тебя\nочень полезны.\n
CainAct3Gossip4	31\nСудя по его одежде и странным\nотметинам я сказал бы, что Ормус из\nдревнего магического клана Таам.\nОднако, похоже, никто из местных не\nзнает, что он колдун. \n\nТаан когда-то был таким же мощным,\nкак и Визджерай, но их учение еще\nболее таинственно. Интересно, что\nон скрывает.\n
CainAct3Gossip5	34\nТебе не попадалась Наталия? Она\nпринадлежит к Кхрал-Харжеку,\nтайному ордену, который существует\nуже столетиями... почти так же\nдолго, как и сам Хорадрим. \n\nЕе присутствие здесь нервирует\nменя, потому что они по традиции\nдают клятву преследовать Магов,\nпредавших доверие их ордена. \n\nИнтересно, зачем она здесь.\n
CainAct3Gossip6	61\nОрмус любит выдавать себя за\nбезумца. Лучше следить за его\nдействиями, чем за словами.\n
CainAct3IntroGossip1	35\nМоя нога не ступала в славный\nКураст многие годы. Но я никогда не\nмог себе представить, что он так\nиспортится. \n\nОчевидно, это должна быть работа\nМефистофеля! Тебе лучше\nоправляться, мой друг. Дьябло и\nВаал все еще там, и тебе нужно\nнайти их.\n
CainAct4Gossip1	37\nЯ многое прочел о загадочном\nАрхангеле Тираэле. В хорадримских\nлегендах он славится состраданием к\nсмертным и неиссякаемым боевым\nдухом. \n\nСлухи говорят, что он пошел против\nжеланий Небес и дал Хорадримам\nнастоящие Камни Душ, чтобы поймать\nДьябло и его Братьев.\n
CainAct4IntroGossip1	31\nТы можешь поверить в это место?\nХватало ли у тебя смелости даже\nмечтать о том, чтобы постоять на\nперекрестке между Раем и Адом? Эта\nКрепость Демонов действительно\nпохожа на сон. \n\nОднако, твой путь еще не завершен.\nДьябло еще на свободе, управляет из\nАда своими демоническими силами.\nТолько когда он будет побежден, наш\nмир в конце концов обретет покой. \n\nТеперь поспеши... никто не замедлит\nпесчинки времени!\n
CainAct5Gossip1	40\nДля порождений Ада размер не имеет\nзначения. Демоны в два раза меньше,\nчем люди, могут убить одним\nпальцем, а стаи адских животных\nмогут просто растоптать любого, кто\nвстретится у них на пути.\n
CainAct5Gossip10	47\nЯ думаю, что камни душ находятся в\nцентре этого конфликта. Если этот\nдурак Мариус не вмешался бы, Баал\nтак бы и томился в заточении у Тал\nРаша.\n
CainAct5Gossip2	50\nХотя эти Варвары известны во всех\nкоролевствах как отважные войны,\nони также способны к великому\nсостраданию.\n\nНа всем протяжении их истории они\nготовились к битве, которая\nсогласно их легендам, решит судьбу\nвсего мира.\n
CainAct5Gossip3	40\nАнгел Тираэль на всем протяжении\nистории следил за стражниками\nАрреата. Я не думаю, что Баал и\nТираэль схлестнулись в бою из-за\nкучки жалких душонок.\n\nОни здесь, чтобы разрешить конфликт\nнастолько древний, как само время.\n
CainAct5Gossip4	38\nКогда я был членом Хорадриума, мы\nвсегда спорили о судьбе Горы\nАрреат.\n\nМы знали, что варварские кланы\nвсегда охраняли гору с таким\nрвением, как будто это - их святой\nдолг. Однако многие говорили, что\nих усердие - это просто\nпредрассудок... в сочетании с\nврожденной враждебностью к\nчужестранцам.\n\nТе из Хорадримов, кто поднимались\nна Арреат, больше никогда не\nвозвращались... но все же я думаю,\nчто они не погибли от рук Варваров.\n
CainAct5Gossip5	39\nВсе, кто практикуют магические\nискусства, знают о Горе Арреат, но\nнемногие понимают ее настоящую\nприроду. Она связана с непостижимой\nмагией.\n\nТо, что Лорд Разрушения направился\nна нее для достижения своих целей,\nне сулит ничего хорошего. Я боюсь\nза наш мир, если Баал найдет то,\nчто он ищет.\n
CainAct5Gossip6	48\nЯ потратил десятки лет, пытаясь\nпостичь силы, которые управляют\nэтим миром. Но пред лицом того, что\nсейчас происходит, я осознаю,\nнасколько скудны мои знания.\n\nВ чем смогу, я помогу тебе.\n
CainAct5Gossip7	47\nХотя Совет старейшин Харрогата\nбольше не существует, у нас есть\nмного молодых способных лидеров,\nкоторые могут занять их места.\n\nУ Ании очевидно достаточно смелости\nи ума, чтобы управлять ими всеми,\nесли им удастся выжить в этой\nкатастрофе.\n
CainAct5Gossip8	50\nA, Ания. Прекрасный образец женской\nсилы...\n\nОна напоминает мне священников\nЗакарума, которых я знал в юности.\nЗнаешь, они не принимают обет\nбезбрачия.\n
CainAct5Gossip9	51\nЧудесно, что в этом городе есть\nтакой замечательный кузнец.\n\nОчевидно, что работа Ларзука\nпрекрасно дополняет твои навыки. По\nправде, он мог бы быть встречен с\nраспростертыми объятиями в\nХорадриме.\n
CainAct5IntroGossip1	40\nЯ удивлен, что это место совершенно\nне изменилось. Все остальные места,\nгде прошел Баал, Владыка\nРазрушения, лежат в руинах. \n\nОчевидно, что эти Варвары -\nнастоящие легендарные стражи Горы\nАрреат. Они - гордый, трудолюбивый\nнарод. Не думай, что тебя примут с\nпочестями - там редко бывают\nчужестранцы.\n\nВозможно, я смогу завоевать их\nрасположение. Я пообщаюсь с людьми\nи постараюсь их лучше понять. Я\nрасскажу тебе о том, что смогу\nразузнать.\n
CainGossip1	40\nДавным-давно Камни Душ были\nдарованы Хорадриму Архангелом\nТираэлем. Они были использованы,\nчтобы связать трех Главных Духов\nЗла. Я знаю, что теперь даже эти\nсвятые артефакты - не помеха\nмогуществу Дьябло. \n\nНадеюсь, что двух его братьев\nохраняют более тщательно... но я\nопасаюсь худшего.\n
CainGossip2	49\nНужно время, чтобы овладеть\nумениями... применение отточит твою\nтехнику. но постарайся мудро\nвыбирать себе новые умения.\n
CainGossip3	40\nТы можешь обнаружить разные\nзагадочные вещи на демонах, которых\nубиваешь. Некоторые - к своей\nогромной пользе... некоторые - к\nогромной опасности! Принеси их мне,\nи я раскрою их тайны.\n
CainGossip4	31\nЯ говорил тебе о Хорадримах? Это\nбыло древнее объединение магических\nкланов, созданное для того, чтобы\nнавечно заточить трех Главных Духов\nЗла. Хорадримы теперь почти\nзабыты... и, похоже, сплетенные ими\nсети расплетаются! \n\nКак последний из Хорадримов, я\nничего так не жажду, как помочь\nтебе исправить эту ошибку.\n
CainGossip5	30\nДавным-давно Дьябло и его братья\nбыли выброшены из Ада Младшими\nДухами Зла. Похоже, что равновесие\nв Аду сместилось, если Андариэль\nтеперь подчиняется Владыке Ужаса.\nЕе присутствие здесь, в царстве\nсмертных, не означает для нас\nничего хорошего.\n
Cairn Shard	Cairn Shard
Caldeum	Caldeum
Calling	Зовущий
Calypso	Calypso
Cambion	Cambion
Camel	Camel
Camphor	Камфорный
Candlewake	Candlewake
Cane of Juris Khan	Cane of Juris Khan
Cannonball	Cannonball
CanopicJar	Канопа
CantAssignKey	Нельзя привязать к этой клавише
CantAssignMB	Нельзя привязать к кнопке мыши
CantAssignMW	Нельзя привязать к колесу мыши
Cantor	Cantor
Canyon of the Magi	Canyon of the Magi
Caoi Dulra Fruit	(Druid Challenge Item)\nCaoi Dulra Fruit
CapSU3	Pestilence
CapsBnet10	
CapsBnet11	
CapsBnet12	
CapsBnet13	
CapsBnet14	
CapsBnet15	
CapsBnet9	
CapsGuildName	
CapsGuildTag	
CapsJoinMenu4	
CapsJoinMenu5	
Captain's	Капитанский
Carabosse	Carabosse
Carbuncle	Карбункул
Caretaker's	Уборщика
Carin Shard	Carin Shard
Carmen Arvale	Carmen Arvale
Carmine	Карминовый
CarnageSyn	Перезарядка исчезает на 7-м БУН
CarnageWDM	Преобразовывает 30% Физического Урона в Урон Огнем\n85% Урона Оружия 
Carnageleaver	Carnage Leaver
Carrion	Carrion
Carrion Wind	Carrion Wind
CarrionBird	Carrion Bird
Carsomyr	Carsomyr
Carver	Carver
CarverShaman	Carver Shaman
Case	Case
Casket	Гроб
Cassilda	Cassilda
Catacombs Level 1	Catacombs Level 1
Catacombs Level 2	Catacombs Level 2
Catacombs Level 3	Catacombs Level 3
Catacombs Level 4	Catacombs Level 4
Catapult Spotter E	Catapult
Catapult Spotter N	Catapult
Catapult Spotter S	Catapult
Catapult Spotter Siege	Catapult
Catapult Spotter W	Catapult
CatapultE	Catapult
CatapultN	Catapult
CatapultS	Catapult
CatapultSiege	Catapult
CatapultW	Catapult
Catechumen	Catechumen
Catgut	Catgut
Cathan's	Cathan's
Cathan's Mesh	Cathan's Mesh
Cathan's Rule	Cathan's Rule
Cathan's Seal	Cathan's Seal
Cathan's Sigil	Cathan's Sigil
Cathan's Traps	Cathan's Traps
Cathan's Visage	Cathan's Visage
Cathedral	Cathedral
Cauldron	Bogspitter
Cave Level 1	Cave Level 1
Cave Level 2	Cave Level 2
CaveLeaper	Cave Leaper
CaveTroll1	Cave Snapper
CaveTrollAFK	Sleeping Cave Snapper
CaveTrollElite	Grubber 
Cecaelia	Cecaelia
Celebration	(Median XL - 6 years)\nVictory
Celestia's Defense	Celestia's Defense
Celestial	Небесный
CelestialBarrier	Celestial Barrier
Cellar of Pity	Frozen River
CenobiteZ	Cenobite
Centaur1	Centaur
Centaur2	Doom Hunter
Centaur3	Alpha Centaur
Cerebus	Cerebus' Bite
Cernunnos	Cernunnos
Cerulean	небесный
CestusSU3	Firebird
CfgAccept	Принять
CfgAutoMap	Автокарта
CfgAutoMapCenter	Центрировать Автокарту
CfgAutoMapFade	Затенение автокарты
CfgAutoMapNames	имена на автокарте
CfgAutoMapParty	Группа на автокарте
CfgBelt1	Использовать Пояс 1
CfgBelt10	Использовать Пояс 10
CfgBelt11	Использовать Пояс 11
CfgBelt12	Использовать Пояс 12
CfgBelt2	Использовать Пояс 2
CfgBelt3	Использовать Пояс 3
CfgBelt4	Использовать Пояс 4
CfgBelt5	Использовать Пояс 5
CfgBelt6	Использовать Пояс 6
CfgBelt7	Использовать Пояс 7
CfgBelt8	Использовать Пояс 8
CfgBelt9	Использовать Пояс 9
CfgBeltShow	Показать Пояс
CfgCancel	Отмена
CfgCharacter	Персонаж
CfgChat	Чат
CfgClearKey	Сбросить клавишу
CfgClearScreen	Очистить Экран
CfgContrast	Контрастность
CfgDefault	По умолчанию
CfgDisplayAlvl	Уровень Локации (alvl), когда используете миникарту
CfgDisplayGameName	Название игры, когда используете миникарту
CfgDisplayGamePwd	Пароль от игры, когда используете миникарту
CfgDisplayGameTime	Проведено времени в игре, когда используете миникарту
CfgDisplayHp	Всегда отображать здоровье
CfgDisplayIlvl	Отображать уровень предмета
CfgDisplayMp	Всегда отображать ману
CfgFunction	Функция
CfgGamma	Гамма
CfgHelp	Экран помощи
CfgInventory	Инвентарь
CfgMessageLog	Журнал Сообщений
CfgMiniMap	Микрокарта
CfgMusicVolume	Громкость Музыки
CfgNoPickup	Включить/выключить автоподбор предметов
CfgNotifActiveBuffs	Активные баффы и дебаффы
CfgNotifAmmo	Уровень аммуниции
CfgNotifDurability	Уровень долговечности снаряжения
CfgNotifGold	Потери и Получения Золота
CfgNotifLevelUp	Повышение Уровня
CfgNotifNewArea	Входим в новую локацию
CfgNotifNewSkills	Новые Очки Навыка
CfgNotifNewStats	Новые Очки Характеристики 
CfgNotifRealmWhispers	Активность друзей
CfgParty	Экран Группы
CfgPrimaryKey	Клавиша 1
CfgQuestLog	Журнал Заданий
CfgRun	Бег
CfgRunLock	Переключить Бег/Ходьба
CfgSay0	Сказать 'Помогите'
CfgSay1	Сказать 'Следуй за мной'
CfgSay2	Сказать 'Это для тебя'
CfgSay3	Сказать 'Спасибо'
CfgSay4	Сказать 'Прошу прощения'
CfgSay5	Сказать 'Пока'
CfgSay6	Сказать 'Теперь ты умрешь'
CfgSay7	Сказать 'Отступать'
CfgSay7X	Say 'Retreat'
CfgSecondaryKey	Клавиша 2
CfgShowItems	Показать Предметы
CfgSkill1	Навык 1
CfgSkill10	Навык 10
CfgSkill11	Навык 11
CfgSkill12	Навык 12
CfgSkill13	Навык 13
CfgSkill14	Навык 14
CfgSkill15	Навык 15
CfgSkill16	Навык 16
CfgSkill2	Навык 2
CfgSkill3	Навык 3
CfgSkill4	Навык 4
CfgSkill5	Навык 5
CfgSkill6	Навык 6
CfgSkill7	Навык 7
CfgSkill8	Навык 8
CfgSkill9	Навык 9
CfgSkillPick	Быстрый выбор навыка
CfgSkillTree	Дерево Навыков
CfgSnapshot	Скриншот
CfgStandStill	Стоять на Месте
CfgTogglePortraits	Показать портреты
CfgToggleminimap	Переключ. миникарту
CfgVolume	Громкость Игры
Cfgcleartextmsg	Очистить сообщения
Cfghireling	Экран Наемника
Cfgskilldown	Выбрать Следующий Навык
Cfgskillup	Выбрать Предыдущий Навык
Cfgswapweapons	Поменять Оружие
CfpMapReveal	Открыть карту
Cgslow	замедление врага: 
Chalice of Horrors	Chalice of Horrors
Chamber of Blood	Chamber of Blood
Champion	Чемпион
ChampionFormat	%0 %1
ChampionFormatX	%0 %1
ChampionOTS	Champion of the Sun
ChampionoftheTriune	Champion of the Triune
Chance Guards	Chance Guards
Chanunpa	Chanunpa
Chaos	Chaos
Chaos Sanctum	The Chaos Sanctuary
ChaosBeast	Chaos Beast
ChaosCaster	Chaos Caster
ChaosKnight	Chaos Knight
ChaosUM	Chaos
Chaotic	Хаотический
Chapel of Vanity	Cathedral of Vanity
Chargebreaker	Chargebreaker
Charged	Заряженный
Charged Bolt Sentry	Charged Bolt Sentry
ChargedBoltProj	Разрядов: 
ChargedStrikeSyn1	+1 Дополнительный Разряд за
ChargedStrikeSyn2	 Уровней Навыка
Charmdes	Храните в Инвентаре для Получения Бонуса
Charsi	Charsi
Charsi's Favor	Charsi's Favor
